PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36699392","From pairwise to multiple spliced alignment","Jammali S, Djossou A, Ouédraogo WDD, Nevers Y, Chegrane I, Ouangraoua A.","Bioinform Adv. 2022 Jan 5;2(1):vbab044. doi: 10.1093/bioadv/vbab044. eCollection 2022.","Jammali S","Bioinform Adv","2022","2023/01/26","PMC9710695","","10.1093/bioadv/vbab044"
"35971612","GAIA: G-quadruplexes in alive creature database","Vannutelli A, Schell LLN, Perreault JP, Ouangraoua A.","Nucleic Acids Res. 2023 Jan 6;51(D1):D135-D140. doi: 10.1093/nar/gkac657.","Vannutelli A","Nucleic Acids Res","2023","2022/08/16","PMC9825426","","10.1093/nar/gkac657"
"35261973","G-quadruplex occurrence and conservation: more than just a question of guanine-cytosine content","Vannutelli A, Perreault JP, Ouangraoua A.","NAR Genom Bioinform. 2022 Mar 4;4(1):lqac010. doi: 10.1093/nargab/lqac010. eCollection 2022 Mar.","Vannutelli A","NAR Genom Bioinform","2022","2022/03/09","PMC8896161","","10.1093/nargab/lqac010"
"33575590","Where are G-quadruplexes located in the human transcriptome?","Vannutelli A, Belhamiti S, Garant JM, Ouangraoua A, Perreault JP.","NAR Genom Bioinform. 2020 May 25;2(2):lqaa035. doi: 10.1093/nargab/lqaa035. eCollection 2020 Jun.","Vannutelli A","NAR Genom Bioinform","2020","2021/02/12","PMC7671396","","10.1093/nargab/lqaa035"
"33051656","DoubleRecViz: a web-based tool for visualizing transcript-gene-species tree reconciliation","Kuitche E, Qi Y, Tahiri N, Parmer J, Ouangraoua A.","Bioinformatics. 2021 Jul 27;37(13):1920-1922. doi: 10.1093/bioinformatics/btaa882.","Kuitche E","Bioinformatics","2021","2020/10/14","","","10.1093/bioinformatics/btaa882"
"33822172","Ten Years of Collaborative Progress in the Quest for Orthologs","Linard B, Ebersberger I, McGlynn SE, Glover N, Mochizuki T, Patricio M, Lecompte O, Nevers Y, Thomas PD, Gabaldón T, Sonnhammer E, Dessimoz C, Uchiyama I; QFO Consortium.","Mol Biol Evol. 2021 Jul 29;38(8):3033-3045. doi: 10.1093/molbev/msab098.","Linard B","Mol Biol Evol","2021","2021/04/06","PMC8321534","","10.1093/molbev/msab098"
"21899427","Theory and practice of ultra-perfection","Ouangraoua A, Bergeron A, Swenson KM.","J Comput Biol. 2011 Sep;18(9):1219-30. doi: 10.1089/cmb.2011.0086.","Ouangraoua A","J Comput Biol","2011","2011/09/09","","","10.1089/cmb.2011.0086"
"34252921","Gene tree and species tree reconciliation with endosymbiotic gene transfer","Anselmetti Y, El-Mabrouk N, Lafond M, Ouangraoua A.","Bioinformatics. 2021 Jul 12;37(Suppl_1):i120-i132. doi: 10.1093/bioinformatics/btab328.","Anselmetti Y","Bioinformatics","2021","2021/07/12","PMC8312264","","10.1093/bioinformatics/btab328"
"33179748","OpenProt 2021: deeper functional annotation of the coding potential of eukaryotic genomes","Brunet MA, Lucier JF, Levesque M, Leblanc S, Jacques JF, Al-Saedi HRH, Guilloy N, Grenier F, Avino M, Fournier I, Salzet M, Ouangraoua A, Scott MS, Boisvert FM, Roucou X.","Nucleic Acids Res. 2021 Jan 8;49(D1):D380-D388. doi: 10.1093/nar/gkaa1036.","Brunet MA","Nucleic Acids Res","2021","2020/11/12","PMC7779043","","10.1093/nar/gkaa1036"
"28373895","Aligning coding sequences with frameshift extension penalties","Jammali S, Kuitche E, Rachati A, Bélanger F, Scott M, Ouangraoua A.","Algorithms Mol Biol. 2017 Mar 31;12:10. doi: 10.1186/s13015-017-0101-4. eCollection 2017.","Jammali S","Algorithms Mol Biol","2017","2017/04/05","PMC5374649","","10.1186/s13015-017-0101-4"
"31842741","SimSpliceEvol: alternative splicing-aware simulation of biological sequence evolution","Kuitche E, Jammali S, Ouangraoua A.","BMC Bioinformatics. 2019 Dec 17;20(Suppl 20):640. doi: 10.1186/s12859-019-3207-5.","Kuitche E","BMC Bioinformatics","2019","2019/12/18","PMC6916212","","10.1186/s12859-019-3207-5"
"28166504","The SCJ Small Parsimony Problem for Weighted Gene Adjacencies","Luhmann N, Lafond M, Thevenin A, Ouangraoua A, Wittler R, Chauve C.","IEEE/ACM Trans Comput Biol Bioinform. 2019 Jul-Aug;16(4):1364-1373. doi: 10.1109/TCBB.2017.2661761. Epub 2017 Jan 31.","Luhmann N","IEEE/ACM Trans Comput Biol Bioinform","2019","2017/02/07","","","10.1109/TCBB.2017.2661761"
"22152053","Genome dedoubling by DCJ and reversal","Thomas A, Varré JS, Ouangraoua A.","BMC Bioinformatics. 2011 Oct 5;12 Suppl 9(Suppl 9):S20. doi: 10.1186/1471-2105-12-S9-S20.","Thomas A","BMC Bioinformatics","2011","2011/12/14","PMC3283308","","10.1186/1471-2105-12-S9-S20"
"28678712","Gene Tree Construction and Correction Using SuperTree and Reconciliation","Lafond M, Chauve C, El-Mabrouk N, Ouangraoua A.","IEEE/ACM Trans Comput Biol Bioinform. 2018 Sep-Oct;15(5):1560-1570. doi: 10.1109/TCBB.2017.2720581. Epub 2017 Jun 27.","Lafond M","IEEE/ACM Trans Comput Biol Bioinform","2018","2017/07/06","","","10.1109/TCBB.2017.2720581"
