PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"19733268","Spliceosome structure: piece by piece","Ritchie DB, Schellenberg MJ, MacMillan AM.","Biochim Biophys Acta. 2009 Sep-Oct;1789(9-10):624-33. doi: 10.1016/j.bbagrm.2009.08.010. Epub 2009 Sep 3.","Ritchie DB","Biochim Biophys Acta","2009","2009/09/08","","","10.1016/j.bbagrm.2009.08.010"
"24714483","Cas9 in close-up","Garside EL, MacMillan AM.","Nat Biotechnol. 2014 Apr;32(4):338-40. doi: 10.1038/nbt.2872.","Garside EL","Nat Biotechnol","2014","2014/04/10","","","10.1038/nbt.2872"
"35967083","Letter to the Editor Regarding Castagna et al 2021","MacMillan A, Draper-Rodi J, Thomson O, Vogel S.","J Chiropr Humanit. 2022 Aug 5;29:24. doi: 10.1016/j.echu.2022.04.002. eCollection 2022 Dec.","MacMillan A","J Chiropr Humanit","2022","2022/08/15","PMC9361208","","10.1016/j.echu.2022.04.002"
"15254617","RNAi: running interference for the cell","Kent OA, MacMillan AM.","Org Biomol Chem. 2004 Jul 21;2(14):1957-61. doi: 10.1039/b404932m. Epub 2004 Jun 28.","Kent OA","Org Biomol Chem","2004","2004/07/16","","","10.1039/b404932m"
"18472266","Pre-mRNA splicing: a complex picture in higher definition","Schellenberg MJ, Ritchie DB, MacMillan AM.","Trends Biochem Sci. 2008 Jun;33(6):243-6. doi: 10.1016/j.tibs.2008.04.004. Epub 2008 May 9.","Schellenberg MJ","Trends Biochem Sci","2008","2008/05/13","","","10.1016/j.tibs.2008.04.004"
"33623534","Opposing vaccine hesitancy during the COVID-19 pandemic - A critical commentary and united statement of an international osteopathic research community","Thomson OP, MacMillan A, Draper-Rodi J, Vaucher P, Ménard M, Vaughan B, Morin C, Alvarez G, Sampath KK, Cerritelli F, Shaw R, Cymet TC, Bright P, Hohenschurz-Schmidt D, Vogel S.","Int J Osteopath Med. 2021 Mar;39:A1-A6. doi: 10.1016/j.ijosm.2021.02.002. Epub 2021 Feb 19.","Thomson OP","Int J Osteopath Med","2021","2021/02/24","PMC7893309","","10.1016/j.ijosm.2021.02.002"
"28669867","Radical probing of spliceosome assembly","Grewal CS, Kent OA, MacMillan AM.","Methods. 2017 Aug 1;125:16-24. doi: 10.1016/j.ymeth.2017.06.030. Epub 2017 Jun 29.","Grewal CS","Methods","2017","2017/07/04","","","10.1016/j.ymeth.2017.06.030"
"30418300","Multidisciplinary Approach to Improve Sepsis Outcomes","MacMillan A, Rudinsky D, Han G, Elliott JO, Jordan K.","J Healthc Qual. 2019 Jul/Aug;41(4):220-227. doi: 10.1097/JHQ.0000000000000166.","MacMillan A","J Healthc Qual","2019","2018/11/13","","","10.1097/JHQ.0000000000000166"
"36400772","Structural basis for recognition of transcriptional terminator structures by ProQ/FinO domain RNA chaperones","Kim HJ, Black M, Edwards RA, Peillard-Fiorente F, Panigrahi R, Klingler D, Eidelpes R, Zeindl R, Peng S, Su J, Omar AR, MacMillan AM, Kreutz C, Tollinger M, Charpentier X, Attaiech L, Glover JNM.","Nat Commun. 2022 Nov 18;13(1):7076. doi: 10.1038/s41467-022-34875-5.","Kim HJ","Nat Commun","2022","2022/11/18","PMC9674577","","10.1038/s41467-022-34875-5"
"25981465","Analysis of CRISPR Pre-crRNA Cleavage","Garside EL, MacMillan AM.","Methods Mol Biol. 2015;1311:35-46. doi: 10.1007/978-1-4939-2687-9_3.","Garside EL","Methods Mol Biol","2015","2015/05/19","","","10.1007/978-1-4939-2687-9_3"
"28648680","Reversibly constraining spliceosome-substrate complexes by engineering disulfide crosslinks","McCarthy P, Garside E, Meschede-Krasa Y, MacMillan A, Pomeranz Krummel D.","Methods. 2017 Aug 1;125:25-35. doi: 10.1016/j.ymeth.2017.06.022. Epub 2017 Jun 23.","McCarthy P","Methods","2017","2017/06/27","","","10.1016/j.ymeth.2017.06.022"
"24896810","It takes two to tangle: Prp24 and spliceosome assembly","Pomeranz Krummel DA, MacMillan AM.","Nat Struct Mol Biol. 2014 Jun;21(6):503-4. doi: 10.1038/nsmb.2838.","Pomeranz Krummel DA","Nat Struct Mol Biol","2014","2014/06/05","","","10.1038/nsmb.2838"
"36737103","Spliceosome assembly and regulation: insights from analysis of highly reduced spliceosomes","Black CS, Whelan TA, Garside E, MacMillan AM, Fast NM, Rader SD.","RNA. 2023 Feb 3:rna.079273.122. doi: 10.1261/rna.079273.122. Online ahead of print.","Black CS","RNA","2023","2023/02/03","","","10.1261/rna.079273.122"
"12091875","Early organization of pre-mRNA during spliceosome assembly","Kent OA, MacMillan AM.","Nat Struct Biol. 2002 Aug;9(8):576-81. doi: 10.1038/nsb822.","Kent OA","Nat Struct Biol","2002","2002/07/02","","","10.1038/nsb822"
"21572444","Recognition and maturation of effector RNAs in a CRISPR interference pathway","Gesner EM, Schellenberg MJ, Garside EL, George MM, Macmillan AM.","Nat Struct Mol Biol. 2011 Jun;18(6):688-92. doi: 10.1038/nsmb.2042. Epub 2011 May 15.","Gesner EM","Nat Struct Mol Biol","2011","2011/05/17","","","10.1038/nsmb.2042"
"27432973","Silencing of natural transformation by an RNA chaperone and a multitarget small RNA","Attaiech L, Boughammoura A, Brochier-Armanet C, Allatif O, Peillard-Fiorente F, Edwards RA, Omar AR, MacMillan AM, Glover M, Charpentier X.","Proc Natl Acad Sci U S A. 2016 Aug 2;113(31):8813-8. doi: 10.1073/pnas.1601626113. Epub 2016 Jul 18.","Attaiech L","Proc Natl Acad Sci U S A","2016","2016/07/20","PMC4978251","","10.1073/pnas.1601626113"
"18836455","Structural elucidation of a PRP8 core domain from the heart of the spliceosome","Ritchie DB, Schellenberg MJ, Gesner EM, Raithatha SA, Stuart DT, Macmillan AM.","Nat Struct Mol Biol. 2008 Nov;15(11):1199-205. doi: 10.1038/nsmb.1505. Epub 2008 Oct 2.","Ritchie DB","Nat Struct Mol Biol","2008","2008/10/07","","","10.1038/nsmb.1505"
"21955497","Role of pri-miRNA tertiary structure in miR-17~92 miRNA biogenesis","Chaulk SG, Thede GL, Kent OA, Xu Z, Gesner EM, Veldhoen RA, Khanna SK, Goping IS, MacMillan AM, Mendell JT, Young HS, Fahlman RP, Glover JN.","RNA Biol. 2011 Nov-Dec;8(6):1105-14. doi: 10.4161/rna.8.6.17410. Epub 2011 Nov 1.","Chaulk SG","RNA Biol","2011","2011/09/30","","","10.4161/rna.8.6.17410"
"23686287","A conformational switch in PRP8 mediates metal ion coordination that promotes pre-mRNA exon ligation","Schellenberg MJ, Wu T, Ritchie DB, Fica S, Staley JP, Atta KA, LaPointe P, MacMillan AM.","Nat Struct Mol Biol. 2013 Jun;20(6):728-34. doi: 10.1038/nsmb.2556. Epub 2013 May 19.","Schellenberg MJ","Nat Struct Mol Biol","2013","2013/05/21","PMC3703396","NIHMS455424","10.1038/nsmb.2556"
"18982292","Proteins specifically modified with a chemical nuclease as probes of RNA-protein interaction","Kent OA, Macmillan AM.","Methods Mol Biol. 2008;488:191-200. doi: 10.1007/978-1-60327-475-3_13.","Kent OA","Methods Mol Biol","2008","2008/11/05","","","10.1007/978-1-60327-475-3_13"
"20713060","Context-dependent remodeling of structure in two large protein fragments","Schellenberg MJ, Ritchie DB, Wu T, Markin CJ, Spyracopoulos L, MacMillan AM.","J Mol Biol. 2010 Oct 1;402(4):720-30. doi: 10.1016/j.jmb.2010.08.020. Epub 2010 Aug 14.","Schellenberg MJ","J Mol Biol","2010","2010/08/18","","","10.1016/j.jmb.2010.08.020"
"16618704","FRET analysis of in vivo dimerization by RNA-editing enzymes","Chilibeck KA, Wu T, Liang C, Schellenberg MJ, Gesner EM, Lynch JM, MacMillan AM.","J Biol Chem. 2006 Jun 16;281(24):16530-5. doi: 10.1074/jbc.M511831200. Epub 2006 Apr 17.","Chilibeck KA","J Biol Chem","2006","2006/04/19","","","10.1074/jbc.M511831200"
"21062891","Structural model of the p14/SF3b155 · branch duplex complex","Schellenberg MJ, Dul EL, MacMillan AM.","RNA. 2011 Jan;17(1):155-65. doi: 10.1261/rna.2224411. Epub 2010 Nov 9.","Schellenberg MJ","RNA","2011","2010/11/11","PMC3004057","","10.1261/rna.2224411"
"16432215","Crystal structure of a core spliceosomal protein interface","Schellenberg MJ, Edwards RA, Ritchie DB, Kent OA, Golas MM, Stark H, Lührmann R, Glover JN, MacMillan AM.","Proc Natl Acad Sci U S A. 2006 Jan 31;103(5):1266-71. doi: 10.1073/pnas.0508048103. Epub 2006 Jan 23.","Schellenberg MJ","Proc Natl Acad Sci U S A","2006","2006/01/25","PMC1360545","","10.1073/pnas.0508048103"
"14506271","Structuring of the 3' splice site by U2AF65","Kent OA, Reayi A, Foong L, Chilibeck KA, MacMillan AM.","J Biol Chem. 2003 Dec 12;278(50):50572-7. doi: 10.1074/jbc.M307976200. Epub 2003 Sep 23.","Kent OA","J Biol Chem","2003","2003/09/25","","","10.1074/jbc.M307976200"
"23006625","Cas5d processes pre-crRNA and is a member of a larger family of CRISPR RNA endonucleases","Garside EL, Schellenberg MJ, Gesner EM, Bonanno JB, Sauder JM, Burley SK, Almo SC, Mehta G, MacMillan AM.","RNA. 2012 Nov;18(11):2020-8. doi: 10.1261/rna.033100.112. Epub 2012 Sep 24.","Garside EL","RNA","2012","2012/09/26","PMC3479392","","10.1261/rna.033100.112"
"17546010","Synthesis of oligo-RNAs with photocaged adenosine 2'-hydroxyls","Chaulk SG, MacMillan AM.","Nat Protoc. 2007;2(5):1052-8. doi: 10.1038/nprot.2007.154.","Chaulk SG","Nat Protoc","2007","2007/06/05","","","10.1038/nprot.2007.154"
"36271798","Blinding and sham control methods in trials of physical, psychological, and self-management interventions for pain (article II): a meta-analysis relating methods to trial results","Hohenschurz-Schmidt D, Draper-Rodi J, Vase L, Scott W, McGregor A, Soliman N, MacMillan A, Olivier A, Cherian CA, Corcoran D, Abbey H, Freigang S, Chan J, Phalip J, Sørensen LN, Delafin M, Baptista M, Medforth NR, Ruffini N, Andresen SS, Ytier S, Ali D, Hobday H, Ngurah Agung Adhiyoga Santosa AA, Vollert J, Rice ASC.","Pain. 2023 Mar 1;164(3):509-533. doi: 10.1097/j.pain.0000000000002730. Epub 2022 Jul 11.","Hohenschurz-Schmidt D","Pain","2023","2022/10/22","","","10.1097/j.pain.0000000000002730"
"36265391","Blinding and sham control methods in trials of physical, psychological, and self-management interventions for pain (article I): a systematic review and description of methods","Hohenschurz-Schmidt D, Draper-Rodi J, Vase L, Scott W, McGregor A, Soliman N, MacMillan A, Olivier A, Cherian CA, Corcoran D, Abbey H, Freigang S, Chan J, Phalip J, Nørgaard Sørensen L, Delafin M, Baptista M, Medforth NR, Ruffini N, Skøtt Andresen S, Ytier S, Ali D, Hobday H, Santosa AANAA, Vollert J, Rice ASC.","Pain. 2023 Mar 1;164(3):469-484. doi: 10.1097/j.pain.0000000000002723. Epub 2022 Jul 11.","Hohenschurz-Schmidt D","Pain","2023","2022/10/20","","","10.1097/j.pain.0000000000002723"
"15601845","Characterization of a U2AF-independent commitment complex (E') in the mammalian spliceosome assembly pathway","Kent OA, Ritchie DB, Macmillan AM.","Mol Cell Biol. 2005 Jan;25(1):233-40. doi: 10.1128/MCB.25.1.233-240.2005.","Kent OA","Mol Cell Biol","2005","2004/12/17","PMC538778","","10.1128/MCB.25.1.233-240.2005"
"12163487","Adenosine to inosine editing by ADAR2 requires formation of a ternary complex on the GluR-B R/G site","Jaikaran DC, Collins CH, MacMillan AM.","J Biol Chem. 2002 Oct 4;277(40):37624-9. doi: 10.1074/jbc.M204126200. Epub 2002 Aug 5.","Jaikaran DC","J Biol Chem","2002","2002/08/07","","","10.1074/jbc.M204126200"
"29712195","Separation of Spliceosome Assembly from Catalysis with Caged pre-mRNA Substrates","Chaulk SG, MacMillan AM.","Angew Chem Int Ed Engl. 2001 Jun 1;40(11):2149-2152. doi: 10.1002/1521-3773(20010601)40:11<2149::AID-ANIE2149>3.0.CO;2-Z.","Chaulk SG","Angew Chem Int Ed Engl","2001","2018/05/02","","","10.1002/1521-3773(20010601)40:11<2149::AID-ANIE2149>3.0.CO;2-Z"
"11433473","Separation of Spliceosome Assembly from Catalysis with Caged pre-mRNA Substrates A.M.M. acknowledges support from the Natural Sciences and Engineering Research Council of Canada and the Alberta Heritage Foundation for Medical Research","Chaulk SG, MacMillan AM.","Angew Chem Int Ed Engl. 2001 Jun 1;40(11):2149-2152.","Chaulk SG","Angew Chem Int Ed Engl","2001","2001/07/04","","",""
