PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25440780","Retroviral nucleocapsid protein and assembly. Foreword","Berkhout B, Mouland AJ, Musier-Forsyth K.","Virus Res. 2014 Nov 26;193:1. doi: 10.1016/j.virusres.2014.10.018. Epub 2014 Nov 5.","Berkhout B","Virus Res","2014","2014/12/03","","","10.1016/j.virusres.2014.10.018"
"22705970","Viral modulation of stress granules","Valiente-Echeverría F, Melnychuk L, Mouland AJ.","Virus Res. 2012 Nov;169(2):430-7. doi: 10.1016/j.virusres.2012.06.004. Epub 2012 Jun 15.","Valiente-Echeverría F","Virus Res","2012","2012/06/19","PMC7114395","","10.1016/j.virusres.2012.06.004"
"23959328","Viral subversion of the nuclear pore complex","Le Sage V, Mouland AJ.","Viruses. 2013 Aug 16;5(8):2019-42. doi: 10.3390/v5082019.","Le Sage V","Viruses","2013","2013/08/21","PMC3761240","","10.3390/v5082019"
"28659190","Tribute to Mark Wainberg","Arts EJ, Gatignol A, Mouland AJ, Liang C, Götte M, Soudeyns H.","Retrovirology. 2017 Jun 28;14(1):38. doi: 10.1186/s12977-017-0361-6.","Arts EJ","Retrovirology","2017","2017/06/30","PMC5488361","","10.1186/s12977-017-0361-6"
"25036886","Roles of HIV-1 capsid in viral replication and immune evasion","Le Sage V, Mouland AJ, Valiente-Echeverría F.","Virus Res. 2014 Nov 26;193:116-29. doi: 10.1016/j.virusres.2014.07.010. Epub 2014 Jul 16.","Le Sage V","Virus Res","2014","2014/07/19","","","10.1016/j.virusres.2014.07.010"
"27231932","Adapting the Stress Response: Viral Subversion of the mTOR Signaling Pathway","Le Sage V, Cinti A, Amorim R, Mouland AJ.","Viruses. 2016 May 24;8(6):152. doi: 10.3390/v8060152.","Le Sage V","Viruses","2016","2016/05/28","PMC4926172","","10.3390/v8060152"
"17083721","The cell biology of HIV-1 and other retroviruses","Freed EO, Mouland AJ.","Retrovirology. 2006 Nov 3;3:77. doi: 10.1186/1742-4690-3-77.","Freed EO","Retrovirology","2006","2006/11/07","PMC1635732","","10.1186/1742-4690-3-77"
"22211663","Implications of RNA helicases in HIV-1 replication: possible roles in latency","Ajamian L, Mouland AJ.","Curr HIV Res. 2011 Dec 1;9(8):588-94. doi: 10.2174/157016211798998835.","Ajamian L","Curr HIV Res","2011","2012/01/04","","","10.2174/157016211798998835"
"30635091","T Lymphocytes as Measurable Targets of Protection and Vaccination Against Viral Disorders","Monette A, Mouland AJ.","Int Rev Cell Mol Biol. 2019;342:175-263. doi: 10.1016/bs.ircmb.2018.07.006. Epub 2018 Oct 24.","Monette A","Int Rev Cell Mol Biol","2019","2019/01/13","PMC7104940","","10.1016/bs.ircmb.2018.07.006"
"36640305","Liquid-liquid phase separation of nucleocapsid proteins during SARS-CoV-2 and HIV-1 replication","Chau BA, Chen V, Cochrane AW, Parent LJ, Mouland AJ.","Cell Rep. 2023 Jan 31;42(1):111968. doi: 10.1016/j.celrep.2022.111968. Epub 2022 Dec 26.","Chau BA","Cell Rep","2023","2023/01/14","PMC9790868","","10.1016/j.celrep.2022.111968"
"36001979","Scaffolding viral protein NC nucleates phase separation of the HIV-1 biomolecular condensate","Monette A, Niu M, Nijhoff Asser M, Gorelick RJ, Mouland AJ.","Cell Rep. 2022 Aug 23;40(8):111251. doi: 10.1016/j.celrep.2022.111251.","Monette A","Cell Rep","2022","2022/08/24","","","10.1016/j.celrep.2022.111251"
"16545126","The retrovirus RNA trafficking granule: from birth to maturity","Cochrane AW, McNally MT, Mouland AJ.","Retrovirology. 2006 Mar 17;3:18. doi: 10.1186/1742-4690-3-18.","Cochrane AW","Retrovirology","2006","2006/03/21","PMC1475878","","10.1186/1742-4690-3-18"
"34893869","The double-stranded RNA-binding protein, Staufen1, is an IRES-transacting factor regulating HIV-1 cap-independent translation initiation","Ramos H, Monette A, Niu M, Barrera A, López-Ulloa B, Fuentes Y, Guizar P, Pino K, DesGroseillers L, Mouland AJ, López-Lastra M.","Nucleic Acids Res. 2022 Jan 11;50(1):411-429. doi: 10.1093/nar/gkab1188.","Ramos H","Nucleic Acids Res","2022","2021/12/11","PMC8754648","","10.1093/nar/gkab1188"
"28013103","Ebola virus VP35 blocks stress granule assembly","Le Sage V, Cinti A, McCarthy S, Amorim R, Rao S, Daino GL, Tramontano E, Branch DR, Mouland AJ.","Virology. 2017 Feb;502:73-83. doi: 10.1016/j.virol.2016.12.012. Epub 2016 Dec 23.","Le Sage V","Virology","2017","2016/12/26","","","10.1016/j.virol.2016.12.012"
"34908137","Correction to 'The double-stranded RNA-binding protein, Staufen1, is an IRES-transacting factor regulating HIV-1 cap-independent translation initiation'","Ramos H, Monette A, Niu M, Barrera A, López-Ulloa B, Fuentes Y, Guizar P, Pino K, DesGroseillers L, Mouland AJ, López-Lastra M.","Nucleic Acids Res. 2022 Jan 11;50(1):599-600. doi: 10.1093/nar/gkab1266.","Ramos H","Nucleic Acids Res","2022","2021/12/15","PMC8754634","","10.1093/nar/gkab1266"
"28715409","Zika virus inhibits eIF2α-dependent stress granule assembly","Amorim R, Temzi A, Griffin BD, Mouland AJ.","PLoS Negl Trop Dis. 2017 Jul 17;11(7):e0005775. doi: 10.1371/journal.pntd.0005775. eCollection 2017 Jul.","Amorim R","PLoS Negl Trop Dis","2017","2017/07/18","PMC5531678","","10.1371/journal.pntd.0005775"
"32320662","Pan-retroviral Nucleocapsid-Mediated Phase Separation Regulates Genomic RNA Positioning and Trafficking","Monette A, Niu M, Chen L, Rao S, Gorelick RJ, Mouland AJ.","Cell Rep. 2020 Apr 21;31(3):107520. doi: 10.1016/j.celrep.2020.03.084.","Monette A","Cell Rep","2020","2020/04/23","PMC8965748","NIHMS1783424","10.1016/j.celrep.2020.03.084"
"27906451","Proximity-Dependent Biotinylation for Identification of Interacting Proteins","Le Sage V, Cinti A, Mouland AJ.","Curr Protoc Cell Biol. 2016 Dec 1;73:17.19.1-17.19.12. doi: 10.1002/cpcb.11.","Le Sage V","Curr Protoc Cell Biol","2016","2016/12/02","","","10.1002/cpcb.11"
"21576391","HIV-1 remodels the nuclear pore complex","Monette A, Panté N, Mouland AJ.","J Cell Biol. 2011 May 16;193(4):619-31. doi: 10.1083/jcb.201008064.","Monette A","J Cell Biol","2011","2011/05/18","PMC3166874","","10.1083/jcb.201008064"
"25256393","1st International Symposium on Stress-associated RNA Granules in Human Disease and Viral Infection","Banfield BW, Mouland AJ, McCormick C.","Viruses. 2014 Sep 23;6(9):3500-13. doi: 10.3390/v6093500.","Banfield BW","Viruses","2014","2014/09/27","PMC4189036","","10.3390/v6093500"
"22082286","Examining the requirements for nucleoporins by HIV-1","Monette A, Panté N, Mouland AJ.","Future Microbiol. 2011 Nov;6(11):1247-50. doi: 10.2217/fmb.11.111.","Monette A","Future Microbiol","2011","2011/11/16","","","10.2217/fmb.11.111"
"32960212","Post-translational modifications of hnRNP A1 differentially modulate retroviral IRES-mediated translation initiation","Barrera A, Ramos H, Vera-Otarola J, Fernández-García L, Angulo J, Olguín V, Pino K, Mouland AJ, López-Lastra M.","Nucleic Acids Res. 2020 Oct 9;48(18):10479-10499. doi: 10.1093/nar/gkaa765.","Barrera A","Nucleic Acids Res","2020","2020/09/22","PMC7544202","","10.1093/nar/gkaa765"
"26362536","Proteomic analysis of HIV-1 Gag interacting partners using proximity-dependent biotinylation","Le Sage V, Cinti A, Valiente-Echeverría F, Mouland AJ.","Virol J. 2015 Sep 11;12:138. doi: 10.1186/s12985-015-0365-6.","Le Sage V","Virol J","2015","2015/09/13","PMC4566291","","10.1186/s12985-015-0365-6"
"34048439","Profound downregulation of neural transcription factor Npas4 and Nr4a family in fetal mice neurons infected with Zika virus","Alpuche-Lazcano SP, Saliba J, Costa VV, Campolina-Silva GH, Marim FM, Ribeiro LS, Blank V, Mouland AJ, Teixeira MM, Gatignol A.","PLoS Negl Trop Dis. 2021 May 28;15(5):e0009425. doi: 10.1371/journal.pntd.0009425. eCollection 2021 May.","Alpuche-Lazcano SP","PLoS Negl Trop Dis","2021","2021/05/28","PMC8191876","","10.1371/journal.pntd.0009425"
"30902835","HIV-1 requires Staufen1 to dissociate stress granules and to produce infectious viral particles","Rao S, Hassine S, Monette A, Amorim R, DesGroseillers L, Mouland AJ.","RNA. 2019 Jun;25(6):727-736. doi: 10.1261/rna.069351.118. Epub 2019 Mar 22.","Rao S","RNA","2019","2019/03/24","PMC6521601","","10.1261/rna.069351.118"
"26342234","No-Go'ing Back: Co-opting RVB-2 to Control HIV-1 Gene Expression and Immune Response","Le Sage V, Cinti A, Mouland AJ.","Trends Microbiol. 2015 Oct;23(10):593-595. doi: 10.1016/j.tim.2015.08.006. Epub 2015 Sep 2.","Le Sage V","Trends Microbiol","2015","2015/09/07","","","10.1016/j.tim.2015.08.006"
