PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33525396","An Update on Self-Amplifying mRNA Vaccine Development","Blakney AK, Ip S, Geall AJ.","Vaccines (Basel). 2021 Jan 28;9(2):97. doi: 10.3390/vaccines9020097.","Blakney AK","Vaccines (Basel)","2021","2021/02/02","PMC7911542","","10.3390/vaccines9020097"
"35491667","Voices in Molecular Pharmaceutics: Meet Dr. Anna Blakney, an Engineer Who Seeks To Develop the Next Generation of Gene Therapies","Blakney AK.","Mol Pharm. 2022 May 2;19(5):1231-1232. doi: 10.1021/acs.molpharmaceut.2c00257.","Blakney AK","Mol Pharm","2022","2022/05/02","","","10.1021/acs.molpharmaceut.2c00257"
"35238565","Current Status and Future Perspectives on MRNA Drug Manufacturing","Webb C, Ip S, Bathula NV, Popova P, Soriano SKV, Ly HH, Eryilmaz B, Nguyen Huu VA, Broadhead R, Rabel M, Villamagna I, Abraham S, Raeesi V, Thomas A, Clarke S, Ramsay EC, Perrie Y, Blakney AK.","Mol Pharm. 2022 Apr 4;19(4):1047-1058. doi: 10.1021/acs.molpharmaceut.2c00010. Epub 2022 Mar 3.","Webb C","Mol Pharm","2022","2022/03/03","PMC8905930","","10.1021/acs.molpharmaceut.2c00010"
"32647131","Self-amplifying RNA SARS-CoV-2 lipid nanoparticle vaccine candidate induces high neutralizing antibody titers in mice","McKay PF, Hu K, Blakney AK, Samnuan K, Brown JC, Penn R, Zhou J, Bouton CR, Rogers P, Polra K, Lin PJC, Barbosa C, Tam YK, Barclay WS, Shattock RJ.","Nat Commun. 2020 Jul 9;11(1):3523. doi: 10.1038/s41467-020-17409-9.","McKay PF","Nat Commun","2020","2020/07/11","PMC7347890","","10.1038/s41467-020-17409-9"
"34418521","Polymeric and lipid nanoparticles for delivery of self-amplifying RNA vaccines","Blakney AK, McKay PF, Hu K, Samnuan K, Jain N, Brown A, Thomas A, Rogers P, Polra K, Sallah H, Yeow J, Zhu Y, Stevens MM, Geall A, Shattock RJ.","J Control Release. 2021 Oct 10;338:201-210. doi: 10.1016/j.jconrel.2021.08.029. Epub 2021 Aug 18.","Blakney AK","J Control Release","2021","2021/08/21","PMC8412240","","10.1016/j.jconrel.2021.08.029"
"35604765","Optimization of Lipid Nanoparticles for saRNA Expression and Cellular Activation Using a Design-of-Experiment Approach","Ly HH, Daniel S, Soriano SKV, Kis Z, Blakney AK.","Mol Pharm. 2022 Jun 6;19(6):1892-1905. doi: 10.1021/acs.molpharmaceut.2c00032. Epub 2022 May 23.","Ly HH","Mol Pharm","2022","2022/05/23","PMC9176215","","10.1021/acs.molpharmaceut.2c00032"
"33352107","Innate Inhibiting Proteins Enhance Expression and Immunogenicity of Self-Amplifying RNA","Blakney AK, McKay PF, Bouton CR, Hu K, Samnuan K, Shattock RJ.","Mol Ther. 2021 Mar 3;29(3):1174-1185. doi: 10.1016/j.ymthe.2020.11.011. Epub 2020 Dec 21.","Blakney AK","Mol Ther","2021","2020/12/22","PMC7935664","","10.1016/j.ymthe.2020.11.011"
"35366995","DNA vaccines join the fight against COVID-19","Blakney AK, Bekker LG.","Lancet. 2022 Apr 2;399(10332):1281-1282. doi: 10.1016/S0140-6736(22)00524-4.","Blakney AK","Lancet","2022","2022/04/03","PMC8970583","","10.1016/S0140-6736(22)00524-4"
"33524312","Next-generation COVID-19 vaccines: here come the proteins","Blakney AK, McKay PF.","Lancet. 2021 Feb 20;397(10275):643-645. doi: 10.1016/S0140-6736(21)00258-0. Epub 2021 Jan 29.","Blakney AK","Lancet","2021","2021/02/01","PMC7906748","","10.1016/S0140-6736(21)00258-0"
"28497376","Application of electrospun fibers for female reproductive health","Blakney AK, Jiang Y, Woodrow KA.","Drug Deliv Transl Res. 2017 Dec;7(6):796-804. doi: 10.1007/s13346-017-0386-3.","Blakney AK","Drug Deliv Transl Res","2017","2017/05/13","PMC5658258","NIHMS876074","10.1007/s13346-017-0386-3"
"27250537","In pursuit of functional electrospun materials for clinical applications in humans","Stoddard RJ, Steger AL, Blakney AK, Woodrow KA.","Ther Deliv. 2016 Jun;7(6):387-409. doi: 10.4155/tde-2016-0017. Epub 2016 Jun 2.","Stoddard RJ","Ther Deliv","2016","2016/06/03","PMC6077760","","10.4155/tde-2016-0017"
"24188701","Electrospun fibers for vaginal anti-HIV drug delivery","Blakney AK, Ball C, Krogstad EA, Woodrow KA.","Antiviral Res. 2013 Dec;100 Suppl:S9-16. doi: 10.1016/j.antiviral.2013.09.022. Epub 2013 Nov 1.","Blakney AK","Antiviral Res","2013","2013/11/06","","","10.1016/j.antiviral.2013.09.022"
