PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25757617","HIV and Ribozymes","Scarborough RJ, Gatignol A.","Adv Exp Med Biol. 2015;848:97-116. doi: 10.1007/978-1-4939-2432-5_5.","Scarborough RJ","Adv Exp Med Biol","2015","2015/03/12","","","10.1007/978-1-4939-2432-5_5"
"36565257","[A year in Virologie: some viruses persist, others emerge]","Vitour D, Nisole S, Lévêque N, Saulnier A, Tordo N, Gatignol A, Gilmer D.","Virologie (Montrouge). 2022 DéCembre 01;26(6):405-408. doi: 10.1684/vir.2022.0980.","Vitour D","Virologie (Montrouge)","2022","2022/12/24","","","10.1684/vir.2022.0980"
"32712924","Cloning and Detection of Aptamer-Ribozyme Conjugations","Goguen RP, Gatignol A, Scarborough RJ.","Methods Mol Biol. 2021;2167:253-267. doi: 10.1007/978-1-0716-0716-9_14.","Goguen RP","Methods Mol Biol","2021","2020/07/27","","","10.1007/978-1-0716-0716-9_14"
"31210132","A second patient cured of HIV infection: hopes and limitations","Scarborough RJ, Goguen RP, Gatignol A.","Virologie (Montrouge). 2019 Jun 1;23(3):1-4. doi: 10.1684/vir.2019.0778.","Scarborough RJ","Virologie (Montrouge)","2019","2019/06/19","","","10.1684/vir.2019.0778"
"29280961","RNA Interference Therapies for an HIV-1 Functional Cure","Scarborough RJ, Gatignol A.","Viruses. 2017 Dec 27;10(1):8. doi: 10.3390/v10010008.","Scarborough RJ","Viruses","2017","2017/12/28","PMC5795421","","10.3390/v10010008"
"28659190","Tribute to Mark Wainberg","Arts EJ, Gatignol A, Mouland AJ, Liang C, Götte M, Soudeyns H.","Retrovirology. 2017 Jun 28;14(1):38. doi: 10.1186/s12977-017-0361-6.","Arts EJ","Retrovirology","2017","2017/06/30","PMC5488361","","10.1186/s12977-017-0361-6"
"17586314","Transcription of HIV: Tat and cellular chromatin","Gatignol A.","Adv Pharmacol. 2007;55:137-59. doi: 10.1016/S1054-3589(07)55004-0.","Gatignol A","Adv Pharmacol","2007","2007/06/26","","","10.1016/S1054-3589(07)55004-0"
"29625900","ADAR1 and PKR, interferon stimulated genes with clashing effects on HIV-1 replication","Radetskyy R, Daher A, Gatignol A.","Cytokine Growth Factor Rev. 2018 Apr;40:48-58. doi: 10.1016/j.cytogfr.2018.03.007. Epub 2018 Mar 26.","Radetskyy R","Cytokine Growth Factor Rev","2018","2018/04/08","","","10.1016/j.cytogfr.2018.03.007"
"32648548","[Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2): Should we target the virus, the cell or the disease?]","Nisole S, Saulnier A, Gatignol A.","Virologie (Montrouge). 2020 Jun 1;24(3):135-141. doi: 10.1684/vir.2020.0843.","Nisole S","Virologie (Montrouge)","2020","2020/07/11","","","10.1684/vir.2020.0843"
"31112858","Small RNAs to treat human immunodeficiency virus type 1 infection by gene therapy","Goguen RP, Malard CM, Scarborough RJ, Gatignol A.","Curr Opin Virol. 2019 Oct;38:10-20. doi: 10.1016/j.coviro.2019.04.003. Epub 2019 May 18.","Goguen RP","Curr Opin Virol","2019","2019/05/22","","","10.1016/j.coviro.2019.04.003"
"35766093","40th year anniversary of HIV discovery: Evolving paradigms for cure strategies","Dunkley ORS, Scarborough RJ, Gatignol A.","Virologie (Montrouge). 2022 Jan 1;26(1):1-3. doi: 10.1684/vir.2022.0938.","Dunkley ORS","Virologie (Montrouge)","2022","2022/06/29","","","10.1684/vir.2022.0938"
"25064266","HIV-1 translation and its regulation by cellular factors PKR and PACT","Burugu S, Daher A, Meurs EF, Gatignol A.","Virus Res. 2014 Nov 26;193:65-77. doi: 10.1016/j.virusres.2014.07.014. Epub 2014 Jul 23.","Burugu S","Virus Res","2014","2014/07/28","","","10.1016/j.virusres.2014.07.014"
