PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29865927","Non-coding RNAs in virology: an RNA genomics approach","Isaac C, Patel TR, Zovoilis A.","Biotechnol Genet Eng Rev. 2018 Apr;34(1):90-106. doi: 10.1080/02648725.2018.1471642. Epub 2018 Jun 4.","Isaac C","Biotechnol Genet Eng Rev","2018","2018/06/06","","","10.1080/02648725.2018.1471642"
"35832805","Genomic Characterization of Enterococcus hirae From Beef Cattle Feedlots and Associated Environmental Continuum","Zaidi SE, Zaheer R, Barbieri R, Cook SR, Hannon SJ, Booker CW, Church D, Van Domselaar G, Zovoilis A, McAllister TA.","Front Microbiol. 2022 Jun 27;13:859990. doi: 10.3389/fmicb.2022.859990. eCollection 2022.","Zaidi SE","Front Microbiol","2022","2022/07/14","PMC9271880","","10.3389/fmicb.2022.859990"
"33901984","Mechanism of copper nanoparticle toxicity in rainbow trout olfactory mucosa","Razmara P, Imbery JJ, Koide E, Helbing CC, Wiseman SB, Gauthier PT, Bray DF, Needham M, Haight T, Zovoilis A, Pyle GG.","Environ Pollut. 2021 Sep 1;284:117141. doi: 10.1016/j.envpol.2021.117141. Epub 2021 Apr 16.","Razmara P","Environ Pollut","2021","2021/04/26","","","10.1016/j.envpol.2021.117141"
"33645898","Increased Alu RNA processing in Alzheimer brains is linked to gene expression changes","Cheng Y, Saville L, Gollen B, Veronesi AA, Mohajerani M, Joseph JT, Zovoilis A.","EMBO Rep. 2021 May 5;22(5):e52255. doi: 10.15252/embr.202052255. Epub 2021 Mar 1.","Cheng Y","EMBO Rep","2021","2021/03/01","PMC8097388","","10.15252/embr.202052255"
"21946562","microRNA-34c is a novel target to treat dementias","Zovoilis A, Agbemenyah HY, Agis-Balboa RC, Stilling RM, Edbauer D, Rao P, Farinelli L, Delalle I, Schmitt A, Falkai P, Bahari-Javan S, Burkhardt S, Sananbenesi F, Fischer A.","EMBO J. 2011 Sep 23;30(20):4299-308. doi: 10.1038/emboj.2011.327.","Zovoilis A","EMBO J","2011","2011/09/28","PMC3199394","","10.1038/emboj.2011.327"
"31871160","B2 and ALU retrotransposons are self-cleaving ribozymes whose activity is enhanced by EZH2","Hernandez AJ, Zovoilis A, Cifuentes-Rojas C, Han L, Bujisic B, Lee JT.","Proc Natl Acad Sci U S A. 2020 Jan 7;117(1):415-425. doi: 10.1073/pnas.1917190117. Epub 2019 Dec 23.","Hernandez AJ","Proc Natl Acad Sci U S A","2020","2019/12/25","PMC6955291","","10.1073/pnas.1917190117"
"27984727","Destabilization of B2 RNA by EZH2 Activates the Stress Response","Zovoilis A, Cifuentes-Rojas C, Chu HP, Hernandez AJ, Lee JT.","Cell. 2016 Dec 15;167(7):1788-1802.e13. doi: 10.1016/j.cell.2016.11.041.","Zovoilis A","Cell","2016","2016/12/17","PMC5552366","NIHMS884254","10.1016/j.cell.2016.11.041"
"23007512","Vector-free methods for manipulating miRNA activity in vitro and in vivo","Pantazi A, Zovoilis A.","Methods Mol Biol. 2013;936:231-45. doi: 10.1007/978-1-62703-083-0_18.","Pantazi A","Methods Mol Biol","2013","2012/09/26","","","10.1007/978-1-62703-083-0_18"
"33123915","Depletion of eukaryotic initiation factor 5B (eIF5B) reprograms the cellular transcriptome and leads to activation of endoplasmic reticulum (ER) stress and c-Jun N-terminal kinase (JNK)","Bressler KR, Ross JA, Ilnytskyy S, Vanden Dungen K, Taylor K, Patel K, Zovoilis A, Kovalchuk I, Thakor N.","Cell Stress Chaperones. 2021 Jan;26(1):253-264. doi: 10.1007/s12192-020-01174-1. Epub 2020 Oct 29.","Bressler KR","Cell Stress Chaperones","2021","2020/10/30","PMC7736443","","10.1007/s12192-020-01174-1"
"33191914","Increased processing of SINE B2 ncRNAs unveils a novel type of transcriptome deregulation in amyloid beta neuropathology","Cheng Y, Saville L, Gollen B, Isaac C, Belay A, Mehla J, Patel K, Thakor N, Mohajerani MH, Zovoilis A.","Elife. 2020 Nov 16;9:e61265. doi: 10.7554/eLife.61265.","Cheng Y","Elife","2020","2020/11/16","PMC7717908","","10.7554/eLife.61265"
"20448184","Altered histone acetylation is associated with age-dependent memory impairment in mice","Peleg S, Sananbenesi F, Zovoilis A, Burkhardt S, Bahari-Javan S, Agis-Balboa RC, Cota P, Wittnam JL, Gogol-Doering A, Opitz L, Salinas-Riester G, Dettenhofer M, Kang H, Farinelli L, Chen W, Fischer A.","Science. 2010 May 7;328(5979):753-6. doi: 10.1126/science.1186088.","Peleg S","Science","2010","2010/05/08","","","10.1126/science.1186088"
"21873981","A hippocampal insulin-growth factor 2 pathway regulates the extinction of fear memories","Agis-Balboa RC, Arcos-Diaz D, Wittnam J, Govindarajan N, Blom K, Burkhardt S, Haladyniak U, Agbemenyah HY, Zovoilis A, Salinas-Riester G, Opitz L, Sananbenesi F, Fischer A.","EMBO J. 2011 Aug 26;30(19):4071-83. doi: 10.1038/emboj.2011.293.","Agis-Balboa RC","EMBO J","2011","2011/08/30","PMC3209781","","10.1038/emboj.2011.293"
