PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34926588","Editorial: The Lesser Known World of RNA Polymerases","Calvo O, Ansari A, Navarro F.","Front Mol Biosci. 2021 Dec 2;8:811413. doi: 10.3389/fmolb.2021.811413. eCollection 2021.","Calvo O","Front Mol Biosci","2021","2021/12/20","PMC8678064","","10.3389/fmolb.2021.811413"
"34797379","Beyond the canonical role of TFIIB in eukaryotic transcription","O'Brien MJ, Ansari A.","Curr Genet. 2022 Feb;68(1):61-67. doi: 10.1007/s00294-021-01223-x. Epub 2021 Nov 19.","O'Brien MJ","Curr Genet","2022","2021/11/19","PMC8602988","","10.1007/s00294-021-01223-x"
"33968994","Gene Architecture Facilitates Intron-Mediated Enhancement of Transcription","Dwyer K, Agarwal N, Pile L, Ansari A.","Front Mol Biosci. 2021 Apr 21;8:669004. doi: 10.3389/fmolb.2021.669004. eCollection 2021.","Dwyer K","Front Mol Biosci","2021","2021/05/10","PMC8097089","","10.3389/fmolb.2021.669004"
"33996913","Critical Involvement of TFIIB in Viral Pathogenesis","O'Brien MJ, Ansari A.","Front Mol Biosci. 2021 Apr 30;8:669044. doi: 10.3389/fmolb.2021.669044. eCollection 2021.","O'Brien MJ","Front Mol Biosci","2021","2021/05/17","PMC8119876","","10.3389/fmolb.2021.669044"
"32853166","'Ilāj bi'l-Tadbīr (regimenal therapy): a core mode of Unani treatment","Ansari AP.","J Complement Integr Med. 2020 Aug 27;18(3):449-458. doi: 10.1515/jcim-2020-0048.","Ansari AP","J Complement Integr Med","2020","2020/08/28","","","10.1515/jcim-2020-0048"
"33246184","Crosstalk of promoter and terminator during RNA polymerase II transcription cycle","Al-Husini N, Medler S, Ansari A.","Biochim Biophys Acta Gene Regul Mech. 2020 Dec;1863(12):194657. doi: 10.1016/j.bbagrm.2020.194657. Epub 2020 Nov 24.","Al-Husini N","Biochim Biophys Acta Gene Regul Mech","2020","2020/11/27","","","10.1016/j.bbagrm.2020.194657"
"33978753","A termination-independent role of Rat1 in cotranscriptional splicing","Dhoondia Z, Elewa H, Malik M, Arif Z, Pique-Regi R, Ansari A.","Nucleic Acids Res. 2021 Jun 4;49(10):5520-5536. doi: 10.1093/nar/gkab339.","Dhoondia Z","Nucleic Acids Res","2021","2021/05/12","PMC8191773","","10.1093/nar/gkab339"
"21036187","Control of eukaryotic gene expression: gene loops and transcriptional memory","Hampsey M, Singh BN, Ansari A, Lainé JP, Krishnamurthy S.","Adv Enzyme Regul. 2011;51(1):118-25. doi: 10.1016/j.advenzreg.2010.10.001. Epub 2010 Oct 29.","Hampsey M","Adv Enzyme Regul","2011","2010/11/02","PMC3305805","NIHMS249333","10.1016/j.advenzreg.2010.10.001"
"34842758","Mortality and Clinical Outcomes among Patients with COVID-19 and Diabetes","Kantroo V, Kanwar MS, Goyal P, Rosha D, Modi N, Bansal A, Ansari AP, Wangnoo SK, Sobti S, Kansal S, Chawla R, Jasuja S, Gupta I.","Med Sci (Basel). 2021 Oct 26;9(4):65. doi: 10.3390/medsci9040065.","Kantroo V","Med Sci (Basel)","2021","2021/11/29","PMC8628982","","10.3390/medsci9040065"
"34291091","Proximity to the Promoter and Terminator Regions Regulates the Transcription Enhancement Potential of an Intron","Dwyer K, Agarwal N, Gega A, Ansari A.","Front Mol Biosci. 2021 Jul 5;8:712639. doi: 10.3389/fmolb.2021.712639. eCollection 2021.","Dwyer K","Front Mol Biosci","2021","2021/07/22","PMC8287100","","10.3389/fmolb.2021.712639"
"35669496","A Comprehensive Comparison of Clinical Presentation and Outcomes of Kidney Transplant Recipients with COVID-19 during Wave 1 versus Wave 2 at a Tertiary Care Center, India","Jasuja S, Sagar G, Bahl A, Jasuja N, Chawla R, Bansal A, Kanwar MS, Kansal S, Modi N, Ansari AP, Kantroo V, Dhar P, Chatterjee C, Ghonge N, Tawakley S, Verma S.","Int J Nephrol. 2022 Jun 2;2022:9088393. doi: 10.1155/2022/9088393. eCollection 2022.","Jasuja S","Int J Nephrol","2022","2022/06/07","PMC9165617","","10.1155/2022/9088393"
