PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31626751","Alternative Splicing Regulatory Networks: Functions, Mechanisms, and Evolution","Ule J, Blencowe BJ.","Mol Cell. 2019 Oct 17;76(2):329-345. doi: 10.1016/j.molcel.2019.09.017.","Ule J","Mol Cell","2019","2019/10/19","","","10.1016/j.molcel.2019.09.017"
"25525159","RNA splicing. The human splicing code reveals new insights into the genetic determinants of disease","Xiong HY, Alipanahi B, Lee LJ, Bretschneider H, Merico D, Yuen RK, Hua Y, Gueroussov S, Najafabadi HS, Hughes TR, Morris Q, Barash Y, Krainer AR, Jojic N, Scherer SW, Blencowe BJ, Frey BJ.","Science. 2015 Jan 9;347(6218):1254806. doi: 10.1126/science.1254806. Epub 2014 Dec 18.","Xiong HY","Science","2015","2014/12/20","PMC4362528","NIHMS663951","10.1126/science.1254806"
"35182477","Systematic mapping of nuclear domain-associated transcripts reveals speckles and lamina as hubs of functionally distinct retained introns","Barutcu AR, Wu M, Braunschweig U, Dyakov BJA, Luo Z, Turner KM, Durbic T, Lin ZY, Weatheritt RJ, Maass PG, Gingras AC, Blencowe BJ.","Mol Cell. 2022 Mar 3;82(5):1035-1052.e9. doi: 10.1016/j.molcel.2021.12.010. Epub 2022 Feb 18.","Barutcu AR","Mol Cell","2022","2022/02/19","","","10.1016/j.molcel.2021.12.010"
"33259812","Actionable Cytopathogenic Host Responses of Human Alveolar Type 2 Cells to SARS-CoV-2","Hekman RM, Hume AJ, Goel RK, Abo KM, Huang J, Blum BC, Werder RB, Suder EL, Paul I, Phanse S, Youssef A, Alysandratos KD, Padhorny D, Ojha S, Mora-Martin A, Kretov D, Ash PEA, Verma M, Zhao J, Patten JJ, Villacorta-Martin C, Bolzan D, Perea-Resa C, Bullitt E, Hinds A, Tilston-Lunel A, Varelas X, Farhangmehr S, Braunschweig U, Kwan JH, McComb M, Basu A, Saeed M, Perissi V, Burks EJ, Layne MD, Connor JH, Davey R, Cheng JX, Wolozin BL, Blencowe BJ, Wuchty S, Lyons SM, Kozakov D, Cifuentes D, Blower M, Kotton DN, Wilson AA, Mühlberger E, Emili A.","Mol Cell. 2020 Dec 17;80(6):1104-1122.e9. doi: 10.1016/j.molcel.2020.11.028. Epub 2020 Nov 19.","Hekman RM","Mol Cell","2020","2020/12/01","PMC7674017","","10.1016/j.molcel.2020.11.028"
"21614001","Transcriptomic analysis of autistic brain reveals convergent molecular pathology","Voineagu I, Wang X, Johnston P, Lowe JK, Tian Y, Horvath S, Mill J, Cantor RM, Blencowe BJ, Geschwind DH.","Nature. 2011 May 25;474(7351):380-4. doi: 10.1038/nature10110.","Voineagu I","Nature","2011","2011/05/27","PMC3607626","NIHMS313080","10.1038/nature10110"
"20797886","The nuclear-retained noncoding RNA MALAT1 regulates alternative splicing by modulating SR splicing factor phosphorylation","Tripathi V, Ellis JD, Shen Z, Song DY, Pan Q, Watt AT, Freier SM, Bennett CF, Sharma A, Bubulya PA, Blencowe BJ, Prasanth SG, Prasanth KV.","Mol Cell. 2010 Sep 24;39(6):925-38. doi: 10.1016/j.molcel.2010.08.011.","Tripathi V","Mol Cell","2010","2010/08/28","PMC4158944","NIHMS612099","10.1016/j.molcel.2010.08.011"
"31999954","Autism-Misregulated eIF4G Microexons Control Synaptic Translation and Higher Order Cognitive Functions","Gonatopoulos-Pournatzis T, Niibori R, Salter EW, Weatheritt RJ, Tsang B, Farhangmehr S, Liang X, Braunschweig U, Roth J, Zhang S, Henderson T, Sharma E, Quesnel-Vallières M, Permanyer J, Maier S, Georgiou J, Irimia M, Sonenberg N, Forman-Kay JD, Gingras AC, Collingridge GL, Woodin MA, Cordes SP, Blencowe BJ.","Mol Cell. 2020 Mar 19;77(6):1176-1192.e16. doi: 10.1016/j.molcel.2020.01.006. Epub 2020 Jan 29.","Gonatopoulos-Pournatzis T","Mol Cell","2020","2020/01/31","","","10.1016/j.molcel.2020.01.006"
"25525873","A highly conserved program of neuronal microexons is misregulated in autistic brains","Irimia M, Weatheritt RJ, Ellis JD, Parikshak NN, Gonatopoulos-Pournatzis T, Babor M, Quesnel-Vallières M, Tapial J, Raj B, O'Hanlon D, Barrios-Rodiles M, Sternberg MJ, Cordes SP, Roth FP, Wrana JL, Geschwind DH, Blencowe BJ.","Cell. 2014 Dec 18;159(7):1511-23. doi: 10.1016/j.cell.2014.11.035.","Irimia M","Cell","2014","2014/12/20","PMC4390143","NIHMS654938","10.1016/j.cell.2014.11.035"
"18978789","Deep surveying of alternative splicing complexity in the human transcriptome by high-throughput sequencing","Pan Q, Shai O, Lee LJ, Frey BJ, Blencowe BJ.","Nat Genet. 2008 Dec;40(12):1413-5. doi: 10.1038/ng.259. Epub 2008 Nov 2.","Pan Q","Nat Genet","2008","2008/11/04","","","10.1038/ng.259"
"27919067","Genome-wide changes in lncRNA, splicing, and regional gene expression patterns in autism","Parikshak NN, Swarup V, Belgard TG, Irimia M, Ramaswami G, Gandal MJ, Hartl C, Leppa V, Ubieta LT, Huang J, Lowe JK, Blencowe BJ, Horvath S, Geschwind DH.","Nature. 2016 Dec 15;540(7633):423-427. doi: 10.1038/nature20612. Epub 2016 Dec 5.","Parikshak NN","Nature","2016","2016/12/06","PMC7102905","NIHMS1050915","10.1038/nature20612"
