PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"18380344","hnRNP proteins and splicing control","Martinez-Contreras R, Cloutier P, Shkreta L, Fisette JF, Revil T, Chabot B.","Adv Exp Med Biol. 2007;623:123-47. doi: 10.1007/978-0-387-77374-2_8.","Martinez-Contreras R","Adv Exp Med Biol","2007","2008/04/03","","","10.1007/978-0-387-77374-2_8"
"35296659","The aberrant upregulation of exon 10-inclusive SREK1 through SRSF10 acts as an oncogenic driver in human hepatocellular carcinoma","Chang C, Rajasekaran M, Qiao Y, Dong H, Wang Y, Xia H, Deivasigamani A, Wu M, Sekar K, Gao H, Sun M, Niu Y, Li Q, Tao L, Yan Z, Wang M, Chen S, Zhao S, Chen D, Li L, Yang F, Gao H, Chen B, Su L, Xu L, Chen Y, Seshachalam VP, Chen G, Gunaratne J, Hong W, Shi J, Chen G, Grierson DS, Chabot B, Xie T, Hui KM, Chen J.","Nat Commun. 2022 Mar 16;13(1):1363. doi: 10.1038/s41467-022-29016-x.","Chang C","Nat Commun","2022","2022/03/17","PMC8927159","","10.1038/s41467-022-29016-x"
"31175995","Editorial - splicing and alternative splicing","Capelo-Martinez JL, Chabot B, Espiño CL, Dos Santos HMBC.","Int J Biochem Cell Biol. 2019 Aug;113:103. doi: 10.1016/j.biocel.2019.06.001. Epub 2019 Jun 5.","Capelo-Martinez JL","Int J Biochem Cell Biol","2019","2019/06/09","","","10.1016/j.biocel.2019.06.001"
"26529031","The RNA Splicing Response to DNA Damage","Shkreta L, Chabot B.","Biomolecules. 2015 Oct 29;5(4):2935-77. doi: 10.3390/biom5042935.","Shkreta L","Biomolecules","2015","2015/11/04","PMC4693264","","10.3390/biom5042935"
"28703423","The emerging role of alternative splicing in senescence and aging","Deschênes M, Chabot B.","Aging Cell. 2017 Oct;16(5):918-933. doi: 10.1111/acel.12646. Epub 2017 Jul 13.","Deschênes M","Aging Cell","2017","2017/07/14","PMC5595669","","10.1111/acel.12646"
"26728853","Defective control of pre-messenger RNA splicing in human disease","Chabot B, Shkreta L.","J Cell Biol. 2016 Jan 4;212(1):13-27. doi: 10.1083/jcb.201510032.","Chabot B","J Cell Biol","2016","2016/01/06","PMC4700483","","10.1083/jcb.201510032"
"33854493","Interplay Between CMGC Kinases Targeting SR Proteins and Viral Replication: Splicing and Beyond","Pastor F, Shkreta L, Chabot B, Durantel D, Salvetti A.","Front Microbiol. 2021 Mar 29;12:658721. doi: 10.3389/fmicb.2021.658721. eCollection 2021.","Pastor F","Front Microbiol","2021","2021/04/15","PMC8040976","","10.3389/fmicb.2021.658721"
"25759250","My road to alternative splicing control: from simple paths to loops and interconnections","Chabot B.","Biochem Cell Biol. 2015 Jun;93(3):171-9. doi: 10.1139/bcb-2014-0161. Epub 2015 Feb 12.","Chabot B","Biochem Cell Biol","2015","2015/03/12","","","10.1139/bcb-2014-0161"
"34315816","SRSF10: an atypical splicing regulator with critical roles in stress response, organ development, and viral replication","Shkreta L, Delannoy A, Salvetti A, Chabot B.","RNA. 2021 Nov;27(11):1302-1317. doi: 10.1261/rna.078879.121. Epub 2021 Jul 27.","Shkreta L","RNA","2021","2021/07/28","PMC8522700","","10.1261/rna.078879.121"
"19239850","[Guiding and integrating to control and diversify splicing]","Fisette JF, Michelle L, Revil T, Chabot B.","Med Sci (Paris). 2009 Feb;25(2):175-80. doi: 10.1051/medsci/2009252175.","Fisette JF","Med Sci (Paris)","2009","2009/02/26","","","10.1051/medsci/2009252175"
