PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36106021","Editorial: Genetically mobile elements repurposed by nature and biotechnologists","Lennon CW, Callahan BP, Cousineau B, Edgell DR, Belfort M.","Front Mol Biosci. 2022 Aug 29;9:992664. doi: 10.3389/fmolb.2022.992664. eCollection 2022.","Lennon CW","Front Mol Biosci","2022","2022/09/15","PMC9466650","","10.3389/fmolb.2022.992664"
"32712911","Conjugation as a Highly Sensitive Assay to Study Group II Intron Splicing In Vivo","LaRoche-Johnston F, Monat C, Cousineau B.","Methods Mol Biol. 2021;2167:3-11. doi: 10.1007/978-1-0716-0716-9_1.","LaRoche-Johnston F","Methods Mol Biol","2021","2020/07/27","","","10.1007/978-1-0716-0716-9_1"
"31728964","Detection of Group II Intron-Generated Chimeric mRNAs in Bacterial Cells","LaRoche-Johnston F, Monat C, Cousineau B.","Methods Mol Biol. 2020;2079:95-107. doi: 10.1007/978-1-4939-9904-0_7.","LaRoche-Johnston F","Methods Mol Biol","2020","2019/11/16","","","10.1007/978-1-4939-9904-0_7"
"34157113","Molecular characterization of both transesterification reactions of the group II intron circularization pathway","LaRoche-Johnston F, Monat C, Verreault E, Cousineau B.","Nucleic Acids Res. 2021 Jul 9;49(12):6996-7010. doi: 10.1093/nar/gkab537.","LaRoche-Johnston F","Nucleic Acids Res","2021","2021/06/22","PMC8266578","","10.1093/nar/gkab537"
"26673697","Circularization pathway of a bacterial group II intron","Monat C, Cousineau B.","Nucleic Acids Res. 2016 Feb 29;44(4):1845-53. doi: 10.1093/nar/gkv1381. Epub 2015 Dec 15.","Monat C","Nucleic Acids Res","2016","2015/12/18","PMC4770220","","10.1093/nar/gkv1381"
"25644014","Uncoupling of pro- and anti-inflammatory properties of Staphylococcus aureus","Peres AG, Stegen C, Li J, Xu AQ, Levast B, Surette MG, Cousineau B, Desrosiers M, Madrenas J.","Infect Immun. 2015 Apr;83(4):1587-97. doi: 10.1128/IAI.02832-14. Epub 2015 Feb 2.","Peres AG","Infect Immun","2015","2015/02/04","PMC4363428","","10.1128/IAI.02832-14"
"33118013","Group II Introns Generate Functional Chimeric Relaxase Enzymes with Modified Specificities through Exon Shuffling at Both the RNA and DNA Level","LaRoche-Johnston F, Bosan R, Cousineau B.","Mol Biol Evol. 2021 Mar 9;38(3):1075-1089. doi: 10.1093/molbev/msaa275.","LaRoche-Johnston F","Mol Biol Evol","2021","2020/10/29","PMC7947834","","10.1093/molbev/msaa275"
"18436352","Innate inflammatory responses to the Gram-positive bacterium Lactococcus lactis","Yam KK, Pouliot P, N'diaye MM, Fournier S, Olivier M, Cousineau B.","Vaccine. 2008 May 23;26(22):2689-99. doi: 10.1016/j.vaccine.2008.03.024. Epub 2008 Apr 3.","Yam KK","Vaccine","2008","2008/04/26","","","10.1016/j.vaccine.2008.03.024"
"33154953","Intranasal Application of Lactococcus lactis W136 Is Safe in Chronic Rhinosinusitis Patients With Previous Sinus Surgery","Endam LM, Alromaih S, Gonzalez E, Madrenas J, Cousineau B, Renteria AE, Desrosiers M.","Front Cell Infect Microbiol. 2020 Oct 12;10:440. doi: 10.3389/fcimb.2020.00440. eCollection 2020.","Endam LM","Front Cell Infect Microbiol","2020","2020/11/06","PMC7586919","","10.3389/fcimb.2020.00440"
"18648072","Trans-splicing versatility of the Ll.LtrB group II intron","Belhocine K, Mak AB, Cousineau B.","RNA. 2008 Sep;14(9):1782-90. doi: 10.1261/rna.1083508. Epub 2008 Jul 22.","Belhocine K","RNA","2008","2008/07/24","PMC2525943","","10.1261/rna.1083508"
"17263841","Conjugative transfer of the Lactococcus lactis sex factor and pRS01 plasmid to Enterococcus faecalis","Belhocine K, Mandilaras V, Yeung B, Cousineau B.","FEMS Microbiol Lett. 2007 Apr;269(2):289-94. doi: 10.1111/j.1574-6968.2007.00641.x. Epub 2007 Jan 30.","Belhocine K","FEMS Microbiol Lett","2007","2007/02/01","","","10.1111/j.1574-6968.2007.00641.x"
"27765015","Recent horizontal transfer, functional adaptation and dissemination of a bacterial group II intron","LaRoche-Johnston F, Monat C, Cousineau B.","BMC Evol Biol. 2016 Oct 20;16(1):223. doi: 10.1186/s12862-016-0789-7.","LaRoche-Johnston F","BMC Evol Biol","2016","2016/10/22","PMC5072309","","10.1186/s12862-016-0789-7"
"17389638","Trans-splicing of the Ll.LtrB group II intron in Lactococcus lactis","Belhocine K, Mak AB, Cousineau B.","Nucleic Acids Res. 2007;35(7):2257-68. doi: 10.1093/nar/gkl1146. Epub 2007 Mar 27.","Belhocine K","Nucleic Acids Res","2007","2007/03/29","PMC1874635","","10.1093/nar/gkl1146"
"28124641","Topical probiotics as a therapeutic alternative for chronic rhinosinusitis: A preclinical proof of concept","Schwartz JS, Peres AG, Mfuna Endam L, Cousineau B, Madrenas J, Desrosiers M.","Am J Rhinol Allergy. 2016 Nov 1;30(6):202-205. doi: 10.2500/ajra.2016.30.4372.","Schwartz JS","Am J Rhinol Allergy","2016","2017/01/27","","","10.2500/ajra.2016.30.4372"
"15817567","Retropseudogenes derived from the human Ro/SS-A autoantigen-associated hY RNAs","Perreault J, Noël JF, Brière F, Cousineau B, Lucier JF, Perreault JP, Boire G.","Nucleic Acids Res. 2005 Apr 7;33(6):2032-41. doi: 10.1093/nar/gki504. Print 2005.","Perreault J","Nucleic Acids Res","2005","2005/04/09","PMC1074747","","10.1093/nar/gki504"
"32169940","Multifunctional Acidocin 4356 Combats Pseudomonas aeruginosa through Membrane Perturbation and Virulence Attenuation: Experimental Results Confirm Molecular Dynamics Simulation","Modiri S, Kasra Kermanshahi R, Soudi MR, Arab SS, Khammari A, Cousineau B, Vali H, Zahiri HS, Noghabi KA.","Appl Environ Microbiol. 2020 May 5;86(10):e00367-20. doi: 10.1128/AEM.00367-20. Print 2020 May 5.","Modiri S","Appl Environ Microbiol","2020","2020/03/15","PMC7205485","","10.1128/AEM.00367-20"
"30462638","Bacterial group II introns generate genetic diversity by circularization and trans-splicing from a population of intron-invaded mRNAs","LaRoche-Johnston F, Monat C, Coulombe S, Cousineau B.","PLoS Genet. 2018 Nov 21;14(11):e1007792. doi: 10.1371/journal.pgen.1007792. eCollection 2018 Nov.","LaRoche-Johnston F","PLoS Genet","2018","2018/11/22","PMC6248898","","10.1371/journal.pgen.1007792"
"32810148","The circle to lariat ratio of the Ll.LtrB group II intron from Lactococcus lactis is greatly influenced by a variety of biological determinants in vivo","Monat C, Cousineau B.","PLoS One. 2020 Aug 18;15(8):e0237367. doi: 10.1371/journal.pone.0237367. eCollection 2020.","Monat C","PLoS One","2020","2020/08/19","PMC7444581","","10.1371/journal.pone.0237367"
"21527547","Generation and evaluation of A2-expressing Lactococcus lactis live vaccines against Leishmania donovani in BALB/c mice","Yam KK, Hugentobler F, Pouliot P, Stern AM, Lalande JD, Matlashewski G, Olivier M, Cousineau B.","J Med Microbiol. 2011 Sep;60(Pt 9):1248-1260. doi: 10.1099/jmm.0.029959-0. Epub 2011 Apr 28.","Yam KK","J Med Microbiol","2011","2011/04/30","","","10.1099/jmm.0.029959-0"
"22876289","Isolation and characterization of functional tripartite group II introns using a Tn5-based genetic screen","Ritlop C, Monat C, Cousineau B.","PLoS One. 2012;7(8):e41589. doi: 10.1371/journal.pone.0041589. Epub 2012 Aug 2.","Ritlop C","PLoS One","2012","2012/08/10","PMC3410883","","10.1371/journal.pone.0041589"
"19104650","Leishmania-induced IRAK-1 inactivation is mediated by SHP-1 interacting with an evolutionarily conserved KTIM motif","Abu-Dayyeh I, Shio MT, Sato S, Akira S, Cousineau B, Olivier M.","PLoS Negl Trop Dis. 2008;2(12):e305. doi: 10.1371/journal.pntd.0000305. Epub 2008 Dec 23.","Abu-Dayyeh I","PLoS Negl Trop Dis","2008","2008/12/24","PMC2596967","","10.1371/journal.pntd.0000305"
"14982638","Conjugation mediates transfer of the Ll.LtrB group II intron between different bacterial species","Belhocine K, Plante I, Cousineau B.","Mol Microbiol. 2004 Mar;51(5):1459-69. doi: 10.1111/j.1365-2958.2004.03923.x.","Belhocine K","Mol Microbiol","2004","2004/02/26","","","10.1111/j.1365-2958.2004.03923.x"
"22348031","Immunization against Leishmania major infection using LACK- and IL-12-expressing Lactococcus lactis induces delay in footpad swelling","Hugentobler F, Yam KK, Gillard J, Mahbuba R, Olivier M, Cousineau B.","PLoS One. 2012;7(2):e30945. doi: 10.1371/journal.pone.0030945. Epub 2012 Feb 10.","Hugentobler F","PLoS One","2012","2012/02/21","PMC3277590","","10.1371/journal.pone.0030945"
