PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28297716","RNA m(6)A methylation regulates the ultraviolet-induced DNA damage response","Xiang Y, Laurent B, Hsu CH, Nachtergaele S, Lu Z, Sheng W, Xu C, Chen H, Ouyang J, Wang S, Ling D, Hsu PH, Zou L, Jambhekar A, He C, Shi Y.","Nature. 2017 Mar 23;543(7646):573-576. doi: 10.1038/nature21671. Epub 2017 Mar 15.","Xiang Y","Nature","2017","2017/03/16","PMC5490984","NIHMS847614","10.1038/nature21671"
"30692625","AKT methylation by SETDB1 promotes AKT kinase activity and oncogenic functions","Guo J, Dai X, Laurent B, Zheng N, Gan W, Zhang J, Guo A, Yuan M, Liu P, Asara JM, Toker A, Shi Y, Pandolfi PP, Wei W.","Nat Cell Biol. 2019 Feb;21(2):226-237. doi: 10.1038/s41556-018-0261-6. Epub 2019 Jan 28.","Guo J","Nat Cell Biol","2019","2019/01/30","PMC6377565","NIHMS1516425","10.1038/s41556-018-0261-6"
"33892960","Exploring the Alternative Splicing of Long Noncoding RNAs","Khan MR, Wellinger RJ, Laurent B.","Trends Genet. 2021 Aug;37(8):695-698. doi: 10.1016/j.tig.2021.03.010. Epub 2021 Apr 21.","Khan MR","Trends Genet","2021","2021/04/24","","","10.1016/j.tig.2021.03.010"
"36465478","Detection of early-universe gravitational-wave signatures and fundamental physics","Caldwell R, Cui Y, Guo HK, Mandic V, Mariotti A, No JM, Ramsey-Musolf MJ, Sakellariadou M, Sinha K, Wang LT, White G, Zhao Y, An H, Bian L, Caprini C, Clesse S, Cline JM, Cusin G, Fornal B, Jinno R, Laurent B, Levi N, Lyu KF, Martinez M, Miller AL, Redigolo D, Scarlata C, Sevrin A, Haghi BSE, Shu J, Siemens X, Steer DA, Sundrum R, Tamarit C, Weir DJ, Xie KP, Yang FW, Zhou S.","Gen Relativ Gravit. 2022;54(12):156. doi: 10.1007/s10714-022-03027-x. Epub 2022 Nov 30.","Caldwell R","Gen Relativ Gravit","2022","2022/12/05","PMC9712380","","10.1007/s10714-022-03027-x"
"33679311","APOE and Alzheimer's Disease: From Lipid Transport to Physiopathology and Therapeutics","Husain MA, Laurent B, Plourde M.","Front Neurosci. 2021 Feb 17;15:630502. doi: 10.3389/fnins.2021.630502. eCollection 2021.","Husain MA","Front Neurosci","2021","2021/03/08","PMC7925634","","10.3389/fnins.2021.630502"
"33868013","Lipid Transport and Metabolism at the Blood-Brain Interface: Implications in Health and Disease","Pifferi F, Laurent B, Plourde M.","Front Physiol. 2021 Mar 30;12:645646. doi: 10.3389/fphys.2021.645646. eCollection 2021.","Pifferi F","Front Physiol","2021","2021/04/19","PMC8044814","","10.3389/fphys.2021.645646"
"35119069","Correction: MEIS-WNT5A axis regulates development of fourth ventricle choroid plexus","Kaiser K, Jang A, Kompanikova P, Lun MP, Prochazka J, Machon O, Dani N, Prochazkova M, Laurent B, Gyllborg D, van Amerongen R, Fame RM, Gupta S, Wu F, Barker RA, Bukova I, Sedlacek R, Kozmik Z, Arenas E, Lehtinen MK, Bryja V.","Development. 2022 Feb 1;149(3):dev200517. doi: 10.1242/dev.200517. Epub 2022 Feb 4.","Kaiser K","Development","2022","2022/02/04","","","10.1242/dev.200517"
"14567035","Rationale supporting the use of vasoconstrictors for intraperitoneal chemotherapy with platinum derivatives","Chauffert B, Favoulet P, Polycarpe E, Duvillard C, Beltramo JL, Bichat F, Rat P, Genne P, Benoit L.","Surg Oncol Clin N Am. 2003 Jul;12(3):835-48. doi: 10.1016/s1055-3207(03)00036-x.","Chauffert B","Surg Oncol Clin N Am","2003","2003/10/22","","","10.1016/s1055-3207(03)00036-x"
"33976546","Targeting Impaired Antimicrobial Immunity in the Brain for the Treatment of Alzheimer's Disease","Fulop T, Tripathi S, Rodrigues S, Desroches M, Bunt T, Eiser A, Bernier F, Beauregard PB, Barron AE, Khalil A, Plotka A, Hirokawa K, Larbi A, Bocti C, Laurent B, Frost EH, Witkowski JM.","Neuropsychiatr Dis Treat. 2021 May 4;17:1311-1339. doi: 10.2147/NDT.S264910. eCollection 2021.","Fulop T","Neuropsychiatr Dis Treat","2021","2021/05/12","PMC8106529","","10.2147/NDT.S264910"
"34032267","MEIS-WNT5A axis regulates development of fourth ventricle choroid plexus","Kaiser K, Jang A, Kompanikova P, Lun MP, Prochazka J, Machon O, Dani N, Prochazkova M, Laurent B, Gyllborg D, van Amerongen R, Fame RM, Gupta S, Wu F, Barker RA, Bukova I, Sedlacek R, Kozmik Z, Arenas E, Lehtinen MK, Bryja V.","Development. 2021 May 15;148(10):dev192054. doi: 10.1242/dev.192054. Epub 2021 May 25.","Kaiser K","Development","2021","2021/05/25","PMC8180257","","10.1242/dev.192054"
