PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34510546","Expression, regulation, and function of exosome-derived miRNAs in cancer progression and therapy","Li B, Cao Y, Sun M, Feng H.","FASEB J. 2021 Oct;35(10):e21916. doi: 10.1096/fj.202100294RR.","Li B","FASEB J","2021","2021/09/12","","","10.1096/fj.202100294RR"
"32178981","Integration of lipidomics and metabolomics for in-depth understanding of cellular mechanism and disease progression","Wang R, Li B, Lam SM, Shui G.","J Genet Genomics. 2020 Feb 20;47(2):69-83. doi: 10.1016/j.jgg.2019.11.009. Epub 2019 Dec 18.","Wang R","J Genet Genomics","2020","2020/03/18","","","10.1016/j.jgg.2019.11.009"
"30909789","Regorafenib induces lethal autophagy arrest by stabilizing PSAT1 in glioblastoma","Jiang J, Zhang L, Chen H, Lei Y, Zhang T, Wang Y, Jin P, Lan J, Zhou L, Huang Z, Li B, Liu Y, Gao W, Xie K, Zhou L, Nice EC, Peng Y, Cao Y, Wei Y, Wang K, Huang C.","Autophagy. 2020 Jan;16(1):106-122. doi: 10.1080/15548627.2019.1598752. Epub 2019 Apr 9.","Jiang J","Autophagy","2020","2019/03/27","PMC6984601","","10.1080/15548627.2019.1598752"
"32610096","Omics-Driven Systems Interrogation of Metabolic Dysregulation in COVID-19 Pathogenesis","Song JW, Lam SM, Fan X, Cao WJ, Wang SY, Tian H, Chua GH, Zhang C, Meng FP, Xu Z, Fu JL, Huang L, Xia P, Yang T, Zhang S, Li B, Jiang TJ, Wang R, Wang Z, Shi M, Zhang JY, Wang FS, Shui G.","Cell Metab. 2020 Aug 4;32(2):188-202.e5. doi: 10.1016/j.cmet.2020.06.016. Epub 2020 Jun 24.","Song JW","Cell Metab","2020","2020/07/02","PMC7311890","","10.1016/j.cmet.2020.06.016"
"30154401","Exosomal miR-21-5p derived from gastric cancer promotes peritoneal metastasis via mesothelial-to-mesenchymal transition","Li Q, Li B, Li Q, Wei S, He Z, Huang X, Wang L, Xia Y, Xu Z, Li Z, Wang W, Yang L, Zhang D, Xu Z.","Cell Death Dis. 2018 Aug 28;9(9):854. doi: 10.1038/s41419-018-0928-8.","Li Q","Cell Death Dis","2018","2018/08/30","PMC6113299","","10.1038/s41419-018-0928-8"
"31624248","Chronic stress promotes gastric cancer progression and metastasis: an essential role for ADRB2","Zhang X, Zhang Y, He Z, Yin K, Li B, Zhang L, Xu Z.","Cell Death Dis. 2019 Oct 17;10(11):788. doi: 10.1038/s41419-019-2030-2.","Zhang X","Cell Death Dis","2019","2019/10/19","PMC6797812","","10.1038/s41419-019-2030-2"
"35075806","Circular CPM promotes chemoresistance of gastric cancer via activating PRKAA2-mediated autophagy","Fang L, Lv J, Xuan Z, Li B, Li Z, He Z, Li F, Xu J, Wang S, Xia Y, Jiang T, Zhang L, Wang L, Zhang D, Xu H, Yang L, Xu Z, Wang W.","Clin Transl Med. 2022 Jan;12(1):e708. doi: 10.1002/ctm2.708.","Fang L","Clin Transl Med","2022","2022/01/25","PMC8787023","","10.1002/ctm2.708"
"33916050","The Mechanism of Facultative Intracellular Parasitism of Brucella","Jiao H, Zhou Z, Li B, Xiao Y, Li M, Zeng H, Guo X, Gu G.","Int J Mol Sci. 2021 Apr 1;22(7):3673. doi: 10.3390/ijms22073673.","Jiao H","Int J Mol Sci","2021","2021/04/30","PMC8036852","","10.3390/ijms22073673"
"35338119","CircTHBS1 drives gastric cancer progression by increasing INHBA mRNA expression and stability in a ceRNA- and RBP-dependent manner","Qiu S, Li B, Xia Y, Xuan Z, Li Z, Xie L, Gu C, Lv J, Lu C, Jiang T, Fang L, Xu P, Yang J, Li Y, Chen Z, Zhang L, Wang L, Zhang D, Xu H, Wang W, Xu Z.","Cell Death Dis. 2022 Mar 25;13(3):266. doi: 10.1038/s41419-022-04720-0.","Qiu S","Cell Death Dis","2022","2022/03/26","PMC8949653","","10.1038/s41419-022-04720-0"
"36217165","Gastric cancer-derived exosomal miR-519a-3p promotes liver metastasis by inducing intrahepatic M2-like macrophage-mediated angiogenesis","Qiu S, Xie L, Lu C, Gu C, Xia Y, Lv J, Xuan Z, Fang L, Yang J, Zhang L, Li Z, Wang W, Xu H, Li B, Xu Z.","J Exp Clin Cancer Res. 2022 Oct 10;41(1):296. doi: 10.1186/s13046-022-02499-8.","Qiu S","J Exp Clin Cancer Res","2022","2022/10/10","PMC9549645","","10.1186/s13046-022-02499-8"
"34485112","CISD2 Promotes Resistance to Sorafenib-Induced Ferroptosis by Regulating Autophagy in Hepatocellular Carcinoma","Li B, Wei S, Yang L, Peng X, Ma Y, Wu B, Fan Q, Yang S, Li X, Jin H, Tang S, Huang M, Li H, Liu J.","Front Oncol. 2021 Aug 16;11:657723. doi: 10.3389/fonc.2021.657723. eCollection 2021.","Li B","Front Oncol","2021","2021/09/06","PMC8415543","","10.3389/fonc.2021.657723"
