PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35766091","Bloquer la transcription du VIH pour verrouiller le virus","Da Rocha M, Poirier M, Bonhamn B, Bell B.","Virologie (Montrouge). 2022 Feb 24;26(1):23-40. doi: 10.1684/vir.2022.0936.","Da Rocha M","Virologie (Montrouge)","2022","2022/06/29","","","10.1684/vir.2022.0936"
"36065740","Treatment of pulmonary artery pseudoaneurysms and stenosis with balloon-expandable stents","Imrie A, Haran CV, Trotter M, Bell B, Brown NI.","J Med Imaging Radiat Oncol. 2022 Oct;66(7):969-976. doi: 10.1111/1754-9485.13464. Epub 2022 Sep 6.","Imrie A","J Med Imaging Radiat Oncol","2022","2022/09/06","","","10.1111/1754-9485.13464"
"30889861","Cat and Mouse: HIV Transcription in Latency, Immune Evasion and Cure/Remission Strategies","Delannoy A, Poirier M, Bell B.","Viruses. 2019 Mar 18;11(3):269. doi: 10.3390/v11030269.","Delannoy A","Viruses","2019","2019/03/21","PMC6466452","","10.3390/v11030269"
"29224200","Mortality in acute non-invasive ventilation","Smith DB, Tay GTP, Hay K, Antony J, Bell B, Kinnear FB, Curtin DL, Douglas J.","Intern Med J. 2017 Dec;47(12):1437-1440. doi: 10.1111/imj.13632.","Smith DB","Intern Med J","2017","2017/12/11","","","10.1111/imj.13632"
"21493140","Focused clinical review: periprocedural management of antiplatelet therapy in patients with coronary stents","Bell B, Layland J, Poon K, Spaulding C, Walters D.","Heart Lung Circ. 2011 Jul;20(7):438-45. doi: 10.1016/j.hlc.2011.03.005. Epub 2011 Apr 14.","Bell B","Heart Lung Circ","2011","2011/04/16","","","10.1016/j.hlc.2011.03.005"
"23827503","Selective recognition of viral promoters by host cell transcription complexes: challenges and opportunities to control latency","Wilhelm E, Bell B.","Curr Opin Virol. 2013 Aug;3(4):380-6. doi: 10.1016/j.coviro.2013.06.006. Epub 2013 Jul 1.","Wilhelm E","Curr Opin Virol","2013","2013/07/06","","","10.1016/j.coviro.2013.06.006"
"24222354","Cancer-Associated Perturbations in Alternative Pre-messenger RNA Splicing","Shkreta L, Bell B, Revil T, Venables JP, Prinos P, Elela SA, Chabot B.","Cancer Treat Res. 2013;158:41-94. doi: 10.1007/978-3-642-31659-3_3.","Shkreta L","Cancer Treat Res","2013","2013/11/14","","","10.1007/978-3-642-31659-3_3"
"35986377","Opposing roles of CLK SR kinases in controlling HIV-1 gene expression and latency","Dahal S, Clayton K, Been T, Fernet-Brochu R, Ocando AV, Balachandran A, Poirier M, Maldonado RK, Shkreta L, Boligan KF, Guvenc F, Rahman F, Branch D, Bell B, Chabot B, Gray-Owen SD, Parent LJ, Cochrane A.","Retrovirology. 2022 Aug 19;19(1):18. doi: 10.1186/s12977-022-00605-4.","Dahal S","Retrovirology","2022","2022/08/19","PMC9389714","","10.1186/s12977-022-00605-4"
"28445467","Molecular biology: The long and short of a DNA-damage response","Conconi A, Bell B.","Nature. 2017 May 11;545(7653):165-166. doi: 10.1038/nature22488. Epub 2017 Apr 26.","Conconi A","Nature","2017","2017/04/27","","","10.1038/nature22488"
"29358700","BIM and NOXA are mitochondrial effectors of TAF6δ-driven apoptosis","Delannoy A, Wilhelm E, Eilebrecht S, Alvarado-Cuevas EM, Benecke AG, Bell B.","Cell Death Dis. 2018 Jan 22;9(2):70. doi: 10.1038/s41419-017-0115-3.","Delannoy A","Cell Death Dis","2018","2018/01/24","PMC5833734","","10.1038/s41419-017-0115-3"
"29476895","Inhibition of NF-κB-dependent HIV-1 replication by the marine natural product bengamide A","Tietjen I, Williams DE, Read S, Kuang XT, Mwimanzi P, Wilhelm E, Markle T, Kinloch NN, Naphen CN, Tenney K, Mesplède T, Wainberg MA, Crews P, Bell B, Andersen RJ, Brumme ZL, Brockman MA.","Antiviral Res. 2018 Apr;152:94-103. doi: 10.1016/j.antiviral.2018.02.017. Epub 2018 Feb 22.","Tietjen I","Antiviral Res","2018","2018/02/25","","","10.1016/j.antiviral.2018.02.017"
"23392246","HMGA1 directly interacts with TAR to modulate basal and Tat-dependent HIV transcription","Eilebrecht S, Wilhelm E, Benecke BJ, Bell B, Benecke AG.","RNA Biol. 2013 Mar;10(3):436-44. doi: 10.4161/rna.23686. Epub 2013 Feb 7.","Eilebrecht S","RNA Biol","2013","2013/02/09","PMC3672287","","10.4161/rna.23686"
"19519354","Deciphering dual antiplatelet therapy in the era of drug-eluting coronary stents","Bell B, Walters D, Spaulding C.","Curr Drug Targets. 2009 Jun;10(6):519-29. doi: 10.2174/138945009788488413.","Bell B","Curr Drug Targets","2009","2009/06/13","","","10.2174/138945009788488413"
"25025302","Alternative splicing of TAF6: downstream transcriptome impacts and upstream RNA splice control elements","Kamtchueng C, Stébenne MÉ, Delannoy A, Wilhelm E, Léger H, Benecke AG, Bell B.","PLoS One. 2014 Jul 15;9(7):e102399. doi: 10.1371/journal.pone.0102399. eCollection 2014.","Kamtchueng C","PLoS One","2014","2014/07/16","PMC4099370","","10.1371/journal.pone.0102399"
