PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35426375","Long-term male-specific chronic pain via telomere- and p53‑mediated spinal cord cellular senescence","Muralidharan A, Sotocinal SG, Yousefpour N, Akkurt N, Lima LV, Tansley S, Parisien M, Wang C, Austin JS, Ham B, Dutra GM, Rousseau P, Maldonado-Bouchard S, Clark T, Rosen SF, Majeed MR, Silva O, Nejade R, Li X, Donayre Pimentel S, Nielsen CS, Neely GG, Autexier C, Diatchenko L, Ribeiro-da-Silva A, Mogil JS.","J Clin Invest. 2022 Apr 15;132(8):e151817. doi: 10.1172/JCI151817.","Muralidharan A","J Clin Invest","2022","2022/04/15","PMC9012275","","10.1172/JCI151817"
"27649246","Telomerase Regulation from Beginning to the End","MacNeil DE, Bensoussan HJ, Autexier C.","Genes (Basel). 2016 Sep 14;7(9):64. doi: 10.3390/genes7090064.","MacNeil DE","Genes (Basel)","2016","2016/09/21","PMC5042394","","10.3390/genes7090064"
"32813614","Regulation of human telomerase RNA biogenesis and localization","Qin J, Autexier C.","RNA Biol. 2021 Mar;18(3):305-315. doi: 10.1080/15476286.2020.1809196. Epub 2020 Sep 2.","Qin J","RNA Biol","2021","2020/08/20","PMC7954027","","10.1080/15476286.2020.1809196"
"18215413","Telomerase, senescence and ageing","Shawi M, Autexier C.","Mech Ageing Dev. 2008 Jan-Feb;129(1-2):3-10. doi: 10.1016/j.mad.2007.11.007. Epub 2007 Dec 14.","Shawi M","Mech Ageing Dev","2008","2008/01/25","","","10.1016/j.mad.2007.11.007"
"17630922","Harnessing telomerase in cancer therapeutics","Fakhoury J, Nimmo GA, Autexier C.","Anticancer Agents Med Chem. 2007 Jul;7(4):475-83. doi: 10.2174/187152007781058622.","Fakhoury J","Anticancer Agents Med Chem","2007","2007/07/17","","","10.2174/187152007781058622"
"26291128","Telomere biology: Rationale for diagnostics and therapeutics in cancer","Rousseau P, Autexier C.","RNA Biol. 2015;12(10):1078-82. doi: 10.1080/15476286.2015.1081329. Epub 2015 Aug 20.","Rousseau P","RNA Biol","2015","2015/08/21","PMC4829327","","10.1080/15476286.2015.1081329"
"33581499","PCNA, a focus on replication stress and the alternative lengthening of telomeres pathway","Shen M, Young A, Autexier C.","DNA Repair (Amst). 2021 Apr;100:103055. doi: 10.1016/j.dnarep.2021.103055. Epub 2021 Feb 3.","Shen M","DNA Repair (Amst)","2021","2021/02/13","","","10.1016/j.dnarep.2021.103055"
"16756500","The structure and function of telomerase reverse transcriptase","Autexier C, Lue NF.","Annu Rev Biochem. 2006;75:493-517. doi: 10.1146/annurev.biochem.75.103004.142412.","Autexier C","Annu Rev Biochem","2006","2006/06/08","","","10.1146/annurev.biochem.75.103004.142412"
"34725692","Homologous recombination-mediated irreversible genome damage underlies telomere-induced senescence","Ghadaouia S, Olivier MA, Martinez A, Kientega T, Qin J, Lambert-Lanteigne P, Cardin GB, Autexier C, Malaquin N, Rodier F.","Nucleic Acids Res. 2021 Nov 18;49(20):11690-11707. doi: 10.1093/nar/gkab965.","Ghadaouia S","Nucleic Acids Res","2021","2021/11/02","PMC8599762","","10.1093/nar/gkab965"
"34556550","Dyskerin: an essential pseudouridine synthase with multifaceted roles in ribosome biogenesis, splicing, and telomere maintenance","Garus A, Autexier C.","RNA. 2021 Dec;27(12):1441-1458. doi: 10.1261/rna.078953.121. Epub 2021 Sep 23.","Garus A","RNA","2021","2021/09/24","PMC8594475","","10.1261/rna.078953.121"
