PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30324104","Metabolic Networks Influencing Skeletal Muscle Fiber Composition","Bourdeau Julien I, Sephton CF, Dutchak PA.","Front Cell Dev Biol. 2018 Sep 28;6:125. doi: 10.3389/fcell.2018.00125. eCollection 2018.","Bourdeau Julien I","Front Cell Dev Biol","2018","2018/10/17","PMC6172607","","10.3389/fcell.2018.00125"
"26047658","The function of RNA-binding proteins at the synapse: implications for neurodegeneration","Sephton CF, Yu G.","Cell Mol Life Sci. 2015 Oct;72(19):3621-35. doi: 10.1007/s00018-015-1943-x. Epub 2015 Jun 6.","Sephton CF","Cell Mol Life Sci","2015","2015/06/07","PMC4565867","","10.1007/s00018-015-1943-x"
"22859297","Progranulin: a proteolytically processed protein at the crossroads of inflammation and neurodegeneration","Cenik B, Sephton CF, Kutluk Cenik B, Herz J, Yu G.","J Biol Chem. 2012 Sep 21;287(39):32298-306. doi: 10.1074/jbc.R112.399170. Epub 2012 Aug 2.","Cenik B","J Biol Chem","2012","2012/08/04","PMC3463300","","10.1074/jbc.R112.399170"
"22944662","TDP-43 in central nervous system development and function: clues to TDP-43-associated neurodegeneration","Sephton CF, Cenik B, Cenik BK, Herz J, Yu G.","Biol Chem. 2012 Jul;393(7):589-94. doi: 10.1515/hsz-2012-0115.","Sephton CF","Biol Chem","2012","2012/09/05","PMC3537500","NIHMS429767","10.1515/hsz-2012-0115"
"22405725","TDP-43 aggregation in neurodegeneration: are stress granules the key?","Dewey CM, Cenik B, Sephton CF, Johnson BA, Herz J, Yu G.","Brain Res. 2012 Jun 26;1462:16-25. doi: 10.1016/j.brainres.2012.02.032. Epub 2012 Feb 22.","Dewey CM","Brain Res","2012","2012/03/13","PMC3372581","NIHMS360132","10.1016/j.brainres.2012.02.032"
"36263379","Synaptic dysfunction in ALS and FTD: anatomical and molecular changes provide insights into mechanisms of disease","Gelon PA, Dutchak PA, Sephton CF.","Front Mol Neurosci. 2022 Oct 3;15:1000183. doi: 10.3389/fnmol.2022.1000183. eCollection 2022.","Gelon PA","Front Mol Neurosci","2022","2022/10/20","PMC9575515","","10.3389/fnmol.2022.1000183"
"35869509","Widespread alterations in microRNA biogenesis in human Huntington's disease putamen","Petry S, Keraudren R, Nateghi B, Loiselle A, Pircs K, Jakobsson J, Sephton C, Langlois M, St-Amour I, Hébert SS.","Acta Neuropathol Commun. 2022 Jul 22;10(1):106. doi: 10.1186/s40478-022-01407-7.","Petry S","Acta Neuropathol Commun","2022","2022/07/22","PMC9308264","","10.1186/s40478-022-01407-7"
"33082139","FUS contributes to mTOR-dependent inhibition of translation","Sévigny M, Bourdeau Julien I, Venkatasubramani JP, Hui JB, Dutchak PA, Sephton CF.","J Biol Chem. 2020 Dec 25;295(52):18459-18473. doi: 10.1074/jbc.RA120.013801. Epub 2020 Oct 20.","Sévigny M","J Biol Chem","2020","2020/10/21","PMC7939483","","10.1074/jbc.RA120.013801"
"35165201","NPRL2 Inhibition of mTORC1 Controls Sodium Channel Expression and Brain Amino Acid Homeostasis","Hui JB, Silva JCH, Pelaez MC, Sévigny M, Venkatasubramani JP, Plumereau Q, Chahine M, Proulx CD, Sephton CF, Dutchak PA.","eNeuro. 2022 Mar 3;9(2):ENEURO.0317-21.2022. doi: 10.1523/ENEURO.0317-21.2022. Print 2022 Mar-Apr.","Hui JB","eNeuro","2022","2022/02/15","PMC8896560","","10.1523/ENEURO.0317-21.2022"
"34630013","hnRNP A1B, a Splice Variant of HNRNPA1, Is Spatially and Temporally Regulated","Gagné M, Deshaies JE, Sidibé H, Benchaar Y, Arbour D, Dubinski A, Litt G, Peyrard S, Robitaille R, Sephton CF, Vande Velde C.","Front Neurosci. 2021 Sep 24;15:724307. doi: 10.3389/fnins.2021.724307. eCollection 2021.","Gagné M","Front Neurosci","2021","2021/10/11","PMC8498194","","10.3389/fnins.2021.724307"
"25324524","Activity-dependent FUS dysregulation disrupts synaptic homeostasis","Sephton CF, Tang AA, Kulkarni A, West J, Brooks M, Stubblefield JJ, Liu Y, Zhang MQ, Green CB, Huber KM, Huang EJ, Herz J, Yu G.","Proc Natl Acad Sci U S A. 2014 Nov 4;111(44):E4769-78. doi: 10.1073/pnas.1406162111. Epub 2014 Oct 16.","Sephton CF","Proc Natl Acad Sci U S A","2014","2014/10/18","PMC4226112","","10.1073/pnas.1406162111"
"33867113","Chronic Stress Induces Sex-Specific Functional and Morphological Alterations in Corticoaccumbal and Corticotegmental Pathways","Bittar TP, Pelaez MC, Hernandez Silva JC, Quessy F, Lavigne AA, Morency D, Blanchette LJ, Arsenault E, Cherasse Y, Seigneur J, Timofeev I, Sephton CF, Proulx CD, Labonté B.","Biol Psychiatry. 2021 Aug 1;90(3):194-205. doi: 10.1016/j.biopsych.2021.02.014. Epub 2021 Feb 24.","Bittar TP","Biol Psychiatry","2021","2021/04/19","","","10.1016/j.biopsych.2021.02.014"
"35151370","A postzygotic de novo NCDN mutation identified in a sporadic FTLD patient results in neurochondrin haploinsufficiency and altered FUS granule dynamics","Nicolas G, Sévigny M, Lecoquierre F, Marguet F, Deschênes A, Del Pelaez MC, Feuillette S, Audebrand A, Lecourtois M, Rousseau S, Richard AC, Cassinari K, Deramecourt V, Duyckaerts C, Boland A, Deleuze JF, Meyer V, Clarimon Echavarria J, Gelpi E, Akiyama H, Hasegawa M, Kawakami I, Wong TH, Van Rooij JGJ, Van Swieten JC, Campion D, Dutchak PA, Wallon D, Lavoie-Cardinal F, Laquerrière A, Rovelet-Lecrux A, Sephton CF.","Acta Neuropathol Commun. 2022 Feb 12;10(1):20. doi: 10.1186/s40478-022-01314-x.","Nicolas G","Acta Neuropathol Commun","2022","2022/02/13","PMC8841087","","10.1186/s40478-022-01314-x"
"18625853","Abeta predictor of Alzheimer disease symptoms","Sephton CF, Yu G.","Arch Neurol. 2008 Jul;65(7):875-6. doi: 10.1001/archneur.65.7.875.","Sephton CF","Arch Neurol","2008","2008/07/16","","","10.1001/archneur.65.7.875"
"21454553","Suberoylanilide hydroxamic acid (vorinostat) up-regulates progranulin transcription: rational therapeutic approach to frontotemporal dementia","Cenik B, Sephton CF, Dewey CM, Xian X, Wei S, Yu K, Niu W, Coppola G, Coughlin SE, Lee SE, Dries DR, Almeida S, Geschwind DH, Gao FB, Miller BL, Farese RV Jr, Posner BA, Yu G, Herz J.","J Biol Chem. 2011 May 6;286(18):16101-8. doi: 10.1074/jbc.M110.193433. Epub 2011 Mar 23.","Cenik B","J Biol Chem","2011","2011/04/02","PMC3091219","","10.1074/jbc.M110.193433"
"21685396","Gamma-secretase-regulated proteolysis of the Notch receptor by mitochondrial intermediate peptidase","Lee SF, Srinivasan B, Sephton CF, Dries DR, Wang B, Yu C, Wang Y, Dewey CM, Shah S, Jiang J, Yu G.","J Biol Chem. 2011 Aug 5;286(31):27447-53. doi: 10.1074/jbc.M111.243154. Epub 2011 Jun 17.","Lee SF","J Biol Chem","2011","2011/06/21","PMC3149338","","10.1074/jbc.M111.243154"
"21051541","Identification of neuronal RNA targets of TDP-43-containing ribonucleoprotein complexes","Sephton CF, Cenik C, Kucukural A, Dammer EB, Cenik B, Han Y, Dewey CM, Roth FP, Herz J, Peng J, Moore MJ, Yu G.","J Biol Chem. 2011 Jan 14;286(2):1204-15. doi: 10.1074/jbc.M110.190884. Epub 2010 Nov 4.","Sephton CF","J Biol Chem","2011","2010/11/06","PMC3020728","","10.1074/jbc.M110.190884"
"25155018","Early retinal neurodegeneration and impaired Ran-mediated nuclear import of TDP-43 in progranulin-deficient FTLD","Ward ME, Taubes A, Chen R, Miller BL, Sephton CF, Gelfand JM, Minami S, Boscardin J, Martens LH, Seeley WW, Yu G, Herz J, Filiano AJ, Arrant AE, Roberson ED, Kraft TW, Farese RV Jr, Green A, Gan L.","J Exp Med. 2014 Sep 22;211(10):1937-45. doi: 10.1084/jem.20140214. Epub 2014 Aug 25.","Ward ME","J Exp Med","2014","2014/08/27","PMC4172214","","10.1084/jem.20140214"
"20040602","TDP-43 is a developmentally regulated protein essential for early embryonic development","Sephton CF, Good SK, Atkin S, Dewey CM, Mayer P 3rd, Herz J, Yu G.","J Biol Chem. 2010 Feb 26;285(9):6826-34. doi: 10.1074/jbc.M109.061846. Epub 2009 Dec 29.","Sephton CF","J Biol Chem","2010","2009/12/31","PMC2825476","","10.1074/jbc.M109.061846"
"21173160","TDP-43 is directed to stress granules by sorbitol, a novel physiological osmotic and oxidative stressor","Dewey CM, Cenik B, Sephton CF, Dries DR, Mayer P 3rd, Good SK, Johnson BA, Herz J, Yu G.","Mol Cell Biol. 2011 Mar;31(5):1098-108. doi: 10.1128/MCB.01279-10. Epub 2010 Dec 20.","Dewey CM","Mol Cell Biol","2011","2010/12/22","PMC3067820","","10.1128/MCB.01279-10"
"17823648","Haloperidol induces the nuclear translocation of phosphatidylinositol 3'-kinase to disrupt Akt phosphorylation in PC12 cells","Dai Y, Wei Z, Sephton CF, Zhang D, Anderson DH, Mousseau DD.","J Psychiatry Neurosci. 2007 Sep;32(5):323-30.","Dai Y","J Psychiatry Neurosci","2007","2007/09/08","PMC1963350","",""
