PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33349931","The multi-functional RNA-binding protein G3BP1 and its potential implication in neurodegenerative disease","Sidibé H, Dubinski A, Vande Velde C.","J Neurochem. 2021 May;157(4):944-962. doi: 10.1111/jnc.15280. Epub 2021 Jan 8.","Sidibé H","J Neurochem","2021","2020/12/22","PMC8248322","","10.1111/jnc.15280"
"34115105","TDP-43 stabilizes G3BP1 mRNA: relevance to amyotrophic lateral sclerosis/frontotemporal dementia","Sidibé H, Khalfallah Y, Xiao S, Gómez NB, Fakim H, Tank EMH, Di Tomasso G, Bareke E, Aulas A, McKeever PM, Melamed Z, Destroimaisons L, Deshaies JE, Zinman L, Parker JA, Legault P, Tétreault M, Barmada SJ, Robertson J, Vande Velde C.","Brain. 2021 Dec 16;144(11):3461-3476. doi: 10.1093/brain/awab217.","Sidibé H","Brain","2021","2021/06/11","PMC8677511","","10.1093/brain/awab217"
"15622408","VEGF: multitasking in ALS","Vande Velde C, Cleveland DW.","Nat Neurosci. 2005 Jan;8(1):5-7. doi: 10.1038/nn0105-5.","Vande Velde C","Nat Neurosci","2005","2004/12/29","","","10.1038/nn0105-5"
"31811636","RNA Granules and Their Role in Neurodegenerative Diseases","Sidibé H, Vande Velde C.","Adv Exp Med Biol. 2019;1203:195-245. doi: 10.1007/978-3-030-31434-7_8.","Sidibé H","Adv Exp Med Biol","2019","2019/12/08","","","10.1007/978-3-030-31434-7_8"
"22471903","Misfolded SOD1 and ALS: zeroing in on mitochondria","Pickles S, Vande Velde C.","Amyotroph Lateral Scler. 2012 Jun;13(4):333-40. doi: 10.3109/17482968.2012.648645. Epub 2012 Apr 3.","Pickles S","Amyotroph Lateral Scler","2012","2012/04/05","","","10.3109/17482968.2012.648645"
"35171482","Collective Learnings of Studies of Stress Granule Assembly and Composition","Sidibé H, Vande Velde C.","Methods Mol Biol. 2022;2428:199-228. doi: 10.1007/978-1-0716-1975-9_13.","Sidibé H","Methods Mol Biol","2022","2022/02/16","","","10.1007/978-1-0716-1975-9_13"
"34429216","Altered stress granule disassembly: links to neurodegenerative disease?","Dubinski A, Vande Velde C.","Trends Neurosci. 2021 Oct;44(10):765-766. doi: 10.1016/j.tins.2021.08.001. Epub 2021 Aug 21.","Dubinski A","Trends Neurosci","2021","2021/08/25","","","10.1016/j.tins.2021.08.001"
"17015226","ALS: a disease of motor neurons and their nonneuronal neighbors","Boillée S, Vande Velde C, Cleveland DW.","Neuron. 2006 Oct 5;52(1):39-59. doi: 10.1016/j.neuron.2006.09.018.","Boillée S","Neuron","2006","2006/10/04","","","10.1016/j.neuron.2006.09.018"
"22734670","Glucose delays age-dependent proteotoxicity","Tauffenberger A, Vaccaro A, Aulas A, Vande Velde C, Parker JA.","Aging Cell. 2012 Oct;11(5):856-66. doi: 10.1111/j.1474-9726.2012.00855.x. Epub 2012 Aug 1.","Tauffenberger A","Aging Cell","2012","2012/06/28","PMC3470697","","10.1111/j.1474-9726.2012.00855.x"
"27633977","New perspectives on amyotrophic lateral sclerosis: the role of glial cells at the neuromuscular junction","Arbour D, Vande Velde C, Robitaille R.","J Physiol. 2017 Feb 1;595(3):647-661. doi: 10.1113/JP270213. Epub 2016 Dec 1.","Arbour D","J Physiol","2017","2016/09/17","PMC5285712","","10.1113/JP270213"
"33939924","Defining the Caprin-1 Interactome in Unstressed and Stressed Conditions","Vu L, Ghosh A, Tran C, Tebung WA, Sidibé H, Garcia-Mansfield K, David-Dirgo V, Sharma R, Pirrotte P, Bowser R, Vande Velde C.","J Proteome Res. 2021 Jun 4;20(6):3165-3178. doi: 10.1021/acs.jproteome.1c00016. Epub 2021 May 3.","Vu L","J Proteome Res","2021","2021/05/03","PMC9083243","NIHMS1801438","10.1021/acs.jproteome.1c00016"
"35753527","Misfolding-Associated Exposure of Natively Buried Residues in Mutant SOD1 Facilitates Binding to TRAF6","Garg P, Semmler S, Baudouin C, Vande Velde C, Plotkin SS.","J Mol Biol. 2022 Aug 30;434(16):167697. doi: 10.1016/j.jmb.2022.167697. Epub 2022 Jun 23.","Garg P","J Mol Biol","2022","2022/06/26","","","10.1016/j.jmb.2022.167697"
"26557057","Alterations in stress granule dynamics driven by TDP-43 and FUS: a link to pathological inclusions in ALS?","Aulas A, Vande Velde C.","Front Cell Neurosci. 2015 Oct 23;9:423. doi: 10.3389/fncel.2015.00423. eCollection 2015.","Aulas A","Front Cell Neurosci","2015","2015/11/12","PMC4615823","","10.3389/fncel.2015.00423"
"34630013","hnRNP A1B, a Splice Variant of HNRNPA1, Is Spatially and Temporally Regulated","Gagné M, Deshaies JE, Sidibé H, Benchaar Y, Arbour D, Dubinski A, Litt G, Peyrard S, Robitaille R, Sephton CF, Vande Velde C.","Front Neurosci. 2021 Sep 24;15:724307. doi: 10.3389/fnins.2021.724307. eCollection 2021.","Gagné M","Front Neurosci","2021","2021/10/11","PMC8498194","","10.3389/fnins.2021.724307"
"30364932","Reply: TDP-43 mutations increase HNRNP A1-7B through gain of splicing function","Tétreault M, Deshaies JE, Semmler S, Sidibé H, Shkreta L, Volkening K, Soreq H, Strong MJ, Chabot B, Vande Velde C.","Brain. 2018 Dec 1;141(12):e84. doi: 10.1093/brain/awy261.","Tétreault M","Brain","2018","2018/10/27","PMC6262216","","10.1093/brain/awy261"
"32033983","Sex-Specific Differences in Motor-Unit Remodeling in a Mouse Model of ALS","Martineau É, Di Polo A, Vande Velde C, Robitaille R.","eNeuro. 2020 Feb 26;7(1):ENEURO.0388-19.2020. doi: 10.1523/ENEURO.0388-19.2020. Print 2020 Jan/Feb.","Martineau É","eNeuro","2020","2020/02/09","PMC7044502","","10.1523/ENEURO.0388-19.2020"
