PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27708008","A global genetic interaction network maps a wiring diagram of cellular function","Costanzo M, VanderSluis B, Koch EN, Baryshnikova A, Pons C, Tan G, Wang W, Usaj M, Hanchard J, Lee SD, Pelechano V, Styles EB, Billmann M, van Leeuwen J, van Dyk N, Lin ZY, Kuzmin E, Nelson J, Piotrowski JS, Srikumar T, Bahr S, Chen Y, Deshpande R, Kurat CF, Li SC, Li Z, Usaj MM, Okada H, Pascoe N, San Luis BJ, Sharifpoor S, Shuteriqi E, Simpkins SW, Snider J, Suresh HG, Tan Y, Zhu H, Malod-Dognin N, Janjic V, Przulj N, Troyanskaya OG, Stagljar I, Xia T, Ohya Y, Gingras AC, Raught B, Boutros M, Steinmetz LM, Moore CL, Rosebrock AP, Caudy AA, Myers CL, Andrews B, Boone C.","Science. 2016 Sep 23;353(6306):aaf1420. doi: 10.1126/science.aaf1420.","Costanzo M","Science","2016","2016/10/07","PMC5661885","NIHMS915069","10.1126/science.aaf1420"
"35326338","Ketamine as a Novel Psychopharmacotherapy for Eating Disorders: Evidence and Future Directions","Ragnhildstveit A, Slayton M, Jackson LK, Brendle M, Ahuja S, Holle W, Moore C, Sollars K, Seli P, Robison R.","Brain Sci. 2022 Mar 12;12(3):382. doi: 10.3390/brainsci12030382.","Ragnhildstveit A","Brain Sci","2022","2022/03/25","PMC8963252","","10.3390/brainsci12030382"
"31597020","Controlled Trial of Two Incremental Milk-Feeding Rates in Preterm Infants","Dorling J, Abbott J, Berrington J, Bosiak B, Bowler U, Boyle E, Embleton N, Hewer O, Johnson S, Juszczak E, Leaf A, Linsell L, McCormick K, McGuire W, Omar O, Partlett C, Patel M, Roberts T, Stenson B, Townend J; SIFT Investigators Group.","N Engl J Med. 2019 Oct 10;381(15):1434-1443. doi: 10.1056/NEJMoa1816654.","Dorling J","N Engl J Med","2019","2019/10/10","","","10.1056/NEJMoa1816654"
"35917425","More than Semantics: Abortion Access and Equity","Moore CM, Taylor HA.","Am J Bioeth. 2022 Aug;22(8):68-69. doi: 10.1080/15265161.2022.2089284.","Moore CM","Am J Bioeth","2022","2022/08/02","PMC9764843","NIHMS1848386","10.1080/15265161.2022.2089284"
"33941430","On the Cutting Edge: Regulation and Therapeutic Potential of the mRNA 3' End Nuclease","Liu H, Moore CL.","Trends Biochem Sci. 2021 Sep;46(9):772-784. doi: 10.1016/j.tibs.2021.04.003. Epub 2021 Apr 30.","Liu H","Trends Biochem Sci","2021","2021/05/04","PMC8364479","NIHMS1692654","10.1016/j.tibs.2021.04.003"
"17473849","RNA-binding proteins: modular design for efficient function","Lunde BM, Moore C, Varani G.","Nat Rev Mol Cell Biol. 2007 Jun;8(6):479-90. doi: 10.1038/nrm2178.","Lunde BM","Nat Rev Mol Cell Biol","2007","2007/05/03","PMC5507177","NIHMS877273","10.1038/nrm2178"
"15935750","Reviving the exosome","Jensen TH, Moore C.","Cell. 2005 Jun 3;121(5):660-2. doi: 10.1016/j.cell.2005.05.018.","Jensen TH","Cell","2005","2005/06/07","","","10.1016/j.cell.2005.05.018"
"24853390","Eukaryotic elongation factor 2 kinase, an unusual enzyme with multiple roles","Kenney JW, Moore CE, Wang X, Proud CG.","Adv Biol Regul. 2014 May;55:15-27. doi: 10.1016/j.jbior.2014.04.003. Epub 2014 Apr 30.","Kenney JW","Adv Biol Regul","2014","2014/05/24","","","10.1016/j.jbior.2014.04.003"
"21487437","Unravelling the means to an end: RNA polymerase II transcription termination","Kuehner JN, Pearson EL, Moore C.","Nat Rev Mol Cell Biol. 2011 May;12(5):283-94. doi: 10.1038/nrm3098. Epub 2011 Apr 13.","Kuehner JN","Nat Rev Mol Cell Biol","2011","2011/04/14","PMC6995273","NIHMS1065477","10.1038/nrm3098"
"36331048","Safety and effectiveness of intranasal esketamine for treatment-resistant depression: a real-world retrospective study","Brendle M, Ahuja S, Valle MD, Moore C, Thielking P, Malone DC, Robison R.","J Comp Eff Res. 2022 Dec;11(18):1323-1336. doi: 10.2217/cer-2022-0149. Epub 2022 Nov 4.","Brendle M","J Comp Eff Res","2022","2022/11/04","","","10.2217/cer-2022-0149"
