PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35561226","SHAPE-enabled fragment-based ligand discovery for RNA","Zeller MJ, Favorov O, Li K, Nuthanakanti A, Hussein D, Michaud A, Lafontaine DA, Busan S, Serganov A, Aubé J, Weeks KM.","Proc Natl Acad Sci U S A. 2022 May 17;119(20):e2122660119. doi: 10.1073/pnas.2122660119. Epub 2022 May 13.","Zeller MJ","Proc Natl Acad Sci U S A","2022","2022/05/13","PMC9171761","","10.1073/pnas.2122660119"
"36258098","TriDFusion (3DF) image viewer","Lafontaine D, Schmidtlein CR, Kirov A, Reddy RP, Krebs S, Schöder H, Humm JL.","EJNMMI Phys. 2022 Oct 18;9(1):72. doi: 10.1186/s40658-022-00501-y.","Lafontaine D","EJNMMI Phys","2022","2022/10/18","PMC9579267","","10.1186/s40658-022-00501-y"
"32036061","Riboswitch regulation mechanisms: RNA, metabolites and regulatory proteins","Bédard AV, Hien EDM, Lafontaine DA.","Biochim Biophys Acta Gene Regul Mech. 2020 Mar;1863(3):194501. doi: 10.1016/j.bbagrm.2020.194501. Epub 2020 Feb 7.","Bédard AV","Biochim Biophys Acta Gene Regul Mech","2020","2020/02/10","","","10.1016/j.bbagrm.2020.194501"
"21477128","New insights into riboswitch regulation mechanisms","Bastet L, Dubé A, Massé E, Lafontaine DA.","Mol Microbiol. 2011 Jun;80(5):1148-54. doi: 10.1111/j.1365-2958.2011.07654.x. Epub 2011 Apr 20.","Bastet L","Mol Microbiol","2011","2011/04/12","","","10.1111/j.1365-2958.2011.07654.x"
"20685165","Therapeutic applications of ribozymes and riboswitches","Mulhbacher J, St-Pierre P, Lafontaine DA.","Curr Opin Pharmacol. 2010 Oct;10(5):551-6. doi: 10.1016/j.coph.2010.07.002. Epub 2010 Aug 3.","Mulhbacher J","Curr Opin Pharmacol","2010","2010/08/06","","","10.1016/j.coph.2010.07.002"
"19101979","Riboswitches: ancient and promising genetic regulators","Blouin S, Mulhbacher J, Penedo JC, Lafontaine DA.","Chembiochem. 2009 Feb 13;10(3):400-16. doi: 10.1002/cbic.200800593.","Blouin S","Chembiochem","2009","2008/12/23","","","10.1002/cbic.200800593"
"34740970","Monitoring RNA dynamics in native transcriptional complexes","Chauvier A, St-Pierre P, Nadon JF, Hien EDM, Pérez-González C, Eschbach SH, Lamontagne AM, Penedo JC, Lafontaine DA.","Proc Natl Acad Sci U S A. 2021 Nov 9;118(45):e2106564118. doi: 10.1073/pnas.2106564118.","Chauvier A","Proc Natl Acad Sci U S A","2021","2021/11/06","PMC8609307","","10.1073/pnas.2106564118"
"27193543","Biophysical Approaches to Bacterial Gene Regulation by Riboswitches","Perez-Gonzalez C, Grondin JP, Lafontaine DA, Carlos Penedo J.","Adv Exp Med Biol. 2016;915:157-91. doi: 10.1007/978-3-319-32189-9_11.","Perez-Gonzalez C","Adv Exp Med Biol","2016","2016/05/20","","","10.1007/978-3-319-32189-9_11"
"25432755","Using sm-FRET and denaturants to reveal folding landscapes","Shaw E, St-Pierre P, McCluskey K, Lafontaine DA, Penedo JC.","Methods Enzymol. 2014;549:313-41. doi: 10.1016/B978-0-12-801122-5.00014-3.","Shaw E","Methods Enzymol","2014","2014/11/30","","","10.1016/B978-0-12-801122-5.00014-3"
"23500183","Regulatory RNAs and target mRNA decay in prokaryotes","Lalaouna D, Simoneau-Roy M, Lafontaine D, Massé E.","Biochim Biophys Acta. 2013 Jun-Jul;1829(6-7):742-7. doi: 10.1016/j.bbagrm.2013.02.013. Epub 2013 Mar 14.","Lalaouna D","Biochim Biophys Acta","2013","2013/03/19","","","10.1016/j.bbagrm.2013.02.013"
