PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31811637","Lessons from (pre-)mRNA Imaging","Adivarahan S, Zenklusen D.","Adv Exp Med Biol. 2019;1203:247-284. doi: 10.1007/978-3-030-31434-7_9.","Adivarahan S","Adv Exp Med Biol","2019","2019/12/08","","","10.1007/978-3-030-31434-7_9"
"19416065","Imaging transcription in living cells","Darzacq X, Yao J, Larson DR, Causse SZ, Bosanac L, de Turris V, Ruda VM, Lionnet T, Zenklusen D, Guglielmi B, Tjian R, Singer RH.","Annu Rev Biophys. 2009;38:173-96. doi: 10.1146/annurev.biophys.050708.133728.","Darzacq X","Annu Rev Biophys","2009","2009/05/07","PMC3166783","NIHMS318257","10.1146/annurev.biophys.050708.133728"
"19819144","A single molecule view of gene expression","Larson DR, Singer RH, Zenklusen D.","Trends Cell Biol. 2009 Nov;19(11):630-7. doi: 10.1016/j.tcb.2009.08.008. Epub 2009 Oct 8.","Larson DR","Trends Cell Biol","2009","2009/10/13","PMC2783999","NIHMS142696","10.1016/j.tcb.2009.08.008"
"22387213","To the pore and through the pore: a story of mRNA export kinetics","Oeffinger M, Zenklusen D.","Biochim Biophys Acta. 2012 Jun;1819(6):494-506. doi: 10.1016/j.bbagrm.2012.02.011. Epub 2012 Feb 22.","Oeffinger M","Biochim Biophys Acta","2012","2012/03/06","PMC3345096","NIHMS360120","10.1016/j.bbagrm.2012.02.011"
"33201475","Probing the Conformational State of mRNPs Using smFISH and SIM","Adivarahan S, Zenklusen D.","Methods Mol Biol. 2021;2209:267-286. doi: 10.1007/978-1-0716-0935-4_17.","Adivarahan S","Methods Mol Biol","2021","2020/11/17","","","10.1007/978-1-0716-0935-4_17"
"14662358","RNA asymmetric distribution and daughter/mother differentiation in yeast","Darzacq X, Powrie E, Gu W, Singer RH, Zenklusen D.","Curr Opin Microbiol. 2003 Dec;6(6):614-20. doi: 10.1016/j.mib.2003.10.005.","Darzacq X","Curr Opin Microbiol","2003","2003/12/10","PMC4956921","NIHMS799975","10.1016/j.mib.2003.10.005"
"33938148","Choosing the right exit: How functional plasticity of the nuclear pore drives selective and efficient mRNA export","Bensidoun P, Zenklusen D, Oeffinger M.","Wiley Interdiscip Rev RNA. 2021 Nov;12(6):e1660. doi: 10.1002/wrna.1660. Epub 2021 May 2.","Bensidoun P","Wiley Interdiscip Rev RNA","2021","2021/05/03","","","10.1002/wrna.1660"
"35948369","Single-cell multi-omics of human preimplantation embryos shows susceptibility to glucocorticoids","Zhao C, Biondic S, Vandal K, Björklund ÅK, Hagemann-Jensen M, Sommer TM, Canizo J, Clark S, Raymond P, Zenklusen DR, Rivron N, Reik W, Petropoulos S.","Genome Res. 2022 Aug 10;32(9):1627-41. doi: 10.1101/gr.276665.122. Online ahead of print.","Zhao C","Genome Res","2022","2022/08/10","PMC9528977","","10.1101/gr.276665.122"
"31407282","Live-Cell Imaging of mRNP-NPC Interactions in Budding Yeast","Lari A, Farzam F, Bensidoun P, Oeffinger M, Zenklusen D, Grunwald D, Montpetit B.","Methods Mol Biol. 2019;2038:131-150. doi: 10.1007/978-1-4939-9674-2_9.","Lari A","Methods Mol Biol","2019","2019/08/14","PMC7392168","NIHMS1608774","10.1007/978-1-4939-9674-2_9"
"33547245","Stress granule formation, disassembly, and composition are regulated by alphavirus ADP-ribosylhydrolase activity","Jayabalan AK, Adivarahan S, Koppula A, Abraham R, Batish M, Zenklusen D, Griffin DE, Leung AKL.","Proc Natl Acad Sci U S A. 2021 Feb 9;118(6):e2021719118. doi: 10.1073/pnas.2021719118.","Jayabalan AK","Proc Natl Acad Sci U S A","2021","2021/02/06","PMC8017970","","10.1073/pnas.2021719118"
"36220102","Nuclear mRNA metabolism drives selective basket assembly on a subset of nuclear pore complexes in budding yeast","Bensidoun P, Reiter T, Montpetit B, Zenklusen D, Oeffinger M.","Mol Cell. 2022 Oct 20;82(20):3856-3871.e6. doi: 10.1016/j.molcel.2022.09.019. Epub 2022 Oct 10.","Bensidoun P","Mol Cell","2022","2022/10/11","","","10.1016/j.molcel.2022.09.019"
"29236250","Measuring mRNA Decay in Budding Yeast Using Single Molecule FISH","Trcek T, Rahman S, Zenklusen D.","Methods Mol Biol. 2018;1720:35-54. doi: 10.1007/978-1-4939-7540-2_4.","Trcek T","Methods Mol Biol","2018","2017/12/14","","","10.1007/978-1-4939-7540-2_4"
"30415950","Spatial Organization of Single mRNPs at Different Stages of the Gene Expression Pathway","Adivarahan S, Livingston N, Nicholson B, Rahman S, Wu B, Rissland OS, Zenklusen D.","Mol Cell. 2018 Nov 15;72(4):727-738.e5. doi: 10.1016/j.molcel.2018.10.010. Epub 2018 Nov 8.","Adivarahan S","Mol Cell","2018","2018/11/13","PMC6592633","NIHMS1511607","10.1016/j.molcel.2018.10.010"
"29941930","Senescence-associated ribosome biogenesis defects contributes to cell cycle arrest through the Rb pathway","Lessard F, Igelmann S, Trahan C, Huot G, Saint-Germain E, Mignacca L, Del Toro N, Lopes-Paciencia S, Le Calvé B, Montero M, Deschênes-Simard X, Bury M, Moiseeva O, Rowell MC, Zorca CE, Zenklusen D, Brakier-Gingras L, Bourdeau V, Oeffinger M, Ferbeyre G.","Nat Cell Biol. 2018 Jul;20(7):789-799. doi: 10.1038/s41556-018-0127-y. Epub 2018 Jun 25.","Lessard F","Nat Cell Biol","2018","2018/06/27","","","10.1038/s41556-018-0127-y"
"26017315","Promoter-Autonomous Functioning in a Controlled Environment using Single Molecule FISH","Hocine S, Vera M, Zenklusen D, Singer RH.","Sci Rep. 2015 May 28;5:9934. doi: 10.1038/srep09934.","Hocine S","Sci Rep","2015","2015/05/29","PMC4446897","","10.1038/srep09934"
"21356978","Imaging real-time gene expression in living yeast","Zenklusen D, Wells AL, Condeelis JS, Singer RH.","CSH Protoc. 2007 Nov 1;2007:pdb.prot4870. doi: 10.1101/pdb.prot4870.","Zenklusen D","CSH Protoc","2007","2011/03/02","PMC4956917","NIHMS802013","10.1101/pdb.prot4870"
"27839866","Structure and Function of the Nuclear Pore Complex Cytoplasmic mRNA Export Platform","Fernandez-Martinez J, Kim SJ, Shi Y, Upla P, Pellarin R, Gagnon M, Chemmama IE, Wang J, Nudelman I, Zhang W, Williams R, Rice WJ, Stokes DL, Zenklusen D, Chait BT, Sali A, Rout MP.","Cell. 2016 Nov 17;167(5):1215-1228.e25. doi: 10.1016/j.cell.2016.10.028. Epub 2016 Nov 10.","Fernandez-Martinez J","Cell","2016","2016/11/15","PMC5130164","NIHMS824291","10.1016/j.cell.2016.10.028"
"21131977","Transcription of functionally related constitutive genes is not coordinated","Gandhi SJ, Zenklusen D, Lionnet T, Singer RH.","Nat Struct Mol Biol. 2011 Jan;18(1):27-34. doi: 10.1038/nsmb.1934. Epub 2010 Dec 5.","Gandhi SJ","Nat Struct Mol Biol","2011","2010/12/07","PMC3058351","NIHMS237678","10.1038/nsmb.1934"
"22301778","Single-mRNA counting using fluorescent in situ hybridization in budding yeast","Trcek T, Chao JA, Larson DR, Park HY, Zenklusen D, Shenoy SM, Singer RH.","Nat Protoc. 2012 Feb 2;7(2):408-19. doi: 10.1038/nprot.2011.451.","Trcek T","Nat Protoc","2012","2012/02/04","PMC4112553","NIHMS605145","10.1038/nprot.2011.451"
"23263691","Single-molecule analysis of gene expression using two-color RNA labeling in live yeast","Hocine S, Raymond P, Zenklusen D, Chao JA, Singer RH.","Nat Methods. 2013 Feb;10(2):119-21. doi: 10.1038/nmeth.2305. Epub 2012 Dec 23.","Hocine S","Nat Methods","2013","2012/12/25","PMC3899799","NIHMS544978","10.1038/nmeth.2305"
"23770821","Bimodal expression of PHO84 is modulated by early termination of antisense transcription","Castelnuovo M, Rahman S, Guffanti E, Infantino V, Stutz F, Zenklusen D.","Nat Struct Mol Biol. 2013 Jul;20(7):851-8. doi: 10.1038/nsmb.2598. Epub 2013 Jun 16.","Castelnuovo M","Nat Struct Mol Biol","2013","2013/06/18","PMC4972572","CAMS4085","10.1038/nsmb.2598"
