PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34672947","Mechanistic insights into COVID-19 by global analysis of the SARS-CoV-2 3CL(pro) substrate degradome","Pablos I, Machado Y, de Jesus HCR, Mohamud Y, Kappelhoff R, Lindskog C, Vlok M, Bell PA, Butler GS, Grin PM, Cao QT, Nguyen JP, Solis N, Abbina S, Rut W, Vederas JC, Szekely L, Szakos A, Drag M, Kizhakkedathu JN, Mossman K, Hirota JA, Jan E, Luo H, Banerjee A, Overall CM.","Cell Rep. 2021 Oct 26;37(4):109892. doi: 10.1016/j.celrep.2021.109892. Epub 2021 Oct 9.","Pablos I","Cell Rep","2021","2021/10/21","PMC8501228","","10.1016/j.celrep.2021.109892"
"31167957","Dicistrovirus-Host Molecular Interactions","Warsaba R, Sadasivan J, Jan E.","Curr Issues Mol Biol. 2020;34:83-112. doi: 10.21775/cimb.034.083. Epub 2019 Jun 6.","Warsaba R","Curr Issues Mol Biol","2020","2019/06/07","","","10.21775/cimb.034.083"
"25045163","Novel viral translation strategies","Au HH, Jan E.","Wiley Interdiscip Rev RNA. 2014 Nov-Dec;5(6):779-801. doi: 10.1002/wrna.1246. Epub 2014 Jul 8.","Au HH","Wiley Interdiscip Rev RNA","2014","2014/07/22","PMC7169809","","10.1002/wrna.1246"
"27654067","tRNA-mimicry in IRES-mediated translation and recoding","Butcher SE, Jan E.","RNA Biol. 2016 Nov;13(11):1068-1074. doi: 10.1080/15476286.2016.1219833. Epub 2016 Aug 11.","Butcher SE","RNA Biol","2016","2016/09/23","PMC5100355","","10.1080/15476286.2016.1219833"
"25464034","Stress-mediated translational control in cancer cells","Leprivier G, Rotblat B, Khan D, Jan E, Sorensen PH.","Biochim Biophys Acta. 2015 Jul;1849(7):845-60. doi: 10.1016/j.bbagrm.2014.11.002. Epub 2014 Nov 10.","Leprivier G","Biochim Biophys Acta","2015","2014/12/03","","","10.1016/j.bbagrm.2014.11.002"
"26051463","Editorial overview: Virus structure and expression","Jan E, Tao YJ.","Curr Opin Virol. 2015 Jun;12:ix-x. doi: 10.1016/j.coviro.2015.05.005. Epub 2015 Jun 6.","Jan E","Curr Opin Virol","2015","2015/06/09","","","10.1016/j.coviro.2015.05.005"
"27053555","Commandeering the Ribosome: Lessons Learned from Dicistroviruses about Translation","Kerr CH, Jan E.","J Virol. 2016 May 27;90(12):5538-5540. doi: 10.1128/JVI.00737-15. Print 2016 Jun 15.","Kerr CH","J Virol","2016","2016/04/08","PMC4886786","","10.1128/JVI.00737-15"
"16307820","Divergent IRES elements in invertebrates","Jan E.","Virus Res. 2006 Jul;119(1):16-28. doi: 10.1016/j.virusres.2005.10.011. Epub 2005 Nov 22.","Jan E","Virus Res","2006","2005/11/26","","","10.1016/j.virusres.2005.10.011"
"23009811","Methods for studying IRES-mediated translation of positive-strand RNA viruses","Wang QS, Au HH, Jan E.","Methods. 2013 Feb;59(2):167-79. doi: 10.1016/j.ymeth.2012.09.004. Epub 2012 Sep 23.","Wang QS","Methods","2013","2012/09/27","","","10.1016/j.ymeth.2012.09.004"
"27501262","A Cap-to-Tail Guide to mRNA Translation Strategies in Virus-Infected Cells","Jan E, Mohr I, Walsh D.","Annu Rev Virol. 2016 Sep 29;3(1):283-307. doi: 10.1146/annurev-virology-100114-055014. Epub 2016 Aug 3.","Jan E","Annu Rev Virol","2016","2016/08/09","","","10.1146/annurev-virology-100114-055014"
"36395539","Expansion of viral genomes with viral protein genome linked copies","Warsaba R, Salcedo-Porras N, Flibotte S, Jan E.","Virology. 2022 Nov 11;577:174-184. doi: 10.1016/j.virol.2022.10.012. Online ahead of print.","Warsaba R","Virology","2022","2022/11/17","","","10.1016/j.virol.2022.10.012"
"36455064","Targeting Nup358/RanBP2 by a viral protein disrupts stress granule formation","Sadasivan J, Vlok M, Wang X, Nayak A, Andino R, Jan E.","PLoS Pathog. 2022 Dec 1;18(12):e1010598. doi: 10.1371/journal.ppat.1010598. eCollection 2022 Dec.","Sadasivan J","PLoS Pathog","2022","2022/12/01","PMC9746944","","10.1371/journal.ppat.1010598"
"36239738","Filamin A regulates caspase-3 cleavage in platelets in a protein kinase C (PKC)-dependent manner","De Silva E, Devine DV, Jan E, Roskelley CD, Kim H.","Biochem J. 2022 Nov 30;479(22):2351-2364. doi: 10.1042/BCJ20220177.","De Silva E","Biochem J","2022","2022/10/14","","","10.1042/BCJ20220177"
"30080445","NLRP3 deficiency exacerbates enterovirus infection in mice","Wang C, Fung G, Deng H, Jagdeo J, Mohamud Y, Xue YC, Jan E, Hirota JA, Luo H.","FASEB J. 2019 Jan;33(1):942-952. doi: 10.1096/fj.201800301RRR. Epub 2018 Aug 6.","Wang C","FASEB J","2019","2018/08/07","","","10.1096/fj.201800301RRR"
"33450483","The papain-like protease of coronaviruses cleaves ULK1 to disrupt host autophagy","Mohamud Y, Xue YC, Liu H, Ng CS, Bahreyni A, Jan E, Luo H.","Biochem Biophys Res Commun. 2021 Feb 12;540:75-82. doi: 10.1016/j.bbrc.2020.12.091. Epub 2021 Jan 8.","Mohamud Y","Biochem Biophys Res Commun","2021","2021/01/15","PMC7836930","","10.1016/j.bbrc.2020.12.091"
"25652822","Molecular biology: signals across domains of life","Jan E.","Nature. 2015 Mar 5;519(7541):40-1. doi: 10.1038/nature14202. Epub 2015 Feb 4.","Jan E","Nature","2015","2015/02/06","","","10.1038/nature14202"
"32539747","Dynamic rewiring of the human interactome by interferon signaling","Kerr CH, Skinnider MA, Andrews DDT, Madero AM, Chan QWT, Stacey RG, Stoynov N, Jan E, Foster LJ.","Genome Biol. 2020 Jun 15;21(1):140. doi: 10.1186/s13059-020-02050-y.","Kerr CH","Genome Biol","2020","2020/06/17","PMC7294662","","10.1186/s13059-020-02050-y"
"35993738","Multiple Viral Protein Genome-Linked Proteins Compensate for Viral Translation in a Positive-Sense Single-Stranded RNA Virus Infection","Warsaba R, Stoynov N, Moon KM, Flibotte S, Foster L, Jan E.","J Virol. 2022 Sep 14;96(17):e0069922. doi: 10.1128/jvi.00699-22. Epub 2022 Aug 22.","Warsaba R","J Virol","2022","2022/08/22","PMC9472611","","10.1128/jvi.00699-22"
"30446641","Cellular metabolism constrains innate immune responses in early human ontogeny","Kan B, Michalski C, Fu H, Au HHT, Lee K, Marchant EA, Cheng MF, Anderson-Baucum E, Aharoni-Simon M, Tilley P, Mirmira RG, Ross CJ, Luciani DS, Jan E, Lavoie PM.","Nat Commun. 2018 Nov 16;9(1):4822. doi: 10.1038/s41467-018-07215-9.","Kan B","Nat Commun","2018","2018/11/18","PMC6240060","","10.1038/s41467-018-07215-9"
"33802878","Resurrection of a Viral Internal Ribosome Entry Site from a 700 Year Old Ancient Northwest Territories Cripavirus","Wang X, Vlok M, Flibotte S, Jan E.","Viruses. 2021 Mar 17;13(3):493. doi: 10.3390/v13030493.","Wang X","Viruses","2021","2021/04/03","PMC8002689","","10.3390/v13030493"
"25926642","Heterogeneous Nuclear Ribonucleoprotein M Facilitates Enterovirus Infection","Jagdeo JM, Dufour A, Fung G, Luo H, Kleifeld O, Overall CM, Jan E.","J Virol. 2015 Jul;89(14):7064-78. doi: 10.1128/JVI.02977-14.","Jagdeo JM","J Virol","2015","2015/05/01","PMC4473559","","10.1128/JVI.02977-14"
"35019716","The Hinge Region of the Israeli Acute Paralysis Virus Internal Ribosome Entry Site Directs Ribosomal Positioning, Translational Activity, and Virus Infection","Kirby MP, Stevenson C, Worrall LJ, Chen Y, Young C, Youm J, Strynadka NCJ, Allan DW, Jan E.","J Virol. 2022 Mar 9;96(5):e0133021. doi: 10.1128/JVI.01330-21. Epub 2022 Jan 12.","Kirby MP","J Virol","2022","2022/01/12","PMC8906427","","10.1128/JVI.01330-21"
"30418631","IRES-dependent ribosome repositioning directs translation of a +1 overlapping ORF that enhances viral infection","Kerr CH, Wang QS, Moon KM, Keatings K, Allan DW, Foster LJ, Jan E.","Nucleic Acids Res. 2018 Dec 14;46(22):11952-11967. doi: 10.1093/nar/gky1121.","Kerr CH","Nucleic Acids Res","2018","2018/11/13","PMC6294563","","10.1093/nar/gky1121"
"30478341","Transmission of Cricket paralysis virus via exosome-like vesicles during infection of Drosophila cells","Kerr CH, Dalwadi U, Scott NE, Yip CK, Foster LJ, Jan E.","Sci Rep. 2018 Nov 26;8(1):17353. doi: 10.1038/s41598-018-35717-5.","Kerr CH","Sci Rep","2018","2018/11/28","PMC6255767","","10.1038/s41598-018-35717-5"
"30308158","A Viral Protein Restricts Drosophila RNAi Immunity by Regulating Argonaute Activity and Stability","Nayak A, Kim DY, Trnka MJ, Kerr CH, Lidsky PV, Stanley DJ, Rivera BM, Li KH, Burlingame AL, Jan E, Frydman J, Gross JD, Andino R.","Cell Host Microbe. 2018 Oct 10;24(4):542-557.e9. doi: 10.1016/j.chom.2018.09.006.","Nayak A","Cell Host Microbe","2018","2018/10/12","PMC6450077","NIHMS1018020","10.1016/j.chom.2018.09.006"
"27407112","Novel small molecules potentiate premature termination codon readthrough by aminoglycosides","Baradaran-Heravi A, Balgi AD, Zimmerman C, Choi K, Shidmoossavee FS, Tan JS, Bergeaud C, Krause A, Flibotte S, Shimizu Y, Anderson HJ, Mouly V, Jan E, Pfeifer T, Jaquith JB, Roberge M.","Nucleic Acids Res. 2016 Aug 19;44(14):6583-98. doi: 10.1093/nar/gkw638. Epub 2016 Jul 12.","Baradaran-Heravi A","Nucleic Acids Res","2016","2016/07/14","PMC5001621","","10.1093/nar/gkw638"
"19570978","ABC50 promotes translation initiation in mammalian cells","Paytubi S, Wang X, Lam YW, Izquierdo L, Hunter MJ, Jan E, Hundal HS, Proud CG.","J Biol Chem. 2009 Sep 4;284(36):24061-73. doi: 10.1074/jbc.M109.031625. Epub 2009 Jul 1.","Paytubi S","J Biol Chem","2009","2009/07/03","PMC2782000","","10.1074/jbc.M109.031625"
"28374861","Erratum: Molecular analysis of the factorless internal ribosome entry site in Cricket Paralysis virus infection","Kerr CH, Ma ZW, Jang CJ, Thompson SR, Jan E.","Sci Rep. 2017 Apr 4;7:39439. doi: 10.1038/srep39439.","Kerr CH","Sci Rep","2017","2017/04/05","PMC5379734","","10.1038/srep39439"
"21715376","Translation-competent 48S complex formation on HCV IRES requires the RNA-binding protein NSAP1","Park SM, Paek KY, Hong KY, Jang CJ, Cho S, Park JH, Kim JH, Jan E, Jang SK.","Nucleic Acids Res. 2011 Sep 1;39(17):7791-802. doi: 10.1093/nar/gkr509. Epub 2011 Jun 28.","Park SM","Nucleic Acids Res","2011","2011/07/01","PMC3177222","","10.1093/nar/gkr509"
"28003491","Disruption of Stress Granule Formation by the Multifunctional Cricket Paralysis Virus 1A Protein","Khong A, Kerr CH, Yeung CHL, Keatings K, Nayak A, Allan DW, Jan E.","J Virol. 2017 Feb 14;91(5):e01779-16. doi: 10.1128/JVI.01779-16. Print 2017 Mar 1.","Khong A","J Virol","2017","2016/12/23","PMC5309961","","10.1128/JVI.01779-16"
"22121221","mTOR signaling regulates the processing of pre-rRNA in human cells","Iadevaia V, Zhang Z, Jan E, Proud CG.","Nucleic Acids Res. 2012 Mar;40(6):2527-39. doi: 10.1093/nar/gkr1040. Epub 2011 Nov 24.","Iadevaia V","Nucleic Acids Res","2012","2011/11/29","PMC3315323","","10.1093/nar/gkr1040"
"20798321","Phosphatidic acid is a pH biosensor that links membrane biogenesis to metabolism","Young BP, Shin JJ, Orij R, Chao JT, Li SC, Guan XL, Khong A, Jan E, Wenk MR, Prinz WA, Smits GJ, Loewen CJ.","Science. 2010 Aug 27;329(5995):1085-8. doi: 10.1126/science.1191026.","Young BP","Science","2010","2010/08/28","","","10.1126/science.1191026"
"23706743","The eEF2 kinase confers resistance to nutrient deprivation by blocking translation elongation","Leprivier G, Remke M, Rotblat B, Dubuc A, Mateo AR, Kool M, Agnihotri S, El-Naggar A, Yu B, Somasekharan SP, Faubert B, Bridon G, Tognon CE, Mathers J, Thomas R, Li A, Barokas A, Kwok B, Bowden M, Smith S, Wu X, Korshunov A, Hielscher T, Northcott PA, Galpin JD, Ahern CA, Wang Y, McCabe MG, Collins VP, Jones RG, Pollak M, Delattre O, Gleave ME, Jan E, Pfister SM, Proud CG, Derry WB, Taylor MD, Sorensen PH.","Cell. 2013 May 23;153(5):1064-79. doi: 10.1016/j.cell.2013.04.055.","Leprivier G","Cell","2013","2013/05/28","PMC4395874","EMS62905","10.1016/j.cell.2013.04.055"
"23333560","The small molecule genkwanine M induces single mode, mesenchymal tumor cell motility","Zimmerman C, Austin P, Khong A, McLeod S, Bean B, Forestieri R, Andersen RJ, Jan E, Roberge M, Roskelley CD.","Exp Cell Res. 2013 Apr 1;319(6):908-17. doi: 10.1016/j.yexcr.2013.01.005. Epub 2013 Jan 17.","Zimmerman C","Exp Cell Res","2013","2013/01/22","","","10.1016/j.yexcr.2013.01.005"
"27853311","Molecular analysis of the factorless internal ribosome entry site in Cricket Paralysis virus infection","Kerr CH, Ma ZW, Jang CJ, Thompson SR, Jan E.","Sci Rep. 2016 Nov 17;6:37319. doi: 10.1038/srep37319.","Kerr CH","Sci Rep","2016","2016/11/18","PMC5112510","","10.1038/srep37319"
"31396490","Cleavage and Sub-Cellular Redistribution of Nuclear Pore Protein 98 by Coxsackievirus B3 Protease 2A Impairs Cardioprotection","Hanson PJ, Hossain AR, Qiu Y, Zhang HM, Zhao G, Li C, Lin V, Sulaimon S, Vlok M, Fung G, Chen VH, Jan E, McManus BM, Granville DJ, Yang D.","Front Cell Infect Microbiol. 2019 Jul 24;9:265. doi: 10.3389/fcimb.2019.00265. eCollection 2019.","Hanson PJ","Front Cell Infect Microbiol","2019","2019/08/10","PMC6667557","","10.3389/fcimb.2019.00265"
"22761847","A daphnane diterpenoid isolated from Wikstroemia polyantha induces an inflammatory response and modulates miRNA activity","Khong A, Forestieri R, Williams DE, Patrick BO, Olmstead A, Svinti V, Schaeffer E, Jean F, Roberge M, Andersen RJ, Jan E.","PLoS One. 2012;7(6):e39621. doi: 10.1371/journal.pone.0039621. Epub 2012 Jun 26.","Khong A","PLoS One","2012","2012/07/05","PMC3383676","","10.1371/journal.pone.0039621"
"25038250","Structural determinants of an internal ribosome entry site that direct translational reading frame selection","Ren Q, Au HH, Wang QS, Lee S, Jan E.","Nucleic Acids Res. 2014 Aug;42(14):9366-82. doi: 10.1093/nar/gku622. Epub 2014 Jul 18.","Ren Q","Nucleic Acids Res","2014","2014/07/20","PMC4132737","","10.1093/nar/gku622"
"19829691","The Imd pathway is involved in antiviral immune responses in Drosophila","Costa A, Jan E, Sarnow P, Schneider D.","PLoS One. 2009 Oct 15;4(10):e7436. doi: 10.1371/journal.pone.0007436.","Costa A","PLoS One","2009","2009/10/16","PMC2758544","","10.1371/journal.pone.0007436"
"26797630","Temporal Regulation of Distinct Internal Ribosome Entry Sites of the Dicistroviridae Cricket Paralysis Virus","Khong A, Bonderoff JM, Spriggs RV, Tammpere E, Kerr CH, Jackson TJ, Willis AE, Jan E.","Viruses. 2016 Jan 19;8(1):25. doi: 10.3390/v8010025.","Khong A","Viruses","2016","2016/01/23","PMC4728584","","10.3390/v8010025"
"21106737","Modulation of stress granules and P bodies during dicistrovirus infection","Khong A, Jan E.","J Virol. 2011 Feb;85(4):1439-51. doi: 10.1128/JVI.02220-10. Epub 2010 Nov 24.","Khong A","J Virol","2011","2010/11/26","PMC3028890","","10.1128/JVI.02220-10"
"23236506","Insights into factorless translational initiation by the tRNA-like pseudoknot domain of a viral IRES","Au HH, Jan E.","PLoS One. 2012;7(12):e51477. doi: 10.1371/journal.pone.0051477. Epub 2012 Dec 7.","Au HH","PLoS One","2012","2012/12/14","PMC3517527","","10.1371/journal.pone.0051477"
"36516234","Antibacterial and Antiviral Coating on Surfaces through Dopamine-Assisted Codeposition of an Antifouling Polymer and In Situ Formed Nanosilver","Yu K, Warsaba R, Yazdani-Ahmadabadi H, Lange D, Jan E, Kizhakkedathu JN.","ACS Biomater Sci Eng. 2023 Jan 9;9(1):329-339. doi: 10.1021/acsbiomaterials.2c01350. Epub 2022 Dec 14.","Yu K","ACS Biomater Sci Eng","2023","2022/12/14","","","10.1021/acsbiomaterials.2c01350"
"32777388","New features on the genomic organization of a novel dicistrovirus identified from the sweet potato whitefly Bemisia tabaci","Hedil M, Nakasu EYT, Nagata T, Wen J, Jan E, Michereff-Filho M, Inoue-Nagata AK.","Virus Res. 2020 Oct 15;288:198112. doi: 10.1016/j.virusres.2020.198112. Epub 2020 Aug 7.","Hedil M","Virus Res","2020","2020/08/11","","","10.1016/j.virusres.2020.198112"
"19889774","Host and viral translational mechanisms during cricket paralysis virus infection","Garrey JL, Lee YY, Au HH, Bushell M, Jan E.","J Virol. 2010 Jan;84(2):1124-38. doi: 10.1128/JVI.02006-09. Epub 2009 Nov 4.","Garrey JL","J Virol","2010","2009/11/06","PMC2798387","","10.1128/JVI.02006-09"
"20423979","Modular domains of the Dicistroviridae intergenic internal ribosome entry site","Jang CJ, Jan E.","RNA. 2010 Jun;16(6):1182-95. doi: 10.1261/rna.2044610. Epub 2010 Apr 27.","Jang CJ","RNA","2010","2010/04/29","PMC2874170","","10.1261/rna.2044610"
"19366727","LC3-mediated fibronectin mRNA translation induces fibrosarcoma growth by increasing connective tissue growth factor","Ying L, Lau A, Alvira CM, West R, Cann GM, Zhou B, Kinnear C, Jan E, Sarnow P, Van de Rijn M, Rabinovitch M.","J Cell Sci. 2009 May 1;122(Pt 9):1441-51. doi: 10.1242/jcs.025957. Epub 2009 Apr 14.","Ying L","J Cell Sci","2009","2009/04/16","PMC2672968","NIHMS86971","10.1242/jcs.025957"
