PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33794207","MRI-guided adaptive brachytherapy in locally advanced cervical cancer (EMBRACE-I): a multicentre prospective cohort study","Pötter R, Tanderup K, Schmid MP, Jürgenliemk-Schulz I, Haie-Meder C, Fokdal LU, Sturdza AE, Hoskin P, Mahantshetty U, Segedin B, Bruheim K, Huang F, Rai B, Cooper R, van der Steen-Banasik E, Van Limbergen E, Pieters BR, Tan LT, Nout RA, De Leeuw AAC, Ristl R, Petric P, Nesvacil N, Kirchheiner K, Kirisits C, Lindegaard JC; EMBRACE Collaborative Group.","Lancet Oncol. 2021 Apr;22(4):538-547. doi: 10.1016/S1470-2045(20)30753-1.","Pötter R","Lancet Oncol","2021","2021/04/01","","","10.1016/S1470-2045(20)30753-1"
"31064814","Proximity-dependent biotinylation mediated by TurboID to identify protein-protein interaction networks in yeast","Larochelle M, Bergeron D, Arcand B, Bachand F.","J Cell Sci. 2019 May 31;132(11):jcs232249. doi: 10.1242/jcs.232249.","Larochelle M","J Cell Sci","2019","2019/05/09","","","10.1242/jcs.232249"
"26273910","Fail-safe transcription termination: Because one is never enough","Lemay JF, Bachand F.","RNA Biol. 2015;12(9):927-32. doi: 10.1080/15476286.2015.1073433.","Lemay JF","RNA Biol","2015","2015/08/15","PMC4615224","","10.1080/15476286.2015.1073433"
"17468392","Protein arginine methyltransferases: from unicellular eukaryotes to humans","Bachand F.","Eukaryot Cell. 2007 Jun;6(6):889-98. doi: 10.1128/EC.00099-07. Epub 2007 Apr 27.","Bachand F","Eukaryot Cell","2007","2007/05/01","PMC1951521","","10.1128/EC.00099-07"
"20400847","Crossing the borders: poly(A)-binding proteins working on both sides of the fence","Lemay JF, Lemieux C, St-André O, Bachand F.","RNA Biol. 2010 May-Jun;7(3):291-5. doi: 10.4161/rna.7.3.11649. Epub 2010 May 27.","Lemay JF","RNA Biol","2010","2010/04/20","","","10.4161/rna.7.3.11649"
"27582274","Polyadenylation site selection: linking transcription and RNA processing via a conserved carboxy-terminal domain (CTD)-interacting protein","Larochelle M, Hunyadkürti J, Bachand F.","Curr Genet. 2017 May;63(2):195-199. doi: 10.1007/s00294-016-0645-8. Epub 2016 Aug 31.","Larochelle M","Curr Genet","2017","2016/09/02","","","10.1007/s00294-016-0645-8"
"35882607","Cervical cancer patient reported gastrointestinal outcomes: intensity/volumetric modulated vs. 3D conformal radiation therapy","Urban R, Wong J, Lim P, Zhang S, Spadinger I, Olson R, Bachand F, Ho C, Tinker AV, Gondara L, Hamilton SN.","J Gynecol Oncol. 2022 Sep;33(5):e70. doi: 10.3802/jgo.2022.33.e70. Epub 2022 Jul 7.","Urban R","J Gynecol Oncol","2022","2022/07/26","PMC9428301","","10.3802/jgo.2022.33.e70"
"24080299","Validation study of ultrasound-based high-dose-rate prostate brachytherapy planning compared with CT-based planning","Batchelar D, Gaztañaga M, Schmid M, Araujo C, Bachand F, Crook J.","Brachytherapy. 2014 Jan-Feb;13(1):75-9. doi: 10.1016/j.brachy.2013.08.004. Epub 2013 Sep 27.","Batchelar D","Brachytherapy","2014","2013/10/02","","","10.1016/j.brachy.2013.08.004"
"34352089","Co-transcriptional RNA cleavage by Drosha homolog Pac1 triggers transcription termination in fission yeast","Yague-Sanz C, Duval M, Larochelle M, Bachand F.","Nucleic Acids Res. 2021 Sep 7;49(15):8610-8624. doi: 10.1093/nar/gkab654.","Yague-Sanz C","Nucleic Acids Res","2021","2021/08/05","PMC8421224","","10.1093/nar/gkab654"
"35621660","Using a Weekly Patient-Reported Outcome Questionnaire to Track Acute Toxicity in Patients Undergoing Pelvic Radiotherapy for Gynecologic Cancers","Chan M, Olson R, Lapointe V, Hamm J, Bachand F, Holloway C, Parsons C, Lim P.","Curr Oncol. 2022 May 5;29(5):3306-3317. doi: 10.3390/curroncol29050270.","Chan M","Curr Oncol","2022","2022/05/27","PMC9140006","","10.3390/curroncol29050270"
"31294478","Senataxin homologue Sen1 is required for efficient termination of RNA polymerase III transcription","Rivosecchi J, Larochelle M, Teste C, Grenier F, Malapert A, Ricci EP, Bernard P, Bachand F, Vanoosthuyse V.","EMBO J. 2019 Aug 15;38(16):e101955. doi: 10.15252/embj.2019101955. Epub 2019 Jul 11.","Rivosecchi J","EMBO J","2019","2019/07/12","PMC6694214","","10.15252/embj.2019101955"
"31248822","A surrogate urethra for real-time planning of high-dose-rate prostate brachytherapy","Halperin H, Hilts M, Crook J, Batchelar D, Tisseverasinghe S, Tetreault-LaFlamme A, Bachand F.","Brachytherapy. 2019 Sep-Oct;18(5):675-682. doi: 10.1016/j.brachy.2019.05.009. Epub 2019 Jun 24.","Halperin H","Brachytherapy","2019","2019/06/29","","","10.1016/j.brachy.2019.05.009"
"34614242","Fission yeast RNA-binding proteins Puf2 and Puf4 are involved in repression of ferrireductase Frp1 expression in response to iron","Beaudoin J, Normant V, Brault A, Henry DJ, Bachand F, Massé É, Chua G, Labbé S.","Mol Microbiol. 2021 Nov;116(5):1361-1377. doi: 10.1111/mmi.14829. Epub 2021 Oct 21.","Beaudoin J","Mol Microbiol","2021","2021/10/06","","","10.1111/mmi.14829"
"32499400","Nutrient-dependent control of RNA polymerase II elongation rate regulates specific gene expression programs by alternative polyadenylation","Yague-Sanz C, Vanrobaeys Y, Fernandez R, Duval M, Larochelle M, Beaudoin J, Berro J, Labbé S, Jacques PÉ, Bachand F.","Genes Dev. 2020 Jul 1;34(13-14):883-897. doi: 10.1101/gad.337212.120. Epub 2020 Jun 4.","Yague-Sanz C","Genes Dev","2020","2020/06/06","PMC7328516","","10.1101/gad.337212.120"
"33245768","PDCD2 functions as an evolutionarily conserved chaperone dedicated for the 40S ribosomal protein uS5 (RPS2)","Landry-Voyer AM, Bergeron D, Yague-Sanz C, Baker B, Bachand F.","Nucleic Acids Res. 2020 Dec 16;48(22):12900-12916. doi: 10.1093/nar/gkaa1108.","Landry-Voyer AM","Nucleic Acids Res","2020","2020/11/27","PMC7736825","","10.1093/nar/gkaa1108"
"25240800","The RNA exosome promotes transcription termination of backtracked RNA polymerase II","Lemay JF, Larochelle M, Marguerat S, Atkinson S, Bähler J, Bachand F.","Nat Struct Mol Biol. 2014 Oct;21(10):919-26. doi: 10.1038/nsmb.2893. Epub 2014 Sep 21.","Lemay JF","Nat Struct Mol Biol","2014","2014/09/22","","","10.1038/nsmb.2893"
"30341288","Common mechanism of transcription termination at coding and noncoding RNA genes in fission yeast","Larochelle M, Robert MA, Hébert JN, Liu X, Matteau D, Rodrigue S, Tian B, Jacques PÉ, Bachand F.","Nat Commun. 2018 Oct 19;9(1):4364. doi: 10.1038/s41467-018-06546-x.","Larochelle M","Nat Commun","2018","2018/10/21","PMC6195540","","10.1038/s41467-018-06546-x"
"30321377","Proteomic profiling and functional characterization of post-translational modifications of the fission yeast RNA exosome","Telekawa C, Boisvert FM, Bachand F.","Nucleic Acids Res. 2018 Nov 30;46(21):11169-11183. doi: 10.1093/nar/gky915.","Telekawa C","Nucleic Acids Res","2018","2018/10/16","PMC6265454","","10.1093/nar/gky915"
"26412617","Skin dose in breast brachytherapy: Defining a robust metric","Hilts M, Halperin H, Morton D, Batchelar D, Bachand F, Chowdhury R, Crook J.","Brachytherapy. 2015 Nov-Dec;14(6):970-8. doi: 10.1016/j.brachy.2015.08.002. Epub 2015 Sep 26.","Hilts M","Brachytherapy","2015","2015/09/29","","","10.1016/j.brachy.2015.08.002"
"25963658","Regulated Intron Retention and Nuclear Pre-mRNA Decay Contribute to PABPN1 Autoregulation","Bergeron D, Pal G, Beaulieu YB, Chabot B, Bachand F.","Mol Cell Biol. 2015 Jul;35(14):2503-17. doi: 10.1128/MCB.00070-15. Epub 2015 May 11.","Bergeron D","Mol Cell Biol","2015","2015/05/13","PMC4475927","","10.1128/MCB.00070-15"
"31364977","Pain response in a population-based study of radium-223 (Ra223) for metastatic castration-resistant prostate cancer","Parimi S, Bondy S, Tsang E, McKenzie MR, Bachand F, Aparicio M, Duncan G, Sunderland K, Olson RA, Pai HH, Alexander AS, LaPointe V, Chi KN, Tyldesley S.","Can Urol Assoc J. 2019 Oct;13(10):E311-E316. doi: 10.5489/cuaj.5685.","Parimi S","Can Urol Assoc J","2019","2019/08/01","PMC6788917","","10.5489/cuaj.5685"
"28916539","Comparative analysis of alternative polyadenylation in S. cerevisiae and S. pombe","Liu X, Hoque M, Larochelle M, Lemay JF, Yurko N, Manley JL, Bachand F, Tian B.","Genome Res. 2017 Oct;27(10):1685-1695. doi: 10.1101/gr.222331.117. Epub 2017 Sep 15.","Liu X","Genome Res","2017","2017/09/17","PMC5630032","","10.1101/gr.222331.117"
"27401558","The Nrd1-like protein Seb1 coordinates cotranscriptional 3' end processing and polyadenylation site selection","Lemay JF, Marguerat S, Larochelle M, Liu X, van Nues R, Hunyadkürti J, Hoque M, Tian B, Granneman S, Bähler J, Bachand F.","Genes Dev. 2016 Jul 1;30(13):1558-72. doi: 10.1101/gad.280222.116.","Lemay JF","Genes Dev","2016","2016/07/13","PMC4949328","","10.1101/gad.280222.116"
"26628368","A Polyadenylation-Dependent 3' End Maturation Pathway Is Required for the Synthesis of the Human Telomerase RNA","Nguyen D, Grenier St-Sauveur V, Bergeron D, Dupuis-Sandoval F, Scott MS, Bachand F.","Cell Rep. 2015 Dec 15;13(10):2244-57. doi: 10.1016/j.celrep.2015.11.003. Epub 2015 Nov 25.","Nguyen D","Cell Rep","2015","2015/12/03","","","10.1016/j.celrep.2015.11.003"
"36191741","GEC-ESTRO (ACROP)-ABS-CBG Consensus Brachytherapy Target Definition Guidelines for Recurrent Endometrial and Cervical Tumors in the Vagina","Kamrava M, Leung E, Bachand F, Beriwal S, Chargari C, D'Souza D, Erickson B, Fokdal L, Han K, Harkenrider M, Lin L, Mahantshetty U, Nesvacil N, Ravi A, Schmid M, Vigneault E, Westerveld H, Yashar C, Nout R.","Int J Radiat Oncol Biol Phys. 2023 Mar 1;115(3):654-663. doi: 10.1016/j.ijrobp.2022.09.072. Epub 2022 Oct 1.","Kamrava M","Int J Radiat Oncol Biol Phys","2023","2022/10/03","","","10.1016/j.ijrobp.2022.09.072"
"28827105","Long-Term Prostate Specific Antigen Stability and Predictive Factors of Failure after Permanent Seed Prostate Brachytherapy","Tetreault-Laflamme A, Crook J, Hamm J, Pickles T, Keyes M, McKenzie M, Pai H, Bachand F, Morris J.","J Urol. 2018 Jan;199(1):120-125. doi: 10.1016/j.juro.2017.07.089. Epub 2017 Aug 19.","Tetreault-Laflamme A","J Urol","2018","2017/08/23","","","10.1016/j.juro.2017.07.089"
"30795889","Dose to the dominant intraprostatic lesion using HDR vs. LDR monotherapy: A Phase II randomized trial","Tissaverasinghe S, Crook J, Bachand F, Batchelar D, Hilts M, Araujo C, Anderson D, Bainbridge T, Farnquist B.","Brachytherapy. 2019 May-Jun;18(3):299-305. doi: 10.1016/j.brachy.2019.01.006. Epub 2019 Feb 20.","Tissaverasinghe S","Brachytherapy","2019","2019/02/24","","","10.1016/j.brachy.2019.01.006"
"19359250","A methyltransferase-independent function for Rmt3 in ribosomal subunit homeostasis","Perreault A, Gascon S, D'Amours A, Aletta JM, Bachand F.","J Biol Chem. 2009 May 29;284(22):15026-37. doi: 10.1074/jbc.M109.004812. Epub 2009 Apr 9.","Perreault A","J Biol Chem","2009","2009/04/11","PMC2685685","","10.1074/jbc.M109.004812"
"25684438","Effect of aging and long-term erectile function after iodine-125 prostate brachytherapy","Keyes M, Pickles T, Crook J, McKenzie M, Cheung A, Spadinger I, LaPointe V, Bachand WF, Morris J.","Brachytherapy. 2015 May-Jun;14(3):334-41. doi: 10.1016/j.brachy.2015.01.001. Epub 2015 Feb 14.","Keyes M","Brachytherapy","2015","2015/02/17","","","10.1016/j.brachy.2015.01.001"
"29914874","Long noncoding RNA repertoire and targeting by nuclear exosome, cytoplasmic exonuclease, and RNAi in fission yeast","Atkinson SR, Marguerat S, Bitton DA, Rodríguez-López M, Rallis C, Lemay JF, Cotobal C, Malecki M, Smialowski P, Mata J, Korber P, Bachand F, Bähler J.","RNA. 2018 Sep;24(9):1195-1213. doi: 10.1261/rna.065524.118. Epub 2018 Jun 18.","Atkinson SR","RNA","2018","2018/06/20","PMC6097657","","10.1261/rna.065524.118"
"25883323","Widespread exon skipping triggers degradation by nuclear RNA surveillance in fission yeast","Bitton DA, Atkinson SR, Rallis C, Smith GC, Ellis DA, Chen YY, Malecki M, Codlin S, Lemay JF, Cotobal C, Bachand F, Marguerat S, Mata J, Bähler J.","Genome Res. 2015 Jun;25(6):884-96. doi: 10.1101/gr.185371.114. Epub 2015 Apr 16.","Bitton DA","Genome Res","2015","2015/04/18","PMC4448684","","10.1101/gr.185371.114"
