PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36516216","Sequence-sensitive elastic network captures dynamical features necessary for miR-125a maturation","Mailhot O, Frappier V, Major F, Najmanovich RJ.","PLoS Comput Biol. 2022 Dec 14;18(12):e1010777. doi: 10.1371/journal.pcbi.1010777. eCollection 2022 Dec.","Mailhot O","PLoS Comput Biol","2022","2022/12/14","PMC9797095","","10.1371/journal.pcbi.1010777"
"12458086","Implication of the prohead RNA in phage phi29 DNA packaging","Bourassa N, Major F.","Biochimie. 2002 Sep;84(9):945-51. doi: 10.1016/s0300-9084(02)01444-x.","Bourassa N","Biochimie","2002","2002/11/30","","","10.1016/s0300-9084(02)01444-x"
"32472108","From transient recognition to efficient silencing: a RISCky business","Major F.","Nat Struct Mol Biol. 2020 Jun;27(6):519-520. doi: 10.1038/s41594-020-0451-3.","Major F","Nat Struct Mol Biol","2020","2020/05/31","","","10.1038/s41594-020-0451-3"
"20453028","Designing small multiple-target artificial RNAs","De Guire V, Caron M, Scott N, Ménard C, Gaumont-Leclerc MF, Chartrand P, Major F, Ferbeyre G.","Nucleic Acids Res. 2010 Jul;38(13):e140. doi: 10.1093/nar/gkq354. Epub 2010 May 7.","De Guire V","Nucleic Acids Res","2010","2010/05/11","PMC2910070","","10.1093/nar/gkq354"
"27651454","Structural dynamics control the MicroRNA maturation pathway","Dallaire P, Tan H, Szulwach K, Ma C, Jin P, Major F.","Nucleic Acids Res. 2016 Nov 16;44(20):9956-9964. doi: 10.1093/nar/gkw793. Epub 2016 Sep 19.","Dallaire P","Nucleic Acids Res","2016","2016/09/22","PMC5175353","","10.1093/nar/gkw793"
"17135249","An E2F/miR-20a autoregulatory feedback loop","Sylvestre Y, De Guire V, Querido E, Mukhopadhyay UK, Bourdeau V, Major F, Ferbeyre G, Chartrand P.","J Biol Chem. 2007 Jan 26;282(4):2135-43. doi: 10.1074/jbc.M608939200. Epub 2006 Nov 29.","Sylvestre Y","J Biol Chem","2007","2006/12/01","","","10.1074/jbc.M608939200"
"34679099","CAMAP: Artificial neural networks unveil the role of codon arrangement in modulating MHC-I peptides presentation","Daouda T, Dumont-Lagacé M, Feghaly A, Benslimane Y, Panes R, Courcelles M, Benhammadi M, Harrington L, Thibault P, Major F, Bengio Y, Gagnon É, Lemieux S, Perreault C.","PLoS Comput Biol. 2021 Oct 22;17(10):e1009482. doi: 10.1371/journal.pcbi.1009482. eCollection 2021 Oct.","Daouda T","PLoS Comput Biol","2021","2021/10/22","PMC8577786","","10.1371/journal.pcbi.1009482"
"27665603","Exploring Alternative RNA Structure Sets Using MC-Flashfold and db2cm","Dallaire P, Major F.","Methods Mol Biol. 2016;1490:237-51. doi: 10.1007/978-1-4939-6433-8_15.","Dallaire P","Methods Mol Biol","2016","2016/09/26","","","10.1007/978-1-4939-6433-8_15"
"32469933","A transcriptome-based approach to identify functional modules within and across primary human immune cells","Mola S, Foisy S, Boucher G, Major F, Beauchamp C, Karaky M, Goyette P, Lesage S, Rioux JD.","PLoS One. 2020 May 29;15(5):e0233543. doi: 10.1371/journal.pone.0233543. eCollection 2020.","Mola S","PLoS One","2020","2020/05/30","PMC7259617","","10.1371/journal.pone.0233543"
"20684627","RNA structure determination using SAXS data","Yang S, Parisien M, Major F, Roux B.","J Phys Chem B. 2010 Aug 12;114(31):10039-48. doi: 10.1021/jp1057308.","Yang S","J Phys Chem B","2010","2010/08/06","PMC3164809","NIHMS224091","10.1021/jp1057308"
"32371455","RNA-Puzzles Round IV: 3D structure predictions of four ribozymes and two aptamers","Miao Z, Adamiak RW, Antczak M, Boniecki MJ, Bujnicki J, Chen SJ, Cheng CY, Cheng Y, Chou FC, Das R, Dokholyan NV, Ding F, Geniesse C, Jiang Y, Joshi A, Krokhotin A, Magnus M, Mailhot O, Major F, Mann TH, Piątkowski P, Pluta R, Popenda M, Sarzynska J, Sun L, Szachniuk M, Tian S, Wang J, Wang J, Watkins AM, Wiedemann J, Xiao Y, Xu X, Yesselman JD, Zhang D, Zhang Y, Zhang Z, Zhao C, Zhao P, Zhou Y, Zok T, Żyła A, Ren A, Batey RT, Golden BL, Huang L, Lilley DM, Liu Y, Patel DJ, Westhof E.","RNA. 2020 Aug;26(8):982-995. doi: 10.1261/rna.075341.120. Epub 2020 May 5.","Miao Z","RNA","2020","2020/05/07","PMC7373991","","10.1261/rna.075341.120"
"23172145","Autism-related deficits via dysregulated eIF4E-dependent translational control","Gkogkas CG, Khoutorsky A, Ran I, Rampakakis E, Nevarko T, Weatherill DB, Vasuta C, Yee S, Truitt M, Dallaire P, Major F, Lasko P, Ruggero D, Nader K, Lacaille JC, Sonenberg N.","Nature. 2013 Jan 17;493(7432):371-7. doi: 10.1038/nature11628. Epub 2012 Nov 21.","Gkogkas CG","Nature","2013","2012/11/23","PMC4133997","NIHMS504392","10.1038/nature11628"
"31076589","Apoptotic endothelial cells release small extracellular vesicles loaded with immunostimulatory viral-like RNAs","Hardy MP, Audemard É, Migneault F, Feghaly A, Brochu S, Gendron P, Boilard É, Major F, Dieudé M, Hébert MJ, Perreault C.","Sci Rep. 2019 May 10;9(1):7203. doi: 10.1038/s41598-019-43591-y.","Hardy MP","Sci Rep","2019","2019/05/12","PMC6510763","","10.1038/s41598-019-43591-y"
