PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33341895","Regulation of ex-translational activities is the primary function of the multi-tRNA synthetase complex","Cui H, Kapur M, Diedrich JK, Yates JR, Ackerman SL, Schimmel P.","Nucleic Acids Res. 2021 Apr 19;49(7):3603-3616. doi: 10.1093/nar/gkaa1183.","Cui H","Nucleic Acids Res","2021","2020/12/20","PMC8053116","","10.1093/nar/gkaa1183"
"35153822","The Landscape of Aminoacyl-tRNA Synthetases Involved in Severe Acute Respiratory Syndrome Coronavirus 2 Infection","Feng Y, Tang K, Lai Q, Liang J, Feng M, Zhou ZW, Cui H, Du X, Zhang H, Sun L.","Front Physiol. 2022 Jan 26;12:818297. doi: 10.3389/fphys.2021.818297. eCollection 2021.","Feng Y","Front Physiol","2022","2022/02/14","PMC8826553","","10.3389/fphys.2021.818297"
"33266490","Multi-Omics Database Analysis of Aminoacyl-tRNA Synthetases in Cancer","Wang J, Vallee I, Dutta A, Wang Y, Mo Z, Liu Z, Cui H, Su AI, Yang XL.","Genes (Basel). 2020 Nov 22;11(11):1384. doi: 10.3390/genes11111384.","Wang J","Genes (Basel)","2020","2020/12/03","PMC7700366","","10.3390/genes11111384"
"28098422","Structural Elucidation of a Nonpeptidic Inhibitor Specific for the Human Immunoproteasome","Cui H, Baur R, Le Chapelain C, Dubiella C, Heinemeyer W, Huber EM, Groll M.","Chembiochem. 2017 Mar 16;18(6):523-526. doi: 10.1002/cbic.201700021. Epub 2017 Feb 22.","Cui H","Chembiochem","2017","2017/01/19","","","10.1002/cbic.201700021"
"27709817","Tunable Probes with Direct Fluorescence Signals for the Constitutive and Immunoproteasome","Dubiella C, Cui H, Groll M.","Angew Chem Int Ed Engl. 2016 Oct 10;55(42):13330-13334. doi: 10.1002/anie.201605753.","Dubiella C","Angew Chem Int Ed Engl","2016","2016/10/07","","","10.1002/anie.201605753"
"25244435","Selective inhibition of the immunoproteasome by ligand-induced crosslinking of the active site","Dubiella C, Cui H, Gersch M, Brouwer AJ, Sieber SA, Krüger A, Liskamp RM, Groll M.","Angew Chem Int Ed Engl. 2014 Oct 27;53(44):11969-73. doi: 10.1002/anie.201406964. Epub 2014 Sep 22.","Dubiella C","Angew Chem Int Ed Engl","2014","2014/09/23","","","10.1002/anie.201406964"
"26563572","Selective Inhibition of the Immunoproteasome by Structure-Based Targeting of a Non-catalytic Cysteine","Dubiella C, Baur R, Cui H, Huber EM, Groll M.","Angew Chem Int Ed Engl. 2015 Dec 21;54(52):15888-91. doi: 10.1002/anie.201506631. Epub 2015 Nov 13.","Dubiella C","Angew Chem Int Ed Engl","2015","2015/11/14","","","10.1002/anie.201506631"
"25354204","Tetraspanin CD63 acts as a pro-metastatic factor via β-catenin stabilization","Seubert B, Cui H, Simonavicius N, Honert K, Schäfer S, Reuning U, Heikenwalder M, Mari B, Krüger A.","Int J Cancer. 2015 May 15;136(10):2304-15. doi: 10.1002/ijc.29296. Epub 2014 Nov 11.","Seubert B","Int J Cancer","2015","2014/10/30","","","10.1002/ijc.29296"
"26001794","TIMP-1 signaling via CD63 triggers granulopoiesis and neutrophilia in mice","Kobuch J, Cui H, Grünwald B, Saftig P, Knolle PA, Krüger A.","Haematologica. 2015 Aug;100(8):1005-13. doi: 10.3324/haematol.2014.121590. Epub 2015 May 22.","Kobuch J","Haematologica","2015","2015/05/24","PMC5004415","","10.3324/haematol.2014.121590"
"26471124","Targeted Delivery of Proteasome Inhibitors to Somatostatin-Receptor-Expressing Cancer Cells by Octreotide Conjugation","Beck P, Cui H, Hegemann JD, Marahiel MA, Krüger A, Groll M.","ChemMedChem. 2015 Dec;10(12):1969-73. doi: 10.1002/cmdc.201500449. Epub 2015 Oct 16.","Beck P","ChemMedChem","2015","2015/10/17","","","10.1002/cmdc.201500449"
"29967063","Structural and functional analysis of cystatin E reveals enzymologically relevant dimer and amyloid fibril states","Dall E, Hollerweger JC, Dahms SO, Cui H, Häussermann K, Brandstetter H.","J Biol Chem. 2018 Aug 24;293(34):13151-13165. doi: 10.1074/jbc.RA118.002154. Epub 2018 Jul 2.","Dall E","J Biol Chem","2018","2018/07/04","PMC6109925","","10.1074/jbc.RA118.002154"
"24403024","Systematic comparison of peptidic proteasome inhibitors highlights the α-ketoamide electrophile as an auspicious reversible lead motif","Stein ML, Cui H, Beck P, Dubiella C, Voss C, Krüger A, Schmidt B, Groll M.","Angew Chem Int Ed Engl. 2014 Feb 3;53(6):1679-83. doi: 10.1002/anie.201308984. Epub 2014 Jan 8.","Stein ML","Angew Chem Int Ed Engl","2014","2014/01/10","","","10.1002/anie.201308984"
"20632254","Azatryptophans as tools to study polarity requirements for folding of green fluorescent protein","Hoesl MG, Larregola M, Cui H, Budisa N.","J Pept Sci. 2010 Oct;16(10):589-95. doi: 10.1002/psc.1263.","Hoesl MG","J Pept Sci","2010","2010/07/16","","","10.1002/psc.1263"
"25131778","Tissue inhibitor of metalloproteinases (TIMP)-1 creates a premetastatic niche in the liver through SDF-1/CXCR4-dependent neutrophil recruitment in mice","Seubert B, Grünwald B, Kobuch J, Cui H, Schelter F, Schaten S, Siveke JT, Lim NH, Nagase H, Simonavicius N, Heikenwalder M, Reinheckel T, Sleeman JP, Janssen KP, Knolle PA, Krüger A.","Hepatology. 2015 Jan;61(1):238-48. doi: 10.1002/hep.27378. Epub 2014 Nov 24.","Seubert B","Hepatology","2015","2014/08/19","PMC4280301","NIHMS623388","10.1002/hep.27378"
"22807917","On the Pro-Metastatic Stress Response to Cancer Therapies: Evidence for a Positive Co-Operation between TIMP-1, HIF-1α, and miR-210","Cui H, Grosso S, Schelter F, Mari B, Krüger A.","Front Pharmacol. 2012 Jul 12;3:134. doi: 10.3389/fphar.2012.00134. eCollection 2012.","Cui H","Front Pharmacol","2012","2012/07/19","PMC3395024","","10.3389/fphar.2012.00134"
