PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22012315","Supramolecular DNA assembly","McLaughlin CK, Hamblin GD, Sleiman HF.","Chem Soc Rev. 2011 Dec;40(12):5647-56. doi: 10.1039/c1cs15253j. Epub 2011 Oct 19.","McLaughlin CK","Chem Soc Rev","2011","2011/10/21","","","10.1039/c1cs15253j"
"29751162","Recent advances in DNA nanotechnology","Chidchob P, Sleiman HF.","Curr Opin Chem Biol. 2018 Oct;46:63-70. doi: 10.1016/j.cbpa.2018.04.012. Epub 2018 May 9.","Chidchob P","Curr Opin Chem Biol","2018","2018/05/12","","","10.1016/j.cbpa.2018.04.012"
"32538403","Single-molecule methods in structural DNA nanotechnology","Platnich CM, Rizzuto FJ, Cosa G, Sleiman HF.","Chem Soc Rev. 2020 Jul 6;49(13):4220-4233. doi: 10.1039/c9cs00776h.","Platnich CM","Chem Soc Rev","2020","2020/06/16","","","10.1039/c9cs00776h"
"33635620","DNA Nanostructures: Current Challenges and Opportunities for Cellular Delivery","Lacroix A, Sleiman HF.","ACS Nano. 2021 Mar 23;15(3):3631-3645. doi: 10.1021/acsnano.0c06136. Epub 2021 Feb 26.","Lacroix A","ACS Nano","2021","2021/02/26","","","10.1021/acsnano.0c06136"
"30903035","Charting a course for chemistry","Aspuru-Guzik A, Baik MH, Balasubramanian S, Banerjee R, Bart S, Borduas-Dedekind N, Chang S, Chen P, Corminboeuf C, Coudert FX, Cronin L, Crudden C, Cuk T, Doyle AG, Fan C, Feng X, Freedman D, Furukawa S, Ghosh S, Glorius F, Jeffries-El M, Katsonis N, Li A, Linse SS, Marchesan S, Maulide N, Milo A, Narayan ARH, Naumov P, Nevado C, Nyokong T, Palacin R, Reid M, Robinson C, Robinson G, Sarpong R, Schindler C, Schlau-Cohen GS, Schmidt TW, Sessoli R, Shao-Horn Y, Sleiman H, Sutherland J, Taylor A, Tezcan A, Tortosa M, Walsh A, Watson AJB, Weckhuysen BM, Weiss E, Wilson D, Yam VW, Yang X, Ying JY, Yoon T, You SL, Zarbin AJG, Zhang H.","Nat Chem. 2019 Apr;11(4):286-294. doi: 10.1038/s41557-019-0236-7.","Aspuru-Guzik A","Nat Chem","2019","2019/03/24","","","10.1038/s41557-019-0236-7"
"18818351","Assembling materials with DNA as the guide","Aldaye FA, Palmer AL, Sleiman HF.","Science. 2008 Sep 26;321(5897):1795-9. doi: 10.1126/science.1154533.","Aldaye FA","Science","2008","2008/09/27","","","10.1126/science.1154533"
"31867832","Target Self-Enhanced Selectivity in Metal-Specific DNAzymes","Huang PJ, de Rochambeau D, Sleiman HF, Liu J.","Angew Chem Int Ed Engl. 2020 Feb 24;59(9):3573-3577. doi: 10.1002/anie.201915675. Epub 2020 Jan 23.","Huang PJ","Angew Chem Int Ed Engl","2020","2019/12/24","","","10.1002/anie.201915675"
"21378893","Metal-nucleic acid cages","Yang H, McLaughlin CK, Aldaye FA, Hamblin GD, Rys AZ, Rouiller I, Sleiman HF.","Nat Chem. 2009 Aug;1(5):390-6. doi: 10.1038/nchem.290. Epub 2009 Jul 24.","Yang H","Nat Chem","2009","2011/03/08","","","10.1038/nchem.290"
"31675207","Advancing Wireframe DNA Nanostructures Using Single-Molecule Fluorescence Microscopy Techniques","Platnich CM, Hariri AA, Sleiman HF, Cosa G.","Acc Chem Res. 2019 Nov 19;52(11):3199-3210. doi: 10.1021/acs.accounts.9b00424. Epub 2019 Nov 1.","Platnich CM","Acc Chem Res","2019","2019/11/02","","","10.1021/acs.accounts.9b00424"
"23509022","Long-range assembly of DNA into nanofibers and highly ordered networks","Carneiro KM, Avakyan N, Sleiman HF.","Wiley Interdiscip Rev Nanomed Nanobiotechnol. 2013 May-Jun;5(3):266-85. doi: 10.1002/wnan.1218. Epub 2013 Mar 18.","Carneiro KM","Wiley Interdiscip Rev Nanomed Nanobiotechnol","2013","2013/03/20","","","10.1002/wnan.1218"
