PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35489657","Strategies for improving antimicrobial peptide production","Deo S, Turton KL, Kainth T, Kumar A, Wieden HJ.","Biotechnol Adv. 2022 Oct;59:107968. doi: 10.1016/j.biotechadv.2022.107968. Epub 2022 Apr 28.","Deo S","Biotechnol Adv","2022","2022/04/30","","","10.1016/j.biotechadv.2022.107968"
"31150585","Non-coding RNAs: what are we missing?","Carvalho Barbosa C, Calhoun SH, Wieden HJ.","Biochem Cell Biol. 2020 Feb;98(1):23-30. doi: 10.1139/bcb-2019-0037.","Carvalho Barbosa C","Biochem Cell Biol","2020","2019/06/01","","","10.1139/bcb-2019-0037"
"29222105","The Emergency Medical Service Microbiome","Hudson AJ, Glaister GD, Wieden HJ.","Appl Environ Microbiol. 2018 Feb 14;84(5):e02098-17. doi: 10.1128/AEM.02098-17. Print 2018 Mar 1.","Hudson AJ","Appl Environ Microbiol","2018","2017/12/10","PMC5812948","","10.1128/AEM.02098-17"
"35833634","Introduction: Dual use in life science research","Rohden F, Wieden HJ.","Biochem Cell Biol. 2022 Jun 1;100(3):266-267. doi: 10.1139/bcb-2022-0082. Epub 2022 Mar 25.","Rohden F","Biochem Cell Biol","2022","2022/07/14","","","10.1139/bcb-2022-0082"
"31934779","Proceedings of the 14th annual RiboWest conference: perspectives and outcome","Thakor N, Kothe U, Wieden HJ, Patel TR.","Biochem Cell Biol. 2020 Feb;98(1):vii-ix. doi: 10.1139/bcb-2019-0187. Epub 2020 Jan 14.","Thakor N","Biochem Cell Biol","2020","2020/01/15","","","10.1139/bcb-2019-0187"
"32558173","Parenting researchers-an invisible divide","Roberts L, Kothe U, Wieden HJ.","EMBO Rep. 2020 Aug 5;21(8):e50738. doi: 10.15252/embr.202050738. Epub 2020 Jun 17.","Roberts L","EMBO Rep","2020","2020/06/20","PMC7403654","","10.15252/embr.202050738"
"34294544","Through the looking glass: milestones on the road towards mirroring life","Rohden F, Hoheisel JD, Wieden HJ.","Trends Biochem Sci. 2021 Nov;46(11):931-943. doi: 10.1016/j.tibs.2021.06.006. Epub 2021 Jul 19.","Rohden F","Trends Biochem Sci","2021","2021/07/23","","","10.1016/j.tibs.2021.06.006"
"34559974","Emerging regulatory challenges of next-generation synthetic biology","Sheahan T, Wieden HJ.","Biochem Cell Biol. 2021 Dec;99(6):766-771. doi: 10.1139/bcb-2021-0340. Epub 2021 Sep 24.","Sheahan T","Biochem Cell Biol","2021","2021/09/24","","","10.1139/bcb-2021-0340"
"34778169","Knowledge Gaps in the Understanding of Antimicrobial Resistance in Canada","McCubbin KD, Anholt RM, de Jong E, Ida JA, Nóbrega DB, Kastelic JP, Conly JM, Götte M, McAllister TA, Orsel K, Lewis I, Jackson L, Plastow G, Wieden HJ, McCoy K, Leslie M, Robinson JL, Hardcastle L, Hollis A, Ashbolt NJ, Checkley S, Tyrrell GJ, Buret AG, Rennert-May E, Goddard E, Otto SJG, Barkema HW.","Front Public Health. 2021 Oct 20;9:726484. doi: 10.3389/fpubh.2021.726484. eCollection 2021.","McCubbin KD","Front Public Health","2021","2021/11/15","PMC8582488","","10.3389/fpubh.2021.726484"
"29804514","Viruses, IRESs, and a universal translation initiation mechanism","Roberts L, Wieden HJ.","Biotechnol Genet Eng Rev. 2018 Apr;34(1):60-75. doi: 10.1080/02648725.2018.1471567. Epub 2018 May 28.","Roberts L","Biotechnol Genet Eng Rev","2018","2018/05/29","","","10.1080/02648725.2018.1471567"
"15680978","Recognition and selection of tRNA in translation","Rodnina MV, Gromadski KB, Kothe U, Wieden HJ.","FEBS Lett. 2005 Feb 7;579(4):938-42. doi: 10.1016/j.febslet.2004.11.048.","Rodnina MV","FEBS Lett","2005","2005/02/01","","","10.1016/j.febslet.2004.11.048"
"30742486","Cellular roles of the human Obg-like ATPase 1 (hOLA1) and its YchF homologs","Balasingam N, Brandon HE, Ross JA, Wieden HJ, Thakor N.","Biochem Cell Biol. 2020 Feb;98(1):1-11. doi: 10.1139/bcb-2018-0353. Epub 2019 Feb 11.","Balasingam N","Biochem Cell Biol","2020","2019/02/12","","","10.1139/bcb-2018-0353"
"30441908","sdAb-DB: The Single Domain Antibody Database","Wilton EE, Opyr MP, Kailasam S, Kothe RF, Wieden HJ.","ACS Synth Biol. 2018 Nov 16;7(11):2480-2484. doi: 10.1021/acssynbio.8b00407.","Wilton EE","ACS Synth Biol","2018","2018/11/17","","","10.1021/acssynbio.8b00407"
"28315412","Engineering bacterial translation initiation - Do we have all the tools we need?","Vigar JRJ, Wieden HJ.","Biochim Biophys Acta Gen Subj. 2017 Nov;1861(11 Pt B):3060-3069. doi: 10.1016/j.bbagen.2017.03.008. Epub 2017 Mar 14.","Vigar JRJ","Biochim Biophys Acta Gen Subj","2017","2017/03/19","","","10.1016/j.bbagen.2017.03.008"
"36039756","The prokaryotic activity of the IGR IRESs is mediated by ribosomal protein S1","Roberts L, Wieden HJ.","Nucleic Acids Res. 2022 Sep 9;50(16):9355-9367. doi: 10.1093/nar/gkac697.","Roberts L","Nucleic Acids Res","2022","2022/08/30","PMC9458429","","10.1093/nar/gkac697"
"28320876","Taking a Step Back from Back-Translocation: an Integrative View of LepA/EF4's Cellular Function","Heller JLE, Kamalampeta R, Wieden HJ.","Mol Cell Biol. 2017 May 31;37(12):e00653-16. doi: 10.1128/MCB.00653-16. Print 2017 Jun 15.","Heller JLE","Mol Cell Biol","2017","2017/03/22","PMC5452718","","10.1128/MCB.00653-16"
"35235420","Proceedings of the Dual Use Research of Concern Panel Discussion: challenges and perspectives","Rohden F, Nelson CJ, Yost CK, Anderson C, Moritz R, Vinke S, Wieden HJ.","Can J Microbiol. 2022 May;68(5):377-382. doi: 10.1139/cjm-2021-0343. Epub 2022 Mar 2.","Rohden F","Can J Microbiol","2022","2022/03/02","","","10.1139/cjm-2021-0343"
"33877603","A Quick Primer in Fluorescence-Based Equilibrium and Pre-steady State Methods for Determining Protein-Nucleotide Affinities","Brandon HE, Wieden HJ.","Methods Mol Biol. 2021;2263:273-287. doi: 10.1007/978-1-0716-1197-5_12.","Brandon HE","Methods Mol Biol","2021","2021/04/20","","","10.1007/978-1-0716-1197-5_12"
"35044750","Ribosomal Protein S1 Improves the Protein Yield of an In Vitro Reconstituted Cell-Free Translation System","Sheahan T, Wieden HJ.","ACS Synth Biol. 2022 Feb 18;11(2):1004-1008. doi: 10.1021/acssynbio.1c00514. Epub 2022 Jan 19.","Sheahan T","ACS Synth Biol","2022","2022/01/19","","","10.1021/acssynbio.1c00514"
