PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35294285","Ribosomal RNA 2'-O-methylations regulate translation by impacting ribosome dynamics","Khoshnevis S, Dreggors-Walker RE, Marchand V, Motorin Y, Ghalei H.","Proc Natl Acad Sci U S A. 2022 Mar 22;119(12):e2117334119. doi: 10.1073/pnas.2117334119. Epub 2022 Mar 16.","Khoshnevis S","Proc Natl Acad Sci U S A","2022","2022/03/16","PMC8944910","","10.1073/pnas.2117334119"
"28111018","Structural Heterogeneity in Pre-40S Ribosomes","Johnson MC, Ghalei H, Doxtader KA, Karbstein K, Stroupe ME.","Structure. 2017 Feb 7;25(2):329-340. doi: 10.1016/j.str.2016.12.011. Epub 2017 Jan 19.","Johnson MC","Structure","2017","2017/01/24","PMC5314460","NIHMS839696","10.1016/j.str.2016.12.011"
"34673031","Phosphorylation regulates arginine-rich RNA-binding protein solubility and oligomerization","Kundinger SR, Dammer EB, Yin L, Hurst C, Shapley S, Ping L, Khoshnevis S, Ghalei H, Duong DM, Seyfried NT.","J Biol Chem. 2021 Nov;297(5):101306. doi: 10.1016/j.jbc.2021.101306. Epub 2021 Oct 19.","Kundinger SR","J Biol Chem","2021","2021/10/21","PMC8569591","","10.1016/j.jbc.2021.101306"
"33007085","Quality control of 40S ribosome head assembly ensures scanning competence","Huang H, Ghalei H, Karbstein K.","J Cell Biol. 2020 Nov 2;219(11):e202004161. doi: 10.1083/jcb.202004161.","Huang H","J Cell Biol","2020","2020/10/02","PMC7534925","","10.1083/jcb.202004161"
"31537647","A conserved Bcd1 interaction essential for box C/D snoRNP biogenesis","Khoshnevis S, Dreggors RE, Hoffmann TFR, Ghalei H.","J Biol Chem. 2019 Nov 29;294(48):18360-18371. doi: 10.1074/jbc.RA119.010222. Epub 2019 Sep 19.","Khoshnevis S","J Biol Chem","2019","2019/09/21","PMC6885627","","10.1074/jbc.RA119.010222"
"33048931","Correction: A kinase-dependent checkpoint prevents escape of immature ribosomes into the translating pool","Parker MD, Collins JC, Korona B, Ghalei H, Karbstein K.","PLoS Biol. 2020 Oct 13;18(10):e3000960. doi: 10.1371/journal.pbio.3000960. eCollection 2020 Oct.","Parker MD","PLoS Biol","2020","2020/10/13","PMC7553274","","10.1371/journal.pbio.3000960"
"35843310","Studies of mutations of assembly factor Hit1 in budding yeast suggest translation defects as the molecular basis for PEHO syndrome","Dreggors-Walker RE, Cohen LN, Khoshnevis S, Marchand V, Motorin Y, Ghalei H.","J Biol Chem. 2022 Sep;298(9):102261. doi: 10.1016/j.jbc.2022.102261. Epub 2022 Jul 14.","Dreggors-Walker RE","J Biol Chem","2022","2022/07/17","PMC9418376","","10.1016/j.jbc.2022.102261"
"31834877","A kinase-dependent checkpoint prevents escape of immature ribosomes into the translating pool","Parker MD, Collins JC, Korona B, Ghalei H, Karbstein K.","PLoS Biol. 2019 Dec 13;17(12):e3000329. doi: 10.1371/journal.pbio.3000329. eCollection 2019 Dec.","Parker MD","PLoS Biol","2019","2019/12/14","PMC6934326","","10.1371/journal.pbio.3000329"
"28759050","Rps26 directs mRNA-specific translation by recognition of Kozak sequence elements","Ferretti MB, Ghalei H, Ward EA, Potts EL, Karbstein K.","Nat Struct Mol Biol. 2017 Sep;24(9):700-707. doi: 10.1038/nsmb.3442. Epub 2017 Jul 31.","Ferretti MB","Nat Struct Mol Biol","2017","2017/08/01","PMC5777333","NIHMS926273","10.1038/nsmb.3442"
"34375642","Practical advice for mentoring and supporting faculty colleagues in STEM fields: Views from mentor and mentee perspectives","Spangle JM, Ghalei H, Corbett AH.","J Biol Chem. 2021 Sep;297(3):101062. doi: 10.1016/j.jbc.2021.101062. Epub 2021 Aug 8.","Spangle JM","J Biol Chem","2021","2021/08/10","PMC8405939","","10.1016/j.jbc.2021.101062"
