PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35681483","LINCing Senescence and Nuclear Envelope Changes","Meqbel BRM, Gomes M, Omer A, Gallouzi IE, Horn HF.","Cells. 2022 May 30;11(11):1787. doi: 10.3390/cells11111787.","Meqbel BRM","Cells","2022","2022/06/10","PMC9179861","","10.3390/cells11111787"
"31050180","Alternative polyadenylation and the stress response","Sadek J, Omer A, Hall D, Ashour K, Gallouzi IE.","Wiley Interdiscip Rev RNA. 2019 Sep;10(5):e1540. doi: 10.1002/wrna.1540. Epub 2019 May 2.","Sadek J","Wiley Interdiscip Rev RNA","2019","2019/05/04","","","10.1002/wrna.1540"
"33470683","Editorial: Highlights from the 2020 virtual cancer cachexia conference","Fallon M, Gallouzi IE, Guttridge DC, Zimmers TA.","Curr Opin Support Palliat Care. 2021 Mar 1;15(1):48-49. doi: 10.1097/SPC.0000000000000540.","Fallon M","Curr Opin Support Palliat Care","2021","2021/01/20","","","10.1097/SPC.0000000000000540"
"24937128","Available for a limited time only: Regulating gene expression through mRNA turnover","Gallouzi IE, von Roretz C.","Semin Cell Dev Biol. 2014 Oct;34:1. doi: 10.1016/j.semcdb.2014.06.008. Epub 2014 Jun 14.","Gallouzi IE","Semin Cell Dev Biol","2014","2014/06/18","","","10.1016/j.semcdb.2014.06.008"
"34879178","Automated Quantification of Subcellular Particles in Myogenic Progenitors","Filippelli RL, Omer A, Li S, van Oostende-Triplet C, Gallouzi IE, Chang NC.","Curr Protoc. 2021 Dec;1(12):e325. doi: 10.1002/cpz1.325.","Filippelli RL","Curr Protoc","2021","2021/12/08","","","10.1002/cpz1.325"
"29592859","Stress granules counteract senescence by sequestration of PAI-1","Omer A, Patel D, Lian XJ, Sadek J, Di Marco S, Pause A, Gorospe M, Gallouzi IE.","EMBO Rep. 2018 May;19(5):e44722. doi: 10.15252/embr.201744722. Epub 2018 Mar 28.","Omer A","EMBO Rep","2018","2018/03/30","PMC5934773","","10.15252/embr.201744722"
"26572608","Genetic testing and genomic analysis: a debate on ethical, social and legal issues in the Arab world with a focus on Qatar","El Shanti H, Chouchane L, Badii R, Gallouzi IE, Gasparini P.","J Transl Med. 2015 Nov 14;13:358. doi: 10.1186/s12967-015-0720-9.","El Shanti H","J Transl Med","2015","2015/11/18","PMC4647661","","10.1186/s12967-015-0720-9"
"33855709","Human antigen R promotes lung fibroblast differentiation to myofibroblasts and increases extracellular matrix production","Al-Habeeb F, Aloufi N, Traboulsi H, Liu X, Nair P, Haston C, Azuelos I, Huang SK, White ES, Gallouzi IE, Di Marco S, Eidelman DH, Baglole CJ.","J Cell Physiol. 2021 Oct;236(10):6836-6851. doi: 10.1002/jcp.30380. Epub 2021 Apr 14.","Al-Habeeb F","J Cell Physiol","2021","2021/04/15","PMC8390431","NIHMS1689655","10.1002/jcp.30380"
"23756464","A DIStinctively novel exoribonuclease that really likes U","Gallouzi IE, Wilusz J.","EMBO J. 2013 Jul 3;32(13):1799-801. doi: 10.1038/emboj.2013.136. Epub 2013 Jun 11.","Gallouzi IE","EMBO J","2013","2013/06/13","PMC3981174","","10.1038/emboj.2013.136"
"24965540","An invitation to the 2nd Cancer Cachexia Conference, Montréal, Canada","Guttridge D, Couch M, Di Marco S, Gallouzi IE, Zitzmann ND, Baracos V, Rudnicki M, Tremblay M, Zimmers T.","J Cachexia Sarcopenia Muscle. 2014 Sep;5(3):181. doi: 10.1007/s13539-014-0150-1. Epub 2014 Jun 26.","Guttridge D","J Cachexia Sarcopenia Muscle","2014","2014/06/27","PMC4159485","","10.1007/s13539-014-0150-1"
"22692539","The translation inhibitor pateamine A prevents cachexia-induced muscle wasting in mice","Di Marco S, Cammas A, Lian XJ, Kovacs EN, Ma JF, Hall DT, Mazroui R, Richardson J, Pelletier J, Gallouzi IE.","Nat Commun. 2012 Jun 12;3:896. doi: 10.1038/ncomms1899.","Di Marco S","Nat Commun","2012","2012/06/14","PMC3621420","","10.1038/ncomms1899"
"24466343","Regulation of eukaryotic initiation factor 4AII by MyoD during murine myogenic cell differentiation","Galicia-Vázquez G, Di Marco S, Lian XJ, Ma JF, Gallouzi IE, Pelletier J.","PLoS One. 2014 Jan 23;9(1):e87237. doi: 10.1371/journal.pone.0087237. eCollection 2014.","Galicia-Vázquez G","PLoS One","2014","2014/01/28","PMC3900710","","10.1371/journal.pone.0087237"
"22158946","Targeting protein synthesis in a Myc/mTOR-driven model of anorexia-cachexia syndrome delays its onset and prolongs survival","Robert F, Mills JR, Agenor A, Wang D, DiMarco S, Cencic R, Tremblay ML, Gallouzi IE, Hekimi S, Wing SS, Pelletier J.","Cancer Res. 2012 Feb 1;72(3):747-56. doi: 10.1158/0008-5472.CAN-11-2739. Epub 2011 Dec 12.","Robert F","Cancer Res","2012","2011/12/14","","","10.1158/0008-5472.CAN-11-2739"
"17565995","Solution structure of YaeO, a Rho-specific inhibitor of transcription termination","Gutiérrez P, Kozlov G, Gabrielli L, Elias D, Osborne MJ, Gallouzi IE, Gehring K.","J Biol Chem. 2007 Aug 10;282(32):23348-53. doi: 10.1074/jbc.M702010200. Epub 2007 Jun 11.","Gutiérrez P","J Biol Chem","2007","2007/06/15","","","10.1074/jbc.M702010200"
"30971204","Epidemiological and genetic characterization of pH1N1 and H3N2 influenza viruses circulated in MENA region during 2009-2017","Al Khatib HA, Al Thani AA, Gallouzi I, Yassine HM.","BMC Infect Dis. 2019 Apr 11;19(1):314. doi: 10.1186/s12879-019-3930-6.","Al Khatib HA","BMC Infect Dis","2019","2019/04/12","PMC6458790","","10.1186/s12879-019-3930-6"
"16870703","Inhibition of ribosome recruitment induces stress granule formation independently of eukaryotic initiation factor 2alpha phosphorylation","Mazroui R, Sukarieh R, Bordeleau ME, Kaufman RJ, Northcote P, Tanaka J, Gallouzi I, Pelletier J.","Mol Biol Cell. 2006 Oct;17(10):4212-9. doi: 10.1091/mbc.e06-04-0318. Epub 2006 Jul 26.","Mazroui R","Mol Biol Cell","2006","2006/07/28","PMC1635342","","10.1091/mbc.e06-04-0318"
"12944397","RNAi-mediated HuR depletion leads to the inhibition of muscle cell differentiation","van der Giessen K, Di-Marco S, Clair E, Gallouzi IE.","J Biol Chem. 2003 Nov 21;278(47):47119-28. doi: 10.1074/jbc.M308889200. Epub 2003 Aug 27.","van der Giessen K","J Biol Chem","2003","2003/08/29","","","10.1074/jbc.M308889200"
"16135804","RNA-binding protein HuR is required for stabilization of SLC11A1 mRNA and SLC11A1 protein expression","Xu YZ, Di Marco S, Gallouzi I, Rola-Pleszczynski M, Radzioch D.","Mol Cell Biol. 2005 Sep;25(18):8139-49. doi: 10.1128/MCB.25.18.8139-8149.2005.","Xu YZ","Mol Cell Biol","2005","2005/09/02","PMC1234318","","10.1128/MCB.25.18.8139-8149.2005"
