PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33309881","Current Clinical Applications of In Vivo Gene Therapy with AAVs","Mendell JR, Al-Zaidy SA, Rodino-Klapac LR, Goodspeed K, Gray SJ, Kay CN, Boye SL, Boye SE, George LA, Salabarria S, Corti M, Byrne BJ, Tremblay JP.","Mol Ther. 2021 Feb 3;29(2):464-488. doi: 10.1016/j.ymthe.2020.12.007. Epub 2020 Dec 10.","Mendell JR","Mol Ther","2021","2020/12/14","PMC7854298","","10.1016/j.ymthe.2020.12.007"
"35165856","CRISPR-Cas9 Gene Therapy for Duchenne Muscular Dystrophy","Happi Mbakam C, Lamothe G, Tremblay G, Tremblay JP.","Neurotherapeutics. 2022 Apr;19(3):931-941. doi: 10.1007/s13311-022-01197-9. Epub 2022 Feb 14.","Happi Mbakam C","Neurotherapeutics","2022","2022/02/15","PMC9294086","","10.1007/s13311-022-01197-9"
"33472032","Three Decades of Clinical Gene Therapy: From Experimental Technologies to Viable Treatments","Tremblay JP, Annoni A, Suzuki M.","Mol Ther. 2021 Feb 3;29(2):411-412. doi: 10.1016/j.ymthe.2021.01.013. Epub 2021 Jan 19.","Tremblay JP","Mol Ther","2021","2021/01/20","PMC7854352","","10.1016/j.ymthe.2021.01.013"
"35419381","Therapeutic Strategies for Dystrophin Replacement in Duchenne Muscular Dystrophy","Happi Mbakam C, Lamothe G, Tremblay JP.","Front Med (Lausanne). 2022 Mar 28;9:859930. doi: 10.3389/fmed.2022.859930. eCollection 2022.","Happi Mbakam C","Front Med (Lausanne)","2022","2022/04/14","PMC8995704","","10.3389/fmed.2022.859930"
"36297564","Delivery of RNAs to Specific Organs by Lipid Nanoparticles for Gene Therapy","Godbout K, Tremblay JP.","Pharmaceutics. 2022 Oct 7;14(10):2129. doi: 10.3390/pharmaceutics14102129.","Godbout K","Pharmaceutics","2022","2022/10/27","PMC9611171","","10.3390/pharmaceutics14102129"
"35958050","Improvements of nuclease and nickase gene modification techniques for the treatment of genetic diseases","Lu Y, Happi Mbakam C, Song B, Bendavid E, Tremblay JP.","Front Genome Ed. 2022 Jul 26;4:892769. doi: 10.3389/fgeed.2022.892769. eCollection 2022.","Lu Y","Front Genome Ed","2022","2022/08/12","PMC9360573","","10.3389/fgeed.2022.892769"
"14569201","Cell therapies for inherited myopathies","Skuk D, Tremblay JP.","Curr Opin Rheumatol. 2003 Nov;15(6):723-9. doi: 10.1097/00002281-200311000-00007.","Skuk D","Curr Opin Rheumatol","2003","2003/10/22","","","10.1097/00002281-200311000-00007"
"20559770","The paracrine effect: pivotal mechanism in cell-based cardiac repair","Maltais S, Tremblay JP, Perrault LP, Ly HQ.","J Cardiovasc Transl Res. 2010 Dec;3(6):652-62. doi: 10.1007/s12265-010-9198-2. Epub 2010 Jun 8.","Maltais S","J Cardiovasc Transl Res","2010","2010/06/19","","","10.1007/s12265-010-9198-2"
"20872191","Myoblast transplantation: a possible surgical treatment for a severe pediatric disease","Palmieri B, Tremblay JP.","Surg Today. 2010 Oct;40(10):902-8. doi: 10.1007/s00595-009-4242-z. Epub 2010 Sep 25.","Palmieri B","Surg Today","2010","2010/09/28","PMC7087795","","10.1007/s00595-009-4242-z"
"35862015","Allele-Specific Inactivation of an Autosomal Dominant Epidermolysis Bullosa Simplex Mutation Using CRISPR-Cas9","Bchetnia M, Dionne Gagné R, Powell J, Morin C, McCuaig C, Dupérée A, Germain L, Tremblay JP, Laprise C.","CRISPR J. 2022 Aug;5(4):586-597. doi: 10.1089/crispr.2021.0132. Epub 2022 Jul 21.","Bchetnia M","CRISPR J","2022","2022/07/21","","","10.1089/crispr.2021.0132"
"21468001","Current status of pharmaceutical and genetic therapeutic approaches to treat DMD","Pichavant C, Aartsma-Rus A, Clemens PR, Davies KE, Dickson G, Takeda S, Wilton SD, Wolff JA, Wooddell CI, Xiao X, Tremblay JP.","Mol Ther. 2011 May;19(5):830-40. doi: 10.1038/mt.2011.59. Epub 2011 Apr 5.","Pichavant C","Mol Ther","2011","2011/04/07","PMC3098643","","10.1038/mt.2011.59"
"35619556","Serum extracellular vesicles for delivery of CRISPR-CAS9 ribonucleoproteins to modify the dystrophin gene","Majeau N, Fortin-Archambault A, Gérard C, Rousseau J, Yaméogo P, Tremblay JP.","Mol Ther. 2022 Jul 6;30(7):2429-2442. doi: 10.1016/j.ymthe.2022.05.023. Epub 2022 May 26.","Majeau N","Mol Ther","2022","2022/05/27","PMC9263317","","10.1016/j.ymthe.2022.05.023"
