PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30952982","Inhibiting PD-L1 palmitoylation enhances T-cell immune responses against tumours","Yao H, Lan J, Li C, Shi H, Brosseau JP, Wang H, Lu H, Fang C, Zhang Y, Liang L, Zhou X, Wang C, Xue Y, Cui Y, Xu J.","Nat Biomed Eng. 2019 Apr;3(4):306-317. doi: 10.1038/s41551-019-0375-6. Epub 2019 Mar 25.","Yao H","Nat Biomed Eng","2019","2019/04/07","","","10.1038/s41551-019-0375-6"
"29596064","Contributions of inflammation and tumor microenvironment to neurofibroma tumorigenesis","Liao CP, Booker RC, Brosseau JP, Chen Z, Mo J, Tchegnon E, Wang Y, Clapp DW, Le LQ.","J Clin Invest. 2018 Jul 2;128(7):2848-2861. doi: 10.1172/JCI99424. Epub 2018 May 21.","Liao CP","J Clin Invest","2018","2018/03/30","PMC6025974","","10.1172/JCI99424"
"31474359","Heterozygous Tumor Suppressor Microenvironment in Cancer Development","Brosseau JP, Le LQ.","Trends Cancer. 2019 Sep;5(9):541-546. doi: 10.1016/j.trecan.2019.07.004. Epub 2019 Aug 15.","Brosseau JP","Trends Cancer","2019","2019/09/03","PMC6724550","NIHMS1535455","10.1016/j.trecan.2019.07.004"
"32185714","Regulations on Messenger RNA: Wires and Nodes","Brosseau JP.","Adv Exp Med Biol. 2020;1248:251-263. doi: 10.1007/978-981-15-3266-5_11.","Brosseau JP","Adv Exp Med Biol","2020","2020/03/19","","","10.1007/978-981-15-3266-5_11"
"34445326","Toward Understanding the Mechanisms of Malignant Peripheral Nerve Sheath Tumor Development","Mohamad T, Plante C, Brosseau JP.","Int J Mol Sci. 2021 Aug 10;22(16):8620. doi: 10.3390/ijms22168620.","Mohamad T","Int J Mol Sci","2021","2021/08/27","PMC8395254","","10.3390/ijms22168620"
"33024277","Targeted degradation of immune checkpoint proteins: emerging strategies for cancer immunotherapy","Xu J, Brosseau JP, Shi H.","Oncogene. 2020 Nov;39(48):7106-7113. doi: 10.1038/s41388-020-01491-w. Epub 2020 Oct 6.","Xu J","Oncogene","2020","2020/10/07","","","10.1038/s41388-020-01491-w"
"32439933","Translating current basic research into future therapies for neurofibromatosis type 1","Brosseau JP, Liao CP, Le LQ.","Br J Cancer. 2020 Jul;123(2):178-186. doi: 10.1038/s41416-020-0903-x. Epub 2020 May 22.","Brosseau JP","Br J Cancer","2020","2020/05/23","PMC7374719","","10.1038/s41416-020-0903-x"
"33413690","Human cutaneous neurofibroma matrisome revealed by single-cell RNA sequencing","Brosseau JP, Sathe AA, Wang Y, Nguyen T, Glass DA 2nd, Xing C, Le LQ.","Acta Neuropathol Commun. 2021 Jan 7;9(1):11. doi: 10.1186/s40478-020-01103-4.","Brosseau JP","Acta Neuropathol Commun","2021","2021/01/08","PMC7792184","","10.1186/s40478-020-01103-4"
"34458782","A peptidic inhibitor for PD-1 palmitoylation targets its expression and functions","Yao H, Li C, He F, Song T, Brosseau JP, Wang H, Lu H, Fang C, Shi H, Lan J, Fang JY, Xu J.","RSC Chem Biol. 2020 Nov 3;2(1):192-205. doi: 10.1039/d0cb00157k. eCollection 2021 Feb 1.","Yao H","RSC Chem Biol","2020","2021/08/30","PMC8341464","","10.1039/d0cb00157k"
"24335142","Tumor microenvironment-associated modifications of alternative splicing","Brosseau JP, Lucier JF, Nwilati H, Thibault P, Garneau D, Gendron D, Durand M, Couture S, Lapointe E, Prinos P, Klinck R, Perreault JP, Chabot B, Abou-Elela S.","RNA. 2014 Feb;20(2):189-201. doi: 10.1261/rna.042168.113. Epub 2013 Dec 11.","Brosseau JP","RNA","2014","2013/12/17","PMC3895271","","10.1261/rna.042168.113"
"24375754","Redirecting splicing with bifunctional oligonucleotides","Brosseau JP, Lucier JF, Lamarche AA, Shkreta L, Gendron D, Lapointe E, Thibault P, Paquet E, Perreault JP, Abou Elela S, Chabot B.","Nucleic Acids Res. 2014 Apr;42(6):e40. doi: 10.1093/nar/gkt1287. Epub 2013 Dec 26.","Brosseau JP","Nucleic Acids Res","2014","2013/12/31","PMC3973305","","10.1093/nar/gkt1287"
"20038630","High-throughput quantification of splicing isoforms","Brosseau JP, Lucier JF, Lapointe E, Durand M, Gendron D, Gervais-Bird J, Tremblay K, Perreault JP, Elela SA.","RNA. 2010 Feb;16(2):442-9. doi: 10.1261/rna.1877010. Epub 2009 Dec 28.","Brosseau JP","RNA","2010","2009/12/30","PMC2811672","","10.1261/rna.1877010"
"23425137","8-BuS-ATP derivatives as specific NTPDase1 inhibitors","Lecka J, Gillerman I, Fausther M, Salem M, Munkonda MN, Brosseau JP, Cadot C, Martín-Satué M, d'Orléans-Juste P, Rousseau E, Poirier D, Künzli B, Fischer B, Sévigny J.","Br J Pharmacol. 2013 May;169(1):179-96. doi: 10.1111/bph.12135.","Lecka J","Br J Pharmacol","2013","2013/02/22","PMC3632248","","10.1111/bph.12135"
"30976071","Author Correction: Inhibiting PD-L1 palmitoylation enhances T-cell immune responses against tumours","Yao H, Lan J, Li C, Shi H, Brosseau JP, Wang H, Lu H, Fang C, Zhang Y, Liang L, Zhou X, Wang C, Xue Y, Cui Y, Xu J.","Nat Biomed Eng. 2019 May;3(5):414. doi: 10.1038/s41551-019-0402-7.","Yao H","Nat Biomed Eng","2019","2019/04/13","","","10.1038/s41551-019-0402-7"
"30479396","NF1 heterozygosity fosters de novo tumorigenesis but impairs malignant transformation","Brosseau JP, Liao CP, Wang Y, Ramani V, Vandergriff T, Lee M, Patel A, Ariizumi K, Le LQ.","Nat Commun. 2018 Nov 27;9(1):5014. doi: 10.1038/s41467-018-07452-y.","Brosseau JP","Nat Commun","2018","2018/11/28","PMC6258697","","10.1038/s41467-018-07452-y"
