PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31642206","Current overview on viroid-host interactions","Adkar-Purushothama CR, Perreault JP.","Wiley Interdiscip Rev RNA. 2020 Mar;11(2):e1570. doi: 10.1002/wrna.1570. Epub 2019 Oct 22.","Adkar-Purushothama CR","Wiley Interdiscip Rev RNA","2020","2019/10/24","","","10.1002/wrna.1570"
"35053381","Revisiting the Non-Coding Nature of Pospiviroids","Katsarou K, Adkar-Purushothama CR, Tassios E, Samiotaki M, Andronis C, Lisón P, Nikolaou C, Perreault JP, Kalantidis K.","Cells. 2022 Jan 13;11(2):265. doi: 10.3390/cells11020265.","Katsarou K","Cells","2022","2022/01/21","PMC8773695","","10.3390/cells11020265"
"28382477","RNA G-Quadruplexes as Key Motifs of the Transcriptome","Rouleau S, Jodoin R, Garant JM, Perreault JP.","Adv Biochem Eng Biotechnol. 2020;170:1-20. doi: 10.1007/10_2017_8.","Rouleau S","Adv Biochem Eng Biotechnol","2020","2017/04/07","","","10.1007/10_2017_8"
"26997592","Structure and Associated Biological Functions of Viroids","Steger G, Perreault JP.","Adv Virus Res. 2016;94:141-72. doi: 10.1016/bs.aivir.2015.11.002. Epub 2016 Mar 2.","Steger G","Adv Virus Res","2016","2016/03/22","","","10.1016/bs.aivir.2015.11.002"
"29171334","G-Quadruplexes influence pri-microRNA processing","Rouleau SG, Garant JM, Bolduc F, Bisaillon M, Perreault JP.","RNA Biol. 2018 Feb 1;15(2):198-206. doi: 10.1080/15476286.2017.1405211. Epub 2017 Dec 11.","Rouleau SG","RNA Biol","2018","2017/11/25","PMC5798953","","10.1080/15476286.2017.1405211"
"32752288","Impact of Nucleic Acid Sequencing on Viroid Biology","Adkar-Purushothama CR, Perreault JP.","Int J Mol Sci. 2020 Aug 1;21(15):5532. doi: 10.3390/ijms21155532.","Adkar-Purushothama CR","Int J Mol Sci","2020","2020/08/06","PMC7432327","","10.3390/ijms21155532"
"35971612","GAIA: G-quadruplexes in alive creature database","Vannutelli A, Schell LLN, Perreault JP, Ouangraoua A.","Nucleic Acids Res. 2023 Jan 6;51(D1):D135-D140. doi: 10.1093/nar/gkac657.","Vannutelli A","Nucleic Acids Res","2023","2022/08/16","PMC9825426","","10.1093/nar/gkac657"
"28090421","RNA G-quadruplexes and their potential regulatory roles in translation","Song J, Perreault JP, Topisirovic I, Richard S.","Translation (Austin). 2016 Oct 4;4(2):e1244031. doi: 10.1080/21690731.2016.1244031. eCollection 2016.","Song J","Translation (Austin)","2016","2017/01/17","PMC5173311","","10.1080/21690731.2016.1244031"
"22315081","Target-induced SOFA-HDV ribozyme","Lévesque MV, Perreault JP.","Methods Mol Biol. 2012;848:369-84. doi: 10.1007/978-1-61779-545-9_23.","Lévesque MV","Methods Mol Biol","2012","2012/02/09","","","10.1007/978-1-61779-545-9_23"
"29036425","Motif independent identification of potential RNA G-quadruplexes by G4RNA screener","Garant JM, Perreault JP, Scott MS.","Bioinformatics. 2017 Nov 15;33(22):3532-3537. doi: 10.1093/bioinformatics/btx498.","Garant JM","Bioinformatics","2017","2017/10/17","PMC5870565","","10.1093/bioinformatics/btx498"
"35261973","G-quadruplex occurrence and conservation: more than just a question of guanine-cytosine content","Vannutelli A, Perreault JP, Ouangraoua A.","NAR Genom Bioinform. 2022 Mar 4;4(1):lqac010. doi: 10.1093/nargab/lqac010. eCollection 2022 Mar.","Vannutelli A","NAR Genom Bioinform","2022","2022/03/09","PMC8896161","","10.1093/nargab/lqac010"
"19718544","Modulating RNA structure and catalysis: lessons from small cleaving ribozymes","Reymond C, Beaudoin JD, Perreault JP.","Cell Mol Life Sci. 2009 Dec;66(24):3937-50. doi: 10.1007/s00018-009-0124-1. Epub 2009 Aug 30.","Reymond C","Cell Mol Life Sci","2009","2009/09/01","PMC2777235","","10.1007/s00018-009-0124-1"
"33575590","Where are G-quadruplexes located in the human transcriptome?","Vannutelli A, Belhamiti S, Garant JM, Ouangraoua A, Perreault JP.","NAR Genom Bioinform. 2020 May 25;2(2):lqaa035. doi: 10.1093/nargab/lqaa035. eCollection 2020 Jun.","Vannutelli A","NAR Genom Bioinform","2020","2021/02/12","PMC7671396","","10.1093/nargab/lqaa035"
