PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26575292","Cross-talk between PRMT1-mediated methylation and ubiquitylation on RBM15 controls RNA splicing","Zhang L, Tran NT, Su H, Wang R, Lu Y, Tang H, Aoyagi S, Guo A, Khodadadi-Jamayran A, Zhou D, Qian K, Hricik T, Côté J, Han X, Zhou W, Laha S, Abdel-Wahab O, Levine RL, Raffel G, Liu Y, Chen D, Li H, Townes T, Wang H, Deng H, Zheng YG, Leslie C, Luo M, Zhao X.","Elife. 2015 Nov 17;4:e07938. doi: 10.7554/eLife.07938.","Zhang L","Elife","2015","2015/11/18","PMC4775220","","10.7554/eLife.07938"
"25688111","Arginine methyltransferases as novel therapeutic targets for breast cancer","Morettin A, Baldwin RM, Côté J.","Mutagenesis. 2015 Mar;30(2):177-89. doi: 10.1093/mutage/geu039.","Morettin A","Mutagenesis","2015","2015/02/18","","","10.1093/mutage/geu039"
"24921003","Role of PRMTs in cancer: Could minor isoforms be leaving a mark?","Baldwin RM, Morettin A, Côté J.","World J Biol Chem. 2014 May 26;5(2):115-29. doi: 10.4331/wjbc.v5.i2.115.","Baldwin RM","World J Biol Chem","2014","2014/06/13","PMC4050107","","10.4331/wjbc.v5.i2.115"
"34791230","A novel CARM1-HuR axis involved in muscle differentiation and plasticity misregulated in spinal muscular atrophy","Ravel-Chapuis A, Haghandish A, Daneshvar N, Jasmin BJ, Côté J.","Hum Mol Genet. 2022 May 4;31(9):1453-1470. doi: 10.1093/hmg/ddab333.","Ravel-Chapuis A","Hum Mol Genet","2022","2021/11/18","","","10.1093/hmg/ddab333"
"33899158","Differential regulation of autophagy by STAU1 in alveolar rhabdomyosarcoma and non-transformed skeletal muscle cells","Almasi S, Crawford Parks TE, Ravel-Chapuis A, MacKenzie A, Côté J, Cowan KN, Jasmin BJ.","Cell Oncol (Dordr). 2021 Aug;44(4):851-870. doi: 10.1007/s13402-021-00607-y. Epub 2021 Apr 26.","Almasi S","Cell Oncol (Dordr)","2021","2021/04/26","","","10.1007/s13402-021-00607-y"
"15955813","Tudor domains bind symmetrical dimethylated arginines","Côté J, Richard S.","J Biol Chem. 2005 Aug 5;280(31):28476-83. doi: 10.1074/jbc.M414328200. Epub 2005 Jun 6.","Côté J","J Biol Chem","2005","2005/06/16","","","10.1074/jbc.M414328200"
"36375840","SMA-linked SMN mutants prevent phase separation properties and SMN interactions with FMRP family members","Binda O, Juillard F, Ducassou JN, Kleijwegt C, Paris G, Didillon A, Baklouti F, Corpet A, Couté Y, Côté J, Lomonte P.","Life Sci Alliance. 2022 Nov 14;6(1):e202201429. doi: 10.26508/lsa.202201429. Print 2023 Jan.","Binda O","Life Sci Alliance","2022","2022/11/14","PMC9684302","","10.26508/lsa.202201429"
"28231279","Lysine acetyltransferase NuA4 and acetyl-CoA regulate glucose-deprived stress granule formation in Saccharomyces cerevisiae","Rollins M, Huard S, Morettin A, Takuski J, Pham TT, Fullerton MD, Côté J, Baetz K.","PLoS Genet. 2017 Feb 23;13(2):e1006626. doi: 10.1371/journal.pgen.1006626. eCollection 2017 Feb.","Rollins M","PLoS Genet","2017","2017/02/24","PMC5344529","","10.1371/journal.pgen.1006626"
"30022074","A complex of C9ORF72 and p62 uses arginine methylation to eliminate stress granules by autophagy","Chitiprolu M, Jagow C, Tremblay V, Bondy-Chorney E, Paris G, Savard A, Palidwor G, Barry FA, Zinman L, Keith J, Rogaeva E, Robertson J, Lavallée-Adam M, Woulfe J, Couture JF, Côté J, Gibbings D.","Nat Commun. 2018 Jul 18;9(1):2794. doi: 10.1038/s41467-018-05273-7.","Chitiprolu M","Nat Commun","2018","2018/07/20","PMC6052026","","10.1038/s41467-018-05273-7"
"29257951","Atg5 Disassociates the V(1)V(0)-ATPase to Promote Exosome Production and Tumor Metastasis Independent of Canonical Macroautophagy","Guo H, Chitiprolu M, Roncevic L, Javalet C, Hemming FJ, Trung MT, Meng L, Latreille E, Tanese de Souza C, McCulloch D, Baldwin RM, Auer R, Côté J, Russell RC, Sadoul R, Gibbings D.","Dev Cell. 2017 Dec 18;43(6):716-730.e7. doi: 10.1016/j.devcel.2017.11.018.","Guo H","Dev Cell","2017","2017/12/20","","","10.1016/j.devcel.2017.11.018"
"30699057","PRMT7 methylates eukaryotic translation initiation factor 2α and regulates its role in stress granule formation","Haghandish N, Baldwin RM, Morettin A, Dawit HT, Adhikary H, Masson JY, Mazroui R, Trinkle-Mulcahy L, Côté J.","Mol Biol Cell. 2019 Mar 15;30(6):778-793. doi: 10.1091/mbc.E18-05-0330. Epub 2019 Jan 30.","Haghandish N","Mol Biol Cell","2019","2019/01/31","PMC6589776","","10.1091/mbc.E18-05-0330"
"27695661","Staufen1s role as a splicing factor and a disease modifier in Myotonic Dystrophy Type I","Bondy-Chorney E, Crawford Parks TE, Ravel-Chapuis A, Jasmin BJ, Côté J.","Rare Dis. 2016 Aug 19;4(1):e1225644. doi: 10.1080/21675511.2016.1225644. eCollection 2016.","Bondy-Chorney E","Rare Dis","2016","2016/10/04","PMC5027583","","10.1080/21675511.2016.1225644"
"28698590","Tudor Domain Containing Protein 3 Promotes Tumorigenesis and Invasive Capacity of Breast Cancer Cells","Morettin A, Paris G, Bouzid Y, Baldwin RM, Falls TJ, Bell JC, Côté J.","Sci Rep. 2017 Jul 11;7(1):5153. doi: 10.1038/s41598-017-04955-4.","Morettin A","Sci Rep","2017","2017/07/13","PMC5506013","","10.1038/s41598-017-04955-4"
"23136128","A novel function for the survival motoneuron protein as a translational regulator","Sanchez G, Dury AY, Murray LM, Biondi O, Tadesse H, El Fatimy R, Kothary R, Charbonnier F, Khandjian EW, Côté J.","Hum Mol Genet. 2013 Feb 15;22(4):668-84. doi: 10.1093/hmg/dds474. Epub 2012 Nov 6.","Sanchez G","Hum Mol Genet","2013","2012/11/09","","","10.1093/hmg/dds474"
"14534352","A proteomic analysis of arginine-methylated protein complexes","Boisvert FM, Côté J, Boulanger MC, Richard S.","Mol Cell Proteomics. 2003 Dec;2(12):1319-30. doi: 10.1074/mcp.M300088-MCP200. Epub 2003 Oct 7.","Boisvert FM","Mol Cell Proteomics","2003","2003/10/10","","","10.1074/mcp.M300088-MCP200"
"28211476","Novel Roles for Staufen1 in Embryonal and Alveolar Rhabdomyosarcoma via c-myc-dependent and -independent events","Crawford Parks TE, Marcellus KA, Langill J, Ravel-Chapuis A, Michaud J, Cowan KN, Côté J, Jasmin BJ.","Sci Rep. 2017 Feb 17;7:42342. doi: 10.1038/srep42342.","Crawford Parks TE","Sci Rep","2017","2017/02/18","PMC5314364","","10.1038/srep42342"
"12137563","A protein-domain microarray identifies novel protein-protein interactions","Espejo A, Côté J, Bednarek A, Richard S, Bedford MT.","Biochem J. 2002 Nov 1;367(Pt 3):697-702. doi: 10.1042/BJ20020860.","Espejo A","Biochem J","2002","2002/07/26","PMC1222921","","10.1042/BJ20020860"
"17218272","The arginine methyltransferase CARM1 regulates the coupling of transcription and mRNA processing","Cheng D, Côté J, Shaaban S, Bedford MT.","Mol Cell. 2007 Jan 12;25(1):71-83. doi: 10.1016/j.molcel.2006.11.019.","Cheng D","Mol Cell","2007","2007/01/16","","","10.1016/j.molcel.2006.11.019"
"26311784","IGF-1R Reduction Triggers Neuroprotective Signaling Pathways in Spinal Muscular Atrophy Mice","Biondi O, Branchu J, Ben Salah A, Houdebine L, Bertin L, Chali F, Desseille C, Weill L, Sanchez G, Lancelin C, Aïd S, Lopes P, Pariset C, Lécolle S, Côté J, Holzenberger M, Chanoine C, Massaad C, Charbonnier F.","J Neurosci. 2015 Aug 26;35(34):12063-79. doi: 10.1523/JNEUROSCI.0608-15.2015.","Biondi O","J Neurosci","2015","2015/08/28","PMC6705454","","10.1523/JNEUROSCI.0608-15.2015"
"24204304","Nuclear Fragile X Mental Retardation Protein is localized to Cajal bodies","Dury AY, El Fatimy R, Tremblay S, Rose TM, Côté J, De Koninck P, Khandjian EW.","PLoS Genet. 2013 Oct;9(10):e1003890. doi: 10.1371/journal.pgen.1003890. Epub 2013 Oct 31.","Dury AY","PLoS Genet","2013","2013/11/09","PMC3814324","","10.1371/journal.pgen.1003890"
"27030674","Staufen1 impairs stress granule formation in skeletal muscle cells from myotonic dystrophy type 1 patients","Ravel-Chapuis A, Klein Gunnewiek A, Bélanger G, Crawford Parks TE, Côté J, Jasmin BJ.","Mol Biol Cell. 2016 Jun 1;27(11):1728-39. doi: 10.1091/mbc.E15-06-0356. Epub 2016 Mar 30.","Ravel-Chapuis A","Mol Biol Cell","2016","2016/04/01","PMC4884064","","10.1091/mbc.E15-06-0356"
"31794835","Using affinity purification coupled with stable isotope labeling by amino acids in cell culture quantitative mass spectrometry to identify novel interactors/substrates of protein arginine methyltransferases","Morettin A, Bourassa J, Mahadevan K, Trinkle-Mulcahy L, Cote J.","Methods. 2020 Mar 15;175:44-52. doi: 10.1016/j.ymeth.2019.11.015. Epub 2019 Nov 30.","Morettin A","Methods","2020","2019/12/04","","","10.1016/j.ymeth.2019.11.015"
