PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31145887","WITHDRAWN: Gold coated dual-resonance long-period fiber gratings (DR-LPFG) based Aptasensor for Cyanobacterial toxin detection","Tripathi SM, Dandapat K, Bock WJ, Mikulic P, Perreault J, Sellamuthu B.","Exp Mol Pathol. 2019 May 28:104266. doi: 10.1016/j.yexmp.2019.104266. Online ahead of print.","Tripathi SM","Exp Mol Pathol","2019","2019/05/31","","","10.1016/j.yexmp.2019.104266"
"22454536","The ubiquitous hammerhead ribozyme","Hammann C, Luptak A, Perreault J, de la Peña M.","RNA. 2012 May;18(5):871-85. doi: 10.1261/rna.031401.111. Epub 2012 Mar 27.","Hammann C","RNA","2012","2012/03/29","PMC3334697","","10.1261/rna.031401.111"
"32712917","Computer-Aided Design of Active Pseudoknotted Hammerhead Ribozymes","Najeh S, Zandi K, Djerroud S, Kharma N, Perreault J.","Methods Mol Biol. 2021;2167:91-111. doi: 10.1007/978-1-0716-0716-9_7.","Najeh S","Methods Mol Biol","2021","2020/07/27","","","10.1007/978-1-0716-0716-9_7"
"35457265","Small RNAs beyond Model Organisms: Have We Only Scratched the Surface?","Boutet E, Djerroud S, Perreault J.","Int J Mol Sci. 2022 Apr 18;23(8):4448. doi: 10.3390/ijms23084448.","Boutet E","Int J Mol Sci","2022","2022/04/23","PMC9029176","","10.3390/ijms23084448"
"34862273","Toehold-mediated strand displacement to measure released product from self-cleaving ribozymes","Kapadia JB, Kharma N, Davis AN, Kamel N, Perreault J.","RNA. 2022 Feb;28(2):263-273. doi: 10.1261/rna.078823.121. Epub 2021 Dec 3.","Kapadia JB","RNA","2022","2021/12/04","PMC8906547","","10.1261/rna.078823.121"
"35126444","Fluoride-Controlled Riboswitch-Based Dampening of Gene Expression for Cloning Potent Promoters","Korniakova V, Devinck A, Groleau MC, Déziel E, Perreault J.","Front Genet. 2022 Jan 21;12:591543. doi: 10.3389/fgene.2021.591543. eCollection 2021.","Korniakova V","Front Genet","2022","2022/02/07","PMC8814607","","10.3389/fgene.2021.591543"
"34514224","Digital Microfluidics Chips for the Execution and Real-Time Monitoring of Multiple Ribozymatic Cleavage Reactions","Davis AN, Samlali K, Kapadia JB, Perreault J, Shih SCC, Kharma N.","ACS Omega. 2021 Aug 25;6(35):22514-22524. doi: 10.1021/acsomega.1c00239. eCollection 2021 Sep 7.","Davis AN","ACS Omega","2021","2021/09/13","PMC8427639","","10.1021/acsomega.1c00239"
"34780591","High-sensitivity small-molecule detection of microcystin-LR cyano-toxin using a terahertz-aptamer biosensor","Mohamed A, Walsh R, Cherif M, Hafez HA, Ropagnol X, Vidal F, Perreault J, Ozaki T.","Analyst. 2021 Dec 6;146(24):7583-7592. doi: 10.1039/d1an01577j.","Mohamed A","Analyst","2021","2021/11/15","","","10.1039/d1an01577j"
"23804640","Expression strategy of Aedes albopictus densovirus","Pham HT, Jousset FX, Perreault J, Shike H, Szelei J, Bergoin M, Tijssen P.","J Virol. 2013 Sep;87(17):9928-32. doi: 10.1128/JVI.01259-13. Epub 2013 Jun 26.","Pham HT","J Virol","2013","2013/06/28","PMC3754130","","10.1128/JVI.01259-13"
"32432100","Novel Strategies to Optimize the Amplification of Single-Stranded DNA","Nehdi A, Samman N, Aguilar-Sánchez V, Farah A, Yurdusev E, Boudjelal M, Perreault J.","Front Bioeng Biotechnol. 2020 May 5;8:401. doi: 10.3389/fbioe.2020.00401. eCollection 2020.","Nehdi A","Front Bioeng Biotechnol","2020","2020/05/21","PMC7214742","","10.3389/fbioe.2020.00401"
"33331382","Real-time isothermal DNA amplification monitoring in picoliter volumes using an optical fiber sensor","Janik M, Hamidi SV, Koba M, Perreault J, Walsh R, Bock WJ, Smietana M.","Lab Chip. 2021 Jan 21;21(2):397-404. doi: 10.1039/d0lc01069c. Epub 2020 Dec 17.","Janik M","Lab Chip","2021","2020/12/17","","","10.1039/d0lc01069c"
"33750298","Identification of 11 candidate structured noncoding RNA motifs in humans by comparative genomics","Hou L, Xie J, Wu Y, Wang J, Duan A, Ao Y, Liu X, Yu X, Yan H, Perreault J, Li S.","BMC Genomics. 2021 Mar 9;22(1):164. doi: 10.1186/s12864-021-07474-9.","Hou L","BMC Genomics","2021","2021/03/22","PMC7941889","","10.1186/s12864-021-07474-9"
