PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25768234","Preface","Jossinet F, Ponty Y, Waldispühl J.","J Comput Biol. 2015 Mar;22(3):189. doi: 10.1089/cmb.2015.010P.","Jossinet F","J Comput Biol","2015","2015/03/14","","","10.1089/cmb.2015.010P"
"29795809","American Gut: an Open Platform for Citizen Science Microbiome Research","McDonald D, Hyde E, Debelius JW, Morton JT, Gonzalez A, Ackermann G, Aksenov AA, Behsaz B, Brennan C, Chen Y, DeRight Goldasich L, Dorrestein PC, Dunn RR, Fahimipour AK, Gaffney J, Gilbert JA, Gogul G, Green JL, Hugenholtz P, Humphrey G, Huttenhower C, Jackson MA, Janssen S, Jeste DV, Jiang L, Kelley ST, Knights D, Kosciolek T, Ladau J, Leach J, Marotz C, Meleshko D, Melnik AV, Metcalf JL, Mohimani H, Montassier E, Navas-Molina J, Nguyen TT, Peddada S, Pevzner P, Pollard KS, Rahnavard G, Robbins-Pianka A, Sangwan N, Shorenstein J, Smarr L, Song SJ, Spector T, Swafford AD, Thackray VG, Thompson LR, Tripathi A, Vázquez-Baeza Y, Vrbanac A, Wischmeyer P, Wolfe E, Zhu Q; American Gut Consortium; Knight R.","mSystems. 2018 May 15;3(3):e00031-18. doi: 10.1128/mSystems.00031-18. eCollection 2018 May-Jun.","McDonald D","mSystems","2018","2018/05/26","PMC5954204","","10.1128/mSystems.00031-18"
"33835435","Modeling and Predicting RNA Three-Dimensional Structures","Reinharz V, Sarrazin-Gendron R, Waldispühl J.","Methods Mol Biol. 2021;2284:17-42. doi: 10.1007/978-1-0716-1307-8_2.","Reinharz V","Methods Mol Biol","2021","2021/04/09","","","10.1007/978-1-0716-1307-8_2"
"32973359","Leveling up citizen science","Waldispühl J, Szantner A, Knight R, Caisse S, Pitchford R.","Nat Biotechnol. 2020 Oct;38(10):1124-1126. doi: 10.1038/s41587-020-0694-x.","Waldispühl J","Nat Biotechnol","2020","2020/09/25","","","10.1038/s41587-020-0694-x"
"29792917","Storage, visualization, and navigation of 3D genomics data","Waldispühl J, Zhang E, Butyaev A, Nazarova E, Cyr Y.","Methods. 2018 Jun 1;142:74-80. doi: 10.1016/j.ymeth.2018.05.008. Epub 2018 May 22.","Waldispühl J","Methods","2018","2018/05/25","","","10.1016/j.ymeth.2018.05.008"
"35620007","Human-supervised clustering of multidimensional data using crowdsourcing","Butyaev A, Drogaris C, Tremblay-Savard O, Waldispühl J.","R Soc Open Sci. 2022 May 24;9(5):211189. doi: 10.1098/rsos.211189. eCollection 2022 May.","Butyaev A","R Soc Open Sci","2022","2022/05/27","PMC9128850","","10.1098/rsos.211189"
"34908108","RNAglib: a python package for RNA 2.5 D graphs","Mallet V, Oliver C, Broadbent J, Hamilton WL, Waldispühl J.","Bioinformatics. 2022 Feb 7;38(5):1458-1459. doi: 10.1093/bioinformatics/btab844.","Mallet V","Bioinformatics","2022","2021/12/15","","","10.1093/bioinformatics/btab844"
"28049135","Design of RNAs: comparing programs for inverse RNA folding","Churkin A, Retwitzer MD, Reinharz V, Ponty Y, Waldispühl J, Barash D.","Brief Bioinform. 2018 Mar 1;19(2):350-358. doi: 10.1093/bib/bbw120.","Churkin A","Brief Bioinform","2018","2017/01/04","PMC6018860","","10.1093/bib/bbw120"
"29518072","Ten simple rules to create a serious game, illustrated with examples from structural biology","Baaden M, Delalande O, Ferey N, Pasquali S, Waldispühl J, Taly A.","PLoS Comput Biol. 2018 Mar 8;14(3):e1005955. doi: 10.1371/journal.pcbi.1005955. eCollection 2018 Mar.","Baaden M","PLoS Comput Biol","2018","2018/03/09","PMC5843163","","10.1371/journal.pcbi.1005955"
"30831409","Challenges and current status of computational methods for docking small molecules to nucleic acids","Luo J, Wei W, Waldispühl J, Moitessier N.","Eur J Med Chem. 2019 Apr 15;168:414-425. doi: 10.1016/j.ejmech.2019.02.046. Epub 2019 Feb 15.","Luo J","Eur J Med Chem","2019","2019/03/05","","","10.1016/j.ejmech.2019.02.046"
