PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30997719","RNA Dynamics by NMR Spectroscopy","Marušič M, Schlagnitweit J, Petzold K.","Chembiochem. 2019 Nov 4;20(21):2685-2710. doi: 10.1002/cbic.201900072. Epub 2019 Jul 17.","Marušič M","Chembiochem","2019","2019/04/19","PMC6899578","","10.1002/cbic.201900072"
"29546546","A guide to large-scale RNA sample preparation","Baronti L, Karlsson H, Marušič M, Petzold K.","Anal Bioanal Chem. 2018 May;410(14):3239-3252. doi: 10.1007/s00216-018-0943-8. Epub 2018 Mar 15.","Baronti L","Anal Bioanal Chem","2018","2018/03/17","PMC5937877","","10.1007/s00216-018-0943-8"
"34608336","Mutate-and-chemical-shift-fingerprint (MCSF) to characterize excited states in RNA using NMR spectroscopy","Riad M, Hopkins N, Baronti L, Karlsson H, Schlagnitweit J, Petzold K.","Nat Protoc. 2021 Nov;16(11):5146-5170. doi: 10.1038/s41596-021-00606-1. Epub 2021 Oct 4.","Riad M","Nat Protoc","2021","2021/10/05","","","10.1038/s41596-021-00606-1"
"36180430","ANGEL2 phosphatase activity is required for non-canonical mitochondrial RNA processing","Clemente P, Calvo-Garrido J, Pearce SF, Schober FA, Shigematsu M, Siira SJ, Laine I, Spåhr H, Steinmetzger C, Petzold K, Kirino Y, Wibom R, Rackham O, Filipovska A, Rorbach J, Freyer C, Wredenberg A.","Nat Commun. 2022 Sep 30;13(1):5750. doi: 10.1038/s41467-022-33368-9.","Clemente P","Nat Commun","2022","2022/09/30","PMC9525292","","10.1038/s41467-022-33368-9"
"36617673","RNA:RNA Interaction in Ternary Complexes Resolved by Chemical Probing","Banijamali E, Baronti L, Becker W, Sajkowska-Kozielewicz JJ, Huang T, Palka C, Kosek D, Sweetapple L, Müller J, Stone M, Andersson ER, Petzold K.","RNA. 2022 Dec 20:rna.079190.122. doi: 10.1261/rna.079190.122. Online ahead of print.","Banijamali E","RNA","2022","2023/01/09","","","10.1261/rna.079190.122"
"35802676","Enzymatic incorporation of an isotope-labeled adenine into RNA for the study of conformational dynamics by NMR","Feyrer H, Gurdap CO, Marušič M, Schlagnitweit J, Petzold K.","PLoS One. 2022 Jul 8;17(7):e0264662. doi: 10.1371/journal.pone.0264662. eCollection 2022.","Feyrer H","PLoS One","2022","2022/07/08","PMC9269771","","10.1371/journal.pone.0264662"
"34161581","Correction to 'Secondary structure determination of conserved SARS-CoV-2 RNA elements by NMR spectroscopy'","Wacker A, Weigand JE, Akabayov SR, Altincekic N, Bains JK, Banijamali E, Binas O, Castillo-Martinez J, Cetiner E, Ceylan B, Chiu LY, Davila-Calderon J, Dhamotharan K, Duchardt-Ferner E, Ferner J, Frydman L, Fürtig B, Gallego J, Grün JT, Hacker C, Haddad C, Hähnke M, Hengesbach M, Hiller F, Hohmann KF, Hymon D, de Jesus V, Jonker H, Keller H, Knezic B, Landgraf T, Löhr F, Luo L, Mertinkus KR, Muhs C, Novakovic M, Oxenfarth A, Palomino-Schätzlein M, Petzold K, Peter SA, Pyper DJ, Qureshi NS, Riad M, Richter C, Saxena K, Schamber T, Scherf T, Schlagnitweit J, Schlundt A, Schnieders R, Schwalbe H, Simba-Lahuasi A, Sreeramulu S, Stirnal E, Sudakov A, Tants JN, Tolbert BS, Vögele J, Weiß L, Wirmer-Bartoschek J, Wirtz Martin MA, Wöhnert J, Zetzsche H.","Nucleic Acids Res. 2021 Jul 9;49(12):7204-7205. doi: 10.1093/nar/gkab568.","Wacker A","Nucleic Acids Res","2021","2021/06/23","PMC8266613","","10.1093/nar/gkab568"
"23041928","Visualizing transient low-populated structures of RNA","Dethoff EA, Petzold K, Chugh J, Casiano-Negroni A, Al-Hashimi HM.","Nature. 2012 Nov 29;491(7426):724-8. doi: 10.1038/nature11498. Epub 2012 Oct 7.","Dethoff EA","Nature","2012","2012/10/09","PMC3590852","NIHMS400296","10.1038/nature11498"
"32461691","Base-pair conformational switch modulates miR-34a targeting of Sirt1 mRNA","Baronti L, Guzzetti I, Ebrahimi P, Friebe Sandoz S, Steiner E, Schlagnitweit J, Fromm B, Silva L, Fontana C, Chen AA, Petzold K.","Nature. 2020 Jul;583(7814):139-144. doi: 10.1038/s41586-020-2336-3. Epub 2020 May 27.","Baronti L","Nature","2020","2020/05/29","","","10.1038/s41586-020-2336-3"
"22109268","RNA structure: Adding a second dimension","Petzold K, Al-Hashimi HM.","Nat Chem. 2011 Nov 23;3(12):913-5. doi: 10.1038/nchem.1209.","Petzold K","Nat Chem","2011","2011/11/24","","","10.1038/nchem.1209"
"33484403","(1)H, (13)C and (15)N chemical shift assignment of the stem-loop 5a from the 5'-UTR of SARS-CoV-2","Schnieders R, Peter SA, Banijamali E, Riad M, Altincekic N, Bains JK, Ceylan B, Fürtig B, Grün JT, Hengesbach M, Hohmann KF, Hymon D, Knezic B, Oxenfarth A, Petzold K, Qureshi NS, Richter C, Schlagnitweit J, Schlundt A, Schwalbe H, Stirnal E, Sudakov A, Vögele J, Wacker A, Weigand JE, Wirmer-Bartoschek J, Wöhnert J.","Biomol NMR Assign. 2021 Apr;15(1):203-211. doi: 10.1007/s12104-021-10007-w. Epub 2021 Jan 23.","Schnieders R","Biomol NMR Assign","2021","2021/01/23","PMC7822759","","10.1007/s12104-021-10007-w"
"34138527","Production of Structured RNA Fragments by In Vitro Transcription and HPLC Purification","Karlsson H, Feyrer H, Baronti L, Petzold K.","Curr Protoc. 2021 Jun;1(6):e159. doi: 10.1002/cpz1.159.","Karlsson H","Curr Protoc","2021","2021/06/17","","","10.1002/cpz1.159"
"34309589","Practical Aspects of Sample Preparation and Setup of 1H R1ρ Relaxation Dispersion Experiments of RNA","Feyrer H, Schlagnitweit J, Petzold K.","J Vis Exp. 2021 Jul 9;(173). doi: 10.3791/62470.","Feyrer H","J Vis Exp","2021","2021/07/26","","","10.3791/62470"
"32143353","One-Pot Production of RNA in High Yield and Purity Through Cleaving Tandem Transcripts","Feyrer H, Munteanu R, Baronti L, Petzold K.","Molecules. 2020 Mar 4;25(5):1142. doi: 10.3390/molecules25051142.","Feyrer H","Molecules","2020","2020/03/08","PMC7179201","","10.3390/molecules25051142"
"33167030","Secondary structure determination of conserved SARS-CoV-2 RNA elements by NMR spectroscopy","Wacker A, Weigand JE, Akabayov SR, Altincekic N, Bains JK, Banijamali E, Binas O, Castillo-Martinez J, Cetiner E, Ceylan B, Chiu LY, Davila-Calderon J, Dhamotharan K, Duchardt-Ferner E, Ferner J, Frydman L, Fürtig B, Gallego J, Grün JT, Hacker C, Haddad C, Hähnke M, Hengesbach M, Hiller F, Hohmann KF, Hymon D, de Jesus V, Jonker H, Keller H, Knezic B, Landgraf T, Löhr F, Luo L, Mertinkus KR, Muhs C, Novakovic M, Oxenfarth A, Palomino-Schätzlein M, Petzold K, Peter SA, Pyper DJ, Qureshi NS, Riad M, Richter C, Saxena K, Schamber T, Scherf T, Schlagnitweit J, Schlundt A, Schnieders R, Schwalbe H, Simba-Lahuasi A, Sreeramulu S, Stirnal E, Sudakov A, Tants JN, Tolbert BS, Vögele J, Weiß L, Wirmer-Bartoschek J, Wirtz Martin MA, Wöhnert J, Zetzsche H.","Nucleic Acids Res. 2020 Dec 16;48(22):12415-12435. doi: 10.1093/nar/gkaa1013.","Wacker A","Nucleic Acids Res","2020","2020/11/09","PMC7736788","","10.1093/nar/gkaa1013"
"25762137","Visualizing transient Watson-Crick-like mispairs in DNA and RNA duplexes","Kimsey IJ, Petzold K, Sathyamoorthy B, Stein ZW, Al-Hashimi HM.","Nature. 2015 Mar 19;519(7543):315-20. doi: 10.1038/nature14227. Epub 2015 Mar 11.","Kimsey IJ","Nature","2015","2015/03/13","PMC4547696","NIHMS711426","10.1038/nature14227"
"25875363","Urinary biomarkers at early ADPKD disease stage","Petzold K, Poster D, Krauer F, Spanaus K, Andreisek G, Nguyen-Kim TD, Pavik I, Ho TA, Serra AL, Rotar L.","PLoS One. 2015 Apr 13;10(4):e0123555. doi: 10.1371/journal.pone.0123555. eCollection 2015.","Petzold K","PLoS One","2015","2015/04/16","PMC4395321","","10.1371/journal.pone.0123555"
"31059830","A two-dimensional replica-exchange molecular dynamics method for simulating RNA folding using sparse experimental restraints","Ebrahimi P, Kaur S, Baronti L, Petzold K, Chen AA.","Methods. 2019 Jun 1;162-163:96-107. doi: 10.1016/j.ymeth.2019.05.001. Epub 2019 May 3.","Ebrahimi P","Methods","2019","2019/05/07","","","10.1016/j.ymeth.2019.05.001"
"29504639","Efficient Detection of Structure and Dynamics in Unlabeled RNAs: The SELOPE Approach","Schlagnitweit J, Steiner E, Karlsson H, Petzold K.","Chemistry. 2018 Apr 20;24(23):6067-6070. doi: 10.1002/chem.201800992. Epub 2018 Mar 25.","Schlagnitweit J","Chemistry","2018","2018/03/06","PMC5947647","","10.1002/chem.201800992"
"31206961","Observing an Antisense Drug Complex in Intact Human Cells by in-Cell NMR Spectroscopy","Schlagnitweit J, Friebe Sandoz S, Jaworski A, Guzzetti I, Aussenac F, Carbajo RJ, Chiarparin E, Pell AJ, Petzold K.","Chembiochem. 2019 Oct 1;20(19):2474-2478. doi: 10.1002/cbic.201900297. Epub 2019 Sep 17.","Schlagnitweit J","Chembiochem","2019","2019/06/18","","","10.1002/cbic.201900297"
"29043470","Comprehensive analysis of NMR data using advanced line shape fitting","Niklasson M, Otten R, Ahlner A, Andresen C, Schlagnitweit J, Petzold K, Lundström P.","J Biomol NMR. 2017 Oct;69(2):93-99. doi: 10.1007/s10858-017-0141-6. Epub 2017 Oct 17.","Niklasson M","J Biomol NMR","2017","2017/10/19","PMC5662661","","10.1007/s10858-017-0141-6"
"19065697","EASY ROESY: reliable cross-peak integration in adiabatic symmetrized ROESY","Thiele CM, Petzold K, Schleucher J.","Chemistry. 2009;15(3):585-8. doi: 10.1002/chem.200802027.","Thiele CM","Chemistry","2009","2008/12/10","","","10.1002/chem.200802027"
"32354720","A robust and versatile method for production and purification of large-scale RNA samples for structural biology","Karlsson H, Baronti L, Petzold K.","RNA. 2020 Aug;26(8):1023-1037. doi: 10.1261/rna.075697.120. Epub 2020 Apr 30.","Karlsson H","RNA","2020","2020/05/02","PMC7373988","","10.1261/rna.075697.120"
"22867528","Synthesis, screening and computational investigation of pentacycloundecane-peptoids as potent CSA-HIV PR inhibitors","Makatini MM, Petzold K, Arvidsson PI, Honarparvar B, Govender T, Maguire GE, Parboosing R, Sayed Y, Soliman ME, Kruger HG.","Eur J Med Chem. 2012 Nov;57:459-67. doi: 10.1016/j.ejmech.2012.06.019. Epub 2012 Jul 16.","Makatini MM","Eur J Med Chem","2012","2012/08/08","","","10.1016/j.ejmech.2012.06.019"
"20659286","Biochemical and functional characterization of Helicobacter pylori vesicles","Olofsson A, Vallström A, Petzold K, Tegtmeyer N, Schleucher J, Carlsson S, Haas R, Backert S, Wai SN, Gröbner G, Arnqvist A.","Mol Microbiol. 2010 Sep;77(6):1539-55. doi: 10.1111/j.1365-2958.2010.07307.x. Epub 2010 Aug 5.","Olofsson A","Mol Microbiol","2010","2010/07/28","PMC3068288","","10.1111/j.1365-2958.2010.07307.x"
"27860024","Capturing Excited States in the Fast-Intermediate Exchange Limit in Biological Systems Using (1) H NMR Spectroscopy","Steiner E, Schlagnitweit J, Lundström P, Petzold K.","Angew Chem Int Ed Engl. 2016 Dec 19;55(51):15869-15872. doi: 10.1002/anie.201609102. Epub 2016 Nov 17.","Steiner E","Angew Chem Int Ed Engl","2016","2016/11/19","","","10.1002/anie.201609102"
"19761243","Semiconstant-time P,H-COSY NMR: analysis of complex mixtures of phospholipids originating from Helicobacter pylori","Petzold K, Olofsson A, Arnqvist A, Gröbner G, Schleucher J.","J Am Chem Soc. 2009 Oct 14;131(40):14150-1. doi: 10.1021/ja905282h.","Petzold K","J Am Chem Soc","2009","2009/09/19","","","10.1021/ja905282h"
"22544389","Pentacycloundecane-diol-based HIV-1 protease inhibitors: biological screening, 2D NMR, and molecular simulation studies","Honarparvar B, Makatini MM, Pawar SA, Petzold K, Soliman ME, Arvidsson PI, Sayed Y, Govender T, Maguire GE, Kruger HG.","ChemMedChem. 2012 Jun;7(6):1009-19. doi: 10.1002/cmdc.201100512. Epub 2012 Apr 27.","Honarparvar B","ChemMedChem","2012","2012/05/01","","","10.1002/cmdc.201100512"
"28558028","Kidney volume measurement methods for clinical studies on autosomal dominant polycystic kidney disease","Sharma K, Caroli A, Quach LV, Petzold K, Bozzetto M, Serra AL, Remuzzi G, Remuzzi A.","PLoS One. 2017 May 30;12(5):e0178488. doi: 10.1371/journal.pone.0178488. eCollection 2017.","Sharma K","PLoS One","2017","2017/05/31","PMC5448775","","10.1371/journal.pone.0178488"
"25165183","Building a network of ADPKD reference centres across Europe: the EuroCYST initiative","Petzold K, Gansevoort RT, Ong AC, Devuyst O, Rotar L, Eckardt KU, Köttgen A, Pirson Y, Remuzzi G, Sandford R, Tesar V, Ecder T, Chaveau D, Torra R, Budde K, Le Meur Y, Wüthrich RP, Serra AL.","Nephrol Dial Transplant. 2014 Sep;29 Suppl 4:iv26-32. doi: 10.1093/ndt/gfu091.","Petzold K","Nephrol Dial Transplant","2014","2014/08/29","","","10.1093/ndt/gfu091"
"21429747","Pentacycloundecane-based inhibitors of wild-type C-South African HIV-protease","Makatini MM, Petzold K, Sriharsha SN, Soliman ME, Honarparvar B, Arvidsson PI, Sayed Y, Govender P, Maguire GE, Kruger HG, Govender T.","Bioorg Med Chem Lett. 2011 Apr 15;21(8):2274-7. doi: 10.1016/j.bmcl.2011.02.105. Epub 2011 Mar 1.","Makatini MM","Bioorg Med Chem Lett","2011","2011/03/25","","","10.1016/j.bmcl.2011.02.105"
"16341269","Folding of spectrin's SH3 domain in the presence of spectrin repeats","Robertsson J, Petzold K, Löfvenberg L, Backman L.","Cell Mol Biol Lett. 2005;10(4):595-612.","Robertsson J","Cell Mol Biol Lett","2005","2005/12/13","","",""
"24402093","Renal expression of FGF23 and peripheral resistance to elevated FGF23 in rodent models of polycystic kidney disease","Spichtig D, Zhang H, Mohebbi N, Pavik I, Petzold K, Stange G, Saleh L, Edenhofer I, Segerer S, Biber J, Jaeger P, Serra AL, Wagner CA.","Kidney Int. 2014 Jun;85(6):1340-50. doi: 10.1038/ki.2013.526. Epub 2014 Jan 8.","Spichtig D","Kidney Int","2014","2014/01/10","","","10.1038/ki.2013.526"
"23796194","Interaction of cyclic mechanical stretch and toll-like receptor 4-mediated innate immunity in rat alveolar type II cells","Kuhn H, Petzold K, Hammerschmidt S, Wirtz H.","Respirology. 2014 Jan;19(1):67-73. doi: 10.1111/resp.12149.","Kuhn H","Respirology","2014","2013/06/26","","","10.1111/resp.12149"
"22339087","Synthesis, 2D-NMR and molecular modelling studies of pentacycloundecane lactam-peptides and peptoids as potential HIV-1 wild type C-SA protease inhibitors","Makatini MM, Petzold K, Alves CN, Arvidsson PI, Honarparvar B, Govender P, Govender T, Kruger HG, Sayed Y, JerônimoLameira, Maguire GE, Soliman ME.","J Enzyme Inhib Med Chem. 2013 Feb;28(1):78-88. doi: 10.3109/14756366.2011.633907. Epub 2012 Feb 17.","Makatini MM","J Enzyme Inhib Med Chem","2013","2012/02/21","","","10.3109/14756366.2011.633907"
"23129826","Secreted Klotho and FGF23 in chronic kidney disease Stage 1 to 5: a sequence suggested from a cross-sectional study","Pavik I, Jaeger P, Ebner L, Wagner CA, Petzold K, Spichtig D, Poster D, Wüthrich RP, Russmann S, Serra AL.","Nephrol Dial Transplant. 2013 Feb;28(2):352-9. doi: 10.1093/ndt/gfs460. Epub 2012 Nov 4.","Pavik I","Nephrol Dial Transplant","2013","2012/11/07","","","10.1093/ndt/gfs460"
"26306428","Modulating RNA Alignment Using Directional Dynamic Kinks: Application in Determining an Atomic-Resolution Ensemble for a Hairpin using NMR Residual Dipolar Couplings","Salmon L, Giambaşu GM, Nikolova EN, Petzold K, Bhattacharya A, Case DA, Al-Hashimi HM.","J Am Chem Soc. 2015 Oct 14;137(40):12954-65. doi: 10.1021/jacs.5b07229. Epub 2015 Sep 29.","Salmon L","J Am Chem Soc","2015","2015/08/27","PMC4748170","NIHMS755630","10.1021/jacs.5b07229"
"18358826","Folding of the alphaII-spectrin SH3 domain under physiological salt conditions","Petzold K, Ohman A, Backman L.","Arch Biochem Biophys. 2008 Jun 1;474(1):39-47. doi: 10.1016/j.abb.2008.02.042. Epub 2008 Mar 7.","Petzold K","Arch Biochem Biophys","2008","2008/03/25","","","10.1016/j.abb.2008.02.042"
"17933777","Conserved nucleotides in an RNA essential for hepatitis B virus replication show distinct mobility patterns","Petzold K, Duchardt E, Flodell S, Larsson G, Kidd-Ljunggren K, Wijmenga S, Schleucher J.","Nucleic Acids Res. 2007;35(20):6854-61. doi: 10.1093/nar/gkm774. Epub 2007 Oct 11.","Petzold K","Nucleic Acids Res","2007","2007/10/16","PMC2175316","","10.1093/nar/gkm774"
"21741133","Synthesis and structural studies of pentacycloundecane-based HIV-1 PR inhibitors: a hybrid 2D NMR and docking/QM/MM/MD approach","Makatini MM, Petzold K, Sriharsha SN, Ndlovu N, Soliman ME, Honarparvar B, Parboosing R, Naidoo A, Arvidsson PI, Sayed Y, Govender P, Maguire GE, Kruger HG, Govender T.","Eur J Med Chem. 2011 Sep;46(9):3976-85. doi: 10.1016/j.ejmech.2011.05.071. Epub 2011 Jun 7.","Makatini MM","Eur J Med Chem","2011","2011/07/12","","","10.1016/j.ejmech.2011.05.071"
