PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36323663","Programmable self-regulated molecular buffers for precise sustained drug delivery","Desrosiers A, Derbali RM, Hassine S, Berdugo J, Long V, Lauzon D, De Guire V, Fiset C, DesGroseillers L, Leblond Chain J, Vallée-Bélisle A.","Nat Commun. 2022 Nov 2;13(1):6504. doi: 10.1038/s41467-022-33491-7.","Desrosiers A","Nat Commun","2022","2022/11/03","PMC9630261","","10.1038/s41467-022-33491-7"
"17054760","Intracellular trafficking of RNA in neurons","Sossin WS, DesGroseillers L.","Traffic. 2006 Dec;7(12):1581-9. doi: 10.1111/j.1600-0854.2006.00500.x. Epub 2006 Oct 20.","Sossin WS","Traffic","2006","2006/10/24","","","10.1111/j.1600-0854.2006.00500.x"
"18394467","Understanding the importance of mRNA transport in memory","Sánchez-Carbente Mdel R, Desgroseillers L.","Prog Brain Res. 2008;169:41-58. doi: 10.1016/S0079-6123(07)00003-9.","Sánchez-Carbente Mdel R","Prog Brain Res","2008","2008/04/09","","","10.1016/S0079-6123(07)00003-9"
"34893869","The double-stranded RNA-binding protein, Staufen1, is an IRES-transacting factor regulating HIV-1 cap-independent translation initiation","Ramos H, Monette A, Niu M, Barrera A, López-Ulloa B, Fuentes Y, Guizar P, Pino K, DesGroseillers L, Mouland AJ, López-Lastra M.","Nucleic Acids Res. 2022 Jan 11;50(1):411-429. doi: 10.1093/nar/gkab1188.","Ramos H","Nucleic Acids Res","2022","2021/12/11","PMC8754648","","10.1093/nar/gkab1188"
"34908137","Correction to 'The double-stranded RNA-binding protein, Staufen1, is an IRES-transacting factor regulating HIV-1 cap-independent translation initiation'","Ramos H, Monette A, Niu M, Barrera A, López-Ulloa B, Fuentes Y, Guizar P, Pino K, DesGroseillers L, Mouland AJ, López-Lastra M.","Nucleic Acids Res. 2022 Jan 11;50(1):599-600. doi: 10.1093/nar/gkab1266.","Ramos H","Nucleic Acids Res","2022","2021/12/15","PMC8754634","","10.1093/nar/gkab1266"
"36232890","A Degradation Motif in STAU1 Defines a Novel Family of Proteins Involved in Inflammation","Gonzalez Quesada Y, DesGroseillers L.","Int J Mol Sci. 2022 Sep 30;23(19):11588. doi: 10.3390/ijms231911588.","Gonzalez Quesada Y","Int J Mol Sci","2022","2022/10/14","PMC9569955","","10.3390/ijms231911588"
"14557610","Multiple serotonergic mechanisms contributing to sensitization in aplysia: evidence of diverse serotonin receptor subtypes","Barbas D, DesGroseillers L, Castellucci VF, Carew TJ, Marinesco S.","Learn Mem. 2003 Sep-Oct;10(5):373-86. doi: 10.1101/lm.66103.","Barbas D","Learn Mem","2003","2003/10/15","PMC218003","","10.1101/lm.66103"
"35806349","Phosphomimicry on STAU1 Serine 20 Impairs STAU1 Posttranscriptional Functions and Induces Apoptosis in Human Transformed Cells","Gonzalez Quesada Y, Bonnet-Magnaval F, DesGroseillers L.","Int J Mol Sci. 2022 Jul 1;23(13):7344. doi: 10.3390/ijms23137344.","Gonzalez Quesada Y","Int J Mol Sci","2022","2022/07/09","PMC9266326","","10.3390/ijms23137344"
"34018319","The Staufen1-dependent cell cycle regulon or how a misregulated RNA-binding protein leads to cancer","Bonnet-Magnaval F, DesGroseillers L.","Biol Rev Camb Philos Soc. 2021 Oct;96(5):2192-2208. doi: 10.1111/brv.12749. Epub 2021 May 20.","Bonnet-Magnaval F","Biol Rev Camb Philos Soc","2021","2021/05/21","","","10.1111/brv.12749"
"20075165","Multimerization of Staufen1 in live cells","Martel C, Dugré-Brisson S, Boulay K, Breton B, Lapointe G, Armando S, Trépanier V, Duchaîne T, Bouvier M, Desgroseillers L.","RNA. 2010 Mar;16(3):585-97. doi: 10.1261/rna.1664210. Epub 2010 Jan 14.","Martel C","RNA","2010","2010/01/16","PMC2822923","","10.1261/rna.1664210"
"35008641","High Level of Staufen1 Expression Confers Longer Recurrence Free Survival to Non-Small Cell Lung Cancer Patients by Promoting THBS1 mRNA Degradation","Bonnet-Magnaval F, Diallo LH, Brunchault V, Laugero N, Morfoisse F, David F, Roussel E, Nougue M, Zamora A, Marchaud E, Tatin F, Prats AC, Garmy-Susini B, DesGroseillers L, Lacazette E.","Int J Mol Sci. 2021 Dec 25;23(1):215. doi: 10.3390/ijms23010215.","Bonnet-Magnaval F","Int J Mol Sci","2021","2022/01/11","PMC8745428","","10.3390/ijms23010215"
"24906885","Cell cycle-dependent regulation of the RNA-binding protein Staufen1","Boulay K, Ghram M, Viranaicken W, Trépanier V, Mollet S, Fréchina C, DesGroseillers L.","Nucleic Acids Res. 2014 Jul;42(12):7867-83. doi: 10.1093/nar/gku506. Epub 2014 Jun 6.","Boulay K","Nucleic Acids Res","2014","2014/06/08","PMC4081104","","10.1093/nar/gku506"
"32335035","Staufen1 is Essential for Cell-Cycle Transitions and Cell Proliferation Via the Control of E2F1 Expression","Ghram M, Bonnet-Magnaval F, Hotea DI, Doran B, Ly S, DesGroseillers L.","J Mol Biol. 2020 Jun 12;432(13):3881-3897. doi: 10.1016/j.jmb.2020.04.016. Epub 2020 Apr 23.","Ghram M","J Mol Biol","2020","2020/04/27","","","10.1016/j.jmb.2020.04.016"
"32576666","Staufen1 localizes to the mitotic spindle and controls the localization of RNA populations to the spindle","Hassine S, Bonnet-Magnaval F, Benoit Bouvrette LP, Doran B, Ghram M, Bouthillette M, Lecuyer E, DesGroseillers L.","J Cell Sci. 2020 Jul 23;133(14):jcs247155. doi: 10.1242/jcs.247155.","Hassine S","J Cell Sci","2020","2020/06/25","","","10.1242/jcs.247155"
"21224067","Neprilysin-2 is an important β-amyloid degrading enzyme","Hafez D, Huang JY, Huynh AM, Valtierra S, Rockenstein E, Bruno AM, Lu B, DesGroseillers L, Masliah E, Marr RA.","Am J Pathol. 2011 Jan;178(1):306-12. doi: 10.1016/j.ajpath.2010.11.012. Epub 2010 Dec 23.","Hafez D","Am J Pathol","2011","2011/01/13","PMC3069828","","10.1016/j.ajpath.2010.11.012"
