PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28920958","The N(6)-methyladenosine (m(6)A)-forming enzyme METTL3 controls myeloid differentiation of normal hematopoietic and leukemia cells","Vu LP, Pickering BF, Cheng Y, Zaccara S, Nguyen D, Minuesa G, Chou T, Chow A, Saletore Y, MacKay M, Schulman J, Famulare C, Patel M, Klimek VM, Garrett-Bakelman FE, Melnick A, Carroll M, Mason CE, Jaffrey SR, Kharas MG.","Nat Med. 2017 Nov;23(11):1369-1376. doi: 10.1038/nm.4416. Epub 2017 Sep 18.","Vu LP","Nat Med","2017","2017/09/19","PMC5677536","NIHMS904710","10.1038/nm.4416"
"31412241","m(6)A RNA Methylation Maintains Hematopoietic Stem Cell Identity and Symmetric Commitment","Cheng Y, Luo H, Izzo F, Pickering BF, Nguyen D, Myers R, Schurer A, Gourkanti S, Brüning JC, Vu LP, Jaffrey SR, Landau DA, Kharas MG.","Cell Rep. 2019 Aug 13;28(7):1703-1716.e6. doi: 10.1016/j.celrep.2019.07.032.","Cheng Y","Cell Rep","2019","2019/08/15","PMC6818972","NIHMS1537432","10.1016/j.celrep.2019.07.032"
"34458856","Transcriptional control of CBX5 by the RNA binding proteins RBMX and RBMXL1 maintains chromatin state in myeloid leukemia","Prieto C, Nguyen DTT, Liu Z, Wheat J, Perez A, Gourkanti S, Chou T, Barin E, Velleca A, Rohwetter T, Chow A, Taggart J, Savino AM, Hoskova K, Dhodapkar M, Schurer A, Barlowe TS, Vu LP, Leslie C, Steidl U, Rabadan R, Kharas MG.","Nat Cancer. 2021 Jul;2:741-757. doi: 10.1038/s43018-021-00220-w. Epub 2021 Jul 5.","Prieto C","Nat Cancer","2021","2021/08/30","PMC8388313","NIHMS1703553","10.1038/s43018-021-00220-w"
"33232076","Airway For Laser Surgery","Doroshenko M, Guerra A, Vu L.","2022 Oct 20. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan–.","Doroshenko MGuerra AVu L","StatPearls","2022","2022/10/20","","",""
"35487293","m(6)A RNA modifications: Key regulators of normal and malignant hematopoiesis","Sommerkamp P, Brown JA, Haltalli MLR, Mercier FE, Vu LP, Kranc KR.","Exp Hematol. 2022 Jul;111:25-31. doi: 10.1016/j.exphem.2022.04.006. Epub 2022 Apr 27.","Sommerkamp P","Exp Hematol","2022","2022/04/29","","","10.1016/j.exphem.2022.04.006"
"35544279","Peripherally acting mu-opioid receptor antagonists for the treatment of opioid-induced constipation","Gudin J, Vu L, Ceschim MR, Gude L, Peskin E, Alvarez A, Horn DB.","Aliment Pharmacol Ther. 2022 May;55 Suppl 2:S8-S15. doi: 10.1111/apt.16864.","Gudin J","Aliment Pharmacol Ther","2022","2022/05/11","","","10.1111/apt.16864"
"32946404","Learning Latent Representation for IoT Anomaly Detection","Vu L, Cao VL, Nguyen QU, Nguyen DN, Hoang DT, Dutkiewicz E.","IEEE Trans Cybern. 2022 May;52(5):3769-3782. doi: 10.1109/TCYB.2020.3013416. Epub 2022 May 19.","Vu L","IEEE Trans Cybern","2022","2020/09/18","","","10.1109/TCYB.2020.3013416"
"30578356","The Biology of m(6)A RNA Methylation in Normal and Malignant Hematopoiesis","Vu LP, Cheng Y, Kharas MG.","Cancer Discov. 2019 Jan;9(1):25-33. doi: 10.1158/2159-8290.CD-18-0959. Epub 2018 Dec 21.","Vu LP","Cancer Discov","2019","2018/12/23","","","10.1158/2159-8290.CD-18-0959"
"23288492","Histone-modifying enzymes: their role in the pathogenesis of acute leukemia and their therapeutic potential","Vu LP, Luciani L, Nimer SD.","Int J Hematol. 2013 Feb;97(2):198-209. doi: 10.1007/s12185-012-1247-y. Epub 2013 Jan 4.","Vu LP","Int J Hematol","2013","2013/01/05","PMC5555405","NIHMS898629","10.1007/s12185-012-1247-y"
"19386523","Post-translational modifications of Runx1 regulate its activity in the cell","Wang L, Huang G, Zhao X, Hatlen MA, Vu L, Liu F, Nimer SD.","Blood Cells Mol Dis. 2009 Jul-Aug;43(1):30-4. doi: 10.1016/j.bcmd.2009.03.005. Epub 2009 Apr 21.","Wang L","Blood Cells Mol Dis","2009","2009/04/24","PMC2743917","NIHMS125105","10.1016/j.bcmd.2009.03.005"
"32742300","Deep learning-based detection of seedling development","Samiei S, Rasti P, Ly Vu J, Buitink J, Rousseau D.","Plant Methods. 2020 Jul 30;16:103. doi: 10.1186/s13007-020-00647-9. eCollection 2020.","Samiei S","Plant Methods","2020","2020/08/04","PMC7391498","","10.1186/s13007-020-00647-9"
"35439159","Deep Generative Learning Models for Cloud Intrusion Detection Systems","Vu L, Nguyen QU, Nguyen DN, Hoang DT, Dutkiewicz E.","IEEE Trans Cybern. 2022 Apr 19;PP. doi: 10.1109/TCYB.2022.3163811. Online ahead of print.","Vu L","IEEE Trans Cybern","2022","2022/04/19","","","10.1109/TCYB.2022.3163811"
"34283451","Responsible Controlled Substance and Opioid Prescribing","Horn DB, Vu L, Porter BR, Sarantopoulos K.","2022 Nov 17. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan–.","Horn DBVu LPorter BRSarantopoulos K","StatPearls","2022","2022/11/17","","",""
"34283485","Fluoroscopy Discography Assessment, Protocols, and Interpretation","Stretanski MF, Vu L.","2022 Jul 12. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan–.","Stretanski MFVu L","StatPearls","2022","2022/07/12","","",""
"36645883","RNA deadenylation complexes in development and diseases","Liu Y, Ramkumar N, Vu LP.","Biochem Cell Biol. 2023 Jan 16. doi: 10.1139/bcb-2022-0325. Online ahead of print.","Liu Y","Biochem Cell Biol","2023","2023/01/16","","","10.1139/bcb-2022-0325"
"30205040","Targeting the Residual Leukemia Cells after Chemotherapy","Vu LP, Kharas MG.","Cancer Cell. 2018 Sep 10;34(3):353-355. doi: 10.1016/j.ccell.2018.08.012.","Vu LP","Cancer Cell","2018","2018/09/12","","","10.1016/j.ccell.2018.08.012"
"36322827","miR-148a-3p and DDX6 functional link promotes survival of myeloid leukemia cells","Ghashghaei M, Le CT, Shaalan H, Escano L, Yue M, Arsalan A, Rouhi A, Nguyen TA, Vu LP.","Blood Adv. 2022 Nov 2:bloodadvances.2022008123. doi: 10.1182/bloodadvances.2022008123. Online ahead of print.","Ghashghaei M","Blood Adv","2022","2022/11/02","","","10.1182/bloodadvances.2022008123"
"26765928","Total Synthesis of Isodaphlongamine H: A Possible Biogenetic Conundrum","Chattopadhyay AK, Ly VL, Jakkepally S, Berger G, Hanessian S.","Angew Chem Int Ed Engl. 2016 Feb 12;55(7):2577-81. doi: 10.1002/anie.201510861. Epub 2016 Jan 14.","Chattopadhyay AK","Angew Chem Int Ed Engl","2016","2016/01/15","","","10.1002/anie.201510861"
"33275897","Introductions to the Community: Early-Career Researchers in the Time of COVID-19","Takayama K, Weaver LN, Lummertz da Rocha E, Lo Sardo V, Gehart H, Vu LP.","Cell Stem Cell. 2020 Dec 3;27(6):853-855. doi: 10.1016/j.stem.2020.11.011.","Takayama K","Cell Stem Cell","2020","2020/12/04","PMC7713542","","10.1016/j.stem.2020.11.011"
"33553517","RNA sequencing data for heat stress response in isolated medicago truncatula seed tissues","Chen Z, Ly Vu B, Leprince O, Verdier J.","Data Brief. 2021 Jan 21;35:106726. doi: 10.1016/j.dib.2021.106726. eCollection 2021 Apr.","Chen Z","Data Brief","2021","2021/02/08","PMC7856423","","10.1016/j.dib.2021.106726"
"36739749","Aromatic hydrazides: A potential solution for Acinetobacter baumannii infections","Green KD, Thamban Chandrika N, Vu LY, Pang AH, Tsodikov OV, Garneau-Tsodikova S.","Eur J Med Chem. 2023 Jan 30;249:115165. doi: 10.1016/j.ejmech.2023.115165. Online ahead of print.","Green KD","Eur J Med Chem","2023","2023/02/05","","","10.1016/j.ejmech.2023.115165"
