PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28711227","Oncogenic Activities of IDH1/2 Mutations: From Epigenetics to Cellular Signaling","M Gagné L, Boulay K, Topisirovic I, Huot MÉ, Mallette FA.","Trends Cell Biol. 2017 Oct;27(10):738-752. doi: 10.1016/j.tcb.2017.06.002. Epub 2017 Jul 12.","M Gagné L","Trends Cell Biol","2017","2017/07/17","","","10.1016/j.tcb.2017.06.002"
"35954473","Cancer-Associated Fibroblasts in a 3D Engineered Tissue Model Induce Tumor-like Matrix Stiffening and EMT Transition","Millet M, Bollmann E, Ringuette Goulet C, Bernard G, Chabaud S, Huot MÉ, Pouliot F, Bolduc S, Bordeleau F.","Cancers (Basel). 2022 Aug 5;14(15):3810. doi: 10.3390/cancers14153810.","Millet M","Cancers (Basel)","2022","2022/08/12","PMC9367573","","10.3390/cancers14153810"
"34634301","Tyrosine phosphorylation of DEPTOR functions as a molecular switch to activate mTOR signaling","M Gagné L, Morin N, Lavoie N, Bisson N, Lambert JP, Mallette FA, Huot MÉ.","J Biol Chem. 2021 Nov;297(5):101291. doi: 10.1016/j.jbc.2021.101291. Epub 2021 Oct 9.","M Gagné L","J Biol Chem","2021","2021/10/11","PMC8551655","","10.1016/j.jbc.2021.101291"
"28872115","Quantitative Immunofluorescence to Measure Global Localized Translation","Bergeman J, Huot MÉ.","J Vis Exp. 2017 Aug 22;(126):55909. doi: 10.3791/55909.","Bergeman J","J Vis Exp","2017","2017/09/06","PMC5614359","","10.3791/55909"
"29062139","DDX3 regulates endoplasmic reticulum stress-induced ATF4 expression","Adjibade P, Grenier St-Sauveur V, Bergeman J, Huot ME, Khandjian EW, Mazroui R.","Sci Rep. 2017 Oct 23;7(1):13832. doi: 10.1038/s41598-017-14262-7.","Adjibade P","Sci Rep","2017","2017/10/25","PMC5653821","","10.1038/s41598-017-14262-7"
"27624942","The oncometabolite 2-hydroxyglutarate activates the mTOR signalling pathway","Carbonneau M, M Gagné L, Lalonde ME, Germain MA, Motorina A, Guiot MC, Secco B, Vincent EE, Tumber A, Hulea L, Bergeman J, Oppermann U, Jones RG, Laplante M, Topisirovic I, Petrecca K, Huot MÉ, Mallette FA.","Nat Commun. 2016 Sep 14;7:12700. doi: 10.1038/ncomms12700.","Carbonneau M","Nat Commun","2016","2016/09/15","PMC5027283","","10.1038/ncomms12700"
"27637266","Localized translation regulates cell adhesion and transendothelial migration","Bergeman J, Caillier A, Houle F, Gagné LM, Huot MÉ.","J Cell Sci. 2016 Nov 1;129(21):4105-4117. doi: 10.1242/jcs.191320. Epub 2016 Sep 16.","Bergeman J","J Cell Sci","2016","2016/09/18","","","10.1242/jcs.191320"
"30767021","SAM68 interaction with U1A modulates U1 snRNP recruitment and regulates mTor pre-mRNA splicing","Subramania S, Gagné LM, Campagne S, Fort V, O'Sullivan J, Mocaer K, Feldmüller M, Masson JY, Allain FHT, Hussein SM, Huot MÉ.","Nucleic Acids Res. 2019 May 7;47(8):4181-4197. doi: 10.1093/nar/gkz099.","Subramania S","Nucleic Acids Res","2019","2019/02/16","PMC6486544","","10.1093/nar/gkz099"
"23700540","Stay lean without dieting: Lose Sam68","Huot ME, Richard S.","Adipocyte. 2012 Oct 1;1(4):246-249. doi: 10.4161/adip.20819.","Huot ME","Adipocyte","2012","2013/05/24","PMC3609103","","10.4161/adip.20819"
"32328642","Adenoviral protein E4orf4 interacts with the polarity protein Par3 to induce nuclear rupture and tumor cell death","Dziengelewski C, Rodrigue MA, Caillier A, Jacquet K, Boulanger MC, Bergeman J, Fuchs M, Lambert H, Laprise P, Richard DE, Bordeleau F, Huot MÉ, Lavoie JN.","J Cell Biol. 2020 Apr 6;219(4):e201805122. doi: 10.1083/jcb.201805122.","Dziengelewski C","J Cell Biol","2020","2020/04/25","PMC7147092","","10.1083/jcb.201805122"
