PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20533884","Regulation of mRNA translation and stability by microRNAs","Fabian MR, Sonenberg N, Filipowicz W.","Annu Rev Biochem. 2010;79:351-79. doi: 10.1146/annurev-biochem-060308-103103.","Fabian MR","Annu Rev Biochem","2010","2010/06/11","","","10.1146/annurev-biochem-060308-103103"
"22664986","The mechanics of miRNA-mediated gene silencing: a look under the hood of miRISC","Fabian MR, Sonenberg N.","Nat Struct Mol Biol. 2012 Jun 5;19(6):586-93. doi: 10.1038/nsmb.2296.","Fabian MR","Nat Struct Mol Biol","2012","2012/06/06","","","10.1038/nsmb.2296"
"29395067","High-Density Proximity Mapping Reveals the Subcellular Organization of mRNA-Associated Granules and Bodies","Youn JY, Dunham WH, Hong SJ, Knight JDR, Bashkurov M, Chen GI, Bagci H, Rathod B, MacLeod G, Eng SWM, Angers S, Morris Q, Fabian M, Côté JF, Gingras AC.","Mol Cell. 2018 Feb 1;69(3):517-532.e11. doi: 10.1016/j.molcel.2017.12.020. Epub 2018 Jan 25.","Youn JY","Mol Cell","2018","2018/02/04","","","10.1016/j.molcel.2017.12.020"
"29959194","Mechanistic Insights into MicroRNA-Mediated Gene Silencing","Duchaine TF, Fabian MR.","Cold Spring Harb Perspect Biol. 2019 Mar 1;11(3):a032771. doi: 10.1101/cshperspect.a032771.","Duchaine TF","Cold Spring Harb Perspect Biol","2019","2018/07/01","PMC6396329","","10.1101/cshperspect.a032771"
"19841878","Understanding how miRNAs post-transcriptionally regulate gene expression","Fabian MR, Sundermeier TR, Sonenberg N.","Prog Mol Subcell Biol. 2010;50:1-20. doi: 10.1007/978-3-642-03103-8_1.","Fabian MR","Prog Mol Subcell Biol","2010","2009/10/21","","","10.1007/978-3-642-03103-8_1"
"35801873","P-bodies directly regulate MARF1-mediated mRNA decay in human cells","Brothers WR, Fakim H, Kajjo S, Fabian MR.","Nucleic Acids Res. 2022 Jul 22;50(13):7623-7636. doi: 10.1093/nar/gkac557.","Brothers WR","Nucleic Acids Res","2022","2022/07/08","PMC9303261","","10.1093/nar/gkac557"
"33201479","A Cell-Free System for Investigating Human MARF1 Endonuclease Activity","Fakim H, Fabian MR.","Methods Mol Biol. 2021;2209:333-345. doi: 10.1007/978-1-0716-0935-4_21.","Fakim H","Methods Mol Biol","2021","2020/11/17","","","10.1007/978-1-0716-0935-4_21"
"35156721","PABP prevents the untimely decay of select mRNA populations in human cells","Kajjo S, Sharma S, Chen S, Brothers WR, Cott M, Hasaj B, Jovanovic P, Larsson O, Fabian MR.","EMBO J. 2022 Mar 15;41(6):e108650. doi: 10.15252/embj.2021108650. Epub 2022 Feb 14.","Kajjo S","EMBO J","2022","2022/02/14","PMC8922270","","10.15252/embj.2021108650"
"28487484","Cap-binding protein 4EHP effects translation silencing by microRNAs","Chapat C, Jafarnejad SM, Matta-Camacho E, Hesketh GG, Gelbart IA, Attig J, Gkogkas CG, Alain T, Stern-Ginossar N, Fabian MR, Gingras AC, Duchaine TF, Sonenberg N.","Proc Natl Acad Sci U S A. 2017 May 23;114(21):5425-5430. doi: 10.1073/pnas.1701488114. Epub 2017 May 9.","Chapat C","Proc Natl Acad Sci U S A","2017","2017/05/11","PMC5448183","","10.1073/pnas.1701488114"
"31067372","Mesenchymal Hamartoma of the Liver and DICER1 Syndrome","Apellaniz-Ruiz M, Segni M, Kettwig M, Glüer S, Pelletier D, Nguyen VH, Wagener R, López C, Muchantef K, Bouron-Dal Soglio D, Sabbaghian N, Wu MK, Zannella S, Fabian MR, Siebert R, Menke J, Priest JR, Foulkes WD.","N Engl J Med. 2019 May 9;380(19):1834-1842. doi: 10.1056/NEJMoa1812169.","Apellaniz-Ruiz M","N Engl J Med","2019","2019/05/09","","","10.1056/NEJMoa1812169"
