PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34883107","Probabilistic models of uORF-mediated ATF4 translation control","Marasco ONJM, Roussel MR, Thakor N.","Math Biosci. 2022 Jan;343:108762. doi: 10.1016/j.mbs.2021.108762. Epub 2021 Dec 6.","Marasco ONJM","Math Biosci","2022","2021/12/09","","","10.1016/j.mbs.2021.108762"
"34142000","On the quasi-steady-state approximation in an open Michaelis-Menten reaction mechanism","Eilertsen J, Roussel MR, Schnell S, Walcher S.","AIMS Math. 2021;6(7):6781-6814. doi: 10.3934/math.2021398. Epub 2021 Apr 21.","Eilertsen J","AIMS Math","2021","2021/06/18","PMC8208640","NIHMS1700759","10.3934/math.2021398"
"31697965","Heineken, Tsuchiya and Aris on the mathematical status of the pseudo-steady state hypothesis: A classic from volume 1 of Mathematical Biosciences","Roussel MR.","Math Biosci. 2019 Dec;318:108274. doi: 10.1016/j.mbs.2019.108274. Epub 2019 Nov 4.","Roussel MR","Math Biosci","2019","2019/11/08","","","10.1016/j.mbs.2019.108274"
"15261527","Reaction-diffusion models of development with state-dependent chemical diffusion coefficients","Roussel CJ, Roussel MR.","Prog Biophys Mol Biol. 2004 Sep;86(1):113-60. doi: 10.1016/j.pbiomolbio.2004.03.001.","Roussel CJ","Prog Biophys Mol Biol","2004","2004/07/21","","","10.1016/j.pbiomolbio.2004.03.001"
"18982073","The scale-free dynamics of eukaryotic cells","Aon MA, Roussel MR, Cortassa S, O'Rourke B, Murray DB, Beckmann M, Lloyd D.","PLoS One. 2008;3(11):e3624. doi: 10.1371/journal.pone.0003624. Epub 2008 Nov 4.","Aon MA","PLoS One","2008","2008/11/05","PMC2575856","","10.1371/journal.pone.0003624"
"30292532","A mathematical model of the biochemical network underlying left-right asymmetry establishment in mammals","Roussel CJ, Roussel MR.","Biosystems. 2018 Nov;173:281-297. doi: 10.1016/j.biosystems.2018.10.003. Epub 2018 Oct 4.","Roussel CJ","Biosystems","2018","2018/10/08","","","10.1016/j.biosystems.2018.10.003"
"28608044","Parametric Sensitivity Analysis of Oscillatory Delay Systems with an Application to Gene Regulation","Ingalls B, Mincheva M, Roussel MR.","Bull Math Biol. 2017 Jul;79(7):1539-1563. doi: 10.1007/s11538-017-0298-x. Epub 2017 Jun 12.","Ingalls B","Bull Math Biol","2017","2017/06/14","","","10.1007/s11538-017-0298-x"
"20739004","Dynamics and mechanisms of oscillatory photosynthesis","Roussel MR, Igamberdiev AU.","Biosystems. 2011 Feb;103(2):230-8. doi: 10.1016/j.biosystems.2010.07.020. Epub 2010 Aug 23.","Roussel MR","Biosystems","2011","2010/08/27","","","10.1016/j.biosystems.2010.07.020"
"16967259","Stochastic kinetics description of a simple transcription model","Roussel MR, Zhu R.","Bull Math Biol. 2006 Oct;68(7):1681-713. doi: 10.1007/s11538-005-9048-6. Epub 2006 Jun 20.","Roussel MR","Bull Math Biol","2006","2006/09/13","","","10.1007/s11538-005-9048-6"
"30516036","Temporal metabolic partitioning of the yeast and protist cellular networks: the cell is a global scale-invariant (fractal or self-similar) multioscillator","Lloyd D, Murray DB, Aon MA, Cortassa S, Roussel MR, Beckmann M, Poole RK.","J Biomed Opt. 2018 Dec;24(5):1-17. doi: 10.1117/1.JBO.24.5.051404.","Lloyd D","J Biomed Opt","2018","2018/12/06","PMC6992908","","10.1117/1.JBO.24.5.051404"
