PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32411184","Editorial: RNA Regulation in Development and Disease","Chartrand P, Jaramillo M, Gamberi C.","Front Genet. 2020 Apr 28;11:430. doi: 10.3389/fgene.2020.00430. eCollection 2020.","Chartrand P","Front Genet","2020","2020/05/16","PMC7198849","","10.3389/fgene.2020.00430"
"36323665","Cap-dependent translation initiation monitored in living cells","Gandin V, English BP, Freeman M, Leroux LP, Preibisch S, Walpita D, Jaramillo M, Singer RH.","Nat Commun. 2022 Nov 2;13(1):6558. doi: 10.1038/s41467-022-34052-8.","Gandin V","Nat Commun","2022","2022/11/03","PMC9630388","","10.1038/s41467-022-34052-8"
"36191034","Revisiting Leishmania GP63 host cell targets reveals a limited spectrum of substrates","Guay-Vincent MM, Matte C, Berthiaume AM, Olivier M, Jaramillo M, Descoteaux A.","PLoS Pathog. 2022 Oct 3;18(10):e1010640. doi: 10.1371/journal.ppat.1010640. eCollection 2022 Oct.","Guay-Vincent MM","PLoS Pathog","2022","2022/10/03","PMC9560592","","10.1371/journal.ppat.1010640"
"35430587","Transcriptional profiling of macrophages reveals distinct parasite stage-driven signatures during early infection by Leishmania donovani","Chaparro V, Graber TE, Alain T, Jaramillo M.","Sci Rep. 2022 Apr 16;12(1):6369. doi: 10.1038/s41598-022-10317-6.","Chaparro V","Sci Rep","2022","2022/04/17","PMC9013368","","10.1038/s41598-022-10317-6"
"32213561","4E-BP-Dependent Translational Control of Irf8 Mediates Adipose Tissue Macrophage Inflammatory Response","Pearl D, Katsumura S, Amiri M, Tabatabaei N, Zhang X, Vinette V, Pang X, Beug ST, Kim SH, Jones LM, Robichaud N, Ong SG, Jia JJ, Ali H, Tremblay ML, Jaramillo M, Alain T, Morita M, Sonenberg N, Tahmasebi S.","J Immunol. 2020 May 1;204(9):2392-2400. doi: 10.4049/jimmunol.1900538. Epub 2020 Mar 25.","Pearl D","J Immunol","2020","2020/03/28","","","10.4049/jimmunol.1900538"
"30808989","Publisher Correction: Exploitation of the Leishmania exosomal pathway by Leishmania RNA virus 1","Atayde VD, da Silva Lira Filho A, Chaparro V, Zimmermann A, Martel C, Jaramillo M, Olivier M.","Nat Microbiol. 2019 Apr;4(4):724. doi: 10.1038/s41564-019-0420-y.","Atayde VD","Nat Microbiol","2019","2019/02/28","","","10.1038/s41564-019-0420-y"
"30692670","Exploitation of the Leishmania exosomal pathway by Leishmania RNA virus 1","Atayde VD, da Silva Lira Filho A, Chaparro V, Zimmermann A, Martel C, Jaramillo M, Olivier M.","Nat Microbiol. 2019 Apr;4(4):714-723. doi: 10.1038/s41564-018-0352-y. Epub 2019 Jan 28.","Atayde VD","Nat Microbiol","2019","2019/01/30","","","10.1038/s41564-018-0352-y"
"29967092","The Protozoan Parasite Toxoplasma gondii Selectively Reprograms the Host Cell Translatome","Leroux LP, Lorent J, Graber TE, Chaparro V, Masvidal L, Aguirre M, Fonseca BD, van Kempen LC, Alain T, Larsson O, Jaramillo M.","Infect Immun. 2018 Aug 22;86(9):e00244-18. doi: 10.1128/IAI.00244-18. Print 2018 Sep.","Leroux LP","Infect Immun","2018","2018/07/04","PMC6105892","","10.1128/IAI.00244-18"
"30138450","Active-site mTOR inhibitors augment HSV1-dICP0 infection in cancer cells via dysregulated eIF4E/4E-BP axis","Zakaria C, Sean P, Hoang HD, Leroux LP, Watson M, Workenhe ST, Hearnden J, Pearl D, Truong VT, Robichaud N, Yanagiya A, Tahmasebi S, Jafarnejad SM, Jia JJ, Pelin A, Diallo JS, Le Boeuf F, Bell JC, Mossman KL, Graber TE, Jaramillo M, Sonenberg N, Alain T.","PLoS Pathog. 2018 Aug 23;14(8):e1007264. doi: 10.1371/journal.ppat.1007264. eCollection 2018 Aug.","Zakaria C","PLoS Pathog","2018","2018/08/24","PMC6124814","","10.1371/journal.ppat.1007264"
"30804103","Leishmania donovani Lipophosphoglycan Increases Macrophage-Dependent Chemotaxis of CXCR6-Expressing Cells via CXCL16 Induction","Chaparro V, Leroux LP, Zimmermann A, Jardim A, Johnston B, Descoteaux A, Jaramillo M.","Infect Immun. 2019 Apr 23;87(5):e00064-19. doi: 10.1128/IAI.00064-19. Print 2019 Mar.","Chaparro V","Infect Immun","2019","2019/02/27","PMC6479025","","10.1128/IAI.00064-19"
