PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33651971","A decade of LARP society","Blagden SP, Bayfield M, Bousquet-Antonelli C.","RNA Biol. 2021 Feb;18(2):157-158. doi: 10.1080/15476286.2020.1755505.","Blagden SP","RNA Biol","2021","2021/03/02","PMC7928030","","10.1080/15476286.2020.1755505"
"16427005","The La protein-RNA complex surfaces","Maraia RJ, Bayfield MA.","Mol Cell. 2006 Jan 20;21(2):149-52. doi: 10.1016/j.molcel.2006.01.004.","Maraia RJ","Mol Cell","2006","2006/01/24","","","10.1016/j.molcel.2006.01.004"
"30777481","La proteins couple use of sequence-specific and non-specific binding modes to engage RNA substrates","Bayfield MA, Vinayak J, Kerkhofs K, Mansouri-Noori F.","RNA Biol. 2021 Feb;18(2):168-177. doi: 10.1080/15476286.2019.1582955. Epub 2019 Mar 18.","Bayfield MA","RNA Biol","2021","2019/02/20","PMC7928037","","10.1080/15476286.2019.1582955"
"33593999","Revisiting tRNA chaperones: New players in an ancient game","Porat J, Kothe U, Bayfield MA.","RNA. 2021 Feb 16;27(5):543-59. doi: 10.1261/rna.078428.120. Online ahead of print.","Porat J","RNA","2021","2021/02/17","PMC8051267","","10.1261/rna.078428.120"
"36443289","Altered tRNA processing is linked to a distinct and unusual La protein in Tetrahymena thermophila","Kerkhofs K, Garg J, Fafard-Couture É, Abou Elela S, Scott MS, Pearlman RE, Bayfield MA.","Nat Commun. 2022 Nov 28;13(1):7332. doi: 10.1038/s41467-022-34796-3.","Kerkhofs K","Nat Commun","2022","2022/11/28","PMC9705548","","10.1038/s41467-022-34796-3"
"35277511","The methyl phosphate capping enzyme Bmc1/Bin3 is a stable component of the fission yeast telomerase holoenzyme","Porat J, El Baidouri M, Grigull J, Deragon JM, Bayfield MA.","Nat Commun. 2022 Mar 11;13(1):1277. doi: 10.1038/s41467-022-28985-3.","Porat J","Nat Commun","2022","2022/03/12","PMC8917221","","10.1038/s41467-022-28985-3"
"20138158","Conserved and divergent features of the structure and function of La and La-related proteins (LARPs)","Bayfield MA, Yang R, Maraia RJ.","Biochim Biophys Acta. 2010 May-Jun;1799(5-6):365-78. doi: 10.1016/j.bbagrm.2010.01.011. Epub 2010 Feb 2.","Bayfield MA","Biochim Biophys Acta","2010","2010/02/09","PMC2860065","NIHMS184592","10.1016/j.bbagrm.2010.01.011"
"31889253","Use of tRNA-Mediated Suppression to Assess RNA Chaperone Function","Porat J, Bayfield MA.","Methods Mol Biol. 2020;2106:107-120. doi: 10.1007/978-1-0716-0231-7_6.","Porat J","Methods Mol Biol","2020","2020/01/01","","","10.1007/978-1-0716-0231-7_6"
"31801095","C-lection by the DM15 Motif Gets LARP1 to the TOP","Bayfield MA, Kerkhofs K, Mansouri-Noori F.","Structure. 2019 Dec 3;27(12):1737-1739. doi: 10.1016/j.str.2019.11.010.","Bayfield MA","Structure","2019","2019/12/05","","","10.1016/j.str.2019.11.010"
"33277478","A substrate binding model for the KEOPS tRNA modifying complex","Beenstock J, Ona SM, Porat J, Orlicky S, Wan LCK, Ceccarelli DF, Maisonneuve P, Szilard RK, Yin Z, Setiaputra D, Mao DYL, Khan M, Raval S, Schriemer DC, Bayfield MA, Durocher D, Sicheri F.","Nat Commun. 2020 Dec 4;11(1):6233. doi: 10.1038/s41467-020-19990-5.","Beenstock J","Nat Commun","2020","2020/12/05","PMC7718258","","10.1038/s41467-020-19990-5"
"18277975","It's a mod mod tRNA world","Maraia RJ, Blewett NH, Bayfield MA.","Nat Chem Biol. 2008 Mar;4(3):162-4. doi: 10.1038/nchembio0308-162.","Maraia RJ","Nat Chem Biol","2008","2008/02/19","","","10.1038/nchembio0308-162"
"29447394","Human La binds mRNAs through contacts to the poly(A) tail","Vinayak J, Marrella SA, Hussain RH, Rozenfeld L, Solomon K, Bayfield MA.","Nucleic Acids Res. 2018 May 4;46(8):4228-4240. doi: 10.1093/nar/gky090.","Vinayak J","Nucleic Acids Res","2018","2018/02/16","PMC5934636","","10.1093/nar/gky090"
"30361391","FMRP recruitment of β-catenin to the translation pre-initiation complex represses translation","Ehyai S, Miyake T, Williams D, Vinayak J, Bayfield MA, McDermott JC.","EMBO Rep. 2018 Dec;19(12):e45536. doi: 10.15252/embr.201745536. Epub 2018 Oct 25.","Ehyai S","EMBO Rep","2018","2018/10/27","PMC6280795","","10.15252/embr.201745536"
"30530494","An interdomain bridge influences RNA binding of the human La protein","Marrella SA, Brown KA, Mansouri-Noori F, Porat J, Wilson DJ, Bayfield MA.","J Biol Chem. 2019 Feb 1;294(5):1529-1540. doi: 10.1074/jbc.RA118.003995. Epub 2018 Dec 10.","Marrella SA","J Biol Chem","2019","2018/12/12","PMC6364776","","10.1074/jbc.RA118.003995"
"19287396","Precursor-product discrimination by La protein during tRNA metabolism","Bayfield MA, Maraia RJ.","Nat Struct Mol Biol. 2009 Apr;16(4):430-7. doi: 10.1038/nsmb.1573. Epub 2009 Mar 15.","Bayfield MA","Nat Struct Mol Biol","2009","2009/03/17","PMC2666094","NIHMS94295","10.1038/nsmb.1573"
"25510927","Analysis of metabolic changes in plant pathosystems by imprint imaging DESI-MS","Tata A, Perez CJ, Hamid TS, Bayfield MA, Ifa DR.","J Am Soc Mass Spectrom. 2015 Apr;26(4):641-8. doi: 10.1007/s13361-014-1039-0. Epub 2014 Dec 16.","Tata A","J Am Soc Mass Spectrom","2015","2014/12/17","","","10.1007/s13361-014-1039-0"
"23887937","Conservation of RNA chaperone activity of the human La-related proteins 4, 6 and 7","Hussain RH, Zawawi M, Bayfield MA.","Nucleic Acids Res. 2013 Oct;41(18):8715-25. doi: 10.1093/nar/gkt649. Epub 2013 Jul 25.","Hussain RH","Nucleic Acids Res","2013","2013/07/27","PMC3794603","","10.1093/nar/gkt649"
"28977649","The RNA chaperone La promotes pre-tRNA maturation via indiscriminate binding of both native and misfolded targets","Vakiloroayaei A, Shah NS, Oeffinger M, Bayfield MA.","Nucleic Acids Res. 2017 Nov 2;45(19):11341-11355. doi: 10.1093/nar/gkx764.","Vakiloroayaei A","Nucleic Acids Res","2017","2017/10/05","PMC5737608","","10.1093/nar/gkx764"
"16799560","Separate RNA-binding surfaces on the multifunctional La protein mediate distinguishable activities in tRNA maturation","Huang Y, Bayfield MA, Intine RV, Maraia RJ.","Nat Struct Mol Biol. 2006 Jul;13(7):611-8. doi: 10.1038/nsmb1110. Epub 2006 Jun 25.","Huang Y","Nat Struct Mol Biol","2006","2006/06/27","","","10.1038/nsmb1110"
"27959512","Distinct Dynamic Modes Enable the Engagement of Dissimilar Ligands in a Promiscuous Atypical RNA Recognition Motif","Brown KA, Sharifi S, Hussain R, Donaldson L, Bayfield MA, Wilson DJ.","Biochemistry. 2016 Dec 27;55(51):7141-7150. doi: 10.1021/acs.biochem.6b00995. Epub 2016 Dec 13.","Brown KA","Biochemistry","2016","2016/12/14","","","10.1021/acs.biochem.6b00995"
"18249148","A La-related protein modulates 7SK snRNP integrity to suppress P-TEFb-dependent transcriptional elongation and tumorigenesis","He N, Jahchan NS, Hong E, Li Q, Bayfield MA, Maraia RJ, Luo K, Zhou Q.","Mol Cell. 2008 Mar 14;29(5):588-99. doi: 10.1016/j.molcel.2008.01.003. Epub 2008 Jan 31.","He N","Mol Cell","2008","2008/02/06","PMC6239424","NIHMS43358","10.1016/j.molcel.2008.01.003"
"22203678","RNA chaperone activity of human La protein is mediated by variant RNA recognition motif","Naeeni AR, Conte MR, Bayfield MA.","J Biol Chem. 2012 Feb 17;287(8):5472-82. doi: 10.1074/jbc.M111.276071. Epub 2011 Dec 27.","Naeeni AR","J Biol Chem","2012","2011/12/29","PMC3285324","","10.1074/jbc.M111.276071"
"21317186","Comparative whole genome sequencing reveals phenotypic tRNA gene duplication in spontaneous Schizosaccharomyces pombe La mutants","Iben JR, Epstein JA, Bayfield MA, Bruinsma MW, Hasson S, Bacikova D, Ahmad D, Rockwell D, Kittler EL, Zapp ML, Maraia RJ.","Nucleic Acids Res. 2011 Jun;39(11):4728-42. doi: 10.1093/nar/gkr066. Epub 2011 Feb 11.","Iben JR","Nucleic Acids Res","2011","2011/02/15","PMC3113579","","10.1093/nar/gkr066"
