PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25362362","A robust pipeline for rapid production of versatile nanobody repertoires","Fridy PC, Li Y, Keegan S, Thompson MK, Nudelman I, Scheid JF, Oeffinger M, Nussenzweig MC, Fenyö D, Chait BT, Rout MP.","Nat Methods. 2014 Dec;11(12):1253-60. doi: 10.1038/nmeth.3170. Epub 2014 Nov 2.","Fridy PC","Nat Methods","2014","2014/11/03","PMC4272012","NIHMS634673","10.1038/nmeth.3170"
"25938908","Emerging properties of nuclear RNP biogenesis and export","Oeffinger M, Montpetit B.","Curr Opin Cell Biol. 2015 Jun;34:46-53. doi: 10.1016/j.ceb.2015.04.007. Epub 2015 May 15.","Oeffinger M","Curr Opin Cell Biol","2015","2015/05/05","","","10.1016/j.ceb.2015.04.007"
"22387213","To the pore and through the pore: a story of mRNA export kinetics","Oeffinger M, Zenklusen D.","Biochim Biophys Acta. 2012 Jun;1819(6):494-506. doi: 10.1016/j.bbagrm.2012.02.011. Epub 2012 Feb 22.","Oeffinger M","Biochim Biophys Acta","2012","2012/03/06","PMC3345096","NIHMS360120","10.1016/j.bbagrm.2012.02.011"
"27673355","Nucleolin and nucleophosmin: nucleolar proteins with multiple functions in DNA repair","Scott DD, Oeffinger M.","Biochem Cell Biol. 2016 Oct;94(5):419-432. doi: 10.1139/bcb-2016-0068. Epub 2016 Jun 29.","Scott DD","Biochem Cell Biol","2016","2016/09/28","","","10.1139/bcb-2016-0068"
"20584913","Joining the interface: a site for Nmd3 association on 60S ribosome subunits","Oeffinger M.","J Cell Biol. 2010 Jun 28;189(7):1071-3. doi: 10.1083/jcb.201006033.","Oeffinger M","J Cell Biol","2010","2010/06/30","PMC2894455","","10.1083/jcb.201006033"
"22592981","Two steps forward--one step back: advances in affinity purification mass spectrometry of macromolecular complexes","Oeffinger M.","Proteomics. 2012 May;12(10):1591-608. doi: 10.1002/pmic.201100509.","Oeffinger M","Proteomics","2012","2012/05/18","","","10.1002/pmic.201100509"
"31811630","It's Not the Destination, It's the Journey: Heterogeneity in mRNA Export Mechanisms","Scott DD, Aguilar LC, Kramar M, Oeffinger M.","Adv Exp Med Biol. 2019;1203:33-81. doi: 10.1007/978-3-030-31434-7_2.","Scott DD","Adv Exp Med Biol","2019","2019/12/08","","","10.1007/978-3-030-31434-7_2"
"33938148","Choosing the right exit: How functional plasticity of the nuclear pore drives selective and efficient mRNA export","Bensidoun P, Zenklusen D, Oeffinger M.","Wiley Interdiscip Rev RNA. 2021 Nov;12(6):e1660. doi: 10.1002/wrna.1660. Epub 2021 May 2.","Bensidoun P","Wiley Interdiscip Rev RNA","2021","2021/05/03","","","10.1002/wrna.1660"
"27582216","Structural biology: Moulding the ribosome","Oeffinger M.","Nature. 2016 Sep 1;537(7618):38-40. doi: 10.1038/537038a.","Oeffinger M","Nature","2016","2016/09/02","","","10.1038/537038a"
"36071278","Author Correction: GFI1 tethers the NuRD complex to open and transcriptionally active chromatin in myeloid progenitors","Helness A, Fraszczak J, Joly-Beauparlant C, Bagci H, Trahan C, Arman K, Shooshtarizadeh P, Chen R, Ayoub M, Côté JF, Oeffinger M, Droit A, Möröy T.","Commun Biol. 2022 Sep 7;5(1):922. doi: 10.1038/s42003-022-03822-x.","Helness A","Commun Biol","2022","2022/09/07","PMC9452517","","10.1038/s42003-022-03822-x"
"35524119","Single-Step Affinity Purification (ssAP) and Mass Spectrometry of Macromolecular Complexes in the Yeast S. cerevisiae","Trahan C, Oeffinger M.","Methods Mol Biol. 2022;2477:195-223. doi: 10.1007/978-1-0716-2257-5_12.","Trahan C","Methods Mol Biol","2022","2022/05/06","","","10.1007/978-1-0716-2257-5_12"
"31407282","Live-Cell Imaging of mRNP-NPC Interactions in Budding Yeast","Lari A, Farzam F, Bensidoun P, Oeffinger M, Zenklusen D, Grunwald D, Montpetit B.","Methods Mol Biol. 2019;2038:131-150. doi: 10.1007/978-1-4939-9674-2_9.","Lari A","Methods Mol Biol","2019","2019/08/14","PMC7392168","NIHMS1608774","10.1007/978-1-4939-9674-2_9"
"33434266","Insights into synthesis and function of KsgA/Dim1-dependent rRNA modifications in archaea","Knüppel R, Trahan C, Kern M, Wagner A, Grünberger F, Hausner W, Quax TEF, Albers SV, Oeffinger M, Ferreira-Cerca S.","Nucleic Acids Res. 2021 Feb 22;49(3):1662-1687. doi: 10.1093/nar/gkaa1268.","Knüppel R","Nucleic Acids Res","2021","2021/01/12","PMC7897474","","10.1093/nar/gkaa1268"
"35141754","RbgA ensures the correct timing in the maturation of the 50S subunits functional sites","Seffouh A, Trahan C, Wasi T, Jain N, Basu K, Britton RA, Oeffinger M, Ortega J.","Nucleic Acids Res. 2022 Oct 28;50(19):10801-10816. doi: 10.1093/nar/gkac059.","Seffouh A","Nucleic Acids Res","2022","2022/02/10","PMC9638911","","10.1093/nar/gkac059"
"35612743","Targeted Cross-Linking Mass Spectrometry on Single-Step Affinity Purified Molecular Complexes in the Yeast Saccharomyces cerevisiae","Trahan C, Oeffinger M.","Methods Mol Biol. 2022;2456:185-210. doi: 10.1007/978-1-0716-2124-0_13.","Trahan C","Methods Mol Biol","2022","2022/05/25","","","10.1007/978-1-0716-2124-0_13"
"36220102","Nuclear mRNA metabolism drives selective basket assembly on a subset of nuclear pore complexes in budding yeast","Bensidoun P, Reiter T, Montpetit B, Zenklusen D, Oeffinger M.","Mol Cell. 2022 Oct 20;82(20):3856-3871.e6. doi: 10.1016/j.molcel.2022.09.019. Epub 2022 Oct 10.","Bensidoun P","Mol Cell","2022","2022/10/11","","","10.1016/j.molcel.2022.09.019"
"34857890","GFI1 tethers the NuRD complex to open and transcriptionally active chromatin in myeloid progenitors","Helness A, Fraszczak J, Joly-Beauparlant C, Bagci H, Trahan C, Arman K, Shooshtarizadeh P, Chen R, Ayoub M, Côté JF, Oeffinger M, Droit A, Möröy T.","Commun Biol. 2021 Dec 2;4(1):1356. doi: 10.1038/s42003-021-02889-2.","Helness A","Commun Biol","2021","2021/12/03","PMC8639993","","10.1038/s42003-021-02889-2"
