PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28815931","Organization of the Flavivirus RNA replicase complex","Brand C, Bisaillon M, Geiss BJ.","Wiley Interdiscip Rev RNA. 2017 Nov;8(6):10.1002/wrna.1437. doi: 10.1002/wrna.1437. Epub 2017 Aug 16.","Brand C","Wiley Interdiscip Rev RNA","2017","2017/08/18","PMC5675032","NIHMS895523","10.1002/wrna.1437"
"29171334","G-Quadruplexes influence pri-microRNA processing","Rouleau SG, Garant JM, Bolduc F, Bisaillon M, Perreault JP.","RNA Biol. 2018 Feb 1;15(2):198-206. doi: 10.1080/15476286.2017.1405211. Epub 2017 Dec 11.","Rouleau SG","RNA Biol","2018","2017/11/25","PMC5798953","","10.1080/15476286.2017.1405211"
"31234302","How Many Mammalian Reovirus Proteins are involved in the Control of the Interferon Response?","Lanoie D, Boudreault S, Bisaillon M, Lemay G.","Pathogens. 2019 Jun 21;8(2):83. doi: 10.3390/pathogens8020083.","Lanoie D","Pathogens","2019","2019/06/26","PMC6631787","","10.3390/pathogens8020083"
"21957005","The RNA capping machinery as an anti-infective target","Issur M, Picard-Jean F, Bisaillon M.","Wiley Interdiscip Rev RNA. 2011 Mar-Apr;2(2):184-92. doi: 10.1002/wrna.43. Epub 2010 Oct 25.","Issur M","Wiley Interdiscip Rev RNA","2011","2011/09/30","PMC7169851","","10.1002/wrna.43"
"16828039","[Synergy between transcription and mRNA processing events]","Parent A, Bisaillon M.","Med Sci (Paris). 2006 Jun-Jul;22(6-7):626-32. doi: 10.1051/medsci/20062267626.","Parent A","Med Sci (Paris)","2006","2006/07/11","","","10.1051/medsci/20062267626"
"31034770","Viral modulation of cellular RNA alternative splicing: A new key player in virus-host interactions?","Boudreault S, Roy P, Lemay G, Bisaillon M.","Wiley Interdiscip Rev RNA. 2019 Sep;10(5):e1543. doi: 10.1002/wrna.1543. Epub 2019 Apr 29.","Boudreault S","Wiley Interdiscip Rev RNA","2019","2019/04/30","PMC6767064","","10.1002/wrna.1543"
"28473452","3' UTR G-quadruplexes regulate miRNA binding","Rouleau S, Glouzon JS, Brumwell A, Bisaillon M, Perreault JP.","RNA. 2017 Aug;23(8):1172-1179. doi: 10.1261/rna.060962.117. Epub 2017 May 4.","Rouleau S","RNA","2017","2017/05/06","PMC5513062","","10.1261/rna.060962.117"
"36614170","Reovirus μ2 Protein Impairs Translation to Reduce U5 snRNP Protein Levels","Boudreault S, Martineau CA, Faucher-Giguère L, Abou-Elela S, Lemay G, Bisaillon M.","Int J Mol Sci. 2022 Dec 31;24(1):727. doi: 10.3390/ijms24010727.","Boudreault S","Int J Mol Sci","2022","2023/01/08","PMC9821451","","10.3390/ijms24010727"
"35489070","Reovirus μ2 protein modulates host cell alternative splicing by reducing protein levels of U5 snRNP core components","Boudreault S, Durand M, Martineau CA, Perreault JP, Lemay G, Bisaillon M.","Nucleic Acids Res. 2022 May 20;50(9):5263-5281. doi: 10.1093/nar/gkac272.","Boudreault S","Nucleic Acids Res","2022","2022/04/30","PMC9122528","","10.1093/nar/gkac272"
"36560714","U5 snRNP Core Proteins Are Key Components of the Defense Response against Viral Infection through Their Roles in Programmed Cell Death and Interferon Induction","Boudreault S, Lemay G, Bisaillon M.","Viruses. 2022 Dec 3;14(12):2710. doi: 10.3390/v14122710.","Boudreault S","Viruses","2022","2022/12/23","PMC9785106","","10.3390/v14122710"
