PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29677511","An Integrated Genome-wide CRISPRa Approach to Functionalize lncRNAs in Drug Resistance","Bester AC, Lee JD, Chavez A, Lee YR, Nachmani D, Vora S, Victor J, Sauvageau M, Monteleone E, Rinn JL, Provero P, Church GM, Clohessy JG, Pandolfi PP.","Cell. 2018 Apr 19;173(3):649-664.e20. doi: 10.1016/j.cell.2018.03.052.","Bester AC","Cell","2018","2018/04/21","PMC6061940","NIHMS960108","10.1016/j.cell.2018.03.052"
"31811638","Diverging RNPs: Toward Understanding lncRNA-Protein Interactions and Functions","Sauvageau M.","Adv Exp Med Biol. 2019;1203:285-312. doi: 10.1007/978-3-030-31434-7_10.","Sauvageau M","Adv Exp Med Biol","2019","2019/12/08","","","10.1007/978-3-030-31434-7_10"
"20804967","Polycomb group proteins: multi-faceted regulators of somatic stem cells and cancer","Sauvageau M, Sauvageau G.","Cell Stem Cell. 2010 Sep 3;7(3):299-313. doi: 10.1016/j.stem.2010.08.002.","Sauvageau M","Cell Stem Cell","2010","2010/09/01","PMC4959883","CAMS4436","10.1016/j.stem.2010.08.002"
"36400788","Biasing the conformation of ELMO2 reveals that myoblast fusion can be exploited to improve muscle regeneration","Tran V, Nahlé S, Robert A, Desanlis I, Killoran R, Ehresmann S, Thibault MP, Barford D, Ravichandran KS, Sauvageau M, Smith MJ, Kmita M, Côté JF.","Nat Commun. 2022 Nov 18;13(1):7077. doi: 10.1038/s41467-022-34806-4.","Tran V","Nat Commun","2022","2022/11/18","PMC9674853","","10.1038/s41467-022-34806-4"
"23401553","Long noncoding RNAs regulate adipogenesis","Sun L, Goff LA, Trapnell C, Alexander R, Lo KA, Hacisuleyman E, Sauvageau M, Tazon-Vega B, Kelley DR, Hendrickson DG, Yuan B, Kellis M, Lodish HF, Rinn JL.","Proc Natl Acad Sci U S A. 2013 Feb 26;110(9):3387-92. doi: 10.1073/pnas.1222643110. Epub 2013 Feb 11.","Sun L","Proc Natl Acad Sci U S A","2013","2013/02/13","PMC3587215","","10.1073/pnas.1222643110"
"32894169","The Tug1 lncRNA locus is essential for male fertility","Lewandowski JP, Dumbović G, Watson AR, Hwang T, Jacobs-Palmer E, Chang N, Much C, Turner KM, Kirby C, Rubinstein ND, Groff AF, Liapis SC, Gerhardinger C, Bester A, Pandolfi PP, Clohessy JG, Hoekstra HE, Sauvageau M, Rinn JL.","Genome Biol. 2020 Sep 7;21(1):237. doi: 10.1186/s13059-020-02081-5.","Lewandowski JP","Genome Biol","2020","2020/09/07","PMC7487648","","10.1186/s13059-020-02081-5"
"27524623","In Vivo Characterization of Linc-p21 Reveals Functional cis-Regulatory DNA Elements","Groff AF, Sanchez-Gomez DB, Soruco MML, Gerhardinger C, Barutcu AR, Li E, Elcavage L, Plana O, Sanchez LV, Lee JC, Sauvageau M, Rinn JL.","Cell Rep. 2016 Aug 23;16(8):2178-2186. doi: 10.1016/j.celrep.2016.07.050. Epub 2016 Aug 11.","Groff AF","Cell Rep","2016","2016/08/16","PMC5014909","NIHMS809973","10.1016/j.celrep.2016.07.050"
"23222703","Differential analysis of gene regulation at transcript resolution with RNA-seq","Trapnell C, Hendrickson DG, Sauvageau M, Goff L, Rinn JL, Pachter L.","Nat Biotechnol. 2013 Jan;31(1):46-53. doi: 10.1038/nbt.2450. Epub 2012 Dec 9.","Trapnell C","Nat Biotechnol","2013","2012/12/11","PMC3869392","NIHMS439296","10.1038/nbt.2450"
"24463464","Topological organization of multichromosomal regions by the long intergenic noncoding RNA Firre","Hacisuleyman E, Goff LA, Trapnell C, Williams A, Henao-Mejia J, Sun L, McClanahan P, Hendrickson DG, Sauvageau M, Kelley DR, Morse M, Engreitz J, Lander ES, Guttman M, Lodish HF, Flavell R, Raj A, Rinn JL.","Nat Struct Mol Biol. 2014 Feb;21(2):198-206. doi: 10.1038/nsmb.2764. Epub 2014 Jan 26.","Hacisuleyman E","Nat Struct Mol Biol","2014","2014/01/28","PMC3950333","NIHMS552629","10.1038/nsmb.2764"
"18447587","Polycomb group genes: keeping stem cell activity in balance","Sauvageau M, Sauvageau G.","PLoS Biol. 2008 Apr 29;6(4):e113. doi: 10.1371/journal.pbio.0060113.","Sauvageau M","PLoS Biol","2008","2008/05/02","PMC2689701","","10.1371/journal.pbio.0060113"
