PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29565737","Endothelial microRNAs regulating the NF-κB pathway and cell adhesion molecules during inflammation","Zhong L, Simard MJ, Huot J.","FASEB J. 2018 Aug;32(8):4070-4084. doi: 10.1096/fj.201701536R. Epub 2018 Mar 22.","Zhong L","FASEB J","2018","2018/03/23","","","10.1096/fj.201701536R"
"30267606","A guide to microRNA-mediated gene silencing","Quévillon Huberdeau M, Simard MJ.","FEBS J. 2019 Feb;286(4):642-652. doi: 10.1111/febs.14666. Epub 2018 Oct 8.","Quévillon Huberdeau M","FEBS J","2019","2018/09/30","","","10.1111/febs.14666"
"29451484","[Biogenesis of small non-coding RNAs in animals]","Fressigné L, Simard MJ.","Med Sci (Paris). 2018 Feb;34(2):137-144. doi: 10.1051/medsci/20183402011. Epub 2018 Feb 16.","Fressigné L","Med Sci (Paris)","2018","2018/02/17","","","10.1051/medsci/20183402011"
"34725940","Regulation and different functions of the animal microRNA-induced silencing complex","Frédérick PM, Simard MJ.","Wiley Interdiscip Rev RNA. 2022 Jul;13(4):e1701. doi: 10.1002/wrna.1701. Epub 2021 Nov 1.","Frédérick PM","Wiley Interdiscip Rev RNA","2022","2021/11/02","","","10.1002/wrna.1701"
"31550461","Defend Thyself and Thy Offspring","Pal A, Shah VN, Simard MJ.","Dev Cell. 2019 Sep 23;50(6):677-679. doi: 10.1016/j.devcel.2019.09.004.","Pal A","Dev Cell","2019","2019/09/25","","","10.1016/j.devcel.2019.09.004"
"18073770","Argonaute proteins: key players in RNA silencing","Hutvagner G, Simard MJ.","Nat Rev Mol Cell Biol. 2008 Jan;9(1):22-32. doi: 10.1038/nrm2321.","Hutvagner G","Nat Rev Mol Cell Biol","2008","2007/12/13","","","10.1038/nrm2321"
"27287880","The implication of microRNAs and endo-siRNAs in animal germline and early development","Dallaire A, Simard MJ.","Dev Biol. 2016 Aug 1;416(1):18-25. doi: 10.1016/j.ydbio.2016.06.007. Epub 2016 Jun 7.","Dallaire A","Dev Biol","2016","2016/06/12","","","10.1016/j.ydbio.2016.06.007"
"18268838","RNAi pathway in C. elegans: the argonautes and collaborators","Boisvert ME, Simard MJ.","Curr Top Microbiol Immunol. 2008;320:21-36. doi: 10.1007/978-3-540-75157-1_2.","Boisvert ME","Curr Top Microbiol Immunol","2008","2008/02/14","","","10.1007/978-3-540-75157-1_2"
"35577895","Defoliation-induced changes in foliage quality may trigger broad-scale insect outbreaks","De Grandpré L, Marchand M, Kneeshaw DD, Paré D, Boucher D, Bourassa S, Gervais D, Simard M, Griffin JM, Pureswaran DS.","Commun Biol. 2022 May 16;5(1):463. doi: 10.1038/s42003-022-03407-8.","De Grandpré L","Commun Biol","2022","2022/05/16","PMC9110339","","10.1038/s42003-022-03407-8"
"33833398","CSDE1 attenuates microRNA-mediated silencing of PMEPA1 in melanoma","Kakumani PK, Guitart T, Houle F, Harvey LM, Goyer B, Germain L, Gebauer F, Simard MJ.","Oncogene. 2021 May;40(18):3231-3244. doi: 10.1038/s41388-021-01767-9. Epub 2021 Apr 8.","Kakumani PK","Oncogene","2021","2021/04/09","","","10.1038/s41388-021-01767-9"
"23966152","The decapping scavenger enzyme DCS-1: a new modulator of miRNA turnover","Meziane O, Bossé GD, Simard MJ.","Cell Cycle. 2013 Sep 1;12(17):2715-6. doi: 10.4161/cc.26076. Epub 2013 Aug 19.","Meziane O","Cell Cycle","2013","2013/08/23","PMC3899181","","10.4161/cc.26076"
"36516777","A specific type of Argonaute phosphorylation regulates binding to microRNAs during C. elegans development","Quévillon Huberdeau M, Shah VN, Nahar S, Neumeier J, Houle F, Bruckmann A, Gypas F, Nakanishi K, Großhans H, Meister G, Simard MJ.","Cell Rep. 2022 Dec 13;41(11):111822. doi: 10.1016/j.celrep.2022.111822.","Quévillon Huberdeau M","Cell Rep","2022","2022/12/14","","","10.1016/j.celrep.2022.111822"
"32161113","CSDE1 controls gene expression through the miRNA-mediated decay machinery","Kakumani PK, Harvey LM, Houle F, Guitart T, Gebauer F, Simard MJ.","Life Sci Alliance. 2020 Mar 11;3(4):e201900632. doi: 10.26508/lsa.201900632. Print 2020 Apr.","Kakumani PK","Life Sci Alliance","2020","2020/03/13","PMC7067469","","10.26508/lsa.201900632"
"33826611","The RabGAP TBC-11 controls Argonaute localization for proper microRNA function in C. elegans","Michaud P, Shah VN, Adjibade P, Houle F, Quévillon Huberdeau M, Rioux R, Lavoie-Ouellet C, Gu W, Mazroui R, Simard MJ.","PLoS Genet. 2021 Apr 7;17(4):e1009511. doi: 10.1371/journal.pgen.1009511. eCollection 2021 Apr.","Michaud P","PLoS Genet","2021","2021/04/07","PMC8055011","","10.1371/journal.pgen.1009511"
"19812664","Structural biology: Tracing Argonaute binding","Bouasker S, Simard MJ.","Nature. 2009 Oct 8;461(7265):743-4. doi: 10.1038/461743a.","Bouasker S","Nature","2009","2009/10/09","","","10.1038/461743a"
"36711744","Defining the contribution of microRNA-specific slicing Argonautes in animals","Pal A, Vasudevan V, Houle F, Lantin M, Maniates KA, Huberdeau MQ, Abbott AL, Simard MJ.","bioRxiv. 2023 Jan 20:2023.01.19.524781. doi: 10.1101/2023.01.19.524781. Preprint.","Pal A","bioRxiv","2023","2023/01/30","PMC9882343","","10.1101/2023.01.19.524781"
"26584588","The human decapping scavenger enzyme DcpS modulates microRNA turnover","Meziane O, Piquet S, Bossé GD, Gagné D, Paquet E, Robert C, Tones MA, Simard MJ.","Sci Rep. 2015 Nov 20;5:16688. doi: 10.1038/srep16688.","Meziane O","Sci Rep","2015","2015/11/21","PMC4653633","","10.1038/srep16688"
"28620088","The R148.3 Gene Modulates Caenorhabditis elegans Lifespan and Fat Metabolism","Roy-Bellavance C, Grants JM, Miard S, Lee K, Rondeau É, Guillemette C, Simard MJ, Taubert S, Picard F.","G3 (Bethesda). 2017 Aug 7;7(8):2739-2747. doi: 10.1534/g3.117.041681.","Roy-Bellavance C","G3 (Bethesda)","2017","2017/06/17","PMC5555478","","10.1534/g3.117.041681"
"22700655","Function, targets, and evolution of Caenorhabditis elegans piRNAs","Bagijn MP, Goldstein LD, Sapetschnig A, Weick EM, Bouasker S, Lehrbach NJ, Simard MJ, Miska EA.","Science. 2012 Aug 3;337(6094):574-578. doi: 10.1126/science.1220952. Epub 2012 Jun 14.","Bagijn MP","Science","2012","2012/06/16","PMC3951736","EMS57182","10.1126/science.1220952"
"15024405","Sequence-specific inhibition of small RNA function","Hutvágner G, Simard MJ, Mello CC, Zamore PD.","PLoS Biol. 2004 Apr;2(4):E98. doi: 10.1371/journal.pbio.0020098. Epub 2004 Feb 24.","Hutvágner G","PLoS Biol","2004","2004/03/17","PMC350664","","10.1371/journal.pbio.0020098"
"23541767","The decapping scavenger enzyme DCS-1 controls microRNA levels in Caenorhabditis elegans","Bossé GD, Rüegger S, Ow MC, Vasquez-Rifo A, Rondeau EL, Ambros VR, Grosshans H, Simard MJ.","Mol Cell. 2013 Apr 25;50(2):281-7. doi: 10.1016/j.molcel.2013.02.023. Epub 2013 Mar 28.","Bossé GD","Mol Cell","2013","2013/04/02","PMC4624197","NIHMS732315","10.1016/j.molcel.2013.02.023"
"28033394","Correction: GW182-Free microRNA Silencing Complex Controls Post-transcriptional Gene Expression during Caenorhabditis elegans Embryogenesis","Jannot G, Michaud P, Quévillon Huberdeau M, Morel-Berryman L, Brackbill JA, Piquet S, McJunkin K, Nakanishi K, Simard MJ.","PLoS Genet. 2016 Dec 29;12(12):e1006534. doi: 10.1371/journal.pgen.1006534. eCollection 2016 Dec.","Jannot G","PLoS Genet","2016","2016/12/30","PMC5199001","","10.1371/journal.pgen.1006534"
"30245155","Somatic and Germline MicroRNAs Form Distinct Silencing Complexes to Regulate Their Target mRNAs Differently","Dallaire A, Frédérick PM, Simard MJ.","Dev Cell. 2018 Oct 22;47(2):239-247.e4. doi: 10.1016/j.devcel.2018.08.022. Epub 2018 Sep 20.","Dallaire A","Dev Cell","2018","2018/09/25","","","10.1016/j.devcel.2018.08.022"
"21321078","Role for miR-204 in human pulmonary arterial hypertension","Courboulin A, Paulin R, Giguère NJ, Saksouk N, Perreault T, Meloche J, Paquet ER, Biardel S, Provencher S, Côté J, Simard MJ, Bonnet S.","J Exp Med. 2011 Mar 14;208(3):535-48. doi: 10.1084/jem.20101812. Epub 2011 Feb 14.","Courboulin A","J Exp Med","2011","2011/02/16","PMC3058572","","10.1084/jem.20101812"
"24244204","A new role for the GARP complex in microRNA-mediated gene regulation","Vasquez-Rifo A, Bossé GD, Rondeau EL, Jannot G, Dallaire A, Simard MJ.","PLoS Genet. 2013 Nov;9(11):e1003961. doi: 10.1371/journal.pgen.1003961. Epub 2013 Nov 7.","Vasquez-Rifo A","PLoS Genet","2013","2013/11/19","PMC3820791","","10.1371/journal.pgen.1003961"
"22448270","Developmental characterization of the microRNA-specific C. elegans Argonautes alg-1 and alg-2","Vasquez-Rifo A, Jannot G, Armisen J, Labouesse M, Bukhari SI, Rondeau EL, Miska EA, Simard MJ.","PLoS One. 2012;7(3):e33750. doi: 10.1371/journal.pone.0033750. Epub 2012 Mar 20.","Vasquez-Rifo A","PLoS One","2012","2012/03/27","PMC3309000","","10.1371/journal.pone.0033750"
