PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32968744","Next-generation DNA damage sequencing","Mingard C , Wu J , McKeague M , Sturla SJ .","Chem Soc Rev. 2020 Oct 21;49(20):7354-7377. doi: 10.1039/d0cs00647e. Epub 2020 Sep 24.","Mingard C","Chem Soc Rev","2020","2020/09/24","","","10.1039/d0cs00647e"
"29065503","Aptamers for DNA Damage and Repair","McKeague M.","Int J Mol Sci. 2017 Oct 22;18(10):2212. doi: 10.3390/ijms18102212.","McKeague M","Int J Mol Sci","2017","2017/10/26","PMC5666892","","10.3390/ijms18102212"
"34927006","Enhancing CAR-T Cell Therapy with Functional Nucleic Acids","Maru B, Nadeau L, McKeague M.","ACS Pharmacol Transl Sci. 2021 Nov 17;4(6):1716-1727. doi: 10.1021/acsptsci.1c00188. eCollection 2021 Dec 10.","Maru B","ACS Pharmacol Transl Sci","2021","2021/12/20","PMC8669706","","10.1021/acsptsci.1c00188"
"33216543","Green Toxicology: Connecting Green Chemistry and Modern Toxicology","Krebs J, McKeague M.","Chem Res Toxicol. 2020 Dec 21;33(12):2919-2931. doi: 10.1021/acs.chemrestox.0c00260. Epub 2020 Nov 20.","Krebs J","Chem Res Toxicol","2020","2020/11/20","","","10.1021/acs.chemrestox.0c00260"
"26530075","Analysis of In Vitro Aptamer Selection Parameters","McKeague M, McConnell EM, Cruz-Toledo J, Bernard ED, Pach A, Mastronardi E, Zhang X, Beking M, Francis T, Giamberardino A, Cabecinha A, Ruscito A, Aranda-Rodriguez R, Dumontier M, DeRosa MC.","J Mol Evol. 2015 Dec;81(5-6):150-61. doi: 10.1007/s00239-015-9708-6. Epub 2015 Nov 3.","McKeague M","J Mol Evol","2015","2015/11/05","","","10.1007/s00239-015-9708-6"
"26969733","Opportunities in the design and application of RNA for gene expression control","McKeague M, Wong RS, Smolke CD.","Nucleic Acids Res. 2016 Apr 20;44(7):2987-99. doi: 10.1093/nar/gkw151. Epub 2016 Mar 11.","McKeague M","Nucleic Acids Res","2016","2016/03/13","PMC4838379","","10.1093/nar/gkw151"
"30071405","Dietary modulation of mitochondrial DNA damage: implications in aging and associated diseases","Lam J, McKeague M.","J Nutr Biochem. 2019 Jan;63:1-10. doi: 10.1016/j.jnutbio.2018.07.003. Epub 2018 Jul 7.","Lam J","J Nutr Biochem","2019","2018/08/03","","","10.1016/j.jnutbio.2018.07.003"
"28262613","Functional nucleic acids as in vivo metabolite and ion biosensors","Alsaafin A, McKeague M.","Biosens Bioelectron. 2017 Aug 15;94:94-106. doi: 10.1016/j.bios.2017.02.030. Epub 2017 Feb 21.","Alsaafin A","Biosens Bioelectron","2017","2017/03/07","","","10.1016/j.bios.2017.02.030"
"30040894","The Base Pairing Partner Modulates Alkylguanine Alkyltransferase","McKeague M, Otto C, Räz MH, Angelov T, Sturla SJ.","ACS Chem Biol. 2018 Sep 21;13(9):2534-2541. doi: 10.1021/acschembio.8b00446. Epub 2018 Aug 8.","McKeague M","ACS Chem Biol","2018","2018/07/25","","","10.1021/acschembio.8b00446"
"29944356","Nucleotide-Resolution Genome-Wide Mapping of Oxidative DNA Damage by Click-Code-Seq","Wu J, McKeague M, Sturla SJ.","J Am Chem Soc. 2018 Aug 8;140(31):9783-9787. doi: 10.1021/jacs.8b03715. Epub 2018 Jul 26.","Wu J","J Am Chem Soc","2018","2018/06/27","","","10.1021/jacs.8b03715"
