PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36212518","The SSU Processome Component Utp25p is a Pseudohelicase","Helwer R, Charette JM.","MicroPubl Biol. 2022 Sep 22;2022:10.17912/micropub.biology.000606. doi: 10.17912/micropub.biology.000606. eCollection 2022.","Helwer R","MicroPubl Biol","2022","2022/10/10","PMC9539457","","10.17912/micropub.biology.000606"
"21318072","The small subunit processome in ribosome biogenesis—progress and prospects","Phipps KR, Charette J, Baserga SJ.","Wiley Interdiscip Rev RNA. 2011 Jan-Feb;2(1):1-21. doi: 10.1002/wrna.57.","Phipps KR","Wiley Interdiscip Rev RNA","2011","2011/02/15","PMC3035417","NIHMS250472","10.1002/wrna.57"
"35670765","Metabolic consequences of PGC-1α dysregulation in adult zebrafish muscle","Kurchaba N, Charette JM, LeMoine CMR.","Am J Physiol Regul Integr Comp Physiol. 2022 Sep 1;323(3):R319-R330. doi: 10.1152/ajpregu.00188.2021. Epub 2022 Jun 7.","Kurchaba N","Am J Physiol Regul Integr Comp Physiol","2022","2022/06/07","","","10.1152/ajpregu.00188.2021"
"25877921","A protein interaction map of the LSU processome","McCann KL, Charette JM, Vincent NG, Baserga SJ.","Genes Dev. 2015 Apr 15;29(8):862-75. doi: 10.1101/gad.256370.114. Epub 2015 Apr 15.","McCann KL","Genes Dev","2015","2015/04/17","PMC4403261","","10.1101/gad.256370.114"
"29054886","The SSU processome interactome in Saccharomyces cerevisiae reveals novel protein subcomplexes","Vincent NG, Charette JM, Baserga SJ.","RNA. 2018 Jan;24(1):77-89. doi: 10.1261/rna.062927.117. Epub 2017 Oct 20.","Vincent NG","RNA","2018","2017/10/22","PMC5733573","","10.1261/rna.062927.117"
"17051219","An early evolutionary origin for the minor spliceosome","Russell AG, Charette JM, Spencer DF, Gray MW.","Nature. 2006 Oct 19;443(7113):863-6. doi: 10.1038/nature05228.","Russell AG","Nature","2006","2006/10/20","","","10.1038/nature05228"
"22902402","A conserved deubiquitinating enzyme controls cell growth by regulating RNA polymerase I stability","Richardson LA, Reed BJ, Charette JM, Freed EF, Fredrickson EK, Locke MN, Baserga SJ, Gardner RG.","Cell Rep. 2012 Aug 30;2(2):372-85. doi: 10.1016/j.celrep.2012.07.009. Epub 2012 Aug 16.","Richardson LA","Cell Rep","2012","2012/08/21","PMC3638920","NIHMS398988","10.1016/j.celrep.2012.07.009"
"20884785","The DEAD-box RNA helicase-like Utp25 is an SSU processome component","Charette JM, Baserga SJ.","RNA. 2010 Nov;16(11):2156-69. doi: 10.1261/rna.2359810. Epub 2010 Sep 30.","Charette JM","RNA","2010","2010/10/02","PMC2957055","","10.1261/rna.2359810"
"21423703","Assembling a protein-protein interaction map of the SSU processome from existing datasets","Lim YH, Charette JM, Baserga SJ.","PLoS One. 2011 Mar 10;6(3):e17701. doi: 10.1371/journal.pone.0017701.","Lim YH","PLoS One","2011","2011/03/23","PMC3053386","","10.1371/journal.pone.0017701"
"19917113","U3 snoRNA genes are multi-copy and frequently linked to U5 snRNA genes in Euglena gracilis","Charette JM, Gray MW.","BMC Genomics. 2009 Nov 16;10:528. doi: 10.1186/1471-2164-10-528.","Charette JM","BMC Genomics","2009","2009/11/18","PMC2784804","","10.1186/1471-2164-10-528"
"15894796","Unusual features of fibrillarin cDNA and gene structure in Euglena gracilis: evolutionary conservation of core proteins and structural predictions for methylation-guide box C/D snoRNPs throughout the domain Eucarya","Russell AG, Watanabe Y, Charette JM, Gray MW.","Nucleic Acids Res. 2005 May 13;33(9):2781-91. doi: 10.1093/nar/gki574. Print 2005.","Russell AG","Nucleic Acids Res","2005","2005/05/17","PMC1126904","","10.1093/nar/gki574"
