PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36342173","Surgery or Endovascular Therapy for Chronic Limb-Threatening Ischemia","Farber A, Menard MT, Conte MS, Kaufman JA, Powell RJ, Choudhry NK, Hamza TH, Assmann SF, Creager MA, Cziraky MJ, Dake MD, Jaff MR, Reid D, Siami FS, Sopko G, White CJ, van Over M, Strong MB, Villarreal MF, McKean M, Azene E, Azarbal A, Barleben A, Chew DK, Clavijo LC, Douville Y, Findeiss L, Garg N, Gasper W, Giles KA, Goodney PP, Hawkins BM, Herman CR, Kalish JA, Koopmann MC, Laskowski IA, Mena-Hurtado C, Motaganahalli R, Rowe VL, Schanzer A, Schneider PA, Siracuse JJ, Venermo M, Rosenfield K; BEST-CLI Investigators.","N Engl J Med. 2022 Dec 22;387(25):2305-2316. doi: 10.1056/NEJMoa2207899. Epub 2022 Nov 7.","Farber A","N Engl J Med","2022","2022/11/07","","","10.1056/NEJMoa2207899"
"34235647","Culturing Mycobacteria","Wallace E, Hendrickson D, Tolli N, Mehaffy C, Peña M, Nick JA, Knabenbaur P, Watkins J, Simpson A, Amin AG, Chatterjee D, Dobos KM, Lahiri R, Adams L, Strong M, Salfinger M, Bradford R, Stedman TT, Riojas MA, Hazbón MH.","Methods Mol Biol. 2021;2314:1-58. doi: 10.1007/978-1-0716-1460-0_1.","Wallace E","Methods Mol Biol","2021","2021/07/08","","","10.1007/978-1-0716-1460-0_1"
"35568033","Host and pathogen response to bacteriophage engineered against Mycobacterium abscessus lung infection","Nick JA, Dedrick RM, Gray AL, Vladar EK, Smith BE, Freeman KG, Malcolm KC, Epperson LE, Hasan NA, Hendrix J, Callahan K, Walton K, Vestal B, Wheeler E, Rysavy NM, Poch K, Caceres S, Lovell VK, Hisert KB, de Moura VC, Chatterjee D, De P, Weakly N, Martiniano SL, Lynch DA, Daley CL, Strong M, Jia F, Hatfull GF, Davidson RM.","Cell. 2022 May 26;185(11):1860-1874.e12. doi: 10.1016/j.cell.2022.04.024. Epub 2022 May 13.","Nick JA","Cell","2022","2022/05/14","PMC9840467","NIHMS1861704","10.1016/j.cell.2022.04.024"
"28054827","Amyotrophic lateral sclerosis - frontotemporal spectrum disorder (ALS-FTSD): Revised diagnostic criteria","Strong MJ, Abrahams S, Goldstein LH, Woolley S, Mclaughlin P, Snowden J, Mioshi E, Roberts-South A, Benatar M, HortobáGyi T, Rosenfeld J, Silani V, Ince PG, Turner MR.","Amyotroph Lateral Scler Frontotemporal Degener. 2017 May;18(3-4):153-174. doi: 10.1080/21678421.2016.1267768. Epub 2017 Jan 5.","Strong MJ","Amyotroph Lateral Scler Frontotemporal Degener","2017","2017/01/06","PMC7409990","NIHMS1609215","10.1080/21678421.2016.1267768"
"15024422","Protein nanomachines","Strong M.","PLoS Biol. 2004 Mar;2(3):E73. doi: 10.1371/journal.pbio.0020073. Epub 2004 Mar 16.","Strong M","PLoS Biol","2004","2004/03/17","PMC368168","","10.1371/journal.pbio.0020073"
"32241935","Seeking career clarity","Antoniou C, Burnette K, Christensen-Quick A, Lewinska M, Ji Y, Khalifa MM, Nikolaou A, Srivastava P, Hollingsworth BA, van Rhijn N, Saurabh S, Konstantinides N, Heim AB, Moore EB, Strong M, Kosanic A, Kirshner SN, Halder A, Waiho K.","Science. 2020 Apr 3;368(6486):26-28. doi: 10.1126/science.abb6859.","Antoniou C","Science","2020","2020/04/04","","","10.1126/science.abb6859"
"36458986","SARS-CoV-2, aging, and Post-COVID-19 neurodegeneration","Strong MJ.","J Neurochem. 2022 Dec 2:10.1111/jnc.15736. doi: 10.1111/jnc.15736. Online ahead of print.","Strong MJ","J Neurochem","2022","2022/12/02","PMC9877664","","10.1111/jnc.15736"
"26203660","ALSUntangled No. 30: methylcobalamin","ALSUntangled Group.","Amyotroph Lateral Scler Frontotemporal Degener. 2015;16(7-8):536-9. doi: 10.3109/21678421.2015.1070574. Epub 2015 Jul 23.","ALSUntangled Group","Amyotroph Lateral Scler Frontotemporal Degener","2015","2015/07/24","","","10.3109/21678421.2015.1070574"
"29846561","Mycobacterial biomaterials and resources for researchers","Hazbón MH, Rigouts L, Schito M, Ezewudo M, Kudo T, Itoh T, Ohkuma M, Kiss K, Wu L, Ma J, Hamada M, Strong M, Salfinger M, Daley CL, Nick JA, Lee JS, Rastogi N, Couvin D, Hurtado-Ortiz R, Bizet C, Suresh A, Rodwell T, Albertini A, Lacourciere KA, Deheer-Graham A, Alexander S, Russell JE, Bradford R, Riojas MA.","Pathog Dis. 2018 Jun 1;76(4):fty042. doi: 10.1093/femspd/fty042.","Hazbón MH","Pathog Dis","2018","2018/05/31","PMC6251690","","10.1093/femspd/fty042"
"30275788","Advances in Neuro-Oncology Imaging Techniques","O'Neill BE, Hochhalter CB, Carr C, Strong MJ, Ware ML.","Ochsner J. 2018 Fall;18(3):236-241. doi: 10.31486/toj.17.0062.","O'Neill BE","Ochsner J","2018","2018/10/03","PMC6162138","","10.31486/toj.17.0062"
