PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33933206","Tocilizumab in patients admitted to hospital with COVID-19 (RECOVERY): a randomised, controlled, open-label, platform trial","RECOVERY Collaborative Group.","Lancet. 2021 May 1;397(10285):1637-1645. doi: 10.1016/S0140-6736(21)00676-0.","RECOVERY Collaborative Group","Lancet","2021","2021/05/02","PMC8084355","","10.1016/S0140-6736(21)00676-0"
"31813948","Current RNA-seq methodology reporting limits reproducibility","Simoneau J, Dumontier S, Gosselin R, Scott MS.","Brief Bioinform. 2021 Jan 18;22(1):140-145. doi: 10.1093/bib/bbz124.","Simoneau J","Brief Bioinform","2021","2019/12/10","PMC7820846","","10.1093/bib/bbz124"
"24237006","Targeted temperature management at 33°C versus 36°C after cardiac arrest","Nielsen N, Wetterslev J, Cronberg T, Erlinge D, Gasche Y, Hassager C, Horn J, Hovdenes J, Kjaergaard J, Kuiper M, Pellis T, Stammet P, Wanscher M, Wise MP, Åneman A, Al-Subaie N, Boesgaard S, Bro-Jeppesen J, Brunetti I, Bugge JF, Hingston CD, Juffermans NP, Koopmans M, Køber L, Langørgen J, Lilja G, Møller JE, Rundgren M, Rylander C, Smid O, Werer C, Winkel P, Friberg H; TTM Trial Investigators.","N Engl J Med. 2013 Dec 5;369(23):2197-206. doi: 10.1056/NEJMoa1310519. Epub 2013 Nov 17.","Nielsen N","N Engl J Med","2013","2013/11/19","","","10.1056/NEJMoa1310519"
"27483065","Effect of Early Vasopressin vs Norepinephrine on Kidney Failure in Patients With Septic Shock: The VANISH Randomized Clinical Trial","Gordon AC, Mason AJ, Thirunavukkarasu N, Perkins GD, Cecconi M, Cepkova M, Pogson DG, Aya HD, Anjum A, Frazier GJ, Santhakumaran S, Ashby D, Brett SJ; VANISH Investigators.","JAMA. 2016 Aug 2;316(5):509-18. doi: 10.1001/jama.2016.10485.","Gordon AC","JAMA","2016","2016/08/03","","","10.1001/jama.2016.10485"
"34000257","Convalescent plasma in patients admitted to hospital with COVID-19 (RECOVERY): a randomised controlled, open-label, platform trial","RECOVERY Collaborative Group.","Lancet. 2021 May 29;397(10289):2049-2059. doi: 10.1016/S0140-6736(21)00897-7. Epub 2021 May 14.","RECOVERY Collaborative Group","Lancet","2021","2021/05/17","PMC8121538","","10.1016/S0140-6736(21)00897-7"
"26865516","Standardized EEG interpretation accurately predicts prognosis after cardiac arrest","Westhall E, Rossetti AO, van Rootselaar AF, Wesenberg Kjaer T, Horn J, Ullén S, Friberg H, Nielsen N, Rosén I, Åneman A, Erlinge D, Gasche Y, Hassager C, Hovdenes J, Kjaergaard J, Kuiper M, Pellis T, Stammet P, Wanscher M, Wetterslev J, Wise MP, Cronberg T; TTM-trial investigators.","Neurology. 2016 Apr 19;86(16):1482-90. doi: 10.1212/WNL.0000000000002462. Epub 2016 Feb 10.","Westhall E","Neurology","2016","2016/02/12","PMC4836886","","10.1212/WNL.0000000000002462"
"32637053","Handling multi-mapped reads in RNA-seq","Deschamps-Francoeur G, Simoneau J, Scott MS.","Comput Struct Biotechnol J. 2020 Jun 12;18:1569-1576. doi: 10.1016/j.csbj.2020.06.014. eCollection 2020.","Deschamps-Francoeur G","Comput Struct Biotechnol J","2020","2020/07/09","PMC7330433","","10.1016/j.csbj.2020.06.014"
"26076804","Pericytes in sarcomas of bone","Chang L, Nguyen V, Nguyen A, Scott MA, James AW.","Med Oncol. 2015 Jul;32(7):202. doi: 10.1007/s12032-015-0651-6. Epub 2015 Jun 16.","Chang L","Med Oncol","2015","2015/06/17","","","10.1007/s12032-015-0651-6"
"25920607","Review of microRNA in osteosarcoma and chondrosarcoma","Chang L, Shrestha S, LaChaud G, Scott MA, James AW.","Med Oncol. 2015 Jun;32(6):613. doi: 10.1007/s12032-015-0613-z. Epub 2015 Apr 26.","Chang L","Med Oncol","2015","2015/04/30","","","10.1007/s12032-015-0613-z"
"30843375","The cellular landscape of mid-size noncoding RNA","Boivin V, Faucher-Giguère L, Scott M, Abou-Elela S.","Wiley Interdiscip Rev RNA. 2019 Jul;10(4):e1530. doi: 10.1002/wrna.1530. Epub 2019 Mar 6.","Boivin V","Wiley Interdiscip Rev RNA","2019","2019/03/08","PMC6619189","","10.1002/wrna.1530"
