PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20097318","Translocation by multi-subunit RNA polymerases","Kireeva M, Kashlev M, Burton ZF.","Biochim Biophys Acta. 2010 May-Jun;1799(5-6):389-401. doi: 10.1016/j.bbagrm.2010.01.007. Epub 2010 Jan 25.","Kireeva M","Biochim Biophys Acta","2010","2010/01/26","","","10.1016/j.bbagrm.2010.01.007"
"36192538","Comprehensive transcription terminator atlas for Bacillus subtilis","Mandell ZF, Vishwakarma RK, Yakhnin H, Murakami KS, Kashlev M, Babitzke P.","Nat Microbiol. 2022 Nov;7(11):1918-1931. doi: 10.1038/s41564-022-01240-7. Epub 2022 Oct 3.","Mandell ZF","Nat Microbiol","2022","2022/10/03","","","10.1038/s41564-022-01240-7"
"15003270","Chromatin remodeling by RNA polymerases","Studitsky VM, Walter W, Kireeva M, Kashlev M, Felsenfeld G.","Trends Biochem Sci. 2004 Mar;29(3):127-35. doi: 10.1016/j.tibs.2004.01.003.","Studitsky VM","Trends Biochem Sci","2004","2004/03/09","","","10.1016/j.tibs.2004.01.003"
"22366339","Isolation and characterization of transcription fidelity mutants","Strathern JN, Jin DJ, Court DL, Kashlev M.","Biochim Biophys Acta. 2012 Jul;1819(7):694-9. doi: 10.1016/j.bbagrm.2012.02.005. Epub 2012 Feb 16.","Strathern JN","Biochim Biophys Acta","2012","2012/02/28","PMC7511983","NIHMS362664","10.1016/j.bbagrm.2012.02.005"
"36696440","The fidelity of transcription in human cells","Chung C, Verheijen BM, Zhang X, Huang B, Coakley A, McGann E, Wade E, Dinep-Schneider O, LaGosh J, Anagnostou ME, Simpson S, Thomas K, Ernst M, Rattray A, Lynch M, Kashlev M, Benayoun BA, Li Z, Strathern J, Gout JF, Vermulst M.","Proc Natl Acad Sci U S A. 2023 Jan 31;120(5):e2210038120. doi: 10.1073/pnas.2210038120. Epub 2023 Jan 25.","Chung C","Proc Natl Acad Sci U S A","2023","2023/01/25","","","10.1073/pnas.2210038120"
"25764114","Transcription elongation. Heterogeneous tracking of RNA polymerase and its biological implications","Imashimizu M, Shimamoto N, Oshima T, Kashlev M.","Transcription. 2014;5(1):e28285. doi: 10.4161/trns.28285.","Imashimizu M","Transcription","2014","2015/03/13","PMC4214235","","10.4161/trns.28285"
"24219496","RNA polymerase structure, function, regulation, dynamics, fidelity, and roles in gene expression","Kireeva ML, Kashlev M, Burton ZF.","Chem Rev. 2013 Nov 13;113(11):8325-30. doi: 10.1021/cr400436m.","Kireeva ML","Chem Rev","2013","2013/11/14","PMC3900282","NIHMS539993","10.1021/cr400436m"
"35258320","Transcriptome-Wide Effects of NusA on RNA Polymerase Pausing in Bacillus subtilis","Jayasinghe OT, Mandell ZF, Yakhnin AV, Kashlev M, Babitzke P.","J Bacteriol. 2022 May 17;204(5):e0053421. doi: 10.1128/jb.00534-21. Epub 2022 Mar 8.","Jayasinghe OT","J Bacteriol","2022","2022/03/08","PMC9112975","","10.1128/jb.00534-21"
"28730434","Cotranscriptional Production of Chemically Modified RNA Nanoparticles","Kireeva ML, Afonin KA, Shapiro BA, Kashlev M.","Methods Mol Biol. 2017;1632:91-105. doi: 10.1007/978-1-4939-7138-1_6.","Kireeva ML","Methods Mol Biol","2017","2017/07/22","PMC7927353","NIHMS1664749","10.1007/978-1-4939-7138-1_6"
"26675048","T7 replisome directly overcomes DNA damage","Sun B, Pandey M, Inman JT, Yang Y, Kashlev M, Patel SS, Wang MD.","Nat Commun. 2015 Dec 17;6:10260. doi: 10.1038/ncomms10260.","Sun B","Nat Commun","2015","2015/12/18","PMC4703881","","10.1038/ncomms10260"
"33568644","Nascent RNA sequencing identifies a widespread sigma70-dependent pausing regulated by Gre factors in bacteria","Sun Z, Yakhnin AV, FitzGerald PC, Mclntosh CE, Kashlev M.","Nat Commun. 2021 Feb 10;12(1):906. doi: 10.1038/s41467-021-21150-2.","Sun Z","Nat Commun","2021","2021/02/11","PMC7876045","","10.1038/s41467-021-21150-2"
"33835023","NusG is an intrinsic transcription termination factor that stimulates motility and coordinates gene expression with NusA","Mandell ZF, Oshiro RT, Yakhnin AV, Vishwakarma R, Kashlev M, Kearns DB, Babitzke P.","Elife. 2021 Apr 9;10:e61880. doi: 10.7554/eLife.61880.","Mandell ZF","Elife","2021","2021/04/09","PMC8060035","","10.7554/eLife.61880"
"18205392","DNA bending in transcription initiation","Tchernaenko V, Radlinska M, Lubkowska L, Halvorson HR, Kashlev M, Lutter LC.","Biochemistry. 2008 Feb 19;47(7):1885-95. doi: 10.1021/bi7012883. Epub 2008 Jan 19.","Tchernaenko V","Biochemistry","2008","2008/01/22","","","10.1021/bi7012883"
"18205393","DNA bubble formation in transcription initiation","Tchernaenko V, Halvorson HR, Kashlev M, Lutter LC.","Biochemistry. 2008 Feb 19;47(7):1871-84. doi: 10.1021/bi701289g. Epub 2008 Jan 19.","Tchernaenko V","Biochemistry","2008","2008/01/22","","","10.1021/bi701289g"
"31029704","The Role of Pyrophosphorolysis in the Initiation-to-Elongation Transition by E. coli RNA Polymerase","Imashimizu M, Kireeva ML, Lubkowska L, Kashlev M, Shimamoto N.","J Mol Biol. 2019 Jun 28;431(14):2528-2542. doi: 10.1016/j.jmb.2019.04.020. Epub 2019 Apr 26.","Imashimizu M","J Mol Biol","2019","2019/04/29","PMC8190572","NIHMS1700360","10.1016/j.jmb.2019.04.020"
"23141536","Nucleosomal elements that control the topography of the barrier to transcription","Bintu L, Ishibashi T, Dangkulwanich M, Wu YY, Lubkowska L, Kashlev M, Bustamante C.","Cell. 2012 Nov 9;151(4):738-749. doi: 10.1016/j.cell.2012.10.009.","Bintu L","Cell","2012","2012/11/13","PMC3508686","NIHMS413580","10.1016/j.cell.2012.10.009"
"32817529","NusG controls transcription pausing and RNA polymerase translocation throughout the Bacillus subtilis genome","Yakhnin AV, FitzGerald PC, McIntosh C, Yakhnin H, Kireeva M, Turek-Herman J, Mandell ZF, Kashlev M, Babitzke P.","Proc Natl Acad Sci U S A. 2020 Sep 1;117(35):21628-21636. doi: 10.1073/pnas.2006873117. Epub 2020 Aug 17.","Yakhnin AV","Proc Natl Acad Sci U S A","2020","2020/08/21","PMC7474616","","10.1073/pnas.2006873117"
"24853501","Coliphage HK022 Nun protein inhibits RNA polymerase translocation","Vitiello CL, Kireeva ML, Lubkowska L, Kashlev M, Gottesman M.","Proc Natl Acad Sci U S A. 2014 Jun 10;111(23):E2368-75. doi: 10.1073/pnas.1319740111. Epub 2014 May 22.","Vitiello CL","Proc Natl Acad Sci U S A","2014","2014/05/24","PMC4060646","","10.1073/pnas.1319740111"
"23016824","Co-transcriptional assembly of chemically modified RNA nanoparticles functionalized with siRNAs","Afonin KA, Kireeva M, Grabow WW, Kashlev M, Jaeger L, Shapiro BA.","Nano Lett. 2012 Oct 10;12(10):5192-5. doi: 10.1021/nl302302e. Epub 2012 Sep 27.","Afonin KA","Nano Lett","2012","2012/09/29","PMC3498980","NIHMS416497","10.1021/nl302302e"
"23925128","Direct assessment of transcription fidelity by high-resolution RNA sequencing","Imashimizu M, Oshima T, Lubkowska L, Kashlev M.","Nucleic Acids Res. 2013 Oct;41(19):9090-104. doi: 10.1093/nar/gkt698. Epub 2013 Aug 7.","Imashimizu M","Nucleic Acids Res","2013","2013/08/09","PMC3799451","","10.1093/nar/gkt698"
"24711367","Bacteriophage λ N protein inhibits transcription slippage by Escherichia coli RNA polymerase","Parks AR, Court C, Lubkowska L, Jin DJ, Kashlev M, Court DL.","Nucleic Acids Res. 2014 May;42(9):5823-9. doi: 10.1093/nar/gku203. Epub 2014 Apr 7.","Parks AR","Nucleic Acids Res","2014","2014/04/09","PMC4027172","","10.1093/nar/gku203"
"33003953","NusG-dependent RNA polymerase pausing is a frequent function of this universally conserved transcription elongation factor","Yakhnin AV, Kashlev M, Babitzke P.","Crit Rev Biochem Mol Biol. 2020 Dec;55(6):716-728. doi: 10.1080/10409238.2020.1828261. Epub 2020 Oct 2.","Yakhnin AV","Crit Rev Biochem Mol Biol","2020","2020/10/02","PMC9404317","NIHMS1831301","10.1080/10409238.2020.1828261"
"22081017","The elongation rate of RNA polymerase determines the fate of transcribed nucleosomes","Bintu L, Kopaczynska M, Hodges C, Lubkowska L, Kashlev M, Bustamante C.","Nat Struct Mol Biol. 2011 Nov 13;18(12):1394-9. doi: 10.1038/nsmb.2164.","Bintu L","Nat Struct Mol Biol","2011","2011/11/15","PMC3279329","NIHMS324800","10.1038/nsmb.2164"
"25232834","A genetic assay for transcription errors reveals multilayer control of RNA polymerase II fidelity","Irvin JD, Kireeva ML, Gotte DR, Shafer BK, Huang I, Kashlev M, Strathern JN.","PLoS Genet. 2014 Sep 18;10(9):e1004532. doi: 10.1371/journal.pgen.1004532. eCollection 2014 Sep.","Irvin JD","PLoS Genet","2014","2014/09/19","PMC4168980","","10.1371/journal.pgen.1004532"
"23223234","The fidelity of transcription: RPB1 (RPO21) mutations that increase transcriptional slippage in S. cerevisiae","Strathern J, Malagon F, Irvin J, Gotte D, Shafer B, Kireeva M, Lubkowska L, Jin DJ, Kashlev M.","J Biol Chem. 2013 Jan 25;288(4):2689-99. doi: 10.1074/jbc.M112.429506. Epub 2012 Dec 5.","Strathern J","J Biol Chem","2013","2012/12/11","PMC3554935","","10.1074/jbc.M112.429506"
"20453861","Synergistic action of RNA polymerases in overcoming the nucleosomal barrier","Jin J, Bai L, Johnson DS, Fulbright RM, Kireeva ML, Kashlev M, Wang MD.","Nat Struct Mol Biol. 2010 Jun;17(6):745-52. doi: 10.1038/nsmb.1798. Epub 2010 May 9.","Jin J","Nat Struct Mol Biol","2010","2010/05/11","PMC2938954","NIHMS223154","10.1038/nsmb.1798"
"19644123","Nucleosomal fluctuations govern the transcription dynamics of RNA polymerase II","Hodges C, Bintu L, Lubkowska L, Kashlev M, Bustamante C.","Science. 2009 Jul 31;325(5940):626-8. doi: 10.1126/science.1172926.","Hodges C","Science","2009","2009/08/01","PMC2775800","NIHMS129143","10.1126/science.1172926"
