PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24700910","Sacral spinal anaesthesia","Paria R, Surroy S, Majumder M, Paria B, Paria A, Das G.","Indian J Anaesth. 2014 Jan;58(1):80-2. doi: 10.4103/0019-5049.126809.","Paria R","Indian J Anaesth","2014","2014/04/05","PMC3968664","","10.4103/0019-5049.126809"
"18303967","Pharmacogenomics of anti-TB drugs-related hepatotoxicity","Roy PD, Majumder M, Roy B.","Pharmacogenomics. 2008 Mar;9(3):311-21. doi: 10.2217/14622416.9.3.311.","Roy PD","Pharmacogenomics","2008","2008/02/29","","","10.2217/14622416.9.3.311"
"29596308","EP4 as a Therapeutic Target for Aggressive Human Breast Cancer","Majumder M, Nandi P, Omar A, Ugwuagbo KC, Lala PK.","Int J Mol Sci. 2018 Mar 29;19(4):1019. doi: 10.3390/ijms19041019.","Majumder M","Int J Mol Sci","2018","2018/03/30","PMC5979567","","10.3390/ijms19041019"
"29858743","Roles of prostaglandins in tumor-associated lymphangiogenesis with special reference to breast cancer","Lala PK, Nandi P, Majumder M.","Cancer Metastasis Rev. 2018 Sep;37(2-3):369-384. doi: 10.1007/s10555-018-9734-0.","Lala PK","Cancer Metastasis Rev","2018","2018/06/03","","","10.1007/s10555-018-9734-0"
"33668160","Prostaglandin E2 Receptor 4 (EP4) as a Therapeutic Target to Impede Breast Cancer-Associated Angiogenesis and Lymphangiogenesis","De Paz Linares GA, Opperman RM, Majumder M, Lala PK.","Cancers (Basel). 2021 Feb 24;13(5):942. doi: 10.3390/cancers13050942.","De Paz Linares GA","Cancers (Basel)","2021","2021/03/06","PMC7956318","","10.3390/cancers13050942"
"34359739","Pri-miR526b and Pri-miR655 Are Potential Blood Biomarkers for Breast Cancer","Majumder M, Ugwuagbo KC, Maiti S, Lala PK, Brackstone M.","Cancers (Basel). 2021 Jul 30;13(15):3838. doi: 10.3390/cancers13153838.","Majumder M","Cancers (Basel)","2021","2021/08/07","PMC8345356","","10.3390/cancers13153838"
"32707933","Chemically Induced Hypoxia Enhances miRNA Functions in Breast Cancer","Gervin E, Shin B, Opperman R, Cullen M, Feser R, Maiti S, Majumder M.","Cancers (Basel). 2020 Jul 22;12(8):2008. doi: 10.3390/cancers12082008.","Gervin E","Cancers (Basel)","2020","2020/07/26","PMC7465874","","10.3390/cancers12082008"
"31430859","miR526b and miR655 Induce Oxidative Stress in Breast Cancer","Shin B, Feser R, Nault B, Hunter S, Maiti S, Ugwuagbo KC, Majumder M.","Int J Mol Sci. 2019 Aug 19;20(16):4039. doi: 10.3390/ijms20164039.","Shin B","Int J Mol Sci","2019","2019/08/22","PMC6720387","","10.3390/ijms20164039"
"29321644","COX-2 induces oncogenic micro RNA miR655 in human breast cancer","Majumder M, Dunn L, Liu L, Hasan A, Vincent K, Brackstone M, Hess D, Lala PK.","Sci Rep. 2018 Jan 10;8(1):327. doi: 10.1038/s41598-017-18612-3.","Majumder M","Sci Rep","2018","2018/01/12","PMC5762661","","10.1038/s41598-017-18612-3"
"30890523","Prostaglandin E2 promotes embryonic vascular development and maturation in zebrafish","Ugwuagbo KC, Maiti S, Omar A, Hunter S, Nault B, Northam C, Majumder M.","Biol Open. 2019 Apr 18;8(4):bio039768. doi: 10.1242/bio.039768.","Ugwuagbo KC","Biol Open","2019","2019/03/21","PMC6504002","","10.1242/bio.039768"
"27301070","COX-2 Induces Breast Cancer Stem Cells via EP4/PI3K/AKT/NOTCH/WNT Axis","Majumder M, Xin X, Liu L, Tutunea-Fatan E, Rodriguez-Torres M, Vincent K, Postovit LM, Hess D, Lala PK.","Stem Cells. 2016 Sep;34(9):2290-305. doi: 10.1002/stem.2426. Epub 2016 Jun 27.","Majumder M","Stem Cells","2016","2016/06/15","","","10.1002/stem.2426"
"31277414","Mir526b and Mir655 Promote Tumour Associated Angiogenesis and Lymphangiogenesis in Breast Cancer","Hunter S, Nault B, Ugwuagbo KC, Maiti S, Majumder M.","Cancers (Basel). 2019 Jul 4;11(7):938. doi: 10.3390/cancers11070938.","Hunter S","Cancers (Basel)","2019","2019/07/07","PMC6678879","","10.3390/cancers11070938"
"23711825","A practical and sensitive method of quantitating lymphangiogenesis in vivo","Majumder M, Xin X, Lala PK.","Lab Invest. 2013 Jul;93(7):779-91. doi: 10.1038/labinvest.2013.72. Epub 2013 May 27.","Majumder M","Lab Invest","2013","2013/05/29","","","10.1038/labinvest.2013.72"
"25744065","The role of CCL21/CCR7 chemokine axis in breast cancer-induced lymphangiogenesis","Tutunea-Fatan E, Majumder M, Xin X, Lala PK.","Mol Cancer. 2015 Feb 10;14:35. doi: 10.1186/s12943-015-0306-4.","Tutunea-Fatan E","Mol Cancer","2015","2015/03/07","PMC4339430","","10.1186/s12943-015-0306-4"
"25733698","COX-2 Elevates Oncogenic miR-526b in Breast Cancer by EP4 Activation","Majumder M, Landman E, Liu L, Hess D, Lala PK.","Mol Cancer Res. 2015 Jun;13(6):1022-33. doi: 10.1158/1541-7786.MCR-14-0543. Epub 2015 Mar 2.","Majumder M","Mol Cancer Res","2015","2015/03/04","","","10.1158/1541-7786.MCR-14-0543"
