PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28960184","Fragile X syndrome","Hagerman RJ, Berry-Kravis E, Hazlett HC, Bailey DB Jr, Moine H, Kooy RF, Tassone F, Gantois I, Sonenberg N, Mandel JL, Hagerman PJ.","Nat Rev Dis Primers. 2017 Sep 29;3:17065. doi: 10.1038/nrdp.2017.65.","Hagerman RJ","Nat Rev Dis Primers","2017","2017/09/30","","","10.1038/nrdp.2017.65"
"20533884","Regulation of mRNA translation and stability by microRNAs","Fabian MR, Sonenberg N, Filipowicz W.","Annu Rev Biochem. 2010;79:351-79. doi: 10.1146/annurev-biochem-060308-103103.","Fabian MR","Annu Rev Biochem","2010","2010/06/11","","","10.1146/annurev-biochem-060308-103103"
"15314020","Upstream and downstream of mTOR","Hay N, Sonenberg N.","Genes Dev. 2004 Aug 15;18(16):1926-45. doi: 10.1101/gad.1212704.","Hay N","Genes Dev","2004","2004/08/18","","","10.1101/gad.1212704"
"27313038","Translational control by 5'-untranslated regions of eukaryotic mRNAs","Hinnebusch AG, Ivanov IP, Sonenberg N.","Science. 2016 Jun 17;352(6292):1413-6. doi: 10.1126/science.aad9868.","Hinnebusch AG","Science","2016","2016/06/18","PMC7422601","NIHMS999262","10.1126/science.aad9868"
"22664986","The mechanics of miRNA-mediated gene silencing: a look under the hood of miRISC","Fabian MR, Sonenberg N.","Nat Struct Mol Biol. 2012 Jun 5;19(6):586-93. doi: 10.1038/nsmb.2296.","Fabian MR","Nat Struct Mol Biol","2012","2012/06/06","","","10.1038/nsmb.2296"
"30038383","Translation deregulation in human disease","Tahmasebi S, Khoutorsky A, Mathews MB, Sonenberg N.","Nat Rev Mol Cell Biol. 2018 Dec;19(12):791-807. doi: 10.1038/s41580-018-0034-x.","Tahmasebi S","Nat Rev Mol Cell Biol","2018","2018/07/25","","","10.1038/s41580-018-0034-x"
"28918902","mTOR Controls Mitochondrial Dynamics and Cell Survival via MTFP1","Morita M, Prudent J, Basu K, Goyon V, Katsumura S, Hulea L, Pearl D, Siddiqui N, Strack S, McGuirk S, St-Pierre J, Larsson O, Topisirovic I, Vali H, McBride HM, Bergeron JJ, Sonenberg N.","Mol Cell. 2017 Sep 21;67(6):922-935.e5. doi: 10.1016/j.molcel.2017.08.013. Epub 2017 Sep 14.","Morita M","Mol Cell","2017","2017/09/19","","","10.1016/j.molcel.2017.08.013"
"33328636","Antidepressant actions of ketamine engage cell-specific translation via eIF4E","Aguilar-Valles A, De Gregorio D, Matta-Camacho E, Eslamizade MJ, Khlaifia A, Skaleka A, Lopez-Canul M, Torres-Berrio A, Bermudez S, Rurak GM, Simard S, Salmaso N, Gobbi G, Lacaille JC, Sonenberg N.","Nature. 2021 Feb;590(7845):315-319. doi: 10.1038/s41586-020-03047-0. Epub 2020 Dec 16.","Aguilar-Valles A","Nature","2021","2020/12/17","","","10.1038/s41586-020-03047-0"
"31439799","Phospho-dependent phase separation of FMRP and CAPRIN1 recapitulates regulation of translation and deadenylation","Kim TH, Tsang B, Vernon RM, Sonenberg N, Kay LE, Forman-Kay JD.","Science. 2019 Aug 23;365(6455):825-829. doi: 10.1126/science.aax4240.","Kim TH","Science","2019","2019/08/24","","","10.1126/science.aax4240"
"30374200","Translational control of tumor immune escape via the eIF4F-STAT1-PD-L1 axis in melanoma","Cerezo M, Guemiri R, Druillennec S, Girault I, Malka-Mahieu H, Shen S, Allard D, Martineau S, Welsch C, Agoussi S, Estrada C, Adam J, Libenciuc C, Routier E, Roy S, Désaubry L, Eggermont AM, Sonenberg N, Scoazec JY, Eychène A, Vagner S, Robert C.","Nat Med. 2018 Dec;24(12):1877-1886. doi: 10.1038/s41591-018-0217-1. Epub 2018 Oct 29.","Cerezo M","Nat Med","2018","2018/10/31","","","10.1038/s41591-018-0217-1"
"33029011","eIF2α controls memory consolidation via excitatory and somatostatin neurons","Sharma V, Sood R, Khlaifia A, Eslamizade MJ, Hung TY, Lou D, Asgarihafshejani A, Lalzar M, Kiniry SJ, Stokes MP, Cohen N, Nelson AJ, Abell K, Possemato AP, Gal-Ben-Ari S, Truong VT, Wang P, Yiannakas A, Saffarzadeh F, Cuello AC, Nader K, Kaufman RJ, Costa-Mattioli M, Baranov PV, Quintana A, Sanz E, Khoutorsky A, Lacaille JC, Rosenblum K, Sonenberg N.","Nature. 2020 Oct;586(7829):412-416. doi: 10.1038/s41586-020-2805-8. Epub 2020 Oct 7.","Sharma V","Nature","2020","2020/10/08","PMC7874887","NIHMS1660732","10.1038/s41586-020-2805-8"
"33495318","Lysergic acid diethylamide (LSD) promotes social behavior through mTORC1 in the excitatory neurotransmission","De Gregorio D, Popic J, Enns JP, Inserra A, Skalecka A, Markopoulos A, Posa L, Lopez-Canul M, Qianzi H, Lafferty CK, Britt JP, Comai S, Aguilar-Valles A, Sonenberg N, Gobbi G.","Proc Natl Acad Sci U S A. 2021 Feb 2;118(5):e2020705118. doi: 10.1073/pnas.2020705118.","De Gregorio D","Proc Natl Acad Sci U S A","2021","2021/01/26","PMC7865169","","10.1073/pnas.2020705118"
