PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31683661","Trichothecenes in Cereal Grains - An Update","Foroud NA, Baines D, Gagkaeva TY, Thakor N, Badea A, Steiner B, Bürstmayr M, Bürstmayr H.","Toxins (Basel). 2019 Oct 31;11(11):634. doi: 10.3390/toxins11110634.","Foroud NA","Toxins (Basel)","2019","2019/11/06","PMC6891312","","10.3390/toxins11110634"
"31934779","Proceedings of the 14th annual RiboWest conference: perspectives and outcome","Thakor N, Kothe U, Wieden HJ, Patel TR.","Biochem Cell Biol. 2020 Feb;98(1):vii-ix. doi: 10.1139/bcb-2019-0187. Epub 2020 Jan 14.","Thakor N","Biochem Cell Biol","2020","2020/01/15","","","10.1139/bcb-2019-0187"
"34883107","Probabilistic models of uORF-mediated ATF4 translation control","Marasco ONJM, Roussel MR, Thakor N.","Math Biosci. 2022 Jan;343:108762. doi: 10.1016/j.mbs.2021.108762. Epub 2021 Dec 6.","Marasco ONJM","Math Biosci","2022","2021/12/09","","","10.1016/j.mbs.2021.108762"
"34512736","Established and Emerging Regulatory Roles of Eukaryotic Translation Initiation Factor 5B (eIF5B)","Chukka PAR, Wetmore SD, Thakor N.","Front Genet. 2021 Aug 27;12:737433. doi: 10.3389/fgene.2021.737433. eCollection 2021.","Chukka PAR","Front Genet","2021","2021/09/13","PMC8430213","","10.3389/fgene.2021.737433"
"30742486","Cellular roles of the human Obg-like ATPase 1 (hOLA1) and its YchF homologs","Balasingam N, Brandon HE, Ross JA, Wieden HJ, Thakor N.","Biochem Cell Biol. 2020 Feb;98(1):1-11. doi: 10.1139/bcb-2018-0353. Epub 2019 Feb 11.","Balasingam N","Biochem Cell Biol","2020","2019/02/12","","","10.1139/bcb-2018-0353"
"28083147","Role of Eukaryotic Initiation Factors during Cellular Stress and Cancer Progression","Sharma DK, Bressler K, Patel H, Balasingam N, Thakor N.","J Nucleic Acids. 2016;2016:8235121. doi: 10.1155/2016/8235121. Epub 2016 Dec 19.","Sharma DK","J Nucleic Acids","2016","2017/01/14","PMC5204094","","10.1155/2016/8235121"
"15762657","Poly(3-mercaptopropionate): a nonbiodegradable biopolymer?","Kim DY, Lütke-Eversloh T, Elbanna K, Thakor N, Steinbüchel A.","Biomacromolecules. 2005 Mar-Apr;6(2):897-901. doi: 10.1021/bm049334x.","Kim DY","Biomacromolecules","2005","2005/03/15","","","10.1021/bm049334x"
"29806829","Toeprinting Analysis of Translation Initiation Complex Formation on Mammalian mRNAs","Ross JA, Thakor N.","J Vis Exp. 2018 May 10;(135):57519. doi: 10.3791/57519.","Ross JA","J Vis Exp","2018","2018/05/29","PMC6101171","","10.3791/57519"
"26828225","Cellular mRNA recruits the ribosome via eIF3-PABP bridge to initiate internal translation","Thakor N, Smith MD, Roberts L, Faye MD, Patel H, Wieden HJ, Cate JHD, Holcik M.","RNA Biol. 2017 May 4;14(5):553-567. doi: 10.1080/15476286.2015.1137419. Epub 2016 Feb 1.","Thakor N","RNA Biol","2017","2016/02/02","PMC5449081","","10.1080/15476286.2015.1137419"
"23403578","Mechanism of tetracycline resistance by ribosomal protection protein Tet(O)","Li W, Atkinson GC, Thakor NS, Allas U, Lu CC, Chan KY, Tenson T, Schulten K, Wilson KS, Hauryliuk V, Frank J.","Nat Commun. 2013;4:1477. doi: 10.1038/ncomms2470.","Li W","Nat Commun","2013","2013/02/14","PMC3576927","NIHMS434947","10.1038/ncomms2470"
"31671279","Eukaryotic initiation factor 5B (eIF5B) regulates temozolomide-mediated apoptosis in brain tumour stem cells (BTSCs)","Ross JA, Ahn BY, King J, Bressler KR, Senger DL, Thakor N.","Biochem Cell Biol. 2020 Dec;98(6):647-652. doi: 10.1139/bcb-2019-0329. Epub 2019 Oct 31.","Ross JA","Biochem Cell Biol","2020","2019/11/01","","","10.1139/bcb-2019-0329"
"33123915","Depletion of eukaryotic initiation factor 5B (eIF5B) reprograms the cellular transcriptome and leads to activation of endoplasmic reticulum (ER) stress and c-Jun N-terminal kinase (JNK)","Bressler KR, Ross JA, Ilnytskyy S, Vanden Dungen K, Taylor K, Patel K, Zovoilis A, Kovalchuk I, Thakor N.","Cell Stress Chaperones. 2021 Jan;26(1):253-264. doi: 10.1007/s12192-020-01174-1. Epub 2020 Oct 29.","Bressler KR","Cell Stress Chaperones","2021","2020/10/30","PMC7736443","","10.1007/s12192-020-01174-1"
"18371310","Chimeras of bacterial translation factors Tet(O) and EF-G","Thakor NS, Nechifor R, Scott PG, Keelan M, Taylor DE, Wilson KS.","FEBS Lett. 2008 Apr 16;582(9):1386-90. doi: 10.1016/j.febslet.2008.03.023. Epub 2008 Mar 25.","Thakor NS","FEBS Lett","2008","2008/03/29","","","10.1016/j.febslet.2008.03.023"
"33191914","Increased processing of SINE B2 ncRNAs unveils a novel type of transcriptome deregulation in amyloid beta neuropathology","Cheng Y, Saville L, Gollen B, Isaac C, Belay A, Mehla J, Patel K, Thakor N, Mohajerani MH, Zovoilis A.","Elife. 2020 Nov 16;9:e61265. doi: 10.7554/eLife.61265.","Cheng Y","Elife","2020","2020/11/16","PMC7717908","","10.7554/eLife.61265"
"21917851","IRES-mediated translation of cellular messenger RNA operates in eIF2α- independent manner during stress","Thakor N, Holcik M.","Nucleic Acids Res. 2012 Jan;40(2):541-52. doi: 10.1093/nar/gkr701. Epub 2011 Sep 14.","Thakor N","Nucleic Acids Res","2012","2011/09/16","PMC3258125","","10.1093/nar/gkr701"
"19934254","An internal ribosomal entry site mediates redox-sensitive translation of Nrf2","Li W, Thakor N, Xu EY, Huang Y, Chen C, Yu R, Holcik M, Kong AN.","Nucleic Acids Res. 2010 Jan;38(3):778-88. doi: 10.1093/nar/gkp1048. Epub 2009 Nov 24.","Li W","Nucleic Acids Res","2010","2009/11/26","PMC2817467","","10.1093/nar/gkp1048"
"30670698","Eukaryotic initiation factor 5B (eIF5B) provides a critical cell survival switch to glioblastoma cells via regulation of apoptosis","Ross JA, Dungen KV, Bressler KR, Fredriksen M, Khandige Sharma D, Balasingam N, Thakor N.","Cell Death Dis. 2019 Jan 22;10(2):57. doi: 10.1038/s41419-018-1283-5.","Ross JA","Cell Death Dis","2019","2019/01/24","PMC6342974","","10.1038/s41419-018-1283-5"
"30551605","Eukaryotic Initiation Factor 5B (eIF5B) Cooperates with eIF1A and eIF5 to Facilitate uORF2-Mediated Repression of ATF4 Translation","Ross JA, Bressler KR, Thakor N.","Int J Mol Sci. 2018 Dec 13;19(12):4032. doi: 10.3390/ijms19124032.","Ross JA","Int J Mol Sci","2018","2018/12/16","PMC6321046","","10.3390/ijms19124032"
"17537646","An improved procedure for expression and purification of ribosomal protection protein Tet(O) for high-resolution structural studies","Thakor NS, Wilson KS, Scott PG, Taylor DE.","Protein Expr Purif. 2007 Oct;55(2):388-94. doi: 10.1016/j.pep.2007.04.016. Epub 2007 Apr 27.","Thakor NS","Protein Expr Purif","2007","2007/06/01","","","10.1016/j.pep.2007.04.016"
"22431522","Tumor suppressor PDCD4 represses internal ribosome entry site-mediated translation of antiapoptotic proteins and is regulated by S6 kinase 2","Liwak U, Thakor N, Jordan LE, Roy R, Lewis SM, Pardo OE, Seckl M, Holcik M.","Mol Cell Biol. 2012 May;32(10):1818-29. doi: 10.1128/MCB.06317-11. Epub 2012 Mar 19.","Liwak U","Mol Cell Biol","2012","2012/03/21","PMC3347423","","10.1128/MCB.06317-11"
