PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27923451","microRNA-guided diagnostics in clinical samples","Gustafson D, Tyryshkin K, Renwick N.","Best Pract Res Clin Endocrinol Metab. 2016 Oct;30(5):563-575. doi: 10.1016/j.beem.2016.07.002. Epub 2016 Aug 1.","Gustafson D","Best Pract Res Clin Endocrinol Metab","2016","2016/12/08","","","10.1016/j.beem.2016.07.002"
"34564320","The Non-Coding RNA Journal Club: Highlights on Recent Papers-9","Renwick N, El-Osta A, Salamon I, Broseghini E, Ferracin M, Poliseno L, Jankauskas SS, Santulli G, Xiao H, Shiu PKT, Roy S, Goel A.","Noncoding RNA. 2021 Sep 16;7(3):58. doi: 10.3390/ncrna7030058.","Renwick N","Noncoding RNA","2021","2021/09/26","PMC8482151","","10.3390/ncrna7030058"
"12666077","Foamy podocytes","Renwick N, Nasr SH, Chung WK, Garvin J, Markowitz GS, Marboe C, Thaker HM, D'Agati VD.","Am J Kidney Dis. 2003 Apr;41(4):891-6. doi: 10.1016/s0272-6386(03)00133-1.","Renwick N","Am J Kidney Dis","2003","2003/04/01","","","10.1016/s0272-6386(03)00133-1"
"35455980","Emerging Evidence of Noncoding RNAs in Bleb Scarring after Glaucoma Filtration Surgery","Yu S, Tam ALC, Campbell R, Renwick N.","Cells. 2022 Apr 12;11(8):1301. doi: 10.3390/cells11081301.","Yu S","Cells","2022","2022/04/23","PMC9029189","","10.3390/cells11081301"
"34890164","Multi-Omic Graph Transformers for Cancer Classification and Interpretation","Kaczmarek E, Jamzad A, Imtiaz T, Nanayakkara J, Renwick N, Mousavi P.","Pac Symp Biocomput. 2022;27:373-384.","Kaczmarek E","Pac Symp Biocomput","2022","2021/12/10","","",""
"34774515","Discriminating Neoplastic from Nonneoplastic Tissues Using an miRNA-Based Deep Cancer Classifier","Kaczmarek E, Pyman B, Nanayakkara J, Tuschl T, Tyryshkin K, Renwick N, Mousavi P.","Am J Pathol. 2022 Feb;192(2):344-352. doi: 10.1016/j.ajpath.2021.10.012. Epub 2021 Nov 10.","Kaczmarek E","Am J Pathol","2022","2021/11/14","","","10.1016/j.ajpath.2021.10.012"
"30021866","Evaluating gastroenteropancreatic neuroendocrine tumors through microRNA sequencing","Panarelli N, Tyryshkin K, Wong JJM, Majewski A, Yang X, Scognamiglio T, Kim MK, Bogardus K, Tuschl T, Chen YT, Renwick N.","Endocr Relat Cancer. 2019 Jan 1;26(1):47-57. doi: 10.1530/ERC-18-0244.","Panarelli N","Endocr Relat Cancer","2019","2018/07/20","","","10.1530/ERC-18-0244"
"36010347","A Computational Approach to Identification of Candidate Biomarkers in High-Dimensional Molecular Data","Gerolami J, Wong JJM, Zhang R, Chen T, Imtiaz T, Smith M, Jamaspishvili T, Koti M, Glasgow JI, Mousavi P, Renwick N, Tyryshkin K.","Diagnostics (Basel). 2022 Aug 18;12(8):1997. doi: 10.3390/diagnostics12081997.","Gerolami J","Diagnostics (Basel)","2022","2022/08/26","PMC9407361","","10.3390/diagnostics12081997"
"35026982","Topology preserving stratification of tissue neoplasticity using Deep Neural Maps and microRNA signatures","Kaczmarek E, Nanayakkara J, Sedghi A, Pesteie M, Tuschl T, Renwick N, Mousavi P.","BMC Bioinformatics. 2022 Jan 13;23(1):38. doi: 10.1186/s12859-022-04559-4.","Kaczmarek E","BMC Bioinformatics","2022","2022/01/14","PMC8756719","","10.1186/s12859-022-04559-4"
"34001972","A miR-375/YAP axis regulates neuroendocrine differentiation and tumorigenesis in lung carcinoid cells","Yang X, Nanayakkara J, Claypool D, Saghafinia S, Wong JJM, Xu M, Wang X, Nicol CJB, Michael IP, Hafner M, Yang X, Renwick N.","Sci Rep. 2021 May 17;11(1):10455. doi: 10.1038/s41598-021-89855-4.","Yang X","Sci Rep","2021","2021/05/18","PMC8129150","","10.1038/s41598-021-89855-4"
"32957587","Classifying Lung Neuroendocrine Neoplasms through MicroRNA Sequence Data Mining","Wong JJM, Ginter PS, Tyryshkin K, Yang X, Nanayakkara J, Zhou Z, Tuschl T, Chen YT, Renwick N.","Cancers (Basel). 2020 Sep 17;12(9):2653. doi: 10.3390/cancers12092653.","Wong JJM","Cancers (Basel)","2020","2020/09/22","PMC7564332","","10.3390/cancers12092653"
"18507910","Global distribution of novel rhinovirus genotype","Briese T, Renwick N, Venter M, Jarman RG, Ghosh D, Köndgen S, Shrestha SK, Hoegh AM, Casas I, Adjogoua EV, Akoua-Koffi C, Myint KS, Williams DT, Chidlow G, van den Berg R, Calvo C, Koch O, Palacios G, Kapoor V, Villari J, Dominguez SR, Holmes KV, Harnett G, Smith D, Mackenzie JS, Ellerbrok H, Schweiger B, Schønning K, Chadha MS, Leendertz FH, Mishra AC, Gibbons RV, Holmes EC, Lipkin WI.","Emerg Infect Dis. 2008 Jun;14(6):944-7. doi: 10.3201/eid1406.080271.","Briese T","Emerg Infect Dis","2008","2008/05/30","PMC2600308","","10.3201/eid1406.080271"
"36121439","A transcriptome analysis of basal and stimulated VWF release from endothelial cells derived from type 1 VWD patients","Kloosterman R, Zago-Schmitt M, Grabell J, Thibeault LA, Lima PDA, Bowman ML, Tyryshkin K, Hindmarch CCT, Renwick N, James PD.","Blood Adv. 2022 Sep 19:bloodadvances.2022007884. doi: 10.1182/bloodadvances.2022007884. Online ahead of print.","Kloosterman R","Blood Adv","2022","2022/09/19","","","10.1182/bloodadvances.2022007884"
"30864319","Exploring microRNA Regulation of Cancer with Context-Aware Deep Cancer Classifier","Pyman B, Sedghi A, Azizi S, Tyryshkin K, Renwick N, Mousavi P.","Pac Symp Biocomput. 2019;24:160-171.","Pyman B","Pac Symp Biocomput","2019","2019/03/14","","",""
"32743554","Characterizing and classifying neuroendocrine neoplasms through microRNA sequencing and data mining","Nanayakkara J, Tyryshkin K, Yang X, Wong JJM, Vanderbeck K, Ginter PS, Scognamiglio T, Chen YT, Panarelli N, Cheung NK, Dijk F, Ben-Dov IZ, Kim MK, Singh S, Morozov P, Max KEA, Tuschl T, Renwick N.","NAR Cancer. 2020 Sep;2(3):zcaa009. doi: 10.1093/narcan/zcaa009. Epub 2020 Jul 15.","Nanayakkara J","NAR Cancer","2020","2020/08/04","PMC7380486","","10.1093/narcan/zcaa009"
"25218385","Multiplexed miRNA fluorescence in situ hybridization for formalin-fixed paraffin-embedded tissues","Renwick N, Cekan P, Bognanni C, Tuschl T.","Methods Mol Biol. 2014;1211:171-87. doi: 10.1007/978-1-4939-1459-3_14.","Renwick N","Methods Mol Biol","2014","2014/09/15","PMC4309551","NIHMS657546","10.1007/978-1-4939-1459-3_14"
"23728175","Multicolor microRNA FISH effectively differentiates tumor types","Renwick N, Cekan P, Masry PA, McGeary SE, Miller JB, Hafner M, Li Z, Mihailovic A, Morozov P, Brown M, Gogakos T, Mobin MB, Snorrason EL, Feilotter HE, Zhang X, Perlis CS, Wu H, Suárez-Fariñas M, Feng H, Shuda M, Moore PS, Tron VA, Chang Y, Tuschl T.","J Clin Invest. 2013 Jun;123(6):2694-702. doi: 10.1172/JCI68760.","Renwick N","J Clin Invest","2013","2013/06/04","PMC3668843","","10.1172/JCI68760"
"32474365","Distinguishing Tumor and Stromal Sources of MicroRNAs Linked to Metastasis in Cutaneous Melanoma","Watt K, Tyryshkin K, Renwick N, Craig AWB.","Transl Oncol. 2020 Sep;13(9):100802. doi: 10.1016/j.tranon.2020.100802. Epub 2020 May 28.","Watt K","Transl Oncol","2020","2020/06/01","PMC7260684","","10.1016/j.tranon.2020.100802"
