PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32411184","Editorial: RNA Regulation in Development and Disease","Chartrand P, Jaramillo M, Gamberi C.","Front Genet. 2020 Apr 28;11:430. doi: 10.3389/fgene.2020.00430. eCollection 2020.","Chartrand P","Front Genet","2020","2020/05/16","PMC7198849","","10.3389/fgene.2020.00430"
"27419529","Special focus on telomeres and telomerase","Chartrand P.","RNA Biol. 2016 Aug 2;13(8):681-2. doi: 10.1080/15476286.2016.1211223.","Chartrand P","RNA Biol","2016","2016/07/16","PMC4993292","","10.1080/15476286.2016.1211223"
"36186423","Editorial: Coding and non-coding RNA-based complexes in organismal development and disease pathogenesis","Chartrand P, Gamberi C.","Front Genet. 2022 Sep 16;13:1032665. doi: 10.3389/fgene.2022.1032665. eCollection 2022.","Chartrand P","Front Genet","2022","2022/10/03","PMC9523687","","10.3389/fgene.2022.1032665"
"21984598","Control of cytoplasmic mRNA localization","Shahbabian K, Chartrand P.","Cell Mol Life Sci. 2012 Feb;69(4):535-52. doi: 10.1007/s00018-011-0814-3. Epub 2011 Oct 8.","Shahbabian K","Cell Mol Life Sci","2012","2011/10/11","","","10.1007/s00018-011-0814-3"
"32084415","TERRA, a Multifaceted Regulator of Telomerase Activity at Telomeres","Lalonde M, Chartrand P.","J Mol Biol. 2020 Jul 10;432(15):4232-4243. doi: 10.1016/j.jmb.2020.02.004. Epub 2020 Feb 19.","Lalonde M","J Mol Biol","2020","2020/02/22","","","10.1016/j.jmb.2020.02.004"
"19116113","[Oncogenic and tumour suppressor microRNAs]","Finoux AL, Chartrand P.","Med Sci (Paris). 2008 Dec;24(12):1049-54. doi: 10.1051/medsci/200824121049.","Finoux AL","Med Sci (Paris)","2008","2009/01/01","","","10.1051/medsci/200824121049"
"24523222","Telomeric noncoding RNA: telomeric repeat-containing RNA in telomere biology","Cusanelli E, Chartrand P.","Wiley Interdiscip Rev RNA. 2014 May-Jun;5(3):407-19. doi: 10.1002/wrna.1220. Epub 2014 Feb 12.","Cusanelli E","Wiley Interdiscip Rev RNA","2014","2014/02/14","","","10.1002/wrna.1220"
"18971631","Telomerase biogenesis: The long road before getting to the end","Gallardo F, Chartrand P.","RNA Biol. 2008 Oct-Dec;5(4):212-5. doi: 10.4161/rna.7115. Epub 2008 Oct 3.","Gallardo F","RNA Biol","2008","2008/10/31","","","10.4161/rna.7115"
"18262421","Local regulation of mRNA translation: new insights from the bud","Paquin N, Chartrand P.","Trends Cell Biol. 2008 Mar;18(3):105-11. doi: 10.1016/j.tcb.2007.12.004. Epub 2008 Feb 8.","Paquin N","Trends Cell Biol","2008","2008/02/12","","","10.1016/j.tcb.2007.12.004"
"18155467","Using fluorescent proteins to study mRNA trafficking in living cells","Querido E, Chartrand P.","Methods Cell Biol. 2008;85:273-92. doi: 10.1016/S0091-679X(08)85012-1.","Querido E","Methods Cell Biol","2008","2007/12/25","","","10.1016/S0091-679X(08)85012-1"
