PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34115105","TDP-43 stabilizes G3BP1 mRNA: relevance to amyotrophic lateral sclerosis/frontotemporal dementia","Sidibé H, Khalfallah Y, Xiao S, Gómez NB, Fakim H, Tank EMH, Di Tomasso G, Bareke E, Aulas A, McKeever PM, Melamed Z, Destroimaisons L, Deshaies JE, Zinman L, Parker JA, Legault P, Tétreault M, Barmada SJ, Robertson J, Vande Velde C.","Brain. 2021 Dec 16;144(11):3461-3476. doi: 10.1093/brain/awab217.","Sidibé H","Brain","2021","2021/06/11","PMC8677511","","10.1093/brain/awab217"
"32712915","In Vitro Selection of Varkud Satellite Ribozyme Variants that Cleave a Modified Stem-Loop Substrate","Dagenais P, Legault P.","Methods Mol Biol. 2021;2167:61-77. doi: 10.1007/978-1-0716-0716-9_5.","Dagenais P","Methods Mol Biol","2021","2020/07/27","","","10.1007/978-1-0716-0716-9_5"
"28382748","Insights into RNA structure and dynamics from recent NMR and X-ray studies of the Neurospora Varkud satellite ribozyme","Dagenais P, Girard N, Bonneau E, Legault P.","Wiley Interdiscip Rev RNA. 2017 Sep;8(5):e1421. doi: 10.1002/wrna.1421. Epub 2017 Apr 6.","Dagenais P","Wiley Interdiscip Rev RNA","2017","2017/04/07","PMC5573960","","10.1002/wrna.1421"
"32928885","VGluT2 Expression in Dopamine Neurons Contributes to Postlesional Striatal Reinnervation","Kouwenhoven WM, Fortin G, Penttinen AM, Florence C, Delignat-Lavaud B, Bourque MJ, Trimbuch T, Luppi MP, Salvail-Lacoste A, Legault P, Poulin JF, Rosenmund C, Awatramani R, Trudeau LÉ.","J Neurosci. 2020 Oct 21;40(43):8262-8275. doi: 10.1523/JNEUROSCI.0823-20.2020. Epub 2020 Sep 14.","Kouwenhoven WM","J Neurosci","2020","2020/09/15","PMC7577590","","10.1523/JNEUROSCI.0823-20.2020"
"23065559","Affinity purification of RNA using an ARiBo tag","Di Tomasso G, Dagenais P, Desjardins A, Rompré-Brodeur A, Delfosse V, Legault P.","Methods Mol Biol. 2012;941:137-55. doi: 10.1007/978-1-62703-113-4_11.","Di Tomasso G","Methods Mol Biol","2012","2012/10/16","","","10.1007/978-1-62703-113-4_11"
"23065558","Preparation of λN-GST fusion protein for affinity immobilization of RNA","Di Tomasso G, Lampron P, Omichinski JG, Legault P.","Methods Mol Biol. 2012;941:123-35. doi: 10.1007/978-1-62703-113-4_10.","Di Tomasso G","Methods Mol Biol","2012","2012/10/16","","","10.1007/978-1-62703-113-4_10"
"34718697","An integrative NMR-SAXS approach for structural determination of large RNAs defines the substrate-free state of a trans-cleaving Neurospora Varkud Satellite ribozyme","Dagenais P, Desjardins G, Legault P.","Nucleic Acids Res. 2021 Nov 18;49(20):11959-11973. doi: 10.1093/nar/gkab963.","Dagenais P","Nucleic Acids Res","2021","2021/10/31","PMC8599749","","10.1093/nar/gkab963"
"27659051","ARiBo pull-down for riboproteomic studies based on label-free quantitative mass spectrometry","Di Tomasso G, Miller Jenkins LM, Legault P.","RNA. 2016 Nov;22(11):1760-1770. doi: 10.1261/rna.057513.116. Epub 2016 Sep 22.","Di Tomasso G","RNA","2016","2016/09/24","PMC5066628","","10.1261/rna.057513.116"
"30522464","High-yield production of human Dicer by transfection of human HEK293-EBNA1 cells grown in suspension","Bouvette J, Korkut DN, Fouillen A, Amellah S, Nanci A, Durocher Y, Omichinski JG, Legault P.","BMC Biotechnol. 2018 Dec 6;18(1):76. doi: 10.1186/s12896-018-0485-3.","Bouvette J","BMC Biotechnol","2018","2018/12/08","PMC6282390","","10.1186/s12896-018-0485-3"
"19896372","Multivalent binding oligomers inhibit HIV Tat-TAR interaction critical for viral replication","Wang D, Iera J, Baker H, Hogan P, Ptak R, Yang L, Hartman T, Buckheit RW Jr, Desjardins A, Yang A, Legault P, Yedavalli V, Jeang KT, Appella DH.","Bioorg Med Chem Lett. 2009 Dec 15;19(24):6893-7. doi: 10.1016/j.bmcl.2009.10.078. Epub 2009 Oct 23.","Wang D","Bioorg Med Chem Lett","2009","2009/11/10","PMC2783946","NIHMS154380","10.1016/j.bmcl.2009.10.078"
