PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28355122","The platelets' perspective to pathogen reduction technologies","Osman A, Hitzler WE, Provost P.","Platelets. 2018 Mar;29(2):140-147. doi: 10.1080/09537104.2017.1293806. Epub 2017 Mar 29.","Osman A","Platelets","2018","2017/03/30","","","10.1080/09537104.2017.1293806"
"28099120","The clinical significance of platelet microparticle-associated microRNAs","Provost P.","Clin Chem Lab Med. 2017 May 1;55(5):657-666. doi: 10.1515/cclm-2016-0895.","Provost P","Clin Chem Lab Med","2017","2017/01/19","","","10.1515/cclm-2016-0895"
"30720712","Small Non-Coding RNAs Derived From Eukaryotic Ribosomal RNA","Lambert M, Benmoussa A, Provost P.","Noncoding RNA. 2019 Feb 4;5(1):16. doi: 10.3390/ncrna5010016.","Lambert M","Noncoding RNA","2019","2019/02/06","PMC6468398","","10.3390/ncrna5010016"
"35563619","Ebola Virus Encodes Two microRNAs in Huh7-Infected Cells","Diallo I, Husseini Z, Guellal S, Vion E, Ho J, Kozak RA, Kobinger GP, Provost P.","Int J Mol Sci. 2022 May 7;23(9):5228. doi: 10.3390/ijms23095228.","Diallo I","Int J Mol Sci","2022","2022/05/14","PMC9106010","","10.3390/ijms23095228"
"28523956","Pathogen reduction technologies: The pros and cons for platelet transfusion","Magron A, Laugier J, Provost P, Boilard E.","Platelets. 2018 Jan;29(1):2-8. doi: 10.1080/09537104.2017.1306046. Epub 2017 May 19.","Magron A","Platelets","2018","2017/05/20","","","10.1080/09537104.2017.1306046"
"19301657","Protein components of the microRNA pathway and human diseases","Perron MP, Provost P.","Methods Mol Biol. 2009;487:369-85. doi: 10.1007/978-1-60327-547-7_18.","Perron MP","Methods Mol Biol","2009","2009/03/24","PMC2903565","CAMS1325","10.1007/978-1-60327-547-7_18"
"27095411","Peculiarities of studying the effects of pathogen reduction technologies on platelets","Osman A, Hitzler WE, Provost P.","Proteomics Clin Appl. 2016 Aug;10(8):805-15. doi: 10.1002/prca.201500124. Epub 2016 May 17.","Osman A","Proteomics Clin Appl","2016","2016/04/21","","","10.1002/prca.201500124"
"19301659","Emergence of a complex relationship between HIV-1 and the microRNA pathway","Ouellet DL, Plante I, Barat C, Tremblay MJ, Provost P.","Methods Mol Biol. 2009;487:415-33. doi: 10.1007/978-1-60327-547-7_20.","Ouellet DL","Methods Mol Biol","2009","2009/03/24","PMC2911478","CAMS1326","10.1007/978-1-60327-547-7_20"
"33336926","Milk MicroRNAs in Health and Disease","Benmoussa A, Provost P.","Compr Rev Food Sci Food Saf. 2019 May;18(3):703-722. doi: 10.1111/1541-4337.12424. Epub 2019 Mar 10.","Benmoussa A","Compr Rev Food Sci Food Saf","2019","2020/12/18","","","10.1111/1541-4337.12424"
"20375468","Interpretation and applicability of microRNA data to the context of Alzheimer's and age-related diseases","Provost P.","Aging (Albany NY). 2010 Mar 31;2(3):166-9. doi: 10.18632/aging.100131.","Provost P","Aging (Albany NY)","2010","2010/04/09","PMC2871245","","10.18632/aging.100131"
"32120885","RNA-Sequencing Analyses of Small Bacterial RNAs and their Emergence as Virulence Factors in Host-Pathogen Interactions","Diallo I, Provost P.","Int J Mol Sci. 2020 Feb 27;21(5):1627. doi: 10.3390/ijms21051627.","Diallo I","Int J Mol Sci","2020","2020/03/04","PMC7084465","","10.3390/ijms21051627"
"26941389","Platelets enrich their transcriptome circle","Provost P.","Blood. 2016 Mar 3;127(9):1080-1. doi: 10.1182/blood-2015-12-687723.","Provost P","Blood","2016","2016/03/05","","","10.1182/blood-2015-12-687723"
"17172720","Regulatory RNAs: future perspectives in diagnosis, prognosis, and individualized therapy","Perron MP, Boissonneault V, Gobeil LA, Ouellet DL, Provost P.","Methods Mol Biol. 2007;361:311-26. doi: 10.1385/1-59745-208-4:311.","Perron MP","Methods Mol Biol","2007","2006/12/19","PMC2908702","CAMS1331","10.1385/1-59745-208-4:311"
"17981703","Involvement of Dcr1 in post-transcriptional regulation of gene expression in Schizosaccharomyces pombe","Gobeil LA, Plante P, Rohani M, Ouellette M, Provost P.","Front Biosci. 2008 Jan 1;13:2203-15. doi: 10.2741/2835.","Gobeil LA","Front Biosci","2008","2007/11/06","PMC2930013","CAMS1328","10.2741/2835"
"17981733","Protein interactions and complexes in human microRNA biogenesis and function","Perron MP, Provost P.","Front Biosci. 2008 Jan 1;13:2537-47. doi: 10.2741/2865.","Perron MP","Front Biosci","2008","2007/11/06","PMC2901379","CAMS1329","10.2741/2865"
"35645341","An Expanded Landscape of Unusually Short RNAs in 11 Samples from Six Eukaryotic Organisms","Lambert M, Guellal S, Ho J, Benmoussa A, Laffont B, Bélanger R, Provost P.","Noncoding RNA. 2022 May 19;8(3):34. doi: 10.3390/ncrna8030034.","Lambert M","Noncoding RNA","2022","2022/06/01","PMC9149858","","10.3390/ncrna8030034"
