PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30119842","Engineering intelligent particle-lipid composites that control lipase-mediated digestion","Joyce P, Gustafsson H, Prestidge CA.","Adv Colloid Interface Sci. 2018 Oct;260:1-23. doi: 10.1016/j.cis.2018.08.001. Epub 2018 Aug 6.","Joyce P","Adv Colloid Interface Sci","2018","2018/08/19","","","10.1016/j.cis.2018.08.001"
"34464665","Bioinspired drug delivery strategies for repurposing conventional antibiotics against intracellular infections","Subramaniam S, Joyce P, Thomas N, Prestidge CA.","Adv Drug Deliv Rev. 2021 Oct;177:113948. doi: 10.1016/j.addr.2021.113948. Epub 2021 Aug 28.","Subramaniam S","Adv Drug Deliv Rev","2021","2021/08/31","","","10.1016/j.addr.2021.113948"
"30529138","Solidification to improve the biopharmaceutical performance of SEDDS: Opportunities and challenges","Joyce P, Dening TJ, Meola TR, Schultz HB, Holm R, Thomas N, Prestidge CA.","Adv Drug Deliv Rev. 2019 Mar 1;142:102-117. doi: 10.1016/j.addr.2018.11.006. Epub 2018 Dec 4.","Joyce P","Adv Drug Deliv Rev","2019","2018/12/12","","","10.1016/j.addr.2018.11.006"
"30957577","An update on polymer-lipid hybrid systems for improving oral drug delivery","Maghrebi S, Prestidge CA, Joyce P.","Expert Opin Drug Deliv. 2019 May;16(5):507-524. doi: 10.1080/17425247.2019.1605353. Epub 2019 Apr 18.","Maghrebi S","Expert Opin Drug Deliv","2019","2019/04/09","","","10.1080/17425247.2019.1605353"
"35213954","Liposomal 5-Fluorouracil Polymer Complexes Facilitate Tumor-Specific Delivery: Pharmaco-Distribution Kinetics Using Microdialysis","Wang W, Joyce P, Bremmell K, Milne R, Prestidge CA.","Pharmaceutics. 2022 Jan 18;14(2):221. doi: 10.3390/pharmaceutics14020221.","Wang W","Pharmaceutics","2022","2022/02/26","PMC8878722","","10.3390/pharmaceutics14020221"
"34542396","Absence of SARS-CoV-2 in the air and on the surfaces within the school environment","Thakar A, Dutkiewicz S, Hoffman T, Joyce P, Shah V.","J Med Microbiol. 2021 Sep;70(9):001424. doi: 10.1099/jmm.0.001424.","Thakar A","J Med Microbiol","2021","2021/09/20","PMC8697512","","10.1099/jmm.0.001424"
"36297559","Gallium Protoporphyrin Liquid Crystalline Lipid Nanoparticles: A Third-Generation Photosensitizer against Pseudomonas aeruginosa Biofilms","Awad M, Barnes TJ, Thomas N, Joyce P, Prestidge CA.","Pharmaceutics. 2022 Oct 6;14(10):2124. doi: 10.3390/pharmaceutics14102124.","Awad M","Pharmaceutics","2022","2022/10/27","PMC9610264","","10.3390/pharmaceutics14102124"
"28314428","Nanostructuring Biomaterials with Specific Activities towards Digestive Enzymes for Controlled Gastrointestinal Absorption of Lipophilic Bioactive Molecules","Joyce P, Whitby CP, Prestidge CA.","Adv Colloid Interface Sci. 2016 Nov;237:52-75. doi: 10.1016/j.cis.2016.10.003. Epub 2016 Oct 22.","Joyce P","Adv Colloid Interface Sci","2016","2017/03/19","","","10.1016/j.cis.2016.10.003"
"27451996","Medical student attitudes towards complementary and alternative medicine (CAM) in medical education: a critical review","Joyce P, Wardle J, Zaslawski C.","J Complement Integr Med. 2016 Dec 1;13(4):333-345. doi: 10.1515/jcim-2014-0053.","Joyce P","J Complement Integr Med","2016","2016/07/26","","","10.1515/jcim-2014-0053"
"34919999","Chitosan nanoparticles facilitate improved intestinal permeation and oral pharmacokinetics of the mast cell stabiliser cromoglycate","Joyce P, Wignall A, Peressin K, Wright L, Williams DB, Prestidge CA.","Int J Pharm. 2022 Jan 25;612:121382. doi: 10.1016/j.ijpharm.2021.121382. Epub 2021 Dec 14.","Joyce P","Int J Pharm","2022","2021/12/17","","","10.1016/j.ijpharm.2021.121382"
"35238208","Role of Silica Intrawall Microporosity on Abiraterone Acetate Solubilization and In Vivo Oral Absorption","Almasri R, Schultz HB, Møller A, Bremmell KE, Garcia-Bennett A, Joyce P, Prestidge CA.","Mol Pharm. 2022 Apr 4;19(4):1091-1103. doi: 10.1021/acs.molpharmaceut.1c00781. Epub 2022 Mar 3.","Almasri R","Mol Pharm","2022","2022/03/03","","","10.1021/acs.molpharmaceut.1c00781"
"32926534","TIRF Microscopy-Based Monitoring of Drug Permeation Across a Lipid Membrane Supported on Mesoporous Silica","Joyce P, Jõemetsa S, Isaksson S, Hossain S, Larsson P, Bergström C, Höök F.","Angew Chem Int Ed Engl. 2021 Jan 25;60(4):2069-2073. doi: 10.1002/anie.202011931. Epub 2020 Nov 23.","Joyce P","Angew Chem Int Ed Engl","2021","2020/09/14","PMC7894553","","10.1002/anie.202011931"
