PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35477066","AGO-RBP crosstalk on target mRNAs: Implications in miRNA-guided gene silencing and cancer","Kakumani PK.","Transl Oncol. 2022 Jul;21:101434. doi: 10.1016/j.tranon.2022.101434. Epub 2022 Apr 26.","Kakumani PK","Transl Oncol","2022","2022/04/27","PMC9136600","","10.1016/j.tranon.2022.101434"
"33833398","CSDE1 attenuates microRNA-mediated silencing of PMEPA1 in melanoma","Kakumani PK, Guitart T, Houle F, Harvey LM, Goyer B, Germain L, Gebauer F, Simard MJ.","Oncogene. 2021 May;40(18):3231-3244. doi: 10.1038/s41388-021-01767-9. Epub 2021 Apr 8.","Kakumani PK","Oncogene","2021","2021/04/09","","","10.1038/s41388-021-01767-9"
"32161113","CSDE1 controls gene expression through the miRNA-mediated decay machinery","Kakumani PK, Harvey LM, Houle F, Guitart T, Gebauer F, Simard MJ.","Life Sci Alliance. 2020 Mar 11;3(4):e201900632. doi: 10.26508/lsa.201900632. Print 2020 Apr.","Kakumani PK","Life Sci Alliance","2020","2020/03/13","PMC7067469","","10.26508/lsa.201900632"
"26367179","Association of HADHA with human RNA silencing machinery","Kakumani PK, Shanmugam RK, Kaur I, Malhotra P, Mukherjee SK, Bhatnagar RK.","Biochem Biophys Res Commun. 2015 Oct 23;466(3):481-5. doi: 10.1016/j.bbrc.2015.09.055. Epub 2015 Sep 11.","Kakumani PK","Biochem Biophys Res Commun","2015","2015/09/15","","","10.1016/j.bbrc.2015.09.055"
"24984256","A draft genome assembly of the army worm, Spodoptera frugiperda","Kakumani PK, Malhotra P, Mukherjee SK, Bhatnagar RK.","Genomics. 2014 Aug;104(2):134-43. doi: 10.1016/j.ygeno.2014.06.005. Epub 2014 Jun 28.","Kakumani PK","Genomics","2014","2014/07/02","","","10.1016/j.ygeno.2014.06.005"
"26290335","De novo transcriptome assembly and analysis of Sf21 cells using illumina paired end sequencing","Kakumani PK, Shukla R, Todur VN, Malhotra P, Mukherjee SK, Bhatnagar RK.","Biol Direct. 2015 Aug 20;10:44. doi: 10.1186/s13062-015-0072-7.","Kakumani PK","Biol Direct","2015","2015/08/21","PMC4545970","","10.1186/s13062-015-0072-7"
"27039024","Role of human GRP75 in miRNA mediated regulation of dengue virus replication","Kakumani PK, Medigeshi GR, Kaur I, Malhotra P, Mukherjee SK, Bhatnagar RK.","Gene. 2016 Jul 15;586(1):7-11. doi: 10.1016/j.gene.2016.03.053. Epub 2016 Mar 30.","Kakumani PK","Gene","2016","2016/04/04","","","10.1016/j.gene.2016.03.053"
"25693181","Identification and characteristics of microRNAs from army worm, Spodoptera frugiperda cell line Sf21","Kakumani PK, Chinnappan M, Singh AK, Malhotra P, Mukherjee SK, Bhatnagar RK.","PLoS One. 2015 Feb 18;10(2):e0116988. doi: 10.1371/journal.pone.0116988. eCollection 2015.","Kakumani PK","PLoS One","2015","2015/02/19","PMC4333348","","10.1371/journal.pone.0116988"
"26221025","Dengue NS3, an RNAi suppressor, modulates the human miRNA pathways through its interacting partner","Kakumani PK, Rajgokul KS, Ponia SS, Kaur I, Mahanty S, Medigeshi GR, Banerjea AC, Chopra AP, Malhotra P, Mukherjee SK, Bhatnagar RK.","Biochem J. 2015 Oct 1;471(1):89-99. doi: 10.1042/BJ20150445. Epub 2015 Jul 28.","Kakumani PK","Biochem J","2015","2015/07/30","","","10.1042/BJ20150445"
"25199785","Genome wide screening of RNAi factors of Sf21 cells reveal several novel pathway associated proteins","Ghosh S, Kakumani PK, Kumar A, Malhotra P, Mukherjee SK, Bhatnagar RK.","BMC Genomics. 2014 Sep 9;15:775. doi: 10.1186/1471-2164-15-775.","Ghosh S","BMC Genomics","2014","2014/09/10","PMC4247154","","10.1186/1471-2164-15-775"
"23741001","Role of RNA interference (RNAi) in dengue virus replication and identification of NS4B as an RNAi suppressor","Kakumani PK, Ponia SS, S RK, Sood V, Chinnappan M, Banerjea AC, Medigeshi GR, Malhotra P, Mukherjee SK, Bhatnagar RK.","J Virol. 2013 Aug;87(16):8870-83. doi: 10.1128/JVI.02774-12. Epub 2013 Jun 5.","Kakumani PK","J Virol","2013","2013/06/07","PMC3754049","","10.1128/JVI.02774-12"
"24902849","Key elements of the RNAi pathway are regulated by hepatitis B virus replication and HBx acts as a viral suppressor of RNA silencing","Chinnappan M, Singh AK, Kakumani PK, Kumar G, Rooge SB, Kumari A, Varshney A, Rastogi A, Singh AK, Sarin SK, Malhotra P, Mukherjee SK, Bhatnagar RK.","Biochem J. 2014 Sep 1;462(2):347-58. doi: 10.1042/BJ20140316.","Chinnappan M","Biochem J","2014","2014/06/07","","","10.1042/BJ20140316"
