PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25780220","RNA rules!","Unrau P.","RNA. 2015 Apr;21(4):749-50. doi: 10.1261/rna.050500.115.","Unrau P","RNA","2015","2015/03/18","PMC4371362","","10.1261/rna.050500.115"
"34694614","Single-Molecule RNA Imaging Using Mango II Arrays","Cawte AD, Iino H, Unrau PJ, Rueda DS.","Methods Mol Biol. 2022;2404:267-280. doi: 10.1007/978-1-0716-1851-6_14.","Cawte AD","Methods Mol Biol","2022","2021/10/25","","","10.1007/978-1-0716-1851-6_14"
"27501452","Fluorophore-binding RNA aptamers and their applications","Dolgosheina EV, Unrau PJ.","Wiley Interdiscip Rev RNA. 2016 Nov;7(6):843-851. doi: 10.1002/wrna.1383. Epub 2016 Aug 8.","Dolgosheina EV","Wiley Interdiscip Rev RNA","2016","2016/08/09","","","10.1002/wrna.1383"
"33706009","Microchip RT-PCR Detection of Nasopharyngeal SARS-CoV-2 Samples","Cojocaru R, Yaseen I, Unrau PJ, Lowe CF, Ritchie G, Romney MG, Sin DD, Gill S, Slyadnev M.","J Mol Diagn. 2021 Jun;23(6):683-690. doi: 10.1016/j.jmoldx.2021.02.009. Epub 2021 Mar 9.","Cojocaru R","J Mol Diagn","2021","2021/03/11","PMC7939975","","10.1016/j.jmoldx.2021.02.009"
"20554706","Closing the circle: replicating RNA with RNA","Cheng LK, Unrau PJ.","Cold Spring Harb Perspect Biol. 2010 Oct;2(10):a002204. doi: 10.1101/cshperspect.a002204. Epub 2010 Jun 16.","Cheng LK","Cold Spring Harb Perspect Biol","2010","2010/06/18","PMC2944364","","10.1101/cshperspect.a002204"
"25610978","RNA synthesis by in vitro selected ribozymes for recreating an RNA world","Martin LL, Unrau PJ, Müller UF.","Life (Basel). 2015 Jan 20;5(1):247-68. doi: 10.3390/life5010247.","Martin LL","Life (Basel)","2015","2015/01/23","PMC4390851","","10.3390/life5010247"
"33737482","Processive RNA polymerization and promoter recognition in an RNA World","Cojocaru R, Unrau PJ.","Science. 2021 Mar 19;371(6535):1225-1232. doi: 10.1126/science.abd9191.","Cojocaru R","Science","2021","2021/03/19","","","10.1126/science.abd9191"
"29587634","High-throughput detection of RNA processing in bacteria","Gill EE, Chan LS, Winsor GL, Dobson N, Lo R, Ho Sui SJ, Dhillon BK, Taylor PK, Shrestha R, Spencer C, Hancock REW, Unrau PJ, Brinkman FSL.","BMC Genomics. 2018 Mar 27;19(1):223. doi: 10.1186/s12864-018-4538-8.","Gill EE","BMC Genomics","2018","2018/03/29","PMC5870498","","10.1186/s12864-018-4538-8"
"29091027","Transitioning to DNA genomes in an RNA world","Cojocaru R, Unrau PJ.","Elife. 2017 Nov 1;6:e32330. doi: 10.7554/eLife.32330.","Cojocaru R","Elife","2017","2017/11/02","PMC5665642","","10.7554/eLife.32330"
"33674421","RNA Peach and Mango: Orthogonal two-color fluorogenic aptamers distinguish nearly identical ligands","Kong KYS, Jeng SCY, Rayyan B, Unrau PJ.","RNA. 2021 Mar 5;27(5):604-15. doi: 10.1261/rna.078493.120. Online ahead of print.","Kong KYS","RNA","2021","2021/03/06","PMC8051271","","10.1261/rna.078493.120"
"33376189","Fluorogenic aptamers resolve the flexibility of RNA junctions using orientation-dependent FRET","Jeng SCY, Trachman RJ 3rd, Weissenboeck F, Truong L, Link KA, Jepsen MDE, Knutson JR, Andersen ES, Ferré-D'Amaré AR, Unrau PJ.","RNA. 2021 Apr;27(4):433-444. doi: 10.1261/rna.078220.120. Epub 2020 Dec 29.","Jeng SCY","RNA","2021","2020/12/30","PMC7962493","","10.1261/rna.078220.120"
"28747322","Ribonucleoprotein purification and characterization using RNA Mango","Panchapakesan SSS, Ferguson ML, Hayden EJ, Chen X, Hoskins AA, Unrau PJ.","RNA. 2017 Oct;23(10):1592-1599. doi: 10.1261/rna.062166.117. Epub 2017 Jul 26.","Panchapakesan SSS","RNA","2017","2017/07/28","PMC5602116","","10.1261/rna.062166.117"
"32152311","Live cell imaging of single RNA molecules with fluorogenic Mango II arrays","Cawte AD, Unrau PJ, Rueda DS.","Nat Commun. 2020 Mar 9;11(1):1283. doi: 10.1038/s41467-020-14932-7.","Cawte AD","Nat Commun","2020","2020/03/11","PMC7062757","","10.1038/s41467-020-14932-7"
