PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34019663","MetaboAnalyst 5.0: narrowing the gap between raw spectra and functional insights","Pang Z, Chong J, Zhou G, de Lima Morais DA, Chang L, Barrette M, Gauthier C, Jacques PÉ, Li S, Xia J.","Nucleic Acids Res. 2021 Jul 2;49(W1):W388-W396. doi: 10.1093/nar/gkab382.","Pang Z","Nucleic Acids Res","2021","2021/05/21","PMC8265181","","10.1093/nar/gkab382"
"17064287","The sigma factors of Mycobacterium tuberculosis","Rodrigue S, Provvedi R, Jacques PE, Gaudreau L, Manganelli R.","FEMS Microbiol Rev. 2006 Nov;30(6):926-41. doi: 10.1111/j.1574-6976.2006.00040.x.","Rodrigue S","FEMS Microbiol Rev","2006","2006/10/27","","","10.1111/j.1574-6976.2006.00040.x"
"33661023","Comparative epigenome-wide analysis highlights placenta-specific differentially methylated regions","Groleau M, White F, Cardenas A, Perron P, Hivert MF, Bouchard L, Jacques PÉ.","Epigenomics. 2021 Mar;13(5):357-368. doi: 10.2217/epi-2020-0271. Epub 2021 Mar 4.","Groleau M","Epigenomics","2021","2021/03/04","","","10.2217/epi-2020-0271"
"29417179","The DNA double-strand ""breakome"" of mouse spermatids","Grégoire MC, Leduc F, Morin MH, Cavé T, Arguin M, Richter M, Jacques PÉ, Boissonneault G.","Cell Mol Life Sci. 2018 Aug;75(15):2859-2872. doi: 10.1007/s00018-018-2769-0. Epub 2018 Feb 7.","Grégoire MC","Cell Mol Life Sci","2018","2018/02/09","","","10.1007/s00018-018-2769-0"
"34288418","Genome-scale metabolic modeling reveals key features of a minimal gene set","Lachance JC, Matteau D, Brodeur J, Lloyd CJ, Mih N, King ZA, Knight TF, Feist AM, Monk JM, Palsson BO, Jacques PÉ, Rodrigue S.","Mol Syst Biol. 2021 Jul;17(7):e10099. doi: 10.15252/msb.202010099.","Lachance JC","Mol Syst Biol","2021","2021/07/21","PMC8290834","","10.15252/msb.202010099"
"36440215","First Trimester Plasma MicroRNA Levels Predict Risk of Developing Gestational Diabetes Mellitus","Légaré C, Desgagné V, Thibeault K, White F, Clément AA, Poirier C, Luo ZC, Scott MS, Jacques PÉ, Perron P, Guérin R, Hivert MF, Bouchard L.","Front Endocrinol (Lausanne). 2022 Nov 11;13:928508. doi: 10.3389/fendo.2022.928508. eCollection 2022.","Légaré C","Front Endocrinol (Lausanne)","2022","2022/11/28","PMC9693764","","10.3389/fendo.2022.928508"
"33331123","Integrative characterization of the near-minimal bacterium Mesoplasma florum","Matteau D, Lachance JC, Grenier F, Gauthier S, Daubenspeck JM, Dybvig K, Garneau D, Knight TF, Jacques PÉ, Rodrigue S.","Mol Syst Biol. 2020 Dec;16(12):e9844. doi: 10.15252/msb.20209844.","Matteau D","Mol Syst Biol","2020","2020/12/17","PMC7745072","","10.15252/msb.20209844"
"35833713","Investigating the role of RNA structures in transcriptional pausing using in vitro assays and in silico analyses","Jeanneau S, Jacques PÉ, Lafontaine DA.","RNA Biol. 2022 Jan;19(1):916-927. doi: 10.1080/15476286.2022.2096794.","Jeanneau S","RNA Biol","2022","2022/07/14","PMC9291695","","10.1080/15476286.2022.2096794"
"35031065","Human plasma pregnancy-associated miRNAs and their temporal variation within the first trimester of pregnancy","Légaré C, Clément AA, Desgagné V, Thibeault K, White F, Guay SP, Arsenault BJ, Scott MS, Jacques PÉ, Perron P, Guérin R, Hivert MF, Bouchard L.","Reprod Biol Endocrinol. 2022 Jan 14;20(1):14. doi: 10.1186/s12958-021-00883-1.","Légaré C","Reprod Biol Endocrinol","2022","2022/01/15","PMC8759232","","10.1186/s12958-021-00883-1"
"35246451","First trimester plasma microRNAs levels predict Matsuda Index-estimated insulin sensitivity between 24th and 29th week of pregnancy","Légaré C, Desgagné V, Poirier C, Thibeault K, White F, Clément AA, Scott MS, Jacques PÉ, Perron P, Guérin R, Hivert MF, Bouchard L.","BMJ Open Diabetes Res Care. 2022 Mar;10(2):e002703. doi: 10.1136/bmjdrc-2021-002703.","Légaré C","BMJ Open Diabetes Res Care","2022","2022/03/05","PMC8900031","","10.1136/bmjdrc-2021-002703"
"27863956","The International Human Epigenome Consortium Data Portal","Bujold D, Morais DAL, Gauthier C, Côté C, Caron M, Kwan T, Chen KC, Laperle J, Markovits AN, Pastinen T, Caron B, Veilleux A, Jacques PÉ, Bourque G.","Cell Syst. 2016 Nov 23;3(5):496-499.e2. doi: 10.1016/j.cels.2016.10.019. Epub 2016 Nov 15.","Bujold D","Cell Syst","2016","2016/11/20","","","10.1016/j.cels.2016.10.019"
