PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33892960","Exploring the Alternative Splicing of Long Noncoding RNAs","Khan MR, Wellinger RJ, Laurent B.","Trends Genet. 2021 Aug;37(8):695-698. doi: 10.1016/j.tig.2021.03.010. Epub 2021 Apr 21.","Khan MR","Trends Genet","2021","2021/04/24","","","10.1016/j.tig.2021.03.010"
"33869233","Telomere Replication: Solving Multiple End Replication Problems","Bonnell E, Pasquier E, Wellinger RJ.","Front Cell Dev Biol. 2021 Apr 1;9:668171. doi: 10.3389/fcell.2021.668171. eCollection 2021.","Bonnell E","Front Cell Dev Biol","2021","2021/04/19","PMC8047117","","10.3389/fcell.2021.668171"
"28115201","Life and Death of Yeast Telomerase RNA","Vasianovich Y, Wellinger RJ.","J Mol Biol. 2017 Oct 27;429(21):3242-3254. doi: 10.1016/j.jmb.2017.01.013. Epub 2017 Jan 20.","Vasianovich Y","J Mol Biol","2017","2017/01/25","","","10.1016/j.jmb.2017.01.013"
"22727244","Telomeres and telomerase dance to the rhythm of the cell cycle","Londoño-Vallejo JA, Wellinger RJ.","Trends Biochem Sci. 2012 Sep;37(9):391-9. doi: 10.1016/j.tibs.2012.05.004. Epub 2012 Jun 21.","Londoño-Vallejo JA","Trends Biochem Sci","2012","2012/06/26","","","10.1016/j.tibs.2012.05.004"
"22879408","Everything you ever wanted to know about Saccharomyces cerevisiae telomeres: beginning to end","Wellinger RJ, Zakian VA.","Genetics. 2012 Aug;191(4):1073-105. doi: 10.1534/genetics.111.137851.","Wellinger RJ","Genetics","2012","2012/08/11","PMC3415994","","10.1534/genetics.111.137851"
"34476547","Maturation and shuttling of the yeast telomerase RNP: assembling something new using recycled parts","Bartle L, Vasianovich Y, Wellinger RJ.","Curr Genet. 2022 Feb;68(1):3-14. doi: 10.1007/s00294-021-01210-2. Epub 2021 Sep 2.","Bartle L","Curr Genet","2022","2021/09/03","PMC8801399","","10.1007/s00294-021-01210-2"
"16118440","Assessing telomeric phenotypes","LeBel C, Larrivée M, Bah A, Laterreur N, Lvesque N, Wellinger RJ.","Methods Mol Biol. 2006;313:265-316. doi: 10.1385/1-59259-958-3:265.","LeBel C","Methods Mol Biol","2006","2005/08/25","","","10.1385/1-59259-958-3:265"
"29261492","[A rejuvenation for yeast telomerase]","Laterreur N, Wellinger RJ.","Med Sci (Paris). 2017 Dec;33(12):1051-1054. doi: 10.1051/medsci/20173312011. Epub 2017 Dec 20.","Laterreur N","Med Sci (Paris)","2017","2017/12/21","","","10.1051/medsci/20173312011"
"20600003","When the caps fall off: responses to telomere uncapping in yeast","Wellinger RJ.","FEBS Lett. 2010 Sep 10;584(17):3734-40. doi: 10.1016/j.febslet.2010.06.031. Epub 2010 Jun 25.","Wellinger RJ","FEBS Lett","2010","2010/07/06","","","10.1016/j.febslet.2010.06.031"
"31086817","SETDB1-dependent heterochromatin stimulates alternative lengthening of telomeres","Gauchier M, Kan S, Barral A, Sauzet S, Agirre E, Bonnell E, Saksouk N, Barth TK, Ide S, Urbach S, Wellinger RJ, Luco RF, Imhof A, Déjardin J.","Sci Adv. 2019 May 8;5(5):eaav3673. doi: 10.1126/sciadv.aav3673. eCollection 2019 May.","Gauchier M","Sci Adv","2019","2019/05/16","PMC6506250","","10.1126/sciadv.aav3673"
"22951592","Telomerase caught in the act: united we stand, divided we fall","Gallardo F, Laterreur N, Wellinger RJ, Chartrand P.","RNA Biol. 2012 Sep;9(9):1139-43. doi: 10.4161/rna.21498. Epub 2012 Sep 1.","Gallardo F","RNA Biol","2012","2012/09/07","PMC3579879","","10.4161/rna.21498"
"24656125","In the end, what's the problem?","Wellinger RJ.","Mol Cell. 2014 Mar 20;53(6):855-6. doi: 10.1016/j.molcel.2014.03.008.","Wellinger RJ","Mol Cell","2014","2014/03/25","","","10.1016/j.molcel.2014.03.008"
"30066139","Fine tuning the level of the Cdc13 telomere-capping protein for maximal chromosome stability performance","Mersaoui SY, Wellinger RJ.","Curr Genet. 2019 Feb;65(1):109-118. doi: 10.1007/s00294-018-0871-3. Epub 2018 Jul 31.","Mersaoui SY","Curr Genet","2019","2018/08/02","","","10.1007/s00294-018-0871-3"
"15976439","Telomeres: what's new at your end?","LeBel C, Wellinger RJ.","J Cell Sci. 2005 Jul 1;118(Pt 13):2785-8. doi: 10.1242/jcs.02394.","LeBel C","J Cell Sci","2005","2005/06/25","","","10.1242/jcs.02394"
