PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25650392","An odyssey in the space of molecules, genes, biology and brain: an interview with Sabine Cordes","Cordes S, Cifra A.","Dis Model Mech. 2015 Feb;8(2):105-8. doi: 10.1242/dmm.019893.","Cordes S","Dis Model Mech","2015","2015/02/05","PMC4314776","","10.1242/dmm.019893"
"31999954","Autism-Misregulated eIF4G Microexons Control Synaptic Translation and Higher Order Cognitive Functions","Gonatopoulos-Pournatzis T, Niibori R, Salter EW, Weatheritt RJ, Tsang B, Farhangmehr S, Liang X, Braunschweig U, Roth J, Zhang S, Henderson T, Sharma E, Quesnel-Vallières M, Permanyer J, Maier S, Georgiou J, Irimia M, Sonenberg N, Forman-Kay JD, Gingras AC, Collingridge GL, Woodin MA, Cordes SP, Blencowe BJ.","Mol Cell. 2020 Mar 19;77(6):1176-1192.e16. doi: 10.1016/j.molcel.2020.01.006. Epub 2020 Jan 29.","Gonatopoulos-Pournatzis T","Mol Cell","2020","2020/01/31","","","10.1016/j.molcel.2020.01.006"
"25525873","A highly conserved program of neuronal microexons is misregulated in autistic brains","Irimia M, Weatheritt RJ, Ellis JD, Parikshak NN, Gonatopoulos-Pournatzis T, Babor M, Quesnel-Vallières M, Tapial J, Raj B, O'Hanlon D, Barrios-Rodiles M, Sternberg MJ, Cordes SP, Roth FP, Wrana JL, Geschwind DH, Blencowe BJ.","Cell. 2014 Dec 18;159(7):1511-23. doi: 10.1016/j.cell.2014.11.035.","Irimia M","Cell","2014","2014/12/20","PMC4390143","NIHMS654938","10.1016/j.cell.2014.11.035"
"30390048","Autism spectrum disorder: insights into convergent mechanisms from transcriptomics","Quesnel-Vallières M, Weatheritt RJ, Cordes SP, Blencowe BJ.","Nat Rev Genet. 2019 Jan;20(1):51-63. doi: 10.1038/s41576-018-0066-2.","Quesnel-Vallières M","Nat Rev Genet","2019","2018/11/04","","","10.1038/s41576-018-0066-2"
"16148305","N-ethyl-N-nitrosourea mutagenesis: boarding the mouse mutant express","Cordes SP.","Microbiol Mol Biol Rev. 2005 Sep;69(3):426-39. doi: 10.1128/MMBR.69.3.426-439.2005.","Cordes SP","Microbiol Mol Biol Rev","2005","2005/09/09","PMC1197804","","10.1128/MMBR.69.3.426-439.2005"
"31056421","FAM105A/OTULINL Is a Pseudodeubiquitinase of the OTU-Class that Localizes to the ER Membrane","Ceccarelli DF, Ivantsiv S, Mullin AA, Coyaud E, Manczyk N, Maisonneuve P, Kurinov I, Zhao L, Go C, Gingras AC, Raught B, Cordes S, Sicheri F.","Structure. 2019 Jun 4;27(6):1000-1012.e6. doi: 10.1016/j.str.2019.03.022. Epub 2019 May 2.","Ceccarelli DF","Structure","2019","2019/05/07","PMC6551266","NIHMS1526017","10.1016/j.str.2019.03.022"
"23708998","The linear ubiquitin-specific deubiquitinase gumby regulates angiogenesis","Rivkin E, Almeida SM, Ceccarelli DF, Juang YC, MacLean TA, Srikumar T, Huang H, Dunham WH, Fukumura R, Xie G, Gondo Y, Raught B, Gingras AC, Sicheri F, Cordes SP.","Nature. 2013 Jun 20;498(7454):318-24. doi: 10.1038/nature12296. Epub 2013 May 24.","Rivkin E","Nature","2013","2013/05/28","PMC4931916","CAMS3934","10.1038/nature12296"
"27984743","Misregulation of an Activity-Dependent Splicing Network as a Common Mechanism Underlying Autism Spectrum Disorders","Quesnel-Vallières M, Dargaei Z, Irimia M, Gonatopoulos-Pournatzis T, Ip JY, Wu M, Sterne-Weiler T, Nakagawa S, Woodin MA, Blencowe BJ, Cordes SP.","Mol Cell. 2016 Dec 15;64(6):1023-1034. doi: 10.1016/j.molcel.2016.11.033.","Quesnel-Vallières M","Mol Cell","2016","2016/12/17","","","10.1016/j.molcel.2016.11.033"
"23631734","Abnormal interneuron development in disrupted-in-schizophrenia-1 L100P mutant mice","Lee FH, Zai CC, Cordes SP, Roder JC, Wong AH.","Mol Brain. 2013 Apr 30;6:20. doi: 10.1186/1756-6606-6-20.","Lee FH","Mol Brain","2013","2013/05/02","PMC3648430","","10.1186/1756-6606-6-20"
"21368031","Disc1 point mutations in mice affect development of the cerebral cortex","Lee FH, Fadel MP, Preston-Maher K, Cordes SP, Clapcote SJ, Price DJ, Roder JC, Wong AH.","J Neurosci. 2011 Mar 2;31(9):3197-206. doi: 10.1523/JNEUROSCI.4219-10.2011.","Lee FH","J Neurosci","2011","2011/03/04","PMC6623921","","10.1523/JNEUROSCI.4219-10.2011"
"25838543","Essential roles for the splicing regulator nSR100/SRRM4 during nervous system development","Quesnel-Vallières M, Irimia M, Cordes SP, Blencowe BJ.","Genes Dev. 2015 Apr 1;29(7):746-59. doi: 10.1101/gad.256115.114.","Quesnel-Vallières M","Genes Dev","2015","2015/04/04","PMC4387716","","10.1101/gad.256115.114"
"17360442","MafB is required for islet beta cell maturation","Artner I, Blanchi B, Raum JC, Guo M, Kaneko T, Cordes S, Sieweke M, Stein R.","Proc Natl Acad Sci U S A. 2007 Mar 6;104(10):3853-8. doi: 10.1073/pnas.0700013104. Epub 2007 Feb 22.","Artner I","Proc Natl Acad Sci U S A","2007","2007/03/16","PMC1803762","","10.1073/pnas.0700013104"
"19737517","A vertebrate Polycomb response element governs segmentation of the posterior hindbrain","Sing A, Pannell D, Karaiskakis A, Sturgeon K, Djabali M, Ellis J, Lipshitz HD, Cordes SP.","Cell. 2009 Sep 4;138(5):885-97. doi: 10.1016/j.cell.2009.08.020.","Sing A","Cell","2009","2009/09/10","","","10.1016/j.cell.2009.08.020"
"21098558","Cdx1 refines positional identity of the vertebrate hindbrain by directly repressing Mafb expression","Sturgeon K, Kaneko T, Biemann M, Gauthier A, Chawengsaksophak K, Cordes SP.","Development. 2011 Jan;138(1):65-74. doi: 10.1242/dev.058727. Epub 2010 Nov 23.","Sturgeon K","Development","2011","2010/11/25","","","10.1242/dev.058727"
"16354937","A genetic screen for mutations that affect cranial nerve development in the mouse","Mar L, Rivkin E, Kim DY, Yu JY, Cordes SP.","J Neurosci. 2005 Dec 14;25(50):11787-95. doi: 10.1523/JNEUROSCI.3813-05.2005.","Mar L","J Neurosci","2005","2005/12/16","PMC6726029","","10.1523/JNEUROSCI.3813-05.2005"
"16274963","The vHNF1 homeodomain protein establishes early rhombomere identity by direct regulation of Kreisler expression","Kim FA, Sing l A, Kaneko T, Bieman M, Stallwood N, Sadl VS, Cordes SP.","Mech Dev. 2005 Dec;122(12):1300-9. doi: 10.1016/j.mod.2005.08.001. Epub 2005 Nov 7.","Kim FA","Mech Dev","2005","2005/11/09","","","10.1016/j.mod.2005.08.001"
"12482716","Auto/cross-regulation of Hoxb3 expression in posterior hindbrain and spinal cord","Yau TO, Kwan CT, Jakt LM, Stallwood N, Cordes S, Sham MH.","Dev Biol. 2002 Dec 15;252(2):287-300. doi: 10.1006/dbio.2002.0849.","Yau TO","Dev Biol","2002","2002/12/17","","","10.1006/dbio.2002.0849"
"28093506","The tyrosine kinase receptor Tyro3 enhances lifespan and neuropeptide Y (Npy) neuron survival in the mouse anorexia (anx) mutation","Kim DY, Yu J, Mui RK, Niibori R, Taufique HB, Aslam R, Semple JW, Cordes SP.","Dis Model Mech. 2017 May 1;10(5):581-595. doi: 10.1242/dmm.027433. Epub 2017 Jan 12.","Kim DY","Dis Model Mech","2017","2017/01/18","PMC5451163","","10.1242/dmm.027433"
"12877987","A genetic screen for mouse mutations with defects in serotonin responsiveness","Weiss KC, Kim DY, Pawson CT, Cordes SP.","Brain Res Mol Brain Res. 2003 Jul 23;115(2):162-72. doi: 10.1016/s0169-328x(03)00205-5.","Weiss KC","Brain Res Mol Brain Res","2003","2003/07/25","","","10.1016/s0169-328x(03)00205-5"
"12217315","The mouse Kreisler (Krml1/MafB) segmentation gene is required for differentiation of glomerular visceral epithelial cells","Sadl V, Jin F, Yu J, Cui S, Holmyard D, Quaggin S, Barsh G, Cordes S.","Dev Biol. 2002 Sep 1;249(1):16-29. doi: 10.1006/dbio.2002.0751.","Sadl V","Dev Biol","2002","2002/09/10","","","10.1006/dbio.2002.0751"
"21438125","A tryptophan hydroxlyase 1 reporter that directs Cre recombinase extinguishable placental alkaline phosphatase expression in serotonergic (5-HT) neurons and peripheral tissues","Huynh ML, Rivkin E, Mui R, Cordes SP.","Genesis. 2011 Nov;49(11):851-61. doi: 10.1002/dvg.20746. Epub 2011 Aug 18.","Huynh ML","Genesis","2011","2011/03/26","","","10.1002/dvg.20746"
"12701106","Analysis of hindbrain patterning defects caused by the kreisler(enu) mutation reveals multiple roles of Kreisler in hindbrain segmentation","Sadl VS, Sing A, Mar L, Jin F, Cordes SP.","Dev Dyn. 2003 May;227(1):134-42. doi: 10.1002/dvdy.10279.","Sadl VS","Dev Dyn","2003","2003/04/18","","","10.1002/dvdy.10279"
"18257073","Generation of a transgenic mouse line expressing GFP-Cre protein from a Hoxb4 neural enhancer","Rivkin E, Cordes SP.","Genesis. 2008 Feb;46(2):119-24. doi: 10.1002/dvg.20371.","Rivkin E","Genesis","2008","2008/02/08","","","10.1002/dvg.20371"
