PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29039412","Intermittent fasting promotes adipose thermogenesis and metabolic homeostasis via VEGF-mediated alternative activation of macrophage","Kim KH, Kim YH, Son JE, Lee JH, Kim S, Choe MS, Moon JH, Zhong J, Fu K, Lenglin F, Yoo JA, Bilan PJ, Klip A, Nagy A, Kim JR, Park JG, Hussein SM, Doh KO, Hui CC, Sung HK.","Cell Res. 2017 Nov;27(11):1309-1326. doi: 10.1038/cr.2017.126. Epub 2017 Oct 17.","Kim KH","Cell Res","2017","2017/10/18","PMC5674160","","10.1038/cr.2017.126"
"34686327","Pan-cancer analysis of non-coding transcripts reveals the prognostic onco-lncRNA HOXA10-AS in gliomas","Isaev K, Jiang L, Wu S, Lee CA, Watters V, Fort V, Tsai R, Coutinho FJ, Hussein SMI, Zhang J, Wu J, Dirks PB, Schramek D, Reimand J.","Cell Rep. 2021 Oct 19;37(3):109873. doi: 10.1016/j.celrep.2021.109873.","Isaev K","Cell Rep","2021","2021/10/23","","","10.1016/j.celrep.2021.109873"
"35070719","Blastomycosis arthritis and dactylitis","Hussein S, Dagenais P.","IDCases. 2022 Jan 11;27:e01400. doi: 10.1016/j.idcr.2022.e01400. eCollection 2022.","Hussein S","IDCases","2022","2022/01/24","PMC8762082","","10.1016/j.idcr.2022.e01400"
"32882261","Long non-coding RNAs and transposable elements: A functional relationship","Fort V, Khelifi G, Hussein SMI.","Biochim Biophys Acta Mol Cell Res. 2021 Jan;1868(1):118837. doi: 10.1016/j.bbamcr.2020.118837. Epub 2020 Aug 31.","Fort V","Biochim Biophys Acta Mol Cell Res","2021","2020/09/04","","","10.1016/j.bbamcr.2020.118837"
"23172728","Genome damage in induced pluripotent stem cells: assessing the mechanisms and their consequences","Hussein SM, Elbaz J, Nagy AA.","Bioessays. 2013 Mar;35(3):152-62. doi: 10.1002/bies.201200114. Epub 2012 Nov 22.","Hussein SM","Bioessays","2013","2012/11/23","","","10.1002/bies.201200114"
"35606347","Signal requirement for cortical potential of transplantable human neuroepithelial stem cells","Varga BV, Faiz M, Pivonkova H, Khelifi G, Yang H, Gao S, Linderoth E, Zhen M, Karadottir RT, Hussein SM, Nagy A.","Nat Commun. 2022 May 23;13(1):2844. doi: 10.1038/s41467-022-29839-8.","Varga BV","Nat Commun","2022","2022/05/23","PMC9126949","","10.1038/s41467-022-29839-8"
"35636729","MRG Proteins Are Shared by Multiple Protein Complexes With Distinct Functions","Devoucoux M, Roques C, Lachance C, Lashgari A, Joly-Beauparlant C, Jacquet K, Alerasool N, Prudente A, Taipale M, Droit A, Lambert JP, Hussein SMI, Côté J.","Mol Cell Proteomics. 2022 Jul;21(7):100253. doi: 10.1016/j.mcpro.2022.100253. Epub 2022 May 28.","Devoucoux M","Mol Cell Proteomics","2022","2022/05/31","PMC9253478","","10.1016/j.mcpro.2022.100253"
"36348939","Prostate cancer resistance leads to a global deregulation of translation factors and unconventional translation","Lelong EIJ, Khelifi G, Adjibade P, Joncas FH, Grenier St-Sauveur V, Paquette V, Gris T, Zoubeidi A, Audet-Walsh E, Lambert JP, Toren P, Mazroui R, Hussein SMI.","NAR Cancer. 2022 Nov 4;4(4):zcac034. doi: 10.1093/narcan/zcac034. eCollection 2022 Dec.","Lelong EIJ","NAR Cancer","2022","2022/11/09","PMC9634437","","10.1093/narcan/zcac034"
"22959308","Progress made in the reprogramming field: new factors, new strategies and a new outlook","Hussein SM, Nagy AA.","Curr Opin Genet Dev. 2012 Oct;22(5):435-43. doi: 10.1016/j.gde.2012.08.007. Epub 2012 Sep 5.","Hussein SM","Curr Opin Genet Dev","2012","2012/09/11","","","10.1016/j.gde.2012.08.007"
"35705031","Oncogenic ZMYND11-MBTD1 fusion protein anchors the NuA4/TIP60 histone acetyltransferase complex to the coding region of active genes","Devoucoux M, Fort V, Khelifi G, Xu J, Alerasool N, Galloy M, Wong N, Bourriquen G, Fradet-Turcotte A, Taipale M, Hope K, Hussein SMI, Côté J.","Cell Rep. 2022 Jun 14;39(11):110947. doi: 10.1016/j.celrep.2022.110947.","Devoucoux M","Cell Rep","2022","2022/06/15","","","10.1016/j.celrep.2022.110947"
